business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.02985049999999, 'lng': -88.2762972}, 'viewport': {'northeast': {'lat': 42.0312740802915, 'lng': -88.2750503697085}, 'southwest': {'lat': 42.0285761197085, 'lng': -88.2777483302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104538609913006278395"">One Source Productions</a>'], 'photo_reference': 'AW30NDxyTcoSrXzzXiheCNmdtfxQ-9CBwk0TSiYizfLoYctLsagQNpRJ3lqZC6UTYPyXUX9jNbwzsRXedROiZCfujYVb-MIzIrf_q2tTVtJTf9YkmxaGZFtfcdyyoJ0hOPoIxf_8Jxv58CvmXnFpuBtOHR1racoRuGjcdBsvccjbUnqNVy_i', 'width': 4032}]",ChIJS0n3u60FD4gRBYIJCKuqEPU,"{'compound_code': '2PHF+WF Elgin, IL, USA', 'global_code': '86JH2PHF+WF'}",1.0,4.0,ChIJS0n3u60FD4gRBYIJCKuqEPU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",81.0,"55 Clock Tower Dr, Elgin",
OPERATIONAL,"{'location': {'lat': 42.0193964, 'lng': -88.3360884}, 'viewport': {'northeast': {'lat': 42.0206308802915, 'lng': -88.33475436970849}, 'southwest': {'lat': 42.0179329197085, 'lng': -88.3374523302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': False},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113795385309657150899"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDw8D1ztDqdg9ZB6nIFlqiMsJJ5dmcrme-2OgvHISQIDZavYTA9Jox_PbQuIKuU9pToa0XZoqKCXoqncIPyYM9UhGwIS9D0y3j8QSA8wP-DsKeLLd3lpsNq8rIjIexxcgjKQ06HQtFOfJJrmhZj2uub-lSZO1mLdJzNePbaY8ZiaFORI', 'width': 960}]",ChIJY3o4WCEbD4gRvqU0y1Qyd6o,"{'compound_code': '2M97+QH Elgin, IL, USA', 'global_code': '86JH2M97+QH'}",2.0,3.9,ChIJY3o4WCEbD4gRvqU0y1Qyd6o,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1748.0,"601 South Randall Road, Elgin",
OPERATIONAL,"{'location': {'lat': 42.037114, 'lng': -88.2816699}, 'viewport': {'northeast': {'lat': 42.0385250802915, 'lng': -88.2803202697085}, 'southwest': {'lat': 42.0358271197085, 'lng': -88.2830182302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Elgin Public House,{'open_now': True},"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109050986468644825700"">Elgin Public House</a>'], 'photo_reference': 'AW30NDySVYfmSaajKI1eKD9Zs9WGNdMm2i0MMf7ysWTdKmZRTUcNLgg-roqPw_fG-iFwvjDL63cUcyhnTbYsWBh8HDQ164pY1SGtm-24GC4fUuoeoLg3rLVO1lZ-FK1xVCQNP4kpaGl0PWdOJOZR4ntO5F4z5pi-6ydCYCD_MPXtlL6cHZS3', 'width': 1536}]",ChIJpzi_QKYFD4gRUnPHiAhEx5M,"{'compound_code': '2PP9+R8 Elgin, IL, USA', 'global_code': '86JH2PP9+R8'}",2.0,4.5,ChIJpzi_QKYFD4gRUnPHiAhEx5M,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1723.0,"219 East Chicago Street, Elgin",
OPERATIONAL,"{'location': {'lat': 42.0297819, 'lng': -88.27814769999999}, 'viewport': {'northeast': {'lat': 42.0311981302915, 'lng': -88.2767421697085}, 'southwest': {'lat': 42.0285001697085, 'lng': -88.2794401302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dunkin',{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106771957354133981611"">Juan Adolfo Hernandez</a>'], 'photo_reference': 'AW30NDwf6RYSzq-JhfBT-RdiH7tvN0k3o2JHqnrkLPc3EZMEUSG6VO_WqcglL6yLKDrYjCBMjGIgszS7g1B0D2Q-yJuAXvC9PQDHNaaHGgynuKQHV05BGCSHx-uOAeOXJX3AcL-AqG__XZWXdSpp_SaLGH4YtYQOxADcgAzyqcMDg-dqZ9Xk', 'width': 4128}]",ChIJS0n3u60FD4gR7TorJrAFRtw,"{'compound_code': '2PHC+WP Elgin, IL, USA', 'global_code': '86JH2PHC+WP'}",1.0,4.0,ChIJS0n3u60FD4gR7TorJrAFRtw,GOOGLE,"['bakery', 'cafe', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",309.0,"95 Clock Tower Plz, Elgin",
OPERATIONAL,"{'location': {'lat': 42.0591151, 'lng': -88.31504699999999}, 'viewport': {'northeast': {'lat': 42.0605514802915, 'lng': -88.31370061970848}, 'southwest': {'lat': 42.0578535197085, 'lng': -88.3163985802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116011370598941324519"">Rich R</a>'], 'photo_reference': 'AW30NDyp6Pw3iVP0gRMinXRYZ6lwzo68PnCphzilNlKgdYN7vwCPt7Uxb4YWXTfd8JnDH_XWpuZUNhhCNvGUQAWqYrQX74mC7VN4EMNpKjL_ml-T056PpEAgmFJrUVxNnfUHsDEJHWXxjybBv7Ij_5Fyw-NTs2P3jW4oJtop76YWjhtkx5Yh', 'width': 1920}]",ChIJR2xjbFoFD4gRAg7Mblsb8nc,"{'compound_code': '3M5M+JX Elgin, IL, USA', 'global_code': '86JH3M5M+JX'}",1.0,4.1,ChIJR2xjbFoFD4gRAg7Mblsb8nc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",62.0,"66 Tyler Creek Plaza, Elgin",
OPERATIONAL,"{'location': {'lat': 42.0263312, 'lng': -88.33814459999999}, 'viewport': {'northeast': {'lat': 42.0276995802915, 'lng': -88.33688921970848}, 'southwest': {'lat': 42.0250016197085, 'lng': -88.33958718029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109419791358249250515"">micah blake moyers</a>'], 'photo_reference': 'AW30NDzVCykkkRBcmoh8BTFfvDmiyFi-sSc5ocXuqgT7mvze9ikImREUUyCp0d2tq1iQiTX5AtLyHfwRxcJPUx5l_Q6hj0zouZ8LnslR6OC7s9559LbbrMZkdBRM5RL3HU83Zdm_mJolE-R0v9JK2QHeBtWnCB6aVYGlL_RDhr-iOYVExvxA', 'width': 4032}]",ChIJiWoVrCAbD4gRFMUjqqOUG7c,"{'compound_code': '2MG6+GP Elgin, IL, USA', 'global_code': '86JH2MG6+GP'}",1.0,3.8,ChIJiWoVrCAbD4gRFMUjqqOUG7c,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",51.0,"275 South Randall Road, Elgin",
OPERATIONAL,"{'location': {'lat': 42.006497, 'lng': -88.33693099999999}, 'viewport': {'northeast': {'lat': 42.0079389802915, 'lng': -88.33555311970849}, 'southwest': {'lat': 42.0052410197085, 'lng': -88.3382510802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Portillo's Hot Dogs,{'open_now': True},"[{'height': 866, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115894610698966240696"">Mindy Rathbun</a>'], 'photo_reference': 'AW30NDw9GrxGf6mD51ec2rH61te8175fr3EbYXNVw0e_nT4_p-wA02T-DYqgyKW6-IKvcxuBn7o9E2caJ_zZFUsVrtpW91SNihV2TvzYNbzxtsp6pSTQnHILXO7juwiKhYpNE2AEP8WqKmFY-YS0p-THkEC2ZoL984FTBw6WduLx0bQG_q9o', 'width': 1431}]",ChIJ4f9RZzgbD4gRByhnAvXADkg,"{'compound_code': '2M47+H6 Elgin, IL, USA', 'global_code': '86JH2M47+H6'}",1.0,4.4,ChIJ4f9RZzgbD4gRByhnAvXADkg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3704.0,"1020 South Randall Road, Elgin",
OPERATIONAL,"{'location': {'lat': 42.02710599999999, 'lng': -88.3122124}, 'viewport': {'northeast': {'lat': 42.02842318029149, 'lng': -88.3107922197085}, 'southwest': {'lat': 42.02572521970849, 'lng': -88.31349018029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115394102210561731086"">Kavya Patel</a>'], 'photo_reference': 'AW30NDxK0Cs6EIWiLKlzmAz4bWPpmwkryEtPzvLkJnbYwISQGzfWDzl2cqBx34jIaDF8AFP43WCZeMk0pRUKksQZv4RmfTEj-fU8MgM_kns-0MYtWAYQ-S9rvPVMut3bvoM4CXig8ckOTT9MFrdnP8POxfhPcoUmqOHc1Pyn0Yxw5nkxJrez', 'width': 4032}]",ChIJ9_lmBtgED4gRutCGGKdH5YI,"{'compound_code': '2MGQ+R4 Elgin, IL, USA', 'global_code': '86JH2MGQ+R4'}",1.0,3.7,ChIJ9_lmBtgED4gRutCGGKdH5YI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",119.0,"300 A North McLean Boulevard, Elgin",
OPERATIONAL,"{'location': {'lat': 42.0081881, 'lng': -88.33703580000001}, 'viewport': {'northeast': {'lat': 42.00948598029149, 'lng': -88.3357012197085}, 'southwest': {'lat': 42.00678801970849, 'lng': -88.3383991802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nick's Pizza & Pub,{'open_now': True},"[{'height': 4251, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101156264947869712873"">Nick&#39;s Pizza &amp; Pub</a>'], 'photo_reference': 'AW30NDymihBdW0MhjuJm_AwE8M5xuJ5WUe9VcvC4MIZd5mI6pvJvKd9qXRPVQHXiXQqIqspVgPvVIPeVp2QiuoTBwgeROdEc-Etd07F0lrcV4ojXYVzqdj00ut22RSP6Ayee85OxIeZX8iRtQfFZHR9NnMOu_YkHYGgUg0PDfbo-rnXvnhdS', 'width': 2982}]",ChIJOS0P_jgbD4gRg6QTS4xWdQs,"{'compound_code': '2M57+75 Elgin, IL, USA', 'global_code': '86JH2M57+75'}",2.0,4.4,ChIJOS0P_jgbD4gRg6QTS4xWdQs,GOOGLE,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1551.0,"990 South Randall Road, Elgin",
OPERATIONAL,"{'location': {'lat': 42.05519999999999, 'lng': -88.33749999999999}, 'viewport': {'northeast': {'lat': 42.0566609802915, 'lng': -88.3361534197085}, 'southwest': {'lat': 42.0539630197085, 'lng': -88.3388513802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Carmina's Restaurant and Banquets,{'open_now': False},"[{'height': 2537, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101001619146140559938"">Carmina&#39;s Restaurant and Banquets</a>'], 'photo_reference': 'AW30NDzk30LWSSiSccy4Ksj9ArvGVkQE5EW0EQpgXLjoH7vO7DUVOENNEI4UwXBmX9Cj9ik3L3XJWr_qcQWh2XWin_I0JbzXEIdiQYYRVd5SRsd7ongFLjf5lxdMVzu7isI3cBfJK6soiWkacjlCDz14A3_4K9lyrCUj-VOqyAvQlPInPeps', 'width': 7204}]",ChIJY_xUQLsaD4gRyAeCem1gnwo,"{'compound_code': '3M47+32 Elgin, IL, USA', 'global_code': '86JH3M47+32'}",2.0,4.1,ChIJY_xUQLsaD4gRyAeCem1gnwo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",728.0,"1055 North Randall Road, Elgin",
