business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.4182169, 'lng': -121.4042239}, 'viewport': {'northeast': {'lat': 38.4196145302915, 'lng': -121.4031359197085}, 'southwest': {'lat': 38.4169165697085, 'lng': -121.4058338802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Century Laguna 16 and XD,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100332753134813586878"">Christopher Martinez</a>'], 'photo_reference': 'AW30NDxj2_haaLrV5F5KhvhaKDGIJRiXLOQCnD6-VBI28Q0vPqKFoDulaLN4q3r0bdOETtGowgZn01Iz_Qw4c62WWVac4lea-Ur0gUnPMKo8P6_g8i1tGvkXoRFPqbSUMIDgsYxOGO0IZkIG_8fmJX5TMisekNQ4dL9Q0YsZTD0WMRijFOxJ', 'width': 4032}]",ChIJ5xAIjavHmoARh2S5VtYf9r0,"{'compound_code': 'CH9W+78 Elk Grove, CA, USA', 'global_code': '84CWCH9W+78'}",4.4,ChIJ5xAIjavHmoARh2S5VtYf9r0,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2635.0,"9349 Big Horn Boulevard, Elk Grove",,,
OPERATIONAL,"{'location': {'lat': 38.4239018, 'lng': -121.3887808}, 'viewport': {'northeast': {'lat': 38.4253222802915, 'lng': -121.3872732197085}, 'southwest': {'lat': 38.4226243197085, 'lng': -121.3899711802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mikuni | Elk Grove,"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114046133986492463921"">Mikuni | Elk Grove</a>'], 'photo_reference': 'AW30NDz7oS1GhNkyouCqgB6uPaJjia3SpovJNJmgNJJzYqwqOKqwVwjLshNonXh8Vc1y-q2PVGpEucBpI7rCseT813e0SvrFvqZARR5Opz-KCgiFSPo-71rLU6nTnyQ0U4hKnIDQw_DezVDqJMcumTa-rAeLrrqHNqf0z06TfIDNmSomPyQk', 'width': 6144}]",ChIJSz0KZRzHmoAR98MiO8IsxBc,"{'compound_code': 'CJF6+HF Elk Grove, CA, USA', 'global_code': '84CWCJF6+HF'}",4.5,ChIJSz0KZRzHmoAR98MiO8IsxBc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1717.0,"8525 Bond Road, Elk Grove",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.408634, 'lng': -121.392006}, 'viewport': {'northeast': {'lat': 38.4099894302915, 'lng': -121.3907806197085}, 'southwest': {'lat': 38.4072914697085, 'lng': -121.3934785802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109628986549761223082"">Pamela Glasgow Enmark</a>'], 'photo_reference': 'AW30NDwVX3W8BzyXA8_zWKcyESpRxinHrbMdQevcDDXpCe_UaZkxOM8Y7bd7zSbUG2FMMLS1gprz-k_lDoVnVB6dJ1pytWMZXFv8k-f4tY0Cu_NzmIVmzMJdBBVl2L69lRzgG_jmnEd19dVoHWqWnlZlwxaEorcmU1XcykEVNVxXaJhicsz0', 'width': 3024}]",ChIJfWrL-QzHmoARnTeLD4ge9sQ,"{'compound_code': 'CJ55+F5 Elk Grove, CA, USA', 'global_code': '84CWCJ55+F5'}",4.1,ChIJfWrL-QzHmoARnTeLD4ge9sQ,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1015.0,"8450 Elk Grove Boulevard, Elk Grove",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.4227499, 'lng': -121.399319}, 'viewport': {'northeast': {'lat': 38.4241945302915, 'lng': -121.3979456197085}, 'southwest': {'lat': 38.4214965697085, 'lng': -121.4006435802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104291057281395809722"">BJ&#39;s Restaurant &amp; Brewhouse</a>'], 'photo_reference': 'AW30NDz4Ix6eq0mXmG9UkHlY27gZ0skV-Wz2lzGcjStlrvi8lsyPZUIy21ZOXBaku3DnuOewmnb1lRwQ062PwbdrhEN9YVErqxcjjtXg0CiUVjtpS-603c-KsRvm84r3G9K_J3D4nAkM-_R4TVaFVCsrqb8nbB0qpMIczPPs3jT6A2OHYPGh', 'width': 4032}]",ChIJ024XBADHmoAREm0zEyaSWH8,"{'compound_code': 'CJF2+37 Elk Grove, CA, USA', 'global_code': '84CWCJF2+37'}",4.0,ChIJ024XBADHmoAREm0zEyaSWH8,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",2499.0,"9237 Laguna Springs Drive, Elk Grove",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.4097489, 'lng': -121.3920957}, 'viewport': {'northeast': {'lat': 38.41101233029151, 'lng': -121.3907458697085}, 'southwest': {'lat': 38.40831436970851, 'lng': -121.3934438302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Satori Sushi & Teriyaki Grill,"[{'height': 1432, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113546709243141581471"">RONALD DAVIS</a>'], 'photo_reference': 'AW30NDxo5gof7BdpukCsrsdRsX0IYMUhYDEES_vLMCTlT5l7WWCevimsamRWW1gIAh6AJbnJAFBQ8Hl1wk85cAHmnbimav-de63bEN3YgT8d267_8uLiTYUDcq4aud3igHvH8T1MKfz54MTAbDJoI5jzqmw96ak7v2_S46s5UOtqxVH-844K', 'width': 2033}]",ChIJRb_HRQzHmoARq3cnj_p2VMo,"{'compound_code': 'CJ55+V5 Elk Grove, CA, USA', 'global_code': '84CWCJ55+V5'}",4.4,ChIJRb_HRQzHmoARq3cnj_p2VMo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",315.0,"8451 Elk Grove Boulevard, Elk Grove",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 38.425654, 'lng': -121.3922886}, 'viewport': {'northeast': {'lat': 38.4269976802915, 'lng': -121.3908520197085}, 'southwest': {'lat': 38.4242997197085, 'lng': -121.3935499802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chuck E. Cheese,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111232393678425338741"">Karif Lawrence</a>'], 'photo_reference': 'AW30NDwCAXlKv2FBA0wYhUI1LyoqjvkLi-8MeJtCWjpKKGtLRqLFsLF_tOtgW_phgV9hm5OK3iBG73FOQKlWUGSa7DG0LOiqUcscboqWMtL8Htu49TopVXnGaKnVBOLerCeQrpz2C882yZQRliEsXTKIUf6DItiHo5zqqSjNpdPCpg5IiU9P', 'width': 4032}]",ChIJ1eWVjv3GmoAR3q7z4JjTSTc,"{'compound_code': 'CJG5+73 Elk Grove, CA, USA', 'global_code': '84CWCJG5+73'}",4.0,ChIJ1eWVjv3GmoAR3q7z4JjTSTc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1253.0,"9161 E. Stockton Blvd Pad B, Elk Grove",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.4080032, 'lng': -121.381644}, 'viewport': {'northeast': {'lat': 38.4094404302915, 'lng': -121.3802510697085}, 'southwest': {'lat': 38.4067424697085, 'lng': -121.3829490302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Thai Chili,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114548078333778954472"">Curtis A</a>'], 'photo_reference': 'AW30NDwW1DiW8oe_18fE36-DU6pepJdLlAtZpJKUfFBC2c07hjgJGYaA_NOaik1vEXdow2pkpT52BOFU-CPaeSfu3EuMwobs-svF-OxWjNCSo87mGoLeejpiJvUWBm_MCzi8t7jI-3txPVU29IjqVRl_p24hrqfNfyRIPrLNj0svcSOw0zEi', 'width': 2992}]",ChIJr3Zj_YjImoARkZwUQ66Rv4E,"{'compound_code': 'CJ59+68 Elk Grove, CA, USA', 'global_code': '84CWCJ59+68'}",4.5,ChIJr3Zj_YjImoARkZwUQ66Rv4E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",806.0,"8696 Elk Grove Boulevard #5, Elk Grove",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.4091267, 'lng': -121.3658443}, 'viewport': {'northeast': {'lat': 38.41041783029149, 'lng': -121.3645065197085}, 'southwest': {'lat': 38.40771986970849, 'lng': -121.3672044802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brick House Restaurant & Catering,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105135788681634102123"">Julie Cassella</a>'], 'photo_reference': 'AW30NDyC0fCkyjm-LXBSb1ww-94hJrbxgDVlTWcr61TRiyrErS_NBCV_Ovi_NrtIHyF2euoYxrbAu7Zl5o_Pp7X6KCoJtnSou82UQ96DX8s0YySi4b0lBHMABDcFOWu9tnkHgtcmky83vbsPRuUoj1o5fAKSPPu2wA7ySgfHvz3j8apTvv_R', 'width': 1920}]",ChIJj8uj_kXHmoARUftdBRkqiFQ,"{'compound_code': 'CJ5M+MM Elk Grove, CA, USA', 'global_code': '84CWCJ5M+MM'}",4.4,ChIJj8uj_kXHmoARUftdBRkqiFQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",753.0,"9027 Elk Grove Boulevard Ste 100, Elk Grove",{'open_now': False},2.0,
OPERATIONAL,"{'location': {'lat': 38.4216799, 'lng': -121.4014987}, 'viewport': {'northeast': {'lat': 38.42309618029149, 'lng': -121.4000024197085}, 'southwest': {'lat': 38.4203982197085, 'lng': -121.4027003802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Leatherby's Family Creamery,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110598980430376168050"">La N</a>'], 'photo_reference': 'AW30NDyiZlHu1wcBlJ7a-GwXj9VhCja8KBwHKl0WLXt-5Qc6iUUQfHAtW-Tf9fpsVVJY_IUmOlYFgdZjtwiUdJAdQdoP2Ls_T7uSUYJ2PbzVtSfGiKm7FfzkiXt8cx0CnCZAmVMZoy8U5PQzAHVJT5sOIJDH0I3J7P2lnDrJmdo_RsCj45nJ', 'width': 4032}]",ChIJ5VuZv6rHmoARknk9LNbewgA,"{'compound_code': 'CHCX+MC Elk Grove, CA, USA', 'global_code': '84CWCHCX+MC'}",4.6,ChIJ5VuZv6rHmoARknk9LNbewgA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2335.0,"8238 Laguna Boulevard, Elk Grove",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.4246381, 'lng': -121.3876018}, 'viewport': {'northeast': {'lat': 38.4258716802915, 'lng': -121.3863069697085}, 'southwest': {'lat': 38.4231737197085, 'lng': -121.3890049302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Panera Bread,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105449987388467470146"">Lance Gilliland</a>'], 'photo_reference': 'AW30NDzUVBr1cBea3Qkq36IblbK-bswGj4odyYGQlMabR7PoKuTphii_xrEJPp7hrXz3xv3A7n-moYA_AHGeGW80fDu6Ghx9izSMS9MrXsJOFLY31TfpdMZ2hduv05cJGoFn-cGVt-H8sUziuZGtda7x4ifknlKk-03LzBl45UnaHD1carwc', 'width': 4032}]",ChIJZdwzbhzHmoARRPNOpmejhWc,"{'compound_code': 'CJF6+VX Elk Grove, CA, USA', 'global_code': '84CWCJF6+VX'}",4.2,ChIJZdwzbhzHmoARRPNOpmejhWc,GOOGLE,"['cafe', 'meal_takeaway', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",855.0,"8519 Bond Road Suite 106, Elk Grove",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.4077403, 'lng': -121.3843137}, 'viewport': {'northeast': {'lat': 38.4089989302915, 'lng': -121.3831070197085}, 'southwest': {'lat': 38.4063009697085, 'lng': -121.3858049802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bull Wings Grill & Bar,"[{'height': 1106, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117655451535243312434"">Bull Wings Grill &amp; Bar</a>'], 'photo_reference': 'AW30NDyA2VYQurNsU_7G8_sDJRry645tk2OmNLZoA_aRZnjabEjz5Vu75sJAwWaFdjnlh3j2qmBvX0LFj9wDAeunUnkNU4ZS5Gy_-Jv5xBTHyF-yeVeYJeVq54JewBr81gHmU-LGcNXWwWO63L4GDOCTJrrb3VEoT4Si9BWmEObAq3sxy5-y', 'width': 1530}]",ChIJD2mQzmzHmoARHsvyNbJh2dM,"{'compound_code': 'CJ58+37 Elk Grove, CA, USA', 'global_code': '84CWCJ58+37'}",4.2,ChIJD2mQzmzHmoARHsvyNbJh2dM,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",907.0,"9625 East Stockton Boulevard, Elk Grove",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.424932, 'lng': -121.387625}, 'viewport': {'northeast': {'lat': 38.4262100802915, 'lng': -121.3864798697085}, 'southwest': {'lat': 38.4235121197085, 'lng': -121.3891778302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Paesanos,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101991895847489471782"">April Cooke</a>'], 'photo_reference': 'AW30NDxpt5Pm1hVj4iYamXNCvUcbbC8lFawdVlPdXfy72h4SdkJE0tCeE2dq2A8WbiO7sIqbLetoJ5BbqfLdNDyw-2O5Ep8AyOK0RQvzzUy4wAGzEC0dyhcBztt4Z2V61f795wagRhuCtzP-i1yHq8szXByzHzXOF0DCGEYCwvVxhTbEx1ZR', 'width': 4032}]",ChIJ61-ZixzHmoARYUmxv1K1gdE,"{'compound_code': 'CJF6+XX Elk Grove, CA, USA', 'global_code': '84CWCJF6+XX'}",4.3,ChIJ61-ZixzHmoARYUmxv1K1gdE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",691.0,"8519 Bond Road #101, Elk Grove",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 38.4234036, 'lng': -121.3930878}, 'viewport': {'northeast': {'lat': 38.4248567302915, 'lng': -121.3916474697085}, 'southwest': {'lat': 38.4221587697085, 'lng': -121.3943454302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chick-fil-A,"[{'height': 2380, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101082950881040907848"">Ohh Russ Say it again</a>'], 'photo_reference': 'AW30NDzZVXqjiSvapcep6kFtFuPTwgHlgWjn8hr1UFtzyw21eQhBiq_YQeHhVJrVM5DHtzooPf-DM6pXt1O9y5RcddFil-UJMlsaZJxJ0M-59cavOsC6hK5yXdVD8c2bPXyAmDxnoNnjNOlUP841AN66K5JbfnOYoZ8HpGn-CsxQYd_PgpCa', 'width': 1553}]",ChIJpaCfNwLHmoARRMj-MT9V8Nw,"{'compound_code': 'CJF4+9Q Elk Grove, CA, USA', 'global_code': '84CWCJF4+9Q'}",4.6,ChIJpaCfNwLHmoARRMj-MT9V8Nw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2750.0,"8430 Bond Road, Elk Grove",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 38.4223972, 'lng': -121.404231}, 'viewport': {'northeast': {'lat': 38.4235616302915, 'lng': -121.4029228197085}, 'southwest': {'lat': 38.4208636697085, 'lng': -121.4056207802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Robin Gourmet Burgers and Brews,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105380820658391785194"">Red Robin Gourmet Burgers and Brews</a>'], 'photo_reference': 'AW30NDwz90sr_Xn71yZ_IjrEla7Tx507KjX8iYBgncur578p3xYvTSqvvuu1dsZ0rlssAnjDX_3ZOJMnwjERaFUOmCRm3fswN-3zpufx7AL33EKILMJAdnwJoblpqPm-H4TfpkYtfrurGJgYOWxOGB6K6qv2abI-LAA5icyQphEWNjC-GyqT', 'width': 1080}]",ChIJ5S31uVTGmoARb-3rUq12QDc,"{'compound_code': 'CHCW+X8 Elk Grove, CA, USA', 'global_code': '84CWCHCW+X8'}",4.0,ChIJ5S31uVTGmoARb-3rUq12QDc,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",2130.0,"8245 Laguna Boulevard, Elk Grove",{'open_now': True},2.0,
