business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.11554, 'lng': -117.0976534}, 'viewport': {'northeast': {'lat': 33.11689243029149, 'lng': -117.0961765697085}, 'southwest': {'lat': 33.11419446970849, 'lng': -117.0988745302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112765621982811071040"">Steve Austin Perez</a>'], 'photo_reference': 'AW30NDw_vj_mWpXuwikimDP-dJrzm9xmwXa5UKv5mQKgZ2NELv-3nVxpJoI2sSsMcCUGVUUQkksYEDYhnSHm52kkjWIcok9umTUGCvet5s8YQ1znldCTcSfKmX9GxJsThQMIvUiK7bZmJr1bnBjdzGU2st8BnQNeFUW0LOWqTDEFDT4J_B1M', 'width': 9248}]",ChIJ94mc-I3024AR2vokAASj75w,"{'compound_code': '4W82+6W Escondido, CA, USA', 'global_code': '85544W82+6W'}",2.0,4.3,ChIJ94mc-I3024AR2vokAASj75w,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1866.0,"1107 West Valley Parkway, Escondido",
OPERATIONAL,"{'location': {'lat': 33.11755700000001, 'lng': -117.086726}, 'viewport': {'northeast': {'lat': 33.1186982302915, 'lng': -117.0855313697085}, 'southwest': {'lat': 33.1160002697085, 'lng': -117.0882293302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mi Guadalajara Restaurant,{'open_now': True},"[{'height': 2898, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115360188194673732527"">Dan Edwards</a>'], 'photo_reference': 'AW30NDxm835OICfxBzRbjDmquK18A8Vr1dcvby41M5advoPstzFbL_ZM2LprkoLsRoE06ZeJf4t6BwmkM6ghqZVTZrMP6IWWn_ZZn1S8DigqI3XVijfSWm0g2vDSB3hryPPWqzq5HZtw2Lxog3FKOHVbH0psMrthlyUcyuscS2_0phel_jCh', 'width': 2898}]",ChIJm8bIzoT024ARxQy_WyTQElc,"{'compound_code': '4W97+28 Escondido, CA, USA', 'global_code': '85544W97+28'}",2.0,4.4,ChIJm8bIzoT024ARxQy_WyTQElc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1799.0,"525 West 2nd Avenue, Escondido",
OPERATIONAL,"{'location': {'lat': 33.14070129999999, 'lng': -117.0436325}, 'viewport': {'northeast': {'lat': 33.14207733029149, 'lng': -117.0421741697085}, 'southwest': {'lat': 33.13937936970849, 'lng': -117.0448721302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3578, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101551433241792476433"">Hakz olot</a>'], 'photo_reference': 'AW30NDz0CUyOaHRpagxBDg_9U4qYvza7xoaMIsCs97EcYSWvGUXEDi2jVWSLVwj25WF2Uhv5D_4XpEe--lJYqE2_7ctglVX_vPC9awLTpJo230Qcwt5aDAnUlcIAQYG-ZsjtJpzC6cELhhgrtdWivyhiUvM9KyxbrSSHhrUgswdr9c5eOCPa', 'width': 3120}]",ChIJQUxLKz3z24AR3-UKMqeY3Pg,"{'compound_code': '4XR4+7G Escondido, CA, USA', 'global_code': '85544XR4+7G'}",1.0,4.1,ChIJQUxLKz3z24AR3-UKMqeY3Pg,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",175.0,"2405 East Valley Parkway, Escondido",
OPERATIONAL,"{'location': {'lat': 33.1352093, 'lng': -117.0793445}, 'viewport': {'northeast': {'lat': 33.1367848302915, 'lng': -117.0780545697085}, 'southwest': {'lat': 33.1340868697085, 'lng': -117.0807525302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103278317069958273341"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDz37siYtX4MCo0Yz867Giqc7XHgOK276_uWATFuwCmUr-YZibzwUikS9rb_Aj-TYU2cuF-Pq0GC9D2Zgo5Fa3IlA7s9kqVBDcCBhSvSoyc-BLMypfBYkGU0Jg2dTaW2fmGmNYjClFU7Ezeb-0bhYjBuePWTdiHUblp1xxRJ08oFkwo3', 'width': 720}]",ChIJqaL9Vqf024ARHZ5f5RHterY,"{'compound_code': '4WPC+37 Escondido, CA, USA', 'global_code': '85544WPC+37'}",1.0,4.1,ChIJqaL9Vqf024ARHZ5f5RHterY,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",430.0,"675 East Lincoln Avenue, Escondido",
OPERATIONAL,"{'location': {'lat': 33.121226, 'lng': -117.081587}, 'viewport': {'northeast': {'lat': 33.1227007802915, 'lng': -117.0803302197085}, 'southwest': {'lat': 33.1200028197085, 'lng': -117.0830281802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hunsaker's,{'open_now': False},"[{'height': 1388, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104111246635874032234"">ZAGAT</a>'], 'photo_reference': 'AW30NDzTvc31Z8x1lxrrwLpzYk9vTxMfCxaOlDBz7nWqhm8DLVaANl7nht2YLlg2HykuE7xLOfDg8ZxjJpYojv-X-vJtIeOHUjkoncSgfg-6tlvdOFCNFUy2Zpi-WhUtEOljpc1nCXrl-jEDbr3qXN5f7hMzFDVQnnvNDeMGyy_W8uy39HSt', 'width': 2048}]",ChIJp1FQBJ3024ARvn3o9xYhpgs,"{'compound_code': '4WC9+F9 Escondido, CA, USA', 'global_code': '85544WC9+F9'}",3.0,4.6,ChIJp1FQBJ3024ARvn3o9xYhpgs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",226.0,"113 West Grand Avenue, Escondido",
OPERATIONAL,"{'location': {'lat': 33.1067716, 'lng': -117.0967838}, 'viewport': {'northeast': {'lat': 33.10893625, 'lng': -117.0951737197085}, 'southwest': {'lat': 33.10605005000001, 'lng': -117.0978716802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Vintana Wine + Dine,{'open_now': False},"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116396963051816212109"">Vintana Wine + Dine</a>'], 'photo_reference': 'AW30NDxKNKruiNKkHsc0a6U12nxSj8vFLb57qBKNDLZ4AJkffgog5dvW4zxaNrfSbQpQ9o2hR7KJOdkhrmeNgqaheKH-YbFFEDw5QD5HRxaeb5vLAxY7uasQWXi0t8ps7KvXQNE0nzdTrjh2Ko0cU_Ag8DiEBeRkSesdNiwmwODw1XzwSTz4', 'width': 1500}]",ChIJ2R1niIn024ARUTbpQ6TNOMo,"{'compound_code': '4W43+P7 Escondido, CA, USA', 'global_code': '85544W43+P7'}",3.0,4.5,ChIJ2R1niIn024ARUTbpQ6TNOMo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1515.0,"1205 Auto Park Way, Escondido",
OPERATIONAL,"{'location': {'lat': 33.1042779, 'lng': -117.077503}, 'viewport': {'northeast': {'lat': 33.10558668029149, 'lng': -117.0759813697085}, 'southwest': {'lat': 33.1028887197085, 'lng': -117.0786793302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Jimbo's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105692622384425495981"">Jimbo&#39;s</a>'], 'photo_reference': 'AW30NDxZSbwIVJxwbJaBmTvF2ybsZWDMR6e9l4As4DykkrUEdp2I2L3q8R6AyKiQvwNypJCCFVNo8yW4uCm8e7OfdVjq6gE2Kk2p-tyge6FLHvmwimHG-PxddzmPeH0DB7la2loCEj-G2SuHk4QtVI5kbCrKosjIi3n0EQoZjr0ENmdbU1Ek', 'width': 4032}]",ChIJpRN1KYfz24ARt1Dy_tqifes,"{'compound_code': '4W3C+PX Escondido, CA, USA', 'global_code': '85544W3C+PX'}",2.0,4.5,ChIJpRN1KYfz24ARt1Dy_tqifes,GOOGLE,"['bakery', 'supermarket', 'grocery_or_supermarket', 'store', 'health', 'restaurant', 'food', 'point_of_interest', 'establishment']",668.0,"1633 South Centre City Parkway, Escondido",
OPERATIONAL,"{'location': {'lat': 33.10449449999999, 'lng': -117.0768935}, 'viewport': {'northeast': {'lat': 33.1058031302915, 'lng': -117.0756274197085}, 'southwest': {'lat': 33.1031051697085, 'lng': -117.0783253802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2740, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101631960700929945920"">Robb Schreiber</a>'], 'photo_reference': 'AW30NDwdk5298kkgCiFqszlvDTF-G6OtVGCzH1eSBVefCeJIkCmApULNe1omj6MTFERzCoUfEKhaieaMtdydMKQpWUtdwD55ugC-P7F4DyR8vPzJ3o6smzCkplAWhhO8AMtk_sKVcgE-45AOAZKCG2Q9WE5jlhtBIxdV2cciMKbayfmW2naR', 'width': 2066}]",ChIJwRB2LIfz24AR24KqkQPslCs,"{'compound_code': '4W3F+Q6 Escondido, CA, USA', 'global_code': '85544W3F+Q6'}",1.0,4.1,ChIJwRB2LIfz24AR24KqkQPslCs,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",128.0,"1611 S Centre Parkway Suite A, Escondido",
OPERATIONAL,"{'location': {'lat': 33.1028939, 'lng': -117.0746306}, 'viewport': {'northeast': {'lat': 33.1041491302915, 'lng': -117.0732578197085}, 'southwest': {'lat': 33.1014511697085, 'lng': -117.0759557802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brigantine,{'open_now': True},"[{'height': 2355, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115545407482901840139"">Brigantine</a>'], 'photo_reference': 'AW30NDymP3tS9W5rRlEBLilXG8QvNTymwjFGOOTI801AyLFf9VzSqvR6GbKcxXLPylJ-TShc5BmFbAn9wdLDpfWmtZNXF0D5A-BhEJgc4Pfgn3akMq3P8vrPgZ0ctovzeqp578gvF6uVp4IOVHMHza4O_yg5SeXEgM0irDqG0oNNlPSsz3Fs', 'width': 3533}]",ChIJieEDiobz24ARQZQZBN_K_aQ,"{'compound_code': '4W3G+54 Escondido, CA, USA', 'global_code': '85544W3G+54'}",2.0,4.4,ChIJieEDiobz24ARQZQZBN_K_aQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1091.0,"421 West Felicita Avenue, Escondido",
OPERATIONAL,"{'location': {'lat': 33.1482859, 'lng': -117.1075305}, 'viewport': {'northeast': {'lat': 33.14955168029149, 'lng': -117.1061143697085}, 'southwest': {'lat': 33.1468537197085, 'lng': -117.1088123302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115911609347799304609"">Sellers</a>'], 'photo_reference': 'AW30NDwoj_XupXx99e--Evr_rJHUg8O2CI_E5E3v4cGVtViNKFJdCCU_4GTel5AKEVuvy8csf6d40k8OVZ1foGhQvi8sgydcWsN51wEN0zE4t_jFxYUUuT2r-akPf2DneySLcwfFsKeF_waa0lNnOtTfXQHIIT9SoLb5Ym5wxOoZyWCJYLP3', 'width': 3024}]",ChIJfdY2YDSL24AR1fN6usR2Cxw,"{'compound_code': '4VXR+8X Escondido, CA, USA', 'global_code': '85544VXR+8X'}",1.0,4.0,ChIJfdY2YDSL24AR1fN6usR2Cxw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",120.0,"1034 West El Norte Parkway Suite 1034, Escondido",
