business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level
OPERATIONAL,"{'location': {'lat': 44.065569, 'lng': -123.1029219}, 'viewport': {'northeast': {'lat': 44.0669999302915, 'lng': -123.1015833697085}, 'southwest': {'lat': 44.0643019697085, 'lng': -123.1042813302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Valley River Inn,{'open_now': True},"[{'height': 2688, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107488041150180599797"">Valley River Inn</a>'], 'photo_reference': 'AW30NDyAcqKNE_d82Wkp9xyGad2JJoLsqbGEmEeYhWcyq0dxwmZY7ir7j1epi8HhbNxRtVJqBFOVIttSkeu_06yKL7V0L2ChrM_IjcupEVRSyJTDaA_1yITRxr_QXTw2vTEHbesNDAqzSpBCzsunLOsmWyhWP0B_KimPov2BEpgWH7BdcP2t', 'width': 3585}]",ChIJ-VQptOMdwVQRH3qLER1hwq4,"{'compound_code': '3V8W+6R Eugene, OR, USA', 'global_code': '84PR3V8W+6R'}",4.0,ChIJ-VQptOMdwVQRH3qLER1hwq4,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1983,"1000 Valley River Way, Eugene",
OPERATIONAL,"{'location': {'lat': 44.0681158, 'lng': -123.1060016}, 'viewport': {'northeast': {'lat': 44.07009080000002, 'lng': -123.1024749}, 'southwest': {'lat': 44.06633239999999, 'lng': -123.1094897}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Valley River Center,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105928794283840728998"">Andrew G</a>'], 'photo_reference': 'AW30NDyR5jqAJF_Nhh2mSDlDSGhRa2ChHqebrGfLo94fi6f2IfdIM1TCFl9b046wDwHpT4WPmre7-0LjWU0VcEaQ8wltiooSyXmDnVuFIseaZ77IV6b3JO6EjmUYHT55yqw4zTzbmUR5lbxR_XMoMyTTB38vHXLQE_gujc9dMzAqAwrI3JwE', 'width': 4032}]",ChIJJdNcJuQdwVQR00WuCjzVp6M,"{'compound_code': '3V9V+6H Eugene, OR, USA', 'global_code': '84PR3V9V+6H'}",4.2,ChIJJdNcJuQdwVQR00WuCjzVp6M,GOOGLE,"['shopping_mall', 'clothing_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",7285,"293 Valley River Center, Eugene",
OPERATIONAL,"{'location': {'lat': 44.0452343, 'lng': -123.092164}, 'viewport': {'northeast': {'lat': 44.0466539802915, 'lng': -123.0907218697085}, 'southwest': {'lat': 44.0439560197085, 'lng': -123.0934198302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Falling Sky Brewing,{'open_now': False},"[{'height': 6656, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103122864801933058992"">Falling Sky Brewing</a>'], 'photo_reference': 'AW30NDz7nRyfHfnp5-U0to1Ia_Uphvw7Q3YscCEF80ETf7995Ld0Fjw5qqH7O0vC2IOBLN3ksiJRibqzkSV2I9P6r8G6HIonT8vbyyKZBkl6R3eUrW5hLXAaLHqg94sCks4CJlymH-94fUwDCTxA-7ArEG2sGDEQau26oklggkrS3Rr-omcG', 'width': 13312}]",ChIJ95aSzkEewVQRZ2IVA9gUgC8,"{'compound_code': '2WW5+34 Eugene, OR, USA', 'global_code': '84PR2WW5+34'}",4.4,ChIJ95aSzkEewVQRZ2IVA9gUgC8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",469,"1334 Oak Alley, Eugene",2.0
OPERATIONAL,"{'location': {'lat': 44.0259109, 'lng': -123.0930204}, 'viewport': {'northeast': {'lat': 44.02740018029149, 'lng': -123.0914871697085}, 'southwest': {'lat': 44.02470221970849, 'lng': -123.0941851302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Sunrise Asian Food Market,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110280008321584074912"">Shoi Suyama</a>'], 'photo_reference': 'AW30NDzFn_iIiZ7EQ6P0fWVb6D4ZmjnmyL5qiGzt-NS7tFFnfkokgaH2-Qgiz6OG4z5olMhVVtWaskYoIOYgl09tfTEqPF-45ekaEhxhTiqYVOPKpYUs84q5x75FvzvY4th7Jm0yN1h-65u1nV8QLMP_y_o16RnztKgeanTwLrRyza8o4Z5J', 'width': 3024}]",ChIJV60J2FQewVQRaS0AkJ0Tim0,"{'compound_code': '2WG4+9Q Eugene, OR, USA', 'global_code': '84PR2WG4+9Q'}",4.7,ChIJV60J2FQewVQRaS0AkJ0Tim0,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1322,"70 West 29th Avenue, Eugene",
OPERATIONAL,"{'location': {'lat': 44.0387077, 'lng': -123.0689468}, 'viewport': {'northeast': {'lat': 44.0401104802915, 'lng': -123.0675365197085}, 'southwest': {'lat': 44.0374125197085, 'lng': -123.0702344802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Beppe & Gianni's Trattoria,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104874684148313624406"">Sandra Moreno</a>'], 'photo_reference': 'AW30NDxJGBbRmvVub7J2FHDI3Ro3QbuOKK0_6WQr3rkP8gsD-SlvczsBjrzWEbnMmo9p_RqbLypl-46ODCnQYenc5VMwshDNXVXQ90c4UADmPretmexFG93OroeiSY1kwM94KDYQTb0mkPASeiLYD9cDVNAaiwPkmGaWXmawdsd3EoCfI8gc', 'width': 4032}]",ChIJC8c2UDEewVQR-7uM3edxkgA,"{'compound_code': '2WQJ+FC Eugene, OR, USA', 'global_code': '84PR2WQJ+FC'}",4.6,ChIJC8c2UDEewVQR-7uM3edxkgA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",910,"1646 East 19th Avenue, Eugene",3.0
OPERATIONAL,"{'location': {'lat': 44.0595785, 'lng': -123.0849541}, 'viewport': {'northeast': {'lat': 44.0611531302915, 'lng': -123.0835703697085}, 'southwest': {'lat': 44.0584551697085, 'lng': -123.0862683302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,McMenamins North Bank,{'open_now': True},"[{'height': 375, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115358044396596792326"">McMenamins North Bank</a>'], 'photo_reference': 'AW30NDxSb_q_vJWsSahpwS2sKm4gLq1quzvWeSXUrdlIpviF7qk9z9OGWnY6RErjxR6DirG0ScmrBmGkzMD-3oUZETguWTWDJzBa19aeRyn3T-Kb9HTwL-jEkaCJjLLQtUXg-TAHQoCdm0258eqDKjmOOMoYS6efOUX6lrFRZUJr3QKAtSaJ', 'width': 500}]",ChIJ28sqPQUewVQRi_dAaFstBfs,"{'compound_code': '3W58+R2 Eugene, OR, USA', 'global_code': '84PR3W58+R2'}",4.3,ChIJ28sqPQUewVQRi_dAaFstBfs,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2263,"22 Club Road, Eugene",2.0
OPERATIONAL,"{'location': {'lat': 44.058064, 'lng': -123.1114026}, 'viewport': {'northeast': {'lat': 44.0595282802915, 'lng': -123.1101658197085}, 'southwest': {'lat': 44.0568303197085, 'lng': -123.1128637802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The Better Living Room by Ninkasi Brewing,{'open_now': False},"[{'height': 667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111549823494356699827"">The Better Living Room by Ninkasi Brewing</a>'], 'photo_reference': 'AW30NDx_SaHLLjzbT3iEV36bCBYnA1XR2HEKAlt7KNmhbn4m98sg21ek3NLS-5w3CdAPrYP7BeJjmd44dqhuZ7GydfHv3NjlLrf9pldH6TfHWWjOWvQ-boiXZV-ScecyOxF37lyE2066rVqsL_Mk6kBe4uU9TZs9xH1y8AZ9fpnlx2JHZ3jt', 'width': 1000}]",ChIJj4VBPXQewVQRp9oe5fi9lqU,"{'compound_code': '3V5Q+6C Eugene, OR, USA', 'global_code': '84PR3V5Q+6C'}",4.5,ChIJj4VBPXQewVQRp9oe5fi9lqU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",453,"155 Blair Boulevard, Eugene",
OPERATIONAL,"{'location': {'lat': 44.0442361, 'lng': -123.080766}, 'viewport': {'northeast': {'lat': 44.0456753302915, 'lng': -123.0794096197085}, 'southwest': {'lat': 44.0429773697085, 'lng': -123.0821075802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pegasus Pizza,{'open_now': False},"[{'height': 450, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112280021791021291539"">Pegasus Pizza</a>'], 'photo_reference': 'AW30NDw_ffx4YPHoC1aCpgPadlZPhq2tju2HZ9QAUXCTOmVUkajxU9sv1KZtVldr7Zg1MAhCJ64E8S-FqJkwWg3xbD2FCt0CGlRAbFvMg-8DksofofI0HQbNKr94Q-o0i7akV2CdP8fXiXfKzpaPo3YyHoUAZ5Wxy05HaEWFzBOitmeAb-Y-', 'width': 600}]",ChIJzTocLDkewVQRvl7-RFWcnqQ,"{'compound_code': '2WV9+MM Eugene, OR, USA', 'global_code': '84PR2WV9+MM'}",4.2,ChIJzTocLDkewVQRvl7-RFWcnqQ,GOOGLE,"['meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",264,"790 East 14th Avenue, Eugene",2.0
OPERATIONAL,"{'location': {'lat': 44.049821, 'lng': -123.090191}, 'viewport': {'northeast': {'lat': 44.0511761802915, 'lng': -123.0889652697085}, 'southwest': {'lat': 44.0484782197085, 'lng': -123.0916632302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ambrosia Restaurant & Bar,{'open_now': False},"[{'height': 500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113508918855693907863"">Ambrosia Restaurant &amp; Bar</a>'], 'photo_reference': 'AW30NDwfZmnpLApPSdlhr8Mi_Lp4VkjKl9uoezctjptlqzUnM42kQ5bSy9OhFFmK0PzjHMgJQWLEaLNhq5dwK1xj6VpNJb3g81rQ9DVWSd1sRn-eQuL17s0YT8ZvYORG5tmd8FErsh6LilMdbgPwUBGz55Ejx8pGnOkTkwmGVNRWf54xJhNv', 'width': 800}]",ChIJ_cSW5RQewVQRbC5MkRJDfoU,"{'compound_code': '2WX5+WW Eugene, OR, USA', 'global_code': '84PR2WX5+WW'}",4.2,ChIJ_cSW5RQewVQRbC5MkRJDfoU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",541,"174 East Broadway, Eugene",3.0
OPERATIONAL,"{'location': {'lat': 44.0423534, 'lng': -123.0925863}, 'viewport': {'northeast': {'lat': 44.04382398029151, 'lng': -123.0912704697085}, 'southwest': {'lat': 44.04112601970851, 'lng': -123.0939684302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,The Bier Stein,{'open_now': True},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109671738535809578834"">A.L. Young</a>'], 'photo_reference': 'AW30NDwVq8ITTPcwWJoUyCdiFsGEEcYLexQyDUULeDCKXw_cYW6T_pDWur96KFxgkx4ocTorSkAq9uKYtpcpq24LUHmZ7aoKYTefnjzSP-FcCuawNdvxl49-EPhyUVksK_S-7N-3T0xJNwRHnV56-UUYW6it0C6SBTVJUGcoNThzCgDnM7in', 'width': 2604}]",ChIJ92vW2EMewVQRGvUnuOnPXCw,"{'compound_code': '2WR4+WX Eugene, OR, USA', 'global_code': '84PR2WR4+WX'}",4.6,ChIJ92vW2EMewVQRGvUnuOnPXCw,GOOGLE,"['liquor_store', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2173,"1591 Willamette Street, Eugene",
