business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.9844168, 'lng': -87.4955784}, 'viewport': {'northeast': {'lat': 37.9854530302915, 'lng': -87.4944993197085}, 'southwest': {'lat': 37.9827550697085, 'lng': -87.4971972802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Eastland Mall,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103194701175067091205"">John Lopez</a>'], 'photo_reference': 'AW30NDyOW4iDh6spcgz8jhowJ7JXK9e0LEr4AozLPk-gx7kR1D2tBjNquYKFTpW6KGsX66qCzg-XtD3oamXTvdY1VF1ppKCnmFfyXNsMQ3FrnT9ZIrLJz6mMInEB0qAyJEBPLK7ov2Eie2aXdmReejCC1b6blBJamM0GGIrGg9JzEL-D0ktM', 'width': 3024}]",ChIJJ6YNOAMrbogRuIhlnSkyW1E,"{'compound_code': 'XGM3+QQ Evansville, IN, USA', 'global_code': '869JXGM3+QQ'}",4.2,ChIJJ6YNOAMrbogRuIhlnSkyW1E,GOOGLE,"['shopping_mall', 'clothing_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",7096.0,"800 North Green River Road, Evansville",,
OPERATIONAL,"{'location': {'lat': 37.9744736, 'lng': -87.45629459999999}, 'viewport': {'northeast': {'lat': 37.9758177802915, 'lng': -87.45518706970849}, 'southwest': {'lat': 37.9731198197085, 'lng': -87.45788503029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Great American Grill,{'open_now': True},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107807361403884174911"">Great American Grill</a>'], 'photo_reference': 'AW30NDwMZeGvPiMiM-2mz-KzcTnhDO7La_XqLNsNQAKUvdfsnEF9jL_7ZIQMIFBTfaBlN6UEsCapWpZKilfGlrvPMoYzT78V9moxS2MSJyLfv_FWDSS1_6SZiMuuIyf_76J6XCVHVWDIKxmxvFdSAI-_CphDiQwPY-qs7FjnZK-B4SRiIylx', 'width': 1022}]",ChIJ5-VqIZ8sbogRF2WOsZa4FBs,"{'compound_code': 'XGFV+QF Evansville, IN, USA', 'global_code': '869JXGFV+QF'}",3.3,ChIJ5-VqIZ8sbogRF2WOsZa4FBs,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.0,"220 Eagle Crest Drive, Evansville",,
OPERATIONAL,"{'location': {'lat': 37.9757886, 'lng': -87.4730235}, 'viewport': {'northeast': {'lat': 37.9771990302915, 'lng': -87.47167956970848}, 'southwest': {'lat': 37.9745010697085, 'lng': -87.4743775302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bonefish Grill,{'open_now': True},"[{'height': 2685, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115223969079089278574"">Adam Paris</a>'], 'photo_reference': 'AW30NDzstkesNNC-tJ6YArL_mOJtctxL7XbV9IXuIpNi31cKSDjjEI4wVS7eNovQfPdzwXHkcm5tfbbVhTPkD09Ht29JjOel6Jetrzy9_Jtwe47pP4gsT2_SN2Ras4owUZqyBQhCuUbo2toRBPRRzMUAZAxg7K8jnSg7vBqvjE7GGyN_BQIy', 'width': 2170}]",ChIJg_Wny2krbogR21iQ03LZdqg,"{'compound_code': 'XGGG+8Q Evansville, IN, USA', 'global_code': '869JXGGG+8Q'}",4.5,ChIJg_Wny2krbogR21iQ03LZdqg,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1000.0,"6401 East Lloyd Expressway, Evansville",2.0,
OPERATIONAL,"{'location': {'lat': 37.98154389999999, 'lng': -87.5640243}, 'viewport': {'northeast': {'lat': 37.98289863029149, 'lng': -87.5626060197085}, 'southwest': {'lat': 37.98020066970849, 'lng': -87.5653039802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Turoni's Pizzery & Brewery,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101492107628420092262"">Julie Taeko</a>'], 'photo_reference': 'AW30NDy_ZbycXz90AEcFZO6qEf39M6zb33aHZx8UfAQNrjQBpPaZYcUxYMrzbrF5a0gpJ3B6X-q26PnHIUy28DEPl3vyagembSaN09Y67L7ZZwjKRYTecpQnoT6gLlN8vDxREb9O_m_pA_nPbi3wPus9dDc-6G6xE6-yulW0mGXqthYJySDG', 'width': 4032}]",ChIJ1-ty3BPVcYgRNfWNmzPMiFA,"{'compound_code': 'XCJP+J9 Evansville, IN, USA', 'global_code': '869JXCJP+J9'}",4.6,ChIJ1-ty3BPVcYgRNfWNmzPMiFA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",983.0,"408 North Main Street, Evansville",2.0,
OPERATIONAL,"{'location': {'lat': 37.9709559, 'lng': -87.5719416}, 'viewport': {'northeast': {'lat': 37.97229748029149, 'lng': -87.57067646970849}, 'southwest': {'lat': 37.9695995197085, 'lng': -87.5733744302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117916411955421813182"">Brendan Gutenschwager</a>'], 'photo_reference': 'AW30NDxWqFip2vkpGs-so3PGghfgp71hbEtfFsXeDLg9BjtQ_fugp_Eir3Xn11uVvL5qrodEw7-hMiP74_LTkJB_fJqYbUyjcvTFtavIfvNPFjO4sFCXEOEKQ8ZNBD2_f1b2gWmnVCECYz7Ibgnw1Qo_y03ZQxkLRK2cv8NYRWS5oKIwiqdt', 'width': 4032}]",ChIJ3csOpCPVcYgR6qbJUT1jzdE,"{'compound_code': 'XCCH+96 Evansville, IN, USA', 'global_code': '869JXCCH+96'}",3.6,ChIJ3csOpCPVcYgR6qbJUT1jzdE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",99.0,"301 Main Street, Evansville",1.0,
OPERATIONAL,"{'location': {'lat': 37.9733023, 'lng': -87.55552449999999}, 'viewport': {'northeast': {'lat': 37.97481408029149, 'lng': -87.5541795197085}, 'southwest': {'lat': 37.9721161197085, 'lng': -87.5568774802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107285874807983799958"">Subway</a>'], 'photo_reference': 'AW30NDzXF1GoTtfTIMNVTYJOsaDBKqR9sB7ci1JO2qTMF5Rlnb6PmlfQ2aCpaU8cANLK4ij_PlS43xj10k8TcWox55C41cPbsui3bDC3dau4xxpZgRmyOgQZH0VlMXvt_4u61HGnMcPr4Sf3gatWYQfR4eFMwQ6PyeIrCWz-AB2qmBgBCekb', 'width': 1763}]",ChIJW7Wa8UHVcYgRLasnKKthWas,"{'compound_code': 'XCFV+8Q Evansville, IN, USA', 'global_code': '869JXCFV+8Q'}",4.2,ChIJW7Wa8UHVcYgRLasnKKthWas,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",177.0,"631 East Walnut Street, Evansville",1.0,
OPERATIONAL,"{'location': {'lat': 37.985092, 'lng': -87.49445899999999}, 'viewport': {'northeast': {'lat': 37.9863590802915, 'lng': -87.4930525197085}, 'southwest': {'lat': 37.9836611197085, 'lng': -87.4957504802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,TGI Fridays,{'open_now': True},"[{'height': 2131, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104305292553567707082"">My Videos</a>'], 'photo_reference': 'AW30NDy-eZ93x8SQF43D9VWXz_7EVH-N9g7qPt-bVrJA2pyTS9zpza6H50eV6MrfO4KSEXxm8d-zk_xPAbPO28jkzcZpzAtPggnmt-UyQ238JS4YGFGLFwbFwQlffZdDVtsWg1AJR6cTpzX5VjfA8lD-yfYUBO3IH1nB1fpNbBn9eRbCvA5f', 'width': 3215}]",ChIJv5KriBwrbogRKE0u8WwcO5g,"{'compound_code': 'XGP4+26 Evansville, IN, USA', 'global_code': '869JXGP4+26'}",3.9,ChIJv5KriBwrbogRKE0u8WwcO5g,GOOGLE,"['restaurant', 'meal_takeaway', 'bar', 'food', 'point_of_interest', 'establishment']",998.0,"800 North Green River Road #101, Evansville",2.0,
OPERATIONAL,"{'location': {'lat': 37.9750868, 'lng': -87.49213329999999}, 'viewport': {'northeast': {'lat': 37.97654018029149, 'lng': -87.4908195197085}, 'southwest': {'lat': 37.9738422197085, 'lng': -87.4935174802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109385175436324963995"">Elaine Ogg</a>'], 'photo_reference': 'AW30NDyKoKwqLk9wrscSHUd3tZe-mWflV7kWHghI3fkqfbTNCAhZ-vKeMbA9OAhwI3u3wv8A-z4yB8VmpnYcVbqMIr5hnpD6S-4zznpF1-APRAMLwbqk0nFspTHmsmuIjiaNu9STuiFLxKSkkBbTXTZ25CjX5-ge-uuGtZIBc5AOJb0-BjAK', 'width': 2988}]",ChIJ-e4OWhgrbogRqk7A5CXGyg0,"{'compound_code': 'XGG5+24 Evansville, IN, USA', 'global_code': '869JXGG5+24'}",3.8,ChIJ-e4OWhgrbogRqk7A5CXGyg0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",141.0,"200 South Green River Road Suite C, Evansville",1.0,
OPERATIONAL,"{'location': {'lat': 37.9990138, 'lng': -87.5549776}, 'viewport': {'northeast': {'lat': 38.0003840302915, 'lng': -87.55384836970849}, 'southwest': {'lat': 37.9976860697085, 'lng': -87.5565463302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100610717839641061367"">Mariah</a>'], 'photo_reference': 'AW30NDxvbxQTeAvgNS6bVrEwAUCnQzS1XsqGn9033KnVaqDpdmB3xj3WpD8E4TqiFWGN9Zkg9DI1c0KxShs2_9w2DCIueBqDFyC1PkktkSTU5P7nSXalat2q8a4f-p4ZF0L2eZRox-IHDfWA1DFU5HbCFVh_XQz6rS1DrKIIGz5Bje3SKoN8', 'width': 3456}]",ChIJP-FpmJ7VcYgRSsMLwaemIB0,"{'compound_code': 'XCXW+J2 Evansville, IN, USA', 'global_code': '869JXCXW+J2'}",3.7,ChIJP-FpmJ7VcYgRSsMLwaemIB0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",80.0,"611 East Diamond Avenue, Evansville",1.0,
OPERATIONAL,"{'location': {'lat': 37.96961689999999, 'lng': -87.53417929999999}, 'viewport': {'northeast': {'lat': 37.9710223302915, 'lng': -87.53273311970848}, 'southwest': {'lat': 37.9683243697085, 'lng': -87.5354310802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111472897226622447476"">Mary Barton</a>'], 'photo_reference': 'AW30NDyTEoXGF6evrbljPCvSuvS9V8h7hzE1fNb4rzxFVRyMQdxOM5EJHjsP6YFrfshOwmMzcLxZd0-_nhTuNxBQytpTxngfgXLb0CuCSAJS3PJYpKqeOhBJf6AZA8194NdL6nCQXtEgfm0YiFZkcNqtgvIXt7dNFeE3JY3Ucq9SFJebZnRm', 'width': 2576}]",ChIJKVDGt7wqbogRD0j8SmjIqqg,"{'compound_code': 'XF98+R8 Evansville, IN, USA', 'global_code': '869JXF98+R8'}",3.8,ChIJKVDGt7wqbogRD0j8SmjIqqg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",199.0,"1677 Lincoln Avenue, Evansville",1.0,
