business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 47.949669, 'lng': -122.2132468}, 'viewport': {'northeast': {'lat': 47.95101708029149, 'lng': -122.2120331197085}, 'southwest': {'lat': 47.9483191197085, 'lng': -122.2147310802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 1043, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118403607824554755519"">Ralph Lundvall</a>'], 'photo_reference': 'AW30NDxFZWn9Tg6mItqCfhK5dFKhyPWDQtqQndlVBpTO5gqBUdHcobCk4qb8D8eLqLTDuu6rcG6UcYMe2BOFkcdDBnZ-yV_rwa7PGAPsGblNzsxFKU9kbwiMDmmItFan5sTcLZzmNLMNdXuXHDHkNxqafwnFNFz9NaMWCmvk0zyr2mkiH_CO', 'width': 1676}]",ChIJD24Rbo4AkFQRiEUV0e1hB3g,"{'compound_code': 'WQXP+VP Everett, WA, USA', 'global_code': '84VVWQXP+VP'}",1.0,3.2,ChIJD24Rbo4AkFQRiEUV0e1hB3g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",217.0,"5129 Evergreen Way, Everett",
OPERATIONAL,"{'location': {'lat': 47.9110634, 'lng': -122.2135425}, 'viewport': {'northeast': {'lat': 47.91246813029149, 'lng': -122.2122188197085}, 'southwest': {'lat': 47.9097701697085, 'lng': -122.2149167802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100398311083295527567"">Al Season</a>'], 'photo_reference': 'AW30NDxgs_gJH8oCNWgTepSyr11nPV8MJ0V4axc724f5ykeP6VV0DOZb5pkMNa4Zuwa-L7gn9hxdyFMzpw6gShX-6IZEds-A8cHqmjX2cbkRjgry2-MmgyMrcWHFnf2-N6m0VwEjXxoqfHtx82tIjUV7vCb3Tfe-B2XK2-63YU_YK1P6eY52', 'width': 3024}]",ChIJSQiqiSoHkFQRqkpCTj50krM,"{'compound_code': 'WQ6P+CH Everett, WA, USA', 'global_code': '84VVWQ6P+CH'}",1.0,3.9,ChIJSQiqiSoHkFQRqkpCTj50krM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",203.0,"1402 Southeast Everett Mall Way, Everett",
OPERATIONAL,"{'location': {'lat': 47.97890429999999, 'lng': -122.1926487}, 'viewport': {'northeast': {'lat': 47.98035273029149, 'lng': -122.1912569697085}, 'southwest': {'lat': 47.9776547697085, 'lng': -122.1939549302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Terracotta Red,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109105172469719080185"">Kay</a>'], 'photo_reference': 'AW30NDykmaD3nkWRXkhAgVKkV9sKGAfemPFtSlklqZMJuuAB52G81laCZqqqJQzcZQ2xjc260YB3ovL9SRROBaW1qvhp2P1cfbbaZca_00uLadowoEgO-pShXUZ4GLjI8NHx1_YlohrCg1QOn_rpqtjOME7IYFWOLb3CFRKu1PUQGq1qUEip', 'width': 4032}]",ChIJBWApN5KqmlQRGoW1XHc8mqM,"{'compound_code': 'XRH4+HW Everett, WA, USA', 'global_code': '84VVXRH4+HW'}",2.0,4.4,ChIJBWApN5KqmlQRGoW1XHc8mqM,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1131.0,"2820 Hewitt Avenue, Everett",
OPERATIONAL,"{'location': {'lat': 47.9290183, 'lng': -122.2190252}, 'viewport': {'northeast': {'lat': 47.93039978029151, 'lng': -122.2178308197085}, 'southwest': {'lat': 47.92770181970851, 'lng': -122.2205287802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103296261380496918298"">Richard “Tony” Anthonissen</a>'], 'photo_reference': 'AW30NDwt3fO10MZRlEv2lGBlylZBH9KRcFtEMhazjq9NYOzk2zgbCDmAD2XwA1wH90JrEBlRkwMlpO8-6GWaejdcoy7pnECIGKn6evIilHEYVcDRcvKXk1xJjffPjEUwB8yFUuU9V3gp9X9N76sdmPCNHwJjW28WJTiNk3EOmNyhb2gtQibw', 'width': 4032}]",ChIJzSvSZdsAkFQRukuzQnGrQoU,"{'compound_code': 'WQHJ+J9 Everett, WA, USA', 'global_code': '84VVWQHJ+J9'}",1.0,3.3,ChIJzSvSZdsAkFQRukuzQnGrQoU,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",355.0,"7601 Evergreen Way, Everett",
OPERATIONAL,"{'location': {'lat': 47.9442695, 'lng': -122.2163665}, 'viewport': {'northeast': {'lat': 47.9455868302915, 'lng': -122.2150946197085}, 'southwest': {'lat': 47.9428888697085, 'lng': -122.2177925802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wienerschnitzel,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111716499194486829271"">Todd DePauw</a>'], 'photo_reference': 'AW30NDxFZ1KATmapDAKaE40BQpdKQKOCl98dbZVKV9noyOPlcF9r_hSdFFVy9SfK4Cw98fqQqks2EFtjABwjZ2xxSGh2GOEPKCF-lyO7BnSoh4Q5VlYQMQgNmTiuyGhtmeR30IjDdAFBE5S_5MOEUwG-OzMu82tVv93o7j4zL3CUl52ZZw_v', 'width': 1920}]",ChIJvR65J5MAkFQRNtDHl2P_e6w,"{'compound_code': 'WQVM+PF Everett, WA, USA', 'global_code': '84VVWQVM+PF'}",1.0,4.4,ChIJvR65J5MAkFQRNtDHl2P_e6w,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1697.0,"5905 Evergreen Way, Everett",
OPERATIONAL,"{'location': {'lat': 47.97927399999999, 'lng': -122.192185}, 'viewport': {'northeast': {'lat': 47.98053428029149, 'lng': -122.1908944197085}, 'southwest': {'lat': 47.97783631970849, 'lng': -122.1935923802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buck's American Cafe,{'open_now': True},"[{'height': 300, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106045755452994982249"">Buck&#39;s American Cafe</a>'], 'photo_reference': 'AW30NDymkHnAkKY8i1Bd5KQOkJGRwHafWcWMpiJNVnHcqSLLKaJ0IOuWAM4pwZ6459OPbgKyARzQOvIMjDnAPhSGED8z_IlBNWCz7osroVutX92prnzE0STh9iDfF8v52B5ON_GuVusCs5tIoxEPM1oOx1iPClZ17pnwpi7nGbeHDO31sQVi', 'width': 850}]",ChIJ00eUTJKqmlQRWLuou4tmiJE,"{'compound_code': 'XRH5+P4 Everett, WA, USA', 'global_code': '84VVXRH5+P4'}",2.0,4.4,ChIJ00eUTJKqmlQRWLuou4tmiJE,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1009.0,"2901 Hewitt Avenue, Everett",
OPERATIONAL,"{'location': {'lat': 47.9793856, 'lng': -122.2031994}, 'viewport': {'northeast': {'lat': 47.9806752802915, 'lng': -122.2018660697085}, 'southwest': {'lat': 47.9779773197085, 'lng': -122.2045640302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brooklyn Bros. Pizzeria,{'open_now': False},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110949284607338877733"">Michael Cady</a>'], 'photo_reference': 'AW30NDx2QsGv8Srg3Obpkt2LC_Iekn60EfVMK6PRE3HI5zJ3-G5NBKUQppM7N0EyIazMwlYy-0tyXP2Bq4SM__5QqPOYOhX6X7EahhaeaP3VNUbloqgH7-HfwQXkeoYfbdNP93HPz8XINR2gtM6I1debAC7k4c8fflcZESh35Ly2aWBD0vnT', 'width': 4608}]",ChIJE-1wT5eqmlQR4avnVZt_gQI,"{'compound_code': 'XQHW+QP Everett, WA, USA', 'global_code': '84VVXQHW+QP'}",2.0,4.5,ChIJE-1wT5eqmlQR4avnVZt_gQI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1841.0,"1919 Hewitt Avenue, Everett",
OPERATIONAL,"{'location': {'lat': 47.9783928, 'lng': -122.2088797}, 'viewport': {'northeast': {'lat': 47.97973853029151, 'lng': -122.2073950697085}, 'southwest': {'lat': 47.97704056970851, 'lng': -122.2100930302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Phở Hà,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115441103999771328906"">Rob Alinder</a>'], 'photo_reference': 'AW30NDzwb-lSi9IsEaWWgcfD8k5aMLGyqmAufnKiZrywzIE9Glb2v3kExic_nHW82LEek2GhgMrxKWhLecTLy623B4AQ53yakZFMXOR9RsmNrhyniY_giapGgqo5Em9zrIS2lbgwHiG5jiD5_et9V-RIzPLVdzUVg5IU6-WTYTP8ZWrfLVPp', 'width': 3057}]",ChIJ9bzxdJmqmlQRr2MHrltenbM,"{'compound_code': 'XQHR+9C Everett, WA, USA', 'global_code': '84VVXQHR+9C'}",1.0,4.3,ChIJ9bzxdJmqmlQRr2MHrltenbM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",341.0,"2930 Colby Avenue, Everett",
OPERATIONAL,"{'location': {'lat': 47.95322909999999, 'lng': -122.213856}, 'viewport': {'northeast': {'lat': 47.9545512802915, 'lng': -122.2122762697085}, 'southwest': {'lat': 47.9518533197085, 'lng': -122.2149742302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112419936548875284834"">Kathy F</a>'], 'photo_reference': 'AW30NDzWkKJoULSCowU8vgsDaDdTT5IAMgsHhbuxbrC_B_znmZ6JSYmppjbpfX5XPOrfqCKwC8VUjLTMnGh_1wW5ib85CrxABJSudGyFumuh2rxOmB4lkHoCdsWW7F5rgN-Jgm54fJwYnb-ppy04tMrAhkiomm221NaXwq5Bi4GTH5TjlhLP', 'width': 3264}]",ChIJxwd_uYgAkFQRR4DpA2LnzaQ,"{'compound_code': 'XQ3P+7F Everett, WA, USA', 'global_code': '84VVXQ3P+7F'}",1.0,3.4,ChIJxwd_uYgAkFQRR4DpA2LnzaQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",325.0,"4830 Evergreen Way, Everett",
OPERATIONAL,"{'location': {'lat': 47.975534, 'lng': -122.201125}, 'viewport': {'northeast': {'lat': 47.9768800302915, 'lng': -122.1999206197085}, 'southwest': {'lat': 47.9741820697085, 'lng': -122.2026185802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jade Garden Chinese Restaurant & Lounge,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105030660827831526533"">Jade Garden Chinese Restaurant &amp; Lounge</a>'], 'photo_reference': 'AW30NDxg6hB1VGaUYjGWC8aYCfdtWttY24nNPMGycd991ipflGl3iUS0Wp2azwB-cmdsSHT78k2ffHen7Qz-VjLho1P6BQvVApHgx_YSwImRIZ7Hhmt2ttvB_NBCi5AZzJoZr1-ZGRtIk5ZrIDDJNrQzD26DyJihKuUfRb_AYKBLCMNGZnju', 'width': 1440}]",ChIJfbVll5qqmlQRGvrdpYAiIts,"{'compound_code': 'XQGX+6G Everett, WA, USA', 'global_code': '84VVXQGX+6G'}",1.0,3.9,ChIJfbVll5qqmlQRGvrdpYAiIts,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",242.0,"3133 Broadway, Everett",
