business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.2608758, 'lng': -122.0547584}, 'viewport': {'northeast': {'lat': 38.2622016802915, 'lng': -122.0535140197085}, 'southwest': {'lat': 38.2595037197085, 'lng': -122.0562119802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109716531437398539245"">ROADBEAR</a>'], 'photo_reference': 'AW30NDyr7qK98irN_IfhaWUzWcrvuvLrEP0jmGcNYa34FVAZCitI4pUUOkeEX69qhSK3WqgAaPZ1_ogyX0ZfgWgt20L9aRpFmHzdAXpissJ1H6xa6GMJb1TGT0FaWVZgoFqqet8Kb4lbDN495jX2jxEcY5bevaYKHOlqKOwmSIIIeeG_zFY1', 'width': 5312}]",ChIJy4De8yYUhYARu9yFuCkcfZA,"{'compound_code': '7W6W+93 Fairfield, CA, USA', 'global_code': '84CV7W6W+93'}",2.0,3.4,ChIJy4De8yYUhYARu9yFuCkcfZA,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",809.0,"1350 Travis Boulevard #1510, Fairfield",
OPERATIONAL,"{'location': {'lat': 38.2600628, 'lng': -122.0537367}, 'viewport': {'northeast': {'lat': 38.2618768802915, 'lng': -122.0520426697085}, 'southwest': {'lat': 38.2591789197085, 'lng': -122.0547406302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hot Dog on a Stick,{'open_now': True},"[{'height': 2225, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113098405004390985843"">Caitlyn</a>'], 'photo_reference': 'AW30NDzoMTrmN0BE3_bJfBpxAcnwrPQZ9yJRdsRpRh1f2QRb0Lk6_UQozWn0zRNb4-lwsn_QBl7IeXK1cU2GXhlGkTKU-VJgYcywayCfBdq1jkc6drAigxiLY7gOG3Xyo9n_KAyggo8vQWD7WP90-9pr4hiy9a-exxTiwlZ-FEde4bYXW3bb', 'width': 3145}]",ChIJpduftiYUhYARKYRAeg9iGTk,"{'compound_code': '7W6W+2G Fairfield, CA, USA', 'global_code': '84CV7W6W+2G'}",1.0,3.7,ChIJpduftiYUhYARKYRAeg9iGTk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",32.0,"1350 Travis Boulevard #1515, Fairfield",
OPERATIONAL,"{'location': {'lat': 38.2604316, 'lng': -122.0518503}, 'viewport': {'northeast': {'lat': 38.26189078029149, 'lng': -122.0505984197085}, 'southwest': {'lat': 38.2591928197085, 'lng': -122.0532963802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': False},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115152153306735818212"">Jun Lee</a>'], 'photo_reference': 'AW30NDzLzuHggFb0HJwsSdGAgblGqfXu0JdpGPhVG_l_CSssCP8ljJx4su2yXqX3q3D6fxoSsvNu5ECFN7izPIvuWyE16e8CXBonpHxWVx-y0JDLM0L3JshbJ497Y-UQnUcr9hw_5z3lKEEdpn4dfcKmk4cM3niwp9yGd6wr_iDg2c7NMXLX', 'width': 4160}]",ChIJy4De8yYUhYAREC3GdoOZ4Dw,"{'compound_code': '7W6X+57 Fairfield, CA, USA', 'global_code': '84CV7W6X+57'}",1.0,3.2,ChIJy4De8yYUhYAREC3GdoOZ4Dw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",40.0,"1350 Travis Boulevard, Fairfield",
OPERATIONAL,"{'location': {'lat': 38.289624, 'lng': -122.034869}, 'viewport': {'northeast': {'lat': 38.2909152302915, 'lng': -122.0335050197085}, 'southwest': {'lat': 38.2882172697085, 'lng': -122.0362029802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108940768559879205722"">Patrick Desjardins</a>'], 'photo_reference': 'AW30NDwttcrqk-pU_0bKUqUZhwdkXfazm3LMBMMUty8kKkJPcUYaYZgXt33LvcKv9gYZ9EnwJupurJvOr_Ug_k6UT8bQJugwgleGv2rupaEY1QBVniRchxkk585u3S0GO9ELBuH7-FqO9bnghnu2dSi5jH74JPUFnbbW6KLyoAzO244hjmWA', 'width': 4080}]",ChIJT60_MF4WhYARg5-gmG8RsPA,"{'compound_code': '7XQ8+R3 Fairfield, CA, USA', 'global_code': '84CV7XQ8+R3'}",2.0,4.3,ChIJT60_MF4WhYARg5-gmG8RsPA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4993.0,"3333 North Texas Street, Fairfield",
OPERATIONAL,"{'location': {'lat': 38.2616333, 'lng': -122.0584716}, 'viewport': {'northeast': {'lat': 38.2629341302915, 'lng': -122.0569886697085}, 'southwest': {'lat': 38.2602361697085, 'lng': -122.0596866302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 5472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115693298549985980615"">Kyle Cunningham</a>'], 'photo_reference': 'AW30NDyLp532EvIZEazJ_RQNEKGuym47_dJ030nIfemDuYaBy9gwl-UqmzZj8oT6RfGgKzHSUGxfIlfcTr-Brl-UBwerbtAx6bn2Auix7Sm22bYVVeXxwHxR8dVoKZxHtgUrdjMXuGQSk5H36y5-JN2mv9EnMj-bIV3Sl_fgGKpiMXaQ0THn', 'width': 3648}]",ChIJqWAg5SAUhYAR8XYntaqIj0o,"{'compound_code': '7W6R+MJ Fairfield, CA, USA', 'global_code': '84CV7W6R+MJ'}",1.0,3.8,ChIJqWAg5SAUhYAR8XYntaqIj0o,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",615.0,"1586 Gateway Boulevard Ste B, Fairfield",
CLOSED_TEMPORARILY,"{'location': {'lat': 38.25764909999999, 'lng': -122.0668278}, 'viewport': {'northeast': {'lat': 38.2590884802915, 'lng': -122.0655742197085}, 'southwest': {'lat': 38.2563905197085, 'lng': -122.0682721802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104831464386866161205"">Ron Allan</a>'], 'photo_reference': 'AW30NDyIYJHBdyHK1Obel9AUYs9HZVnlCJjiMiT-HzD49E5SxY-w98Tx5ZgcThft_6-t5-Lkna9RxiGnyp7cEcUHV5gt7FIz96k-Oamnqf7FwPoosTcFAVGbSFozIo0SogN_sEcU__JzdDT2CELN4CnKb6rCZi9eL08Ayt2ly2H65C9h4WcA', 'width': 2048}]",ChIJS5UV0R0UhYARi0SsC_QoBEg,"{'compound_code': '7W5M+37 Fairfield, CA, USA', 'global_code': '84CV7W5M+37'}",1.0,3.6,ChIJS5UV0R0UhYARi0SsC_QoBEg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",55.0,"3089 Travis Boulevard, Fairfield",True
OPERATIONAL,"{'location': {'lat': 38.2573048, 'lng': -122.0646798}, 'viewport': {'northeast': {'lat': 38.25864973029149, 'lng': -122.0634673697085}, 'southwest': {'lat': 38.2559517697085, 'lng': -122.0661653302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112321921420067193686"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDwT9s6jY93RXO3r3G4-W6pTKQ-SggN0nkWAlPu_IzlIIPzf-vCdf7_DuR9Nw24UvODT9LJQkqlTimuuMCICCnb7bcJGlIkcWGsZfVllONXqAhlI7AHs8gIUR5l_Pg2IsWqycBdLaJWFmddOXWGiJfoIjvkGxJjbr49yBJEc1YoiYiyy', 'width': 1337}]",ChIJV1JXwx4UhYARZvzxlqD8AJ0,"{'compound_code': '7W4P+W4 Fairfield, CA, USA', 'global_code': '84CV7W4P+W4'}",1.0,4.5,ChIJV1JXwx4UhYARZvzxlqD8AJ0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4093.0,"1364 Holiday Lane, Fairfield",
OPERATIONAL,"{'location': {'lat': 38.2899571, 'lng': -122.0336231}, 'viewport': {'northeast': {'lat': 38.2913481302915, 'lng': -122.0321821197085}, 'southwest': {'lat': 38.2886501697085, 'lng': -122.0348800802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105402092152536511908"">Leo M</a>'], 'photo_reference': 'AW30NDwB--XU4Yh1q7uqvspeRfvsPkOlwNMFL-vsYNA-Cs4D2MXsoSwqO9E-_YxadPoca6NYFiQY7I7txSAJRY-PlHRw8sFCHVQteyiUIFPr5yTRhRybv5iP0xQZWqq8MVcUMyMNxGACfBKLXTt5JzXzcXpqpxc8Uo96cO7CgPcguG9jwnPv', 'width': 5312}]",ChIJZTOjG14WhYARJ6ZmbT8j0Vo,"{'compound_code': '7XQ8+XH Fairfield, CA, USA', 'global_code': '84CV7XQ8+XH'}",1.0,4.1,ChIJZTOjG14WhYARJ6ZmbT8j0Vo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",126.0,"3338 North Texas Street Suite B, Fairfield",
OPERATIONAL,"{'location': {'lat': 38.2588498, 'lng': -122.059867}, 'viewport': {'northeast': {'lat': 38.26026608029149, 'lng': -122.0584747197085}, 'southwest': {'lat': 38.25756811970849, 'lng': -122.0611726802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chick-fil-A,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111999929739346120864"">Matt Granger</a>'], 'photo_reference': 'AW30NDzEmTgIOoqsdSTs9qrHX6v88uSZoeLnPPeCaF0SMJFtcbFvePH19s69QhUCsuULICO0TeTr65W1CBi1Xqeu5HoQrkT_WiO4m8GrfDpOXGmNpw_Z7tvk2NywWgjDS1RaP744zqzJExIxAElIdWX3uaztvWUpEtcgWePA6FDOFY_wcJI', 'width': 4032}]",ChIJAwGc2yMUhYARPFwlQ_DyvCg,"{'compound_code': '7W5R+G3 Fairfield, CA, USA', 'global_code': '84CV7W5R+G3'}",1.0,4.5,ChIJAwGc2yMUhYARPFwlQ_DyvCg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2502.0,"1750 Travis Boulevard, Fairfield",
CLOSED_TEMPORARILY,"{'location': {'lat': 38.2586546, 'lng': -122.0367845}, 'viewport': {'northeast': {'lat': 38.2598119302915, 'lng': -122.0354463697085}, 'southwest': {'lat': 38.2571139697085, 'lng': -122.0381443302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112018455277081299965"">Daniel Griffin</a>'], 'photo_reference': 'AW30NDyzCxYwdmxu3_Bs5KuROHguuqM3wwTF8LgId7UWHa2xeFXk2aCy7wMm6Wgdl4P4vekYq9t-yiCfoPlT6gPeiwRtBmp0E4pZVdPGs2PFC1EWlmUA--UVUnjNFH9ffLE8220313hpDIOiAT72i6RkjVxA3NzY7LTrtW_FYsqJ1g0I4t2Q', 'width': 2448}]",ChIJkWNrPs0VhYARO_zZwNKWoC8,"{'compound_code': '7X57+F7 Fairfield, CA, USA', 'global_code': '84CV7X57+F7'}",1.0,4.0,ChIJkWNrPs0VhYARO_zZwNKWoC8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",46.0,"340 Travis Boulevard Unit #1, Fairfield",True
