business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 46.86785500000001, 'lng': -96.862757}, 'viewport': {'northeast': {'lat': 46.8692741302915, 'lng': -96.86142146970849}, 'southwest': {'lat': 46.8665761697085, 'lng': -96.8641194302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Passage To India Restaurant,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102931939855388880333"">Abhishek Nayak</a>'], 'photo_reference': 'AW30NDz_duCdW0vEFmownIOzyidTMNSZqqdPOgashNZCtdROJ7on0oGkJNJ0-ePTlm_wFbIyUy-Snzc8wTW3hw_HGjW0ce2L28XLde6DA8g5asa0SjXPhDdlmw_ma0MIlWpgmWsTf22nDylqaTqJgC5VgTG0MykNGiRa9iwWwucl-LkMvZEK', 'width': 3024}]",ChIJXQBg9kHLyFIRXJmw1ChSX0M,"{'compound_code': 'V49P+4V Fargo, ND, USA', 'global_code': '86R5V49P+4V'}",2.0,4.5,ChIJXQBg9kHLyFIRXJmw1ChSX0M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",834,"855 45th Street South a3, Fargo",
CLOSED_TEMPORARILY,"{'location': {'lat': 46.8641516, 'lng': -96.8666763}, 'viewport': {'northeast': {'lat': 46.8654510302915, 'lng': -96.86471671970848}, 'southwest': {'lat': 46.8627530697085, 'lng': -96.86741468029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111657216765647162707"">S G (NDPatriot1889)</a>'], 'photo_reference': 'AW30NDzVe6nGoIgyVsK0VxPd99MnsorNcU1ioxKk9NlGSfILdl4tTnLuu6_oFCHAQ9ATd9kwLo0fNqRChE0-EVubML65WshGFnIHTTboDR4auNRup1qIB9w6mcYCvB8OskJKBV_b6GJ5GWKb7Bk2Xqji_3RhxtCz4t5QWMWXlkU6aXlXc19j', 'width': 4032}]",ChIJg1L2TVvLyFIRARiWvhXUO3I,"{'compound_code': 'V47M+M8 Fargo, ND, USA', 'global_code': '86R5V47M+M8'}",1.0,3.6,ChIJg1L2TVvLyFIRARiWvhXUO3I,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",27,"4731 13th Avenue Southwest, Fargo",True
CLOSED_TEMPORARILY,"{'location': {'lat': 46.8775855, 'lng': -96.7874973}, 'viewport': {'northeast': {'lat': 46.87894073029149, 'lng': -96.7862462697085}, 'southwest': {'lat': 46.87624276970849, 'lng': -96.7889442302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111300343910188270304"">Zee</a>'], 'photo_reference': 'AW30NDxLoziy-aNwJC1oS5iKzXpzMW_-a5aZL_pLvt5ulJU66NyBVBgx7IliegcCZUjJlGLw4a8y7wqR_ma3L6TOvA-os8l6vjEL-gnleka7IPNqX_aocWj1fOnqQDSA-UwW4HpNHnCsyqRzUUeQUiGqnRY0Uzj-EtaLZSpU9OiT1h4pqYD3', 'width': 1920}]",ChIJ09WlaWfJyFIRdpTmw1Wck44,"{'compound_code': 'V6H7+22 Fargo, ND, USA', 'global_code': '86R5V6H7+22'}",1.0,4.1,ChIJ09WlaWfJyFIRdpTmw1Wck44,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",95,"115 Broadway North, Fargo",True
OPERATIONAL,"{'location': {'lat': 46.86274119999999, 'lng': -96.84663119999999}, 'viewport': {'northeast': {'lat': 46.8639296302915, 'lng': -96.84532681970848}, 'southwest': {'lat': 46.8612316697085, 'lng': -96.8480247802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gallery Restaurant,{'open_now': False},"[{'height': 407, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113610042813878904637"">Gallery Restaurant</a>'], 'photo_reference': 'AW30NDy_8tJWtXpdWGDkVcu3ZKSFnWYIdRNbt5wjcrbmInNn-5RAyql7k6xvNtyiDfL1Pqr0H3N0vCLFAfcImrkn4aJEVFmdqm0xF6Z2J8ziw8vLrzrc4TBBC3642XSncBNjdsivHSkemKGrEsaedoal3QmxKG0rYNsZpJsPljEoNazFQ9eX', 'width': 409}]",ChIJj82vgHrLyFIRRX0YHp55Nh8,"{'compound_code': 'V573+38 Fargo, ND, USA', 'global_code': '86R5V573+38'}",,3.7,ChIJj82vgHrLyFIRRX0YHp55Nh8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",29,"3803 13th Avenue South #3301, Fargo",
OPERATIONAL,"{'location': {'lat': 46.862475, 'lng': -96.87049999999999}, 'viewport': {'northeast': {'lat': 46.8638322802915, 'lng': -96.8690622197085}, 'southwest': {'lat': 46.8611343197085, 'lng': -96.8717601802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116555338499537108665"">Gabe Mendez</a>'], 'photo_reference': 'AW30NDzANQtzc_qUyCZSykdYVgaD0itECAyq6joy4VoiTcG6azuboDdfh-ejYQvNB-0hKXKq7RI1l6361TceZ1_N2GJPG4WokmqJM9RW4Wt2BpDZbZvbA0SjNuAwSDLpu57l23wMDeXek00PKZr789FOHvM0UNsCUWwntQOR7Z6x84jgjyHW', 'width': 4160}]",ChIJlzXiN0XLyFIR9Kr5WKiN-GQ,"{'compound_code': 'V46H+XR Fargo, ND, USA', 'global_code': '86R5V46H+XR'}",2.0,4.4,ChIJlzXiN0XLyFIR9Kr5WKiN-GQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3391,"4971 13th Avenue South, Fargo",
OPERATIONAL,"{'location': {'lat': 46.85594, 'lng': -96.8501}, 'viewport': {'northeast': {'lat': 46.8572428302915, 'lng': -96.84891886970848}, 'southwest': {'lat': 46.8545448697085, 'lng': -96.85161683029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Granite City Food & Brewery,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104484210540761518111"">Arlen Brunsvold</a>'], 'photo_reference': 'AW30NDzuPLVaSOYkL1CwlqmxNhLl8YQYJM22wNa9MURnfYme1oW1eZPhz-9NFNrOcjf_Sjk0dJwj386v2Put_CQjo39Z-GhYji-Q_FeOD0nFYqsPVr9z_UoRUutWCH86qLlzj9cWae6wVZf0bNRdGKSVDJybHDgjIIuRcjopaERG7r6SF5a7', 'width': 4000}]",ChIJPUJOTWLLyFIRkm9llRNZObc,"{'compound_code': 'V44X+9X Fargo, ND, USA', 'global_code': '86R5V44X+9X'}",2.0,4.0,ChIJPUJOTWLLyFIRkm9llRNZObc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",859,"1636 42nd Street South, Fargo",
OPERATIONAL,"{'location': {'lat': 46.8623115, 'lng': -96.8574685}, 'viewport': {'northeast': {'lat': 46.8636705802915, 'lng': -96.85592871970849}, 'southwest': {'lat': 46.86097261970851, 'lng': -96.85862668029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2697, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100788038198921816114"">Don Bachmeier</a>'], 'photo_reference': 'AW30NDzS9Vj8eSQ624i0njMs9etAenDZjMRwed8cY01OmvkTNTkHNpdj-5lHjmyP9G1Z8fce0BGgRLMFV7KWQD93SVtvyf3WPA-EN6Wz_QKPmhqatBDShKkTqLdPo9smkS9Z3xcLSPdunaOWKY6Q2jn4gvTy7nTnMEvtKoAx_eeeH9hMu6w2', 'width': 5241}]",ChIJ8y_eMmbLyFIRhuuOoasyTQw,"{'compound_code': 'V46V+W2 Fargo, ND, USA', 'global_code': '86R5V46V+W2'}",2.0,4.3,ChIJ8y_eMmbLyFIRhuuOoasyTQw,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2848,"4339 13th Avenue Southwest, Fargo",
OPERATIONAL,"{'location': {'lat': 46.8557219, 'lng': -96.85438210000001}, 'viewport': {'northeast': {'lat': 46.85697398029151, 'lng': -96.8530408697085}, 'southwest': {'lat': 46.85427601970851, 'lng': -96.8557388302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Lucky's 13 Pub,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110589550803930287708"">David Hughes</a>'], 'photo_reference': 'AW30NDwXAMX3ViyU7pDotB7AErH6n3-C-BtGHyHDEYt1OwPkchpfHQjUa1ap5k0ME6wfTcj03ip7f85xTEfmCvmvWHC9cW4opLbvgsqpfWiQYMyXSjzRVapBY1NdRRbJy0QIO-mpGH_kgvbeE0Rbbdjm541_uGAqIiFXeIzoaHr0-DtnjX_v', 'width': 4000}]",ChIJ6ar_nmHLyFIR26Xjx1uKRno,"{'compound_code': 'V44W+76 Fargo, ND, USA', 'global_code': '86R5V44W+76'}",2.0,4.4,ChIJ6ar_nmHLyFIR26Xjx1uKRno,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1855,"4301 17th Avenue South, Fargo",
OPERATIONAL,"{'location': {'lat': 46.8427985, 'lng': -96.7993455}, 'viewport': {'northeast': {'lat': 46.8442008302915, 'lng': -96.7980049697085}, 'southwest': {'lat': 46.8415028697085, 'lng': -96.80070293029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2850, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100788038198921816114"">Don Bachmeier</a>'], 'photo_reference': 'AW30NDxTTTMSvKr_SVBs3l9-y9_Hyrso6ljpJRZG5Dhg2N5rNdwFVuMZswIu7XBOE_LD1FujA2lhtU5J56ak-2Q3WM6Mar5Be369dk3o7Yys1m9s6QqVR8REDTugGbUk7hVGK_z7PP7szjDoo4kMi-C5B6qSIxVIEm4hsSI98x8Q-f9uyBG1', 'width': 3643}]",ChIJ70xBxxDMyFIRkevxndbjKyM,"{'compound_code': 'R6V2+47 Fargo, ND, USA', 'global_code': '86R5R6V2+47'}",1.0,3.7,ChIJ70xBxxDMyFIRkevxndbjKyM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",164,"2507 South University Drive, Fargo",
OPERATIONAL,"{'location': {'lat': 46.849751, 'lng': -96.85108}, 'viewport': {'northeast': {'lat': 46.8510999802915, 'lng': -96.84972876970849}, 'southwest': {'lat': 46.8484020197085, 'lng': -96.8524267302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114440252058501649407"">tburt50</a>'], 'photo_reference': 'AW30NDx-2s-Ex3BtoBfubOCC1Gf8kDmnvFBZnc2bAJD2NUTUR4xKlRAYLFy6p_JlUqh9Xlv0REuBkuIfAG-LRh1DgCge4HKr3QP09hTmXYgUGwOzya72IF0AVuYaC2_gmAWQmkMi0h-XR_KmsnSC1xr8zriTciog9vOR3LAPOQ1ThJ2BNG3y', 'width': 3780}]",ChIJzVUzY6DMyFIRZGfhUIWSW58,"{'compound_code': 'R4XX+WH Fargo, ND, USA', 'global_code': '86R5R4XX+WH'}",1.0,3.6,ChIJzVUzY6DMyFIRZGfhUIWSW58,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",151,"4418 18th Avenue South, Fargo",
