business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity
OPERATIONAL,"{'location': {'lat': 35.068998, 'lng': -78.952175}, 'viewport': {'northeast': {'lat': 35.0701036802915, 'lng': -78.95078656970848}, 'southwest': {'lat': 35.0674057197085, 'lng': -78.9534845302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106184652709639381687"">Linda Salas</a>'], 'photo_reference': 'AW30NDwo5Ut1fhfqMOCkLY1PZSsgBu6RDAc2vLG9WttfCdnknOegekc4qAPMZxiZBFpEQY8Iqxf5Rn_BxaWAZl13fyNwrMFm4-uKVTtyu2JXAe4Iw6EMRo21fNFYfz0Jv_MkYUW9YXocbrBb-jXi1iDBrCwgBj-Vvc11d1tcFKZP4x9vvX64', 'width': 4000}]",ChIJrbXCzzdrq4kRMHW8NST2fG0,"{'compound_code': '329X+H4 Fayetteville, NC, USA', 'global_code': '8773329X+H4'}",2.0,4.4,ChIJrbXCzzdrq4kRMHW8NST2fG0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",5572.0,"4195 Sycamore Dairy Road, Fayetteville"
OPERATIONAL,"{'location': {'lat': 35.07051599999999, 'lng': -78.955204}, 'viewport': {'northeast': {'lat': 35.07194753029149, 'lng': -78.95375621970848}, 'southwest': {'lat': 35.0692495697085, 'lng': -78.9564541802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mash House Brewing Company,{'open_now': True},"[{'height': 639, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114467889923073158672"">Mash House Brewing Company</a>'], 'photo_reference': 'AW30NDznGCpdI4aFcnYWBeyhwEY-bv3DS4ul-Z5o64uDUVUsbZFqeyZ4VCQhFbycrxN9GAlhrmi9pR7WWt5OT-2int_vClq453p9uUl08AkIJImRk42uU3zr3fFcLAi89UUQ0hJbeW35T8Kag3wzTdtJRkoUbHYD4tWIiosCzZV59VhA4awU', 'width': 960}]",ChIJqabbeTdrq4kR3iTRVTCIk3M,"{'compound_code': '32CV+6W Fayetteville, NC, USA', 'global_code': '877332CV+6W'}",2.0,4.1,ChIJqabbeTdrq4kR3iTRVTCIk3M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",772.0,"4150 Sycamore Dairy Road, Fayetteville"
OPERATIONAL,"{'location': {'lat': 35.0584517, 'lng': -78.96653020000001}, 'viewport': {'northeast': {'lat': 35.0599015802915, 'lng': -78.96523451970849}, 'southwest': {'lat': 35.0572036197085, 'lng': -78.96793248029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113340406961319918621"">Will</a>'], 'photo_reference': 'AW30NDzY9tSe5SIkSuNk0LQf2JfWiAsTtiPrAhOWI1fWA3BgD2oX6DSzniIwEfHYd2jALFnfkoVlZ1EhrjZVBoXYRJnm4OIpXNxQTO8lfIooBbxK8g-ErKKgL9Ko3sl7w6RDUdFudwZaj1Ac9elwwQ9AWSR4O4PVPrmmr78OvD56fe96c4Qf', 'width': 4032}]",ChIJOcJESCVrq4kR72R8EXI45I8,"{'compound_code': '325M+99 Fayetteville, NC, USA', 'global_code': '8773325M+99'}",2.0,4.4,ChIJOcJESCVrq4kR72R8EXI45I8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",689.0,"2707 Freedom Parkway Drive, Fayetteville"
OPERATIONAL,"{'location': {'lat': 35.0525231, 'lng': -78.9731448}, 'viewport': {'northeast': {'lat': 35.05391168029149, 'lng': -78.97167206970849}, 'southwest': {'lat': 35.0512137197085, 'lng': -78.9743700302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104178333055695445490"">Christopher Lerma</a>'], 'photo_reference': 'AW30NDx6T3RFSZDfwNuN4J79iTYT_iDTmPgfpjwK3ouxZlkMOmTmIPA01cSXxbE9t8OBb6NKiyY-42iT_AMvXCMZ8ZDxUQ347ZAiasQoqOJor1XZTZ6t8Iu585HjUBIcuZ4zXPJ_SvdJiZKOemV-JCMRzrMLzbpFCk9uiRuX_LcS_TKe06jw', 'width': 5312}]",ChIJXcIP59cUq4kRpUf7WyV0qGA,"{'compound_code': '323G+2P Fayetteville, NC, USA', 'global_code': '8773323G+2P'}",2.0,3.7,ChIJXcIP59cUq4kRpUf7WyV0qGA,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2492.0,"2097 Skibo Road, Fayetteville"
OPERATIONAL,"{'location': {'lat': 35.0715234, 'lng': -78.95118599999999}, 'viewport': {'northeast': {'lat': 35.0728356802915, 'lng': -78.9500327697085}, 'southwest': {'lat': 35.07013771970851, 'lng': -78.9527307302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 1890, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101108272841269492574"">Mike H</a>'], 'photo_reference': 'AW30NDzZLquc13hF6ISG-ETsic-Zz6vLlsdjmVwpWoxm2rUTdEra5wjap7Kbhh9skHTVeUFnaaqEwz4EngWLua6Qf4KlnZV3f7AP9WJLpM-Eh1iX5FV2EUumZ99BKvbxygMkisKJtzUPchUXBE1NisTrvGJDGZWulr8gaitxyq9DHR9WMwDQ', 'width': 2357}]",ChIJyXKxBThrq4kRHzqkMgE_qR8,"{'compound_code': '32CX+JG Fayetteville, NC, USA', 'global_code': '877332CX+JG'}",2.0,4.1,ChIJyXKxBThrq4kRHzqkMgE_qR8,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4117.0,"234 North McPherson Church Road, Fayetteville"
OPERATIONAL,"{'location': {'lat': 35.0691476, 'lng': -78.951686}, 'viewport': {'northeast': {'lat': 35.0705531302915, 'lng': -78.9500275197085}, 'southwest': {'lat': 35.06785516970851, 'lng': -78.9527254802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Joe's Crab Shack,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113212264065127404984"">Joanne Light</a>'], 'photo_reference': 'AW30NDw8SLVPcBS9Kw_0irQJCkp2V2dwXqonCXBVT9KczXJoj_hrEq83X38Wrk_egRuK1UTNtXDK961gGqHV2n0ce2SPJdrTfEQGrjaPz8rkm6j5hyTdyNVJx2fGbbqR3hTjVLXiqOhmFza589F9VpHtC7ZJqH3E7QpMF0tGn4Y4XvvFz_WZ', 'width': 4032}]",ChIJ1W1q2Ddrq4kRM_1OZIgyxwI,"{'compound_code': '329X+M8 Fayetteville, NC, USA', 'global_code': '8773329X+M8'}",2.0,3.7,ChIJ1W1q2Ddrq4kRM_1OZIgyxwI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2554.0,"155 North McPherson Church Road, Fayetteville"
OPERATIONAL,"{'location': {'lat': 35.0587565, 'lng': -78.973603}, 'viewport': {'northeast': {'lat': 35.0604226802915, 'lng': -78.97215031970849}, 'southwest': {'lat': 35.0577247197085, 'lng': -78.97484828029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Max & Moritz Bakery & Restaurant,{'open_now': False},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111483706083689599916"">Bev OA</a>'], 'photo_reference': 'AW30NDwAR-0jsNxlavC6CHS7nTAvcK3aq8o36x2et0iL71s7BoFP37XxrE0BtsEhA6OUV5nNNbTklrhk45eORYe9DN9QuiZJBaEDxFllnzGgK18wxmSz_Bvk3MmUl2TDlr0IpdxJeeus4yVKdIBEDz2vtJBLieDaQg_t5wej-jGlz_VKX-o', 'width': 12000}]",ChIJ01ikhdUUq4kR_pUUFpVPnpk,"{'compound_code': '325G+GH Fayetteville, NC, USA', 'global_code': '8773325G+GH'}",2.0,4.7,ChIJ01ikhdUUq4kR_pUUFpVPnpk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",586.0,"5945 Cliffdale Road # 1104, Fayetteville"
OPERATIONAL,"{'location': {'lat': 35.08267060000001, 'lng': -78.9549229}, 'viewport': {'northeast': {'lat': 35.08391563029151, 'lng': -78.95361216970849}, 'southwest': {'lat': 35.08121766970851, 'lng': -78.9563101302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Logan's Roadhouse,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116379925298247533604"">Jamie B</a>'], 'photo_reference': 'AW30NDwKf7VKcY2SkXCL9CQNayUmFtkhk6_OVYARWuahHo8bPxnHoegzLH0tNA5SvSpZno6gAjQ1bh78hwWQSpSd6vGBOXkwDOITRziK6HurgOMCJweSaleu_CxDwnYv65hcMCZWGs7Hl3ExknG3tYDS96VbrfcYpnIzyWAsDwPo5wF5xcBU', 'width': 4608}]",ChIJS0dRNz5rq4kRM8MGBFdVY5M,"{'compound_code': '32MW+32 Fayetteville, NC, USA', 'global_code': '877332MW+32'}",2.0,4.1,ChIJS0dRNz5rq4kRM8MGBFdVY5M,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2442.0,"1490 Skibo Road, Fayetteville"
OPERATIONAL,"{'location': {'lat': 35.0788484, 'lng': -78.93837239999999}, 'viewport': {'northeast': {'lat': 35.08012678029149, 'lng': -78.93708386970849}, 'southwest': {'lat': 35.07742881970849, 'lng': -78.9397818302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105326664920906451224"">Steve Elgan</a>'], 'photo_reference': 'AW30NDwMvM6SLtjP3BC5PCrEjryLaDG0urL2ZBWlKYJyHXuWLNnsJy9Y6UKQwxBt0ItLuqDFIz-wThVCT8eeLRr8pr7E3euKeKCdmr0uqUfMRmxWKZSj-vBaF2ik3CnHTUUlAc4qJclTzRuLh-yaoFDxP_C-Z_5GvBJMDVpV5BS2uo62I2K1', 'width': 4032}]",ChIJZ8elT1xrq4kRtjB85uXJxl4,"{'compound_code': '33H6+GM Fayetteville, NC, USA', 'global_code': '877333H6+GM'}",1.0,3.8,ChIJZ8elT1xrq4kRtjB85uXJxl4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",150.0,"3450 Bragg Boulevard Suite C, Fayetteville"
OPERATIONAL,"{'location': {'lat': 35.0769324, 'lng': -78.953887}, 'viewport': {'northeast': {'lat': 35.0780746802915, 'lng': -78.9528573197085}, 'southwest': {'lat': 35.0753767197085, 'lng': -78.95555528029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Luigi's Italian Chophouse and Bar,{'open_now': True},"[{'height': 376, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100732738446086092797"">Luigi&#39;s Italian Chophouse and Bar</a>'], 'photo_reference': 'AW30NDwFJPpTWcL5fT7YIorQV9F1PdP9TFRtp-k71pWdMVYLbWYKBzvi4n_PN17SBPaqMAAs1PVxz8fIzeoof3UyES35CfOFhpiBi9WqCt6L9mdSklvlBoBr-qwx92gsu54TPPS4E7nQO7sk73Nu7gRusv0c0iWV0QuFS1ki0YMk9_jqHMHp', 'width': 512}]",ChIJicyfLT9rq4kRba-InU9Klsk,"{'compound_code': '32GW+QC Fayetteville, NC, USA', 'global_code': '877332GW+QC'}",2.0,4.6,ChIJicyfLT9rq4kRba-InU9Klsk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2403.0,"528 North McPherson Church Road, Fayetteville"
