business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.1063667, 'lng': -117.4344577}, 'viewport': {'northeast': {'lat': 34.1076536302915, 'lng': -117.4330905197085}, 'southwest': {'lat': 34.1049556697085, 'lng': -117.4357884802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103144852467746236875"">Angelica Solorio</a>'], 'photo_reference': 'AW30NDwkmx7N5tJp9__F1Myy_ZbWcLYiGEITa69t1JPlr0mZC46795YHup2FgJZxbjqmuO_wv7s8nj1zO_eT23t0a0gGNAxKWo_sy4OdoQodmkUPIDNuSDrC3yYDkBN5JlbZaVDMCZoXAvEOZXERIipn1ep-vC5DqHh7RxxfEGwuDQ7mNDP1', 'width': 1080}]",ChIJ-8ZG22BMw4ARImrm2zJEzaA,"{'compound_code': '4H48+G6 Fontana, CA, USA', 'global_code': '85644H48+G6'}",1.0,3.6,ChIJ-8ZG22BMw4ARImrm2zJEzaA,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",135.0,"16951 Foothill Boulevard Suite A, Fontana",
OPERATIONAL,"{'location': {'lat': 34.1179165, 'lng': -117.489757}, 'viewport': {'northeast': {'lat': 34.1192666302915, 'lng': -117.4883122697085}, 'southwest': {'lat': 34.1165686697085, 'lng': -117.4910102302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116950815421002808545"">Leonardo Almaraz Lopez</a>'], 'photo_reference': 'AW30NDz9GkGaFdUO-t_bVYm4Z4Lxm8P6h9nwymqn3utMGATJ-0TKq9tCOp9U9nkPXMPJ9KIp3LyKaENqSD-0-1siEqiN5rOvrGCQ7mfkHBFb_aA1GuQ7MKHydy2akiyWlSuPTumDS9y3E6_Y8ZiFziskTC304tiuLW9S0nlFZ1YM3XkQaDwR', 'width': 4032}]",ChIJWyNzQsVLw4AR-PS_oNtIG4o,"{'compound_code': '4G96+53 Fontana, CA, USA', 'global_code': '85644G96+53'}",1.0,3.8,ChIJWyNzQsVLw4AR-PS_oNtIG4o,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",165.0,"7470 Cherry Avenue, Fontana",
OPERATIONAL,"{'location': {'lat': 34.1076917, 'lng': -117.4521641}, 'viewport': {'northeast': {'lat': 34.1089640802915, 'lng': -117.4508264697085}, 'southwest': {'lat': 34.1062661197085, 'lng': -117.4535244302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115287747920956100800"">Gustavo Hernandez</a>'], 'photo_reference': 'AW30NDzkJXVw0ip_7s1PrF7H1wXiVWwLmcao5b7f0CdKQNPjDtF77--CD_ECgMphwSqVpBhAg4wxRue4eDX0pNcQdr29qp5tPNEDJYVfcWJ8Kv_7eu0RXtpxKc7Eb0nfAA8CYFBO8FMLuEMwbsMRdMOaC9UaWyyZkcvwfYpQdYaG4BGgx0pE', 'width': 3024}]",ChIJ81jQuXlMw4ARPA5EwV-CVOw,"{'compound_code': '4G5X+34 Fontana, CA, USA', 'global_code': '85644G5X+34'}",1.0,3.7,ChIJ81jQuXlMw4ARPA5EwV-CVOw,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",101.0,"16184 Foothill Boulevard, Fontana",
OPERATIONAL,"{'location': {'lat': 34.0699589, 'lng': -117.432568}, 'viewport': {'northeast': {'lat': 34.0712699302915, 'lng': -117.4311531197085}, 'southwest': {'lat': 34.0685719697085, 'lng': -117.4338510802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117684843213181888699"">Irma Solis</a>'], 'photo_reference': 'AW30NDyrbkDdjhxabU2yhTZWjemPp40TbBqfqUNz8T7kIQVd2uAkTPSScDTHiecAzgZPl9z4ttuZlFaN2viqSM0oSiX6AzyI3_WtmsKxcoku48htAqE4-iAfYaiHzLvCFg4UaIf0Iqn-cdimTMOG6kJTeaNfr0UpL3qyPieuibfcHWhsanI0', 'width': 3024}]",ChIJs3KJ3LdMw4ARmjfFyThPyt8,"{'compound_code': '3H98+XX Fontana, CA, USA', 'global_code': '85643H98+XX'}",1.0,3.8,ChIJs3KJ3LdMw4ARmjfFyThPyt8,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",194.0,"17039 Valley Boulevard Unit D, Fontana",
OPERATIONAL,"{'location': {'lat': 34.0909301, 'lng': -117.4366932}, 'viewport': {'northeast': {'lat': 34.0922000802915, 'lng': -117.4352993197085}, 'southwest': {'lat': 34.08950211970851, 'lng': -117.4379972802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Las Islas Marias,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114667027202235946061"">Armando Barca</a>'], 'photo_reference': 'AW30NDy0EjjPbVYrALdG2Rn_7-zhCNWvfwQ4ZEfGhB8pxrEUjy6ODLs78LRy-7AtTsbZ2-bKUYXJFit1zYEYCUOILWQasAoXkgkkX18iDiFhOy6SZw5lsy1IFg9DMKMbC9HI91WEXlnlMRxfca9Q_NnL8VCMj1uRPzuojl_ow3BZl8gCZd50', 'width': 2560}]",ChIJV_SjbZJMw4ARZINlm2uAaoE,"{'compound_code': '3HR7+98 Fontana, CA, USA', 'global_code': '85643HR7+98'}",2.0,4.2,ChIJV_SjbZJMw4ARZINlm2uAaoE,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",411.0,"8990 Sierra Avenue Q, Fontana",
OPERATIONAL,"{'location': {'lat': 34.0710577, 'lng': -117.4360056}, 'viewport': {'northeast': {'lat': 34.07247048029149, 'lng': -117.4346215697085}, 'southwest': {'lat': 34.06977251970849, 'lng': -117.4373195302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wienerschnitzel,{'open_now': True},"[{'height': 2980, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115826630219485260208"">MILO CARRASCO</a>'], 'photo_reference': 'AW30NDxethVhVdxxxnHGetqklBxcqDf_idvCOmjTjGbJEqHRTO491pqVaVjpmz8VWNtY0agxthXjJ_SzH4SmOz8sZeZNEtg-LHfxo0NhIbZktjsQ2RgQK_HYMG0wo2wUWVDYIw2yCPQr1EU6MSOCbnA7wxzTw9XfL9WMnJ82JQsRmj_vYmWr', 'width': 5091}]",ChIJW73o27lMw4AR8CCG4XpGghA,"{'compound_code': '3HC7+CH Fontana, CA, USA', 'global_code': '85643HC7+CH'}",1.0,4.1,ChIJW73o27lMw4AR8CCG4XpGghA,GOOGLE,"['restaurant', 'point_of_interest', 'store', 'food', 'establishment']",712.0,"10056 Sierra Avenue, Fontana",
OPERATIONAL,"{'location': {'lat': 34.1071489, 'lng': -117.4366882}, 'viewport': {'northeast': {'lat': 34.10839093029151, 'lng': -117.4353516197085}, 'southwest': {'lat': 34.10569296970851, 'lng': -117.4380495802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,IHOP,{'open_now': True},"[{'height': 2073, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112227850411928066231"">Matilda D’Hum xoxo</a>'], 'photo_reference': 'AW30NDy0iNCr4-KTT-mi556HypfXYV5DjUWaqw56EYFBeJV_rpgJeTIVMu7Wq8-It2Q1O8-lZnLNm1NvmkUipEqBLk7NsVhKek04Gz_J47lUuhaN3swm5DWe3jafIlFtv_JIfMBeMBUSNgLS5Ctw4Pk-aeZl2RT3VIaOILAgF0O8tgL4dy6t', 'width': 2739}]",ChIJae4Jt2ZMw4ARrmsDiPpbO60,"{'compound_code': '4H47+V8 Fontana, CA, USA', 'global_code': '85644H47+V8'}",1.0,4.3,ChIJae4Jt2ZMw4ARrmsDiPpbO60,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",1489.0,"16866 Foothill Boulevard, Fontana",
OPERATIONAL,"{'location': {'lat': 34.1052976, 'lng': -117.4541634}, 'viewport': {'northeast': {'lat': 34.10667868029149, 'lng': -117.4526944697085}, 'southwest': {'lat': 34.1039807197085, 'lng': -117.4553924302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107131232026280140837"">Pizza Hut</a>'], 'photo_reference': 'AW30NDx-wLKZ-bTlbcdYNWdXKadIDIm5fALZJGSnqyMaylUuTlhPaTxpJlLHcSNF3MIRqptX3XMVscvmC0Bb2jMyM9luFddf6f-6XvjPQs6tZ6-Py_muiGbXqLiou3mDrWLavj0rfL4mRzFM1z6sqFqPbRDxsxBkqdTOQ8JXb3IRPFgjNyDC', 'width': 1025}]",ChIJV5fiPnhMw4AREOvXb1n_JDI,"{'compound_code': '4G4W+48 Fontana, CA, USA', 'global_code': '85644G4W+48'}",1.0,3.3,ChIJV5fiPnhMw4AREOvXb1n_JDI,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",322.0,"16075 Foothill Boulevard Suite C, Fontana",
OPERATIONAL,"{'location': {'lat': 34.0850429, 'lng': -117.4354376}, 'viewport': {'northeast': {'lat': 34.0863951802915, 'lng': -117.4342205697085}, 'southwest': {'lat': 34.0836972197085, 'lng': -117.4369185302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111055945305014460611"">Pizza Hut</a>'], 'photo_reference': 'AW30NDxBK97Pfr83t7nNaKiMHFuuIYgQESo059SnyPE0WTBbh3L5Xdo6Fqr9-azsFaIXi9RMLWuVfDBWbQFBFZjQ9IWFJfhIo5KHBdbg1i2ptLS_MWTIrMpQkHOlwSLWIzRFhHu1p2SQufRK_-hhygOkwvIFHu4ojLlTq9DefJnH3a8godPN', 'width': 1025}]",ChIJ2zB-aJRMw4ARacZ8B0ZwnGk,"{'compound_code': '3HP7+2R Fontana, CA, USA', 'global_code': '85643HP7+2R'}",1.0,3.8,ChIJ2zB-aJRMw4ARacZ8B0ZwnGk,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",370.0,"9299 Sierra Avenue, Fontana",
OPERATIONAL,"{'location': {'lat': 34.1077131, 'lng': -117.4523398}, 'viewport': {'northeast': {'lat': 34.10897928029149, 'lng': -117.4510089697085}, 'southwest': {'lat': 34.10628131970849, 'lng': -117.4537069302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104314260222134824449"">Kaurika Belk</a>'], 'photo_reference': 'AW30NDzuZeS5BAf62QUjy7LJrWp0AALGdK5dovUgPX4OJD7CHo_vPmUYvKVfyqH9XviGwJod4n3P_9pzkT6UaB6bNjpTtyMvnBFoEQPTp-NRNR5ppMTqxpCQP6RuhFwvaJveWuIiId4-qumacSvuox2iBM0avbhtQGLbSBlJ6xtpnfhKC5mq', 'width': 1280}]",ChIJ81jQuXlMw4AR41sJNDzo4pw,"{'compound_code': '4G5X+33 Fontana, CA, USA', 'global_code': '85644G5X+33'}",1.0,3.6,ChIJ81jQuXlMw4AR41sJNDzo4pw,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",445.0,"16184 Foothill Boulevard, Fontana",
