business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.5329849, 'lng': -105.0775774}, 'viewport': {'northeast': {'lat': 40.5342618802915, 'lng': -105.0760023}, 'southwest': {'lat': 40.5315639197085, 'lng': -105.0806819}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 1868, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106134220850436155130"">Dan Cottrell</a>'], 'photo_reference': 'AW30NDzqD8KmWltnZ81CCQQObW_942PKRiSgOp710AQDemxnqKhJpV8pD58pyESUsQExRv8B97cfX05mozxDUz98QZ1HbcBB--D6hPJT3hKNVS12pErjRNnYoKeBFWArZYBiG6-IS6g_bPfrZR4QpmdCOCT6TlJj0zOyvQs34hPKxI8NJPH5', 'width': 4000}]",ChIJ-5AZyXhLaYcR4UqkMn_PkjU,"{'compound_code': 'GWMC+5X Fort Collins, CO, USA', 'global_code': '85GPGWMC+5X'}",2.0,4.4,ChIJ-5AZyXhLaYcR4UqkMn_PkjU,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2970,"3905 South College Avenue, Fort Collins",
OPERATIONAL,"{'location': {'lat': 40.5251314, 'lng': -105.0500671}, 'viewport': {'northeast': {'lat': 40.52643938029151, 'lng': -105.0487931197085}, 'southwest': {'lat': 40.52374141970851, 'lng': -105.0514910802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 2842, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113081751919105691215"">James Smith</a>'], 'photo_reference': 'AW30NDzmxxONWWjihWX-rdDmFHi7YzsARjkao90vPlS5QbgbI39w1-oMObAXQwLSPs3XklJJR1nEB8M-PKmsVs9Cr5OX3HotrlrFWc3DxABTaWJ_gYINakpmrXIejjdP3TmQ-p2VkrnQWPRie574-X3lfut1X7E4PGgl-THIi1MpWSn3jthS', 'width': 3789}]",ChIJTWuVC6RMaYcRCsdwaRw_pl8,"{'compound_code': 'GWGX+3X Fort Collins, CO, USA', 'global_code': '85GPGWGX+3X'}",2.0,4.4,ChIJTWuVC6RMaYcRCsdwaRw_pl8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",576,"1538 East Harmony Road, Fort Collins",
OPERATIONAL,"{'location': {'lat': 40.5420303, 'lng': -105.0796581}, 'viewport': {'northeast': {'lat': 40.5434419802915, 'lng': -105.0781823697085}, 'southwest': {'lat': 40.5407440197085, 'lng': -105.0808803302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Young's Café Vietnamese Cuisine,{'open_now': True},"[{'height': 4628, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109742655655915465525"">Paul Avery</a>'], 'photo_reference': 'AW30NDz8JCRaKz9a12fgXzTJSVrRKERwNlFnpaqzRXeL0GAEiGaE-_pNiSPOLxsnqrkvny8iPKn00j0EH0zL3yZNn6y6aY3qcLVfi8N7z3AvkDctt4m13h86M238G03ul5RbwR2LZfCtrt3k69PqXGIel7gFKu6E787hpfmC17BpTVRO8e4R', 'width': 7020}]",ChIJQ-tzAHZLaYcR6lS-0LuCyyM,"{'compound_code': 'GWRC+R4 Fort Collins, CO, USA', 'global_code': '85GPGWRC+R4'}",2.0,4.6,ChIJQ-tzAHZLaYcR6lS-0LuCyyM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1790,"3307 South College Avenue, Fort Collins",
OPERATIONAL,"{'location': {'lat': 40.5229761, 'lng': -105.0648287}, 'viewport': {'northeast': {'lat': 40.52419613029151, 'lng': -105.0635349197085}, 'southwest': {'lat': 40.52149816970851, 'lng': -105.0662328802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Robin Gourmet Burgers and Brews,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108221356884140143598"">Red Robin Gourmet Burgers and Brews</a>'], 'photo_reference': 'AW30NDw3GPrjrxGCJwtQfVmu6hNNKm7OiwYOm8JkFwV9ypo9-twM6czw6A_7-jEAmVhHKOJ2kciEnhEdXaUX3F8t4khL5jidrt_5mXFfZkPM_c_11NK9nNyN2pAkFnAQsOKIznbPbqhrgj7OHGRvgxJUM6TtxfXhAe3ytJxf1LPKc2G_fgR2', 'width': 1080}]",ChIJxeE8C5tMaYcRKPi8YUHS8fY,"{'compound_code': 'GWFP+53 Fort Collins, CO, USA', 'global_code': '85GPGWFP+53'}",2.0,4.2,ChIJxeE8C5tMaYcRKPi8YUHS8fY,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",1865,"701 East Harmony Road, Fort Collins",
OPERATIONAL,"{'location': {'lat': 40.54665490000001, 'lng': -105.0775154}, 'viewport': {'northeast': {'lat': 40.54808013029151, 'lng': -105.0762103697085}, 'southwest': {'lat': 40.54538216970851, 'lng': -105.0789083302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cafe Mexicali,{'open_now': True},"[{'height': 375, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103013016263028073435"">Cafe Mexicali</a>'], 'photo_reference': 'AW30NDxWGqMvnf-3CfbEDHnOPuk4AcipAB1wtbEVjMpg1Y5jAahnDcPJxlS3y2rp1T9pUJuElDx-GD21Tj91no_XkrZZNpj7xXoGoUgbj4yddNeZiQYv-e-JoVUF6SY8asD7nR1B4teBwJ3Vh89TvjsgPHis5FVJLzkDS6v4POoKeWOm-erM', 'width': 955}]",ChIJ2WPhTnVLaYcRK9k3NVTwQQ0,"{'compound_code': 'GWWC+MX Fort Collins, CO, USA', 'global_code': '85GPGWWC+MX'}",1.0,4.5,ChIJ2WPhTnVLaYcRK9k3NVTwQQ0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2006,"2925 South College Avenue, Fort Collins",
OPERATIONAL,"{'location': {'lat': 40.5239485, 'lng': -105.0759259}, 'viewport': {'northeast': {'lat': 40.5252627302915, 'lng': -105.0744147697085}, 'southwest': {'lat': 40.5225647697085, 'lng': -105.0771127302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109180761869717738974"">Jose Loera</a>'], 'photo_reference': 'AW30NDydBwV9r4E9edmxDPIj5TTn4nYynwkC4z9tvdM9v-qLUG8ON59pvge6XS0rhBOe6Fm74ZrEoiWeyuBA71Z8IA2kFrq6MpQeHGVuzVcydpYuWOJTeIK-Uf3FPxifYCWNkcOCAWauGW9VTr0mlroMpXfXAuGWMs10JCbJ2KuUrhE9Rrjz', 'width': 3024}]",ChIJtfeSI4FMaYcRhyRrV8-jHY8,"{'compound_code': 'GWFF+HJ Fort Collins, CO, USA', 'global_code': '85GPGWFF+HJ'}",2.0,3.7,ChIJtfeSI4FMaYcRhyRrV8-jHY8,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1100,"150 East Harmony Road #2A, Fort Collins",
OPERATIONAL,"{'location': {'lat': 40.52312250000001, 'lng': -105.0549}, 'viewport': {'northeast': {'lat': 40.5245015302915, 'lng': -105.0536564197085}, 'southwest': {'lat': 40.5218035697085, 'lng': -105.0563543802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Carrabba's Italian Grill,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105217664377802879614"">Richard Mauro</a>'], 'photo_reference': 'AW30NDydmNPNkYfY-u8w2vevY6thBzVipvhJm8dKwrUyMFnzx-4x-Hs3XNdS0N_osgdIMNXcPj4YPDEeV9kNHJihR4zvmC7bmw6abKTLtQUPLZP3UFhzURQkhrAmovwUqmm0sJz0vZc5pj-7tJiAXX_T8l2rfPtAuKdIs0Vjv8DXvsNotM8R', 'width': 6000}]",ChIJkbE2faJMaYcRc5eVR84Lp6Y,"{'compound_code': 'GWFW+62 Fort Collins, CO, USA', 'global_code': '85GPGWFW+62'}",2.0,4.1,ChIJkbE2faJMaYcRc5eVR84Lp6Y,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1016,"1212 Oakridge Drive, Fort Collins",
OPERATIONAL,"{'location': {'lat': 40.5311326, 'lng': -105.0761875}, 'viewport': {'northeast': {'lat': 40.5325391302915, 'lng': -105.0749661697085}, 'southwest': {'lat': 40.5298411697085, 'lng': -105.0776641302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mt. Fuji,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104774671816494022895"">Monthira Longthong</a>'], 'photo_reference': 'AW30NDxpXanITXvuQzl6-mIBuY9zAlmtOrGfobDYW0TgoaZ-bYpRGXc45N7-A5ef6F6ebfV-rjMpgKlMx8VzzfqVz3Uqw54bIXvy3twpo9J__IOqwsYG9urll7CbFiCvEzWAPli0ElvXE6kBtcCOrwLSsMGuSd8JevwZ1h0UONGwxrbrnc0', 'width': 5312}]",ChIJ7SEAIH9LaYcRM7OYgKJwYko,"{'compound_code': 'GWJF+FG Fort Collins, CO, USA', 'global_code': '85GPGWJF+FG'}",2.0,4.3,ChIJ7SEAIH9LaYcRM7OYgKJwYko,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",329,"4020 South College Avenue #3064, Fort Collins",
OPERATIONAL,"{'location': {'lat': 40.537823, 'lng': -105.0778245}, 'viewport': {'northeast': {'lat': 40.5391027302915, 'lng': -105.0764761697085}, 'southwest': {'lat': 40.5364047697085, 'lng': -105.0791741302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chick-fil-A,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104636799851514483999"">John Carver</a>'], 'photo_reference': 'AW30NDynm5haq3AyzUj02-K4Iq4LK6_wjUn4XdxcCHXyiYdfquQ1ANjPoWattsRqHSu_1kpYZEZGvuZHf0OoE3qKr2HW2vAshiawD3fM9bfwMvlxKI8rCgJ4Aa158SjdADYgtPEtyZUI_ySXR0qld0PJ3xrbR6u86_brvxLMm7F5lGXty_sI', 'width': 4160}]",ChIJB4A_jndLaYcRJMlvgdAR2mE,"{'compound_code': 'GWQC+4V Fort Collins, CO, USA', 'global_code': '85GPGWQC+4V'}",1.0,4.5,ChIJB4A_jndLaYcRJMlvgdAR2mE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1980,"3605 South College Avenue, Fort Collins",
OPERATIONAL,"{'location': {'lat': 40.5217948, 'lng': -105.0605417}, 'viewport': {'northeast': {'lat': 40.5232095302915, 'lng': -105.0592575197085}, 'southwest': {'lat': 40.5205115697085, 'lng': -105.0619554802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Grey Rock Sports Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110809821706753405805"">Grey Rock Sports Grill</a>'], 'photo_reference': 'AW30NDzwGp67STRAoaC5iIEfAQPoT7lRjEA4V1ipR51GijU3nebS27JrhEQW8P5n7DYYVMSCHpEY2APKIPxvSBQ_aWGaEc_nSxMlyklBsCQEqRoJgyP_oZlSSeybj5W--GjC79lsBtPOmELsQcB3OqXBY17Rv95NGgRGzyDDh8tOpTN2VzNU', 'width': 4032}]",ChIJH8Gem5lMaYcR94SwKOPKHV8,"{'compound_code': 'GWCQ+PQ Fort Collins, CO, USA', 'global_code': '85GPGWCQ+PQ'}",2.0,4.2,ChIJH8Gem5lMaYcR94SwKOPKHV8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",823,"925 East Harmony Road, Fort Collins",
