business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.49513599999999, 'lng': -121.933689}, 'viewport': {'northeast': {'lat': 37.4965529802915, 'lng': -121.9322219697085}, 'southwest': {'lat': 37.4938550197085, 'lng': -121.9349199302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Spin A Yarn Steakhouse,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105649123338058829022"">Glenn Coffman</a>'], 'photo_reference': 'AW30NDzGBe4TynNnmRw5Sv6_ommSRCpm2Bhs-4udtmzNmW93XmpmnqUOlWajBWKUyGbV-amPm7m9pJIk9fukIA50ZDDCcu5dzgP8mJJz8up6OpYHoSlBv4WL1BxfSJMSlwwb_AjmYrW1YR3njLrBIfmjoXJ-31iuyOpSA9boeCWIYJ9YenUD', 'width': 3024}]",ChIJ1Qgk61nGj4ARBFPW5t4bucM,"{'compound_code': 'F3W8+3G Fremont, CA, USA', 'global_code': '849WF3W8+3G'}",2.0,4.4,ChIJ1Qgk61nGj4ARBFPW5t4bucM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",924.0,"45915 Warm Springs Boulevard, Fremont",
OPERATIONAL,"{'location': {'lat': 37.4766667, 'lng': -121.9213889}, 'viewport': {'northeast': {'lat': 37.4778740802915, 'lng': -121.9201601697085}, 'southwest': {'lat': 37.4751761197085, 'lng': -121.9228581302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ho Chow Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104409702597682673587"">Sina Ferdosi</a>'], 'photo_reference': 'AW30NDyvtkii5UlvO5h7-fAyt8P5kr_Rj_utT2s742wUIgxXMHK8E89BXmFcyri87YQfjGJSMYyTMdD-cFMwIorf3Rd13_4jartBkk8jjTdE7SbZ3A-p2m4esP7oDtpAxfRVD97NL5Cl98zG5LTWop1ku2MYfSvULfEETmOagnfXAQkImqpo', 'width': 4032}]",ChIJX2xbDRfGj4AR16fKSQwGI1M,"{'compound_code': 'F3GH+MC Fremont, CA, USA', 'global_code': '849WF3GH+MC'}",2.0,4.0,ChIJX2xbDRfGj4AR16fKSQwGI1M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",218.0,"47966 Warm Springs Boulevard, Fremont",
CLOSED_TEMPORARILY,"{'location': {'lat': 37.5030327, 'lng': -121.9478683}, 'viewport': {'northeast': {'lat': 37.50429793029151, 'lng': -121.9465942697085}, 'southwest': {'lat': 37.50159996970851, 'lng': -121.9492922302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sala Thai 2 Grimmer,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105486300913362505811"">Rachel Windsor</a>'], 'photo_reference': 'AW30NDxPqU6BzofKWJxkkuERzVhCeiICan4A_dgjLXsybxBoGuGtAzpSfkJZTtsSexcQf6L4SCF30DbiKwaqwAxdKecgfmCYtxKHo4ajJD9X1JhaW4RyuaiVLq6jAein1ouwQ0jAMGjOkxpZOB1ry-LwmdAP2zzGLnsww7YRkqetjNrjzBeY', 'width': 4032}]",ChIJ4SkdmgLHj4AR34AV1LLStb4,"{'compound_code': 'G332+6V Fremont, CA, USA', 'global_code': '849WG332+6V'}",2.0,4.2,ChIJ4SkdmgLHj4AR34AV1LLStb4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1016.0,"44800 South Grimmer Boulevard, Fremont",True
OPERATIONAL,"{'location': {'lat': 37.4998406, 'lng': -121.9732551}, 'viewport': {'northeast': {'lat': 37.5012711802915, 'lng': -121.9719154197085}, 'southwest': {'lat': 37.4985732197085, 'lng': -121.9746133802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Toro Sushi Stone Grill & Bar,{'open_now': True},"[{'height': 1848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112833630067764042002"">Toro Sushi Stone Grill &amp; Bar</a>'], 'photo_reference': 'AW30NDwwoQeCFd8qbKOadDePwV3RhVWbkfkUF9jt8BKcINhZzelRTwV_U1r6SJavyOwXhuBBVFmIWH_y-T8sZw5ikqwZj6NzRyIOuc1YgGnulnJQWiqjUKdXApV5BvpE5yUa7GpTWMvfE8C66Ys23pxbIurALEajcv2RIHI8-QS1hq-B9r6O', 'width': 2768}]",ChIJdbu3YWzHj4ARioMDEMOoZyU,"{'compound_code': 'F2XG+WM Fremont, CA, USA', 'global_code': '849WF2XG+WM'}",2.0,4.2,ChIJdbu3YWzHj4ARioMDEMOoZyU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",819.0,"43785 Boscell Road, Fremont",
OPERATIONAL,"{'location': {'lat': 37.4911467, 'lng': -121.9297541}, 'viewport': {'northeast': {'lat': 37.4924305802915, 'lng': -121.9283878197085}, 'southwest': {'lat': 37.48973261970851, 'lng': -121.9310857802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2880, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111911677710287702740"">Stephane Maes</a>'], 'photo_reference': 'AW30NDy9_8XvJrEjvmclW6OIuJcAixwXFKp7EAeVT-VPJXHXkWhdRZZOQUuD4Nk07cJ3x1Zx5rc6nAUKwCTuQoMHxqyM0qRiRNbsUslFq-zFrxoNSbIpeFo_HuBqQv8tmbmNqT0dwBAo7WsHx9Gq1tM2n68-z5opysithr0_WuEI3YA2x5Bm', 'width': 2160}]",ChIJIy6pr1zGj4ARyeC4vl8sqns,"{'compound_code': 'F3RC+F3 Fremont, CA, USA', 'global_code': '849WF3RC+F3'}",1.0,3.2,ChIJIy6pr1zGj4ARyeC4vl8sqns,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",77.0,"46659 Mission Boulevard Suite K-2, Fremont",
OPERATIONAL,"{'location': {'lat': 37.491105, 'lng': -121.929807}, 'viewport': {'northeast': {'lat': 37.49240098029149, 'lng': -121.9284356697085}, 'southwest': {'lat': 37.48970301970849, 'lng': -121.9311336302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110805630376551108066"">Kyle Windsor</a>'], 'photo_reference': 'AW30NDzgA-MTSwMyWscYxKWp_DeRNKVjSWXT1HPh6BXuL-n9E2SpcKDSDI2pxWyNYYZeSwKvlXxZ8rOl3qD_Gkf15a5TGuJI0marz7tIaAR_IJDKPpLszGPbQjtC-L2h_W4bPAPoJXyStreKQWJ_uOkgLWorZnJYvf6eS4ngKkUOUA_mjPUg', 'width': 4032}]",ChIJe2tJpVzGj4AR6Xkw4d14Ttw,"{'compound_code': 'F3RC+C3 Fremont, CA, USA', 'global_code': '849WF3RC+C3'}",2.0,4.1,ChIJe2tJpVzGj4AR6Xkw4d14Ttw,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",576.0,"Plaza, 46655 Mission Boulevard, Fremont",
OPERATIONAL,"{'location': {'lat': 37.5042064, 'lng': -121.974016}, 'viewport': {'northeast': {'lat': 37.5054473802915, 'lng': -121.9726371197085}, 'southwest': {'lat': 37.5027494197085, 'lng': -121.9753350802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102693556010889762874"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDxS6mQVQNyPeSwKOEoqmQMH-7nXMt6ogABITSeQMD_0Np-CVLg0zb7lDQ5DYzWLAIHAvxnifyYNq3UHho3ZnUZsNvZEyRI4CKp7UL0cpNq1O5TEzC3Q91plnN88i_zfNUTrtX5P2SdzCgV9EekEbZ353bFFitm4lzv_GzDW-mSaeSkm', 'width': 1337}]",ChIJJRNpT2rHj4ARUFkTDQjCC1M,"{'compound_code': 'G23G+M9 Fremont, CA, USA', 'global_code': '849WG23G+M9'}",1.0,4.6,ChIJJRNpT2rHj4ARUFkTDQjCC1M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2970.0,"43349 Pacific Commons Boulevard, Fremont",
OPERATIONAL,"{'location': {'lat': 37.45166, 'lng': -121.92143}, 'viewport': {'northeast': {'lat': 37.4528298802915, 'lng': -121.9200847697085}, 'southwest': {'lat': 37.4501319197085, 'lng': -121.9227827302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 4656, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112818141950652855431"">Mark O&#39;Deady</a>'], 'photo_reference': 'AW30NDyEq9ACOEPFWHenaFfVMkPW_avGE7BmUU6S6vKTtkqWxDBsexLsWV7TfIhddjyU4iQeYTgVpx6n-VQhOlp_BPmAqK6fKv6MA2CGG3yFU6ORO4Z3CRVUYk6MOwl1NAHT2q7tcl_1KGzYWDQO1Yr4vY1Ls4zRqtTscrQBjO85jGJ5m9lx', 'width': 3492}]",ChIJW2lp3bzIj4ARdQD877amODc,"{'compound_code': 'F32H+MC Milpitas, CA, USA', 'global_code': '849WF32H+MC'}",2.0,4.1,ChIJW2lp3bzIj4ARdQD877amODc,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",496.0,"1545 California Circle, Milpitas",
CLOSED_TEMPORARILY,"{'location': {'lat': 37.4548986, 'lng': -121.9158594}, 'viewport': {'northeast': {'lat': 37.4561850302915, 'lng': -121.9145013697085}, 'southwest': {'lat': 37.45348706970851, 'lng': -121.9171993302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Barrio Fiesta Restaurant,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101623472979356047884"">Jason Foard</a>'], 'photo_reference': 'AW30NDwTgPRo4zuYEHlz6lodI70GEbjFCeejXQia-J02tWNRH9LutpVNUgqcj2y8DRzpQVqUeq3zwNEy9dR6EkTzOd2DGJQUDKFYIDXgOqgbJPc2rPHfMC8sSFVZEBkLp2eryk2e7h3ShbvSvDN8rLvv9YVpaqXdVCN_XX5CrOP_O9hiVwGJ', 'width': 4160}]",ChIJuxzGGLvIj4ARIur9bk5p3jo,"{'compound_code': 'F33M+XM Milpitas, CA, USA', 'global_code': '849WF33M+XM'}",2.0,4.0,ChIJuxzGGLvIj4ARIur9bk5p3jo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",104.0,"1790 Milmont Drive, Milpitas",True
OPERATIONAL,"{'location': {'lat': 37.5057331, 'lng': -121.9701951}, 'viewport': {'northeast': {'lat': 37.5071228802915, 'lng': -121.9690730197085}, 'southwest': {'lat': 37.50442491970851, 'lng': -121.9717709802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Market Broiler Fremont,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106147316764498333608"">Thomas Kuo</a>'], 'photo_reference': 'AW30NDyqilMKMn0RUlSZj-orDzG_QqEXwbFNg2HgrsH22Q3JMqhUzV6Y6bxmyxxKx2fbhZpakAAxDvn8CHGa06IG6lzai6cO0OQH6fBOQXmwHRUr6eMkaKN7LffEQSPfQmV0LVmnStf_9so0NCbQC5x08wHte4NSZMlxbjehYJYJeTpQoE20', 'width': 4032}]",ChIJcRaZnhTHj4AR8Dr75lSzX-8,"{'compound_code': 'G24H+7W Fremont, CA, USA', 'global_code': '849WG24H+7W'}",2.0,4.3,ChIJcRaZnhTHj4AR8Dr75lSzX-8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1556.0,"43406 Christy Street, Fremont",
