business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.7961062, 'lng': -119.789905}, 'viewport': {'northeast': {'lat': 36.7973981802915, 'lng': -119.7885636197085}, 'southwest': {'lat': 36.7947002197085, 'lng': -119.7912615802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102612993537516586875"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDz9ilIp2R4IVbdV3Lqt0qsWLms1tDg8f8tZXy4uxNDqLCNnmJPfRKpipdVrEAKCz8TVagPisTkz4I_r12juVT-yfgJgzMsDHDj4JHKGBSR5c6tTiQq_NU8-H9xuIVPottqI1mwYntE1et1zr95EffwihU9HlNfrqnKrZqC8NGsktQe2', 'width': 1337}]",ChIJvcsCDIBnlIARC6p9V1AJYDI,"{'compound_code': 'Q6W6+C2 Fresno, CA, USA', 'global_code': '8582Q6W6+C2'}",1.0,4.6,ChIJvcsCDIBnlIARC6p9V1AJYDI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4638.0,"4302 North Blackstone Avenue, Fresno",
OPERATIONAL,"{'location': {'lat': 36.78097450000001, 'lng': -119.7731694}, 'viewport': {'northeast': {'lat': 36.7822100802915, 'lng': -119.7720937197085}, 'southwest': {'lat': 36.7795121197085, 'lng': -119.7747916802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103272457136254060435"">Singh California</a>'], 'photo_reference': 'AW30NDyEi7Mze-Wu956DHOdQ7smeyrprlXdOXL5qvZxCLczAT0mlctHSxJ0U0hZXz-jt07jJ8NYuqZcJy_ZOqQ8V4cX1MECLRh8Sh0Sx8zZkByFrIqoY1DVfA5vDbRc7hoO5Ui-QKgUR-X_Eo5IK7C_-ZExoLqGsMD3-6714U93IMzmDEIGw', 'width': 3223}]",ChIJCXe0tuxdlIAR_U1sd-2MCQQ,"{'compound_code': 'Q6JG+9P Fresno, CA, USA', 'global_code': '8582Q6JG+9P'}",1.0,3.5,ChIJCXe0tuxdlIAR_U1sd-2MCQQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",85.0,"3073 East Shields Avenue Suite A-6, Fresno",
OPERATIONAL,"{'location': {'lat': 36.7727055, 'lng': -119.7729963}, 'viewport': {'northeast': {'lat': 36.77405488029149, 'lng': -119.7715592697085}, 'southwest': {'lat': 36.7713569197085, 'lng': -119.7742572302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Sam's Italian Deli & Market,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109878042863150073993"">Rigs Rocks</a>'], 'photo_reference': 'AW30NDwhUu6px46SG7fPvbljHR2NSVmbWyBeadKgo_JgmsOp5K_sYQGyPC4YM_iXdUX5YHpvbBp5skwOYZOpk_1OaI1CSOa73EfCRjkpx1lN85f-0GrpXGI3sRUVrIG9N0O0v6GPDnNnqpvTZzhC91wBzFvjofm63crwIi_t-qlzcE269EMB', 'width': 4032}]",ChIJq6jYIO9dlIARdtJe9ti_ZCw,"{'compound_code': 'Q6FG+3R Fresno, CA, USA', 'global_code': '8582Q6FG+3R'}",1.0,4.7,ChIJq6jYIO9dlIARdtJe9ti_ZCw,GOOGLE,"['liquor_store', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2039.0,"2415 North First Street, Fresno",
OPERATIONAL,"{'location': {'lat': 36.7996746, 'lng': -119.7712847}, 'viewport': {'northeast': {'lat': 36.8011315302915, 'lng': -119.7699700697085}, 'southwest': {'lat': 36.7984335697085, 'lng': -119.7726680302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113023729060792893485"">Nico Z</a>'], 'photo_reference': 'AW30NDyytFe-FMAP-tOP3RS6D61_TASR_GH3VdP7cfq5fWA0UcV-y_Auwa3veuUpHoibTZM4jDQeMMsowGRIYY4RsowasGt7EfGlnrf9HUhRChWdTdWhVa8hOegQaGmHDW6UBPDY-CKXxTA9NXEjmpWA20XWgu3drjvod57QpnPNcnFX4Qgg', 'width': 2576}]",ChIJ-7QLDXZdlIARC8BTI4K_0gQ,"{'compound_code': 'Q6XH+VF Fresno, CA, USA', 'global_code': '8582Q6XH+VF'}",1.0,3.8,ChIJ-7QLDXZdlIARC8BTI4K_0gQ,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",535.0,"4550 North First Street, Fresno",
OPERATIONAL,"{'location': {'lat': 36.80105139999999, 'lng': -119.7713128}, 'viewport': {'northeast': {'lat': 36.80213988029149, 'lng': -119.7700031697085}, 'southwest': {'lat': 36.79944191970849, 'lng': -119.7727011302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102939175500688522561"">Moe Bundy DeVries</a>'], 'photo_reference': 'AW30NDyY-XwDyAOCjeyFqCQJUKCGKCQdGEx3pxBBkX67E46KA2LAPTZZnbaHWdHVLxLP2cX8xdpQHzrsJXv6X2Zum1UtJevgH4ncWWbiBdwrIC5aOs1MzIfrUZC5sbCAbVZMfkZtDFaH0Nxf5F2y-1gmrwOrI5MdHTVw1WshK-xIyn0mV6sU', 'width': 3000}]",ChIJX2lm4XVdlIAR1tSQ4cyFoBY,"{'compound_code': 'R62H+CF Fresno, CA, USA', 'global_code': '8582R62H+CF'}",1.0,3.4,ChIJX2lm4XVdlIAR1tSQ4cyFoBY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",74.0,"3108 East Gettysburg Avenue Suite 102, Fresno",
OPERATIONAL,"{'location': {'lat': 36.7789048, 'lng': -119.7908787}, 'viewport': {'northeast': {'lat': 36.7802396802915, 'lng': -119.7894123197085}, 'southwest': {'lat': 36.7775417197085, 'lng': -119.7921102802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117088027583966279719"">HenryNKali Saldana</a>'], 'photo_reference': 'AW30NDwd0yEDIRHY02pVzM4yl7HtqxLCT31PDD_YXyrjd9lEDKLVuzld4UJ5J5cBMa3XFzQx7dF6bvRN7RoOIj9Z23LeYcvJ6n7QHCN42YZXtvKN1vk9j1AXktkHojXVz14AhCM0H1EXlH098UwZPUIRtg5TmurriVknn0akt2ORHZnu4zhL', 'width': 1920}]",ChIJvQZllmFnlIARl9n93tywnOA,"{'compound_code': 'Q6H5+HJ Fresno, CA, USA', 'global_code': '8582Q6H5+HJ'}",1.0,3.7,ChIJvQZllmFnlIARl9n93tywnOA,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2605.0,"3115 North Blackstone Avenue, Fresno",
OPERATIONAL,"{'location': {'lat': 36.79485659999999, 'lng': -119.7901033}, 'viewport': {'northeast': {'lat': 36.79611953029149, 'lng': -119.7887178197085}, 'southwest': {'lat': 36.79342156970849, 'lng': -119.7914157802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103813807468445748589"">Pizza Hut</a>'], 'photo_reference': 'AW30NDyaX4gx1jk_t8Bv9Hx9OtVB8Owo8YcvL1_UD1hunu69_e3v5ftIamfM3N_mZ5evIGIWbYglPxBSz0DDQKdwu6loEYyJOICskAeOc7ho9rSgnpuUNRCO7-kqlCvn-IAAotUCYQYGKz9Vg0Tb9K7wCuXssCjLuSnIBdVOtd6fUY1NT6E-', 'width': 1025}]",ChIJN7dOxlhnlIARAgHoZhlOUG8,"{'compound_code': 'Q6V5+WX Fresno, CA, USA', 'global_code': '8582Q6V5+WX'}",1.0,3.8,ChIJN7dOxlhnlIARAgHoZhlOUG8,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",258.0,"4260 North Blackstone Avenue, Fresno",
OPERATIONAL,"{'location': {'lat': 36.7808473, 'lng': -119.7696963}, 'viewport': {'northeast': {'lat': 36.7815809302915, 'lng': -119.7681602197085}, 'southwest': {'lat': 36.7788829697085, 'lng': -119.7708581802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Dynasty Restaurant,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102939175500688522561"">Moe Bundy DeVries</a>'], 'photo_reference': 'AW30NDxc6wunvUfykEn_--Wt5SxIeLL7zzUR1dFyZk2e8665CoeR6F7f8fh0F_TF0Wc3oe-FMINxjzqj2uc3R7NjpiPecr43Md5IUB598zLqelH9oh80xZ5unoEGJ3ArbNXlmEdKR9FCpsw_DyKz_ejPdvxgCICTIeNaz7zdYGKDoxK1Arpm', 'width': 4000}]",ChIJxYNNLutdlIARV2PP4xSY2CY,"{'compound_code': 'Q6JJ+84 Fresno, CA, USA', 'global_code': '8582Q6JJ+84'}",1.0,4.2,ChIJxYNNLutdlIARV2PP4xSY2CY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",489.0,"3201 East Shields Avenue, Fresno",
OPERATIONAL,"{'location': {'lat': 36.780111, 'lng': -119.786698}, 'viewport': {'northeast': {'lat': 36.7814475802915, 'lng': -119.7854235697085}, 'southwest': {'lat': 36.7787496197085, 'lng': -119.7881215302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101146418998574794374"">gregorio ruizdechavez</a>'], 'photo_reference': 'AW30NDxKof_fSu78Ofow5Q7XLqKxUzDk8VsZn3iT3yREPHihagIy3dr8UxEpdjPPaz1a9QVGiCYyz0oQkX0WqWQ44qR_7gbWtn_ZzlRTD-Q9jGIcvSCSL_d7K8BhnDweG0KDFpGKoJTotxD-r_miAchs6od4QVwfscUpTo7kqKP1v1eZs3Sq', 'width': 3264}]",ChIJCyz0FYpdlIAR-b3Ztm7He4A,"{'compound_code': 'Q6J7+28 Fresno, CA, USA', 'global_code': '8582Q6J7+28'}",2.0,4.2,ChIJCyz0FYpdlIAR-b3Ztm7He4A,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",826.0,"2035 East Shields Avenue, Fresno",
OPERATIONAL,"{'location': {'lat': 36.7906546, 'lng': -119.792162}, 'viewport': {'northeast': {'lat': 36.7920082802915, 'lng': -119.7907098197085}, 'southwest': {'lat': 36.7893103197085, 'lng': -119.7934077802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Shanghai Chinese Cuisine,{'open_now': True},"[{'height': 2027, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106234787331628604907"">DeWitt Senter</a>'], 'photo_reference': 'AW30NDz7hsEKp4SpsDIboIpnPh9T_MdX0u3wXBp4h_ThmsNjpN6bt4HIRGMtF5kDY136eTgNPNePolUcHyz9fNhyTSQ621UzxYVca5ONSuuH8AzvaytOHZcQ06gGPOymQRSn1ch3MU9F3Te8XhOA-iaIn2L3Ery7h3CtYUPbZW8pkjMuHYZq', 'width': 4255}]",ChIJIYXya35nlIARztxof5Wj_VM,"{'compound_code': 'Q6R5+74 Fresno, CA, USA', 'global_code': '8582Q6R5+74'}",2.0,4.2,ChIJIYXya35nlIARztxof5Wj_VM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1008.0,"4011 North Blackstone Avenue, Fresno",
