business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.1488822, 'lng': -96.83031729999999}, 'viewport': {'northeast': {'lat': 33.1500983302915, 'lng': -96.8290406197085}, 'southwest': {'lat': 33.1474003697085, 'lng': -96.8317385802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Babe's Chicken Dinner House,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109050580032243550187"">Jeff Vaughan</a>'], 'photo_reference': 'AW30NDyC9_EmkBMr_4Yf7ojFB53nWWB2TIOPIKUmT1ktLZmNgs7mB1hesw86h6S_yx5HfSkW_eg5GJjkuqnI5Zxz1vuRx57mKyQwQCrmZL6p4ZI7Gws6Lx-hRMLbMYXJ1IIq1faweOWnXZkU2VwnicY9eTwDflMzbmlO2mn3Tg3lXDBgKuGc', 'width': 4032}]",ChIJeWRcyAg8TIYRcKTsRrTskw4,"{'compound_code': '45X9+HV Frisco, TX, USA', 'global_code': '865545X9+HV'}",2.0,4.6,ChIJeWRcyAg8TIYRcKTsRrTskw4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3829.0,"6475 Page Street, Frisco",
OPERATIONAL,"{'location': {'lat': 33.1499553, 'lng': -96.8372091}, 'viewport': {'northeast': {'lat': 33.15157628029151, 'lng': -96.8358386197085}, 'southwest': {'lat': 33.14887831970851, 'lng': -96.8385365802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark Frisco Square and XD,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106072635038638396619"">G A</a>'], 'photo_reference': 'AW30NDzSZs-KOllx9ZWX_IlrVjFBf28Mr450r3bFqk3aXJBHRIjYCiyRFt29C6nLUf2e6RuhVmduqZkm4HHaT0Tj23NzWLDIG6wTgUJmWmwe4crTVOZa2NgXm-sFwBbHRbgTwyXgVoWdmla4GOh4ED642hiewVN5skpqB7RtvWSTCCMHwyQx', 'width': 4032}]",ChIJWaq-Ivg7TIYRMVhYsz6A3Zk,"{'compound_code': '45X7+X4 Frisco, TX, USA', 'global_code': '865545X7+X4'}",,4.4,ChIJWaq-Ivg7TIYRMVhYsz6A3Zk,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2235.0,"5655 Frisco Square Boulevard, Frisco",
OPERATIONAL,"{'location': {'lat': 33.1506159, 'lng': -96.82350199999999}, 'viewport': {'northeast': {'lat': 33.1518965302915, 'lng': -96.82218306970849}, 'southwest': {'lat': 33.1491985697085, 'lng': -96.8248810302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Randy's Steakhouse,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104660197794949206868"">Randy&#39;s Steakhouse</a>'], 'photo_reference': 'AW30NDyfDqvE3Gf__vQ43XRe-qWKyUsHnN_v__MvPTb6N_Bt_Aon6gz07KS5DP6AS5pgzZ23laV0IuRdNVcK34dV8MYQ-TCDWy8ZGzknybmbIdDSHNtfbaPzy2yrOybQenz4JxIfeRTIh2cQqeanLK-oMg1vD6VNZz8B9mRF0gsoozWbSn5t', 'width': 1500}]",ChIJLYVCpxo8TIYRYnhglq5nyEQ,"{'compound_code': '552G+6H Frisco, TX, USA', 'global_code': '8655552G+6H'}",3.0,4.4,ChIJLYVCpxo8TIYRYnhglq5nyEQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",792.0,"7026 Main Street, Frisco",
OPERATIONAL,"{'location': {'lat': 33.1493247, 'lng': -96.80375529999999}, 'viewport': {'northeast': {'lat': 33.1505947802915, 'lng': -96.80264831970848}, 'southwest': {'lat': 33.1478968197085, 'lng': -96.8053462802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dairy Queen,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109646899505220985891"">Eric Holmes (Acoustic Sessions)</a>'], 'photo_reference': 'AW30NDyKTF5yqeP4-su9tnFV9H-wWpIgmhF54Lx5V0N8IsMmSpbq6cVmOruZF8KTTzasKQygHGLJ2SUo-pWnppk11Ox90qQGlIC2KncmRh-zkIM52WeuMph-6el9wMMnSKlxvK6iAIWzo4lnF3SLDAQvrsvi7TdkazfezO2GweYGnf07tYHZ', 'width': 4032}]",ChIJafiDrTo8TIYRGwCiQ2_dZVw,"{'compound_code': '45XW+PF Frisco, TX, USA', 'global_code': '865545XW+PF'}",1.0,4.0,ChIJafiDrTo8TIYRGwCiQ2_dZVw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",624.0,"8890 Preston Road, Frisco",
OPERATIONAL,"{'location': {'lat': 33.151518, 'lng': -96.83505}, 'viewport': {'northeast': {'lat': 33.1528197802915, 'lng': -96.8336414697085}, 'southwest': {'lat': 33.1501218197085, 'lng': -96.8363394302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sake Toro Sushi,{'open_now': False},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107630754631079060892"">Audrelyn Grace</a>'], 'photo_reference': 'AW30NDwBc5-H-bioCfrs83gmTIP9IHsTbXNbn3DFMAHGbnjg-wij7nnQeMN69Pp3DfyFfws_spavJqiM5g82-PshKqSHg026bz8nMdMAMk7v61yMjx3CpRZA_dLTv1KjmDgwAzK1CxYWZ_85Xl07m7unwNSbQSto0k5asqIqMQubqZNmFrpi', 'width': 4032}]",ChIJIQrxiwc8TIYR6WZYw581VzU,"{'compound_code': '5527+JX Frisco, TX, USA', 'global_code': '86555527+JX'}",2.0,4.2,ChIJIQrxiwc8TIYR6WZYw581VzU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",405.0,"8801 Coleman Boulevard, Frisco",
OPERATIONAL,"{'location': {'lat': 33.159809, 'lng': -96.83925029999999}, 'viewport': {'northeast': {'lat': 33.1609871802915, 'lng': -96.83785231970847}, 'southwest': {'lat': 33.1582892197085, 'lng': -96.8405502802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Rudy's ""Country Store"" and Bar-B-Q",{'open_now': True},"[{'height': 2121, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104102926297102996243"">Konstantin L</a>'], 'photo_reference': 'AW30NDyn5062u8YM_bNKXRB5Bdyuu_z7JmZZ5U6ldCp9mP-waM3BCeATRnmpIb-Pjak9TmeDK4yXqCtv_U61Ci4ANhcRd6Us18ZSTH21xszhdU63iBskSZk31ijDrovEkBafkFB45rXQ5ONirwz05-RWdwLT7TYNJH0DZi7aXA7YYREPje5O', 'width': 3771}]",ChIJ6yvJFf47TIYR1ESrMbH2v38,"{'compound_code': '5556+W7 Frisco, TX, USA', 'global_code': '86555556+W7'}",2.0,4.4,ChIJ6yvJFf47TIYR1ESrMbH2v38,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1727.0,"9828 Dallas Parkway, Frisco",
OPERATIONAL,"{'location': {'lat': 33.1510406, 'lng': -96.8258401}, 'viewport': {'northeast': {'lat': 33.1523093802915, 'lng': -96.82445306970848}, 'southwest': {'lat': 33.1496114197085, 'lng': -96.82715103029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Simply Thai Bistro - Main St,{'open_now': False},"[{'height': 955, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105617950065952211470"">Simply Thai Bistro - Main St</a>'], 'photo_reference': 'AW30NDzeJVYLDurps2QyQ04O758vbWyVWFv1D_4DHkbz4eyF16VEcueIfiQaVKIEFfP8CcgZotW5d3EhXmktX0zcn3mpAY7d9_FNkf-kCcfNEfsCyTQjRcivIaJr6OLxhjPle_rqD5_Ai3hurv3wnVr5_yMKfgyJd7BYmEqWHBYvs5mHPxPx', 'width': 956}]",ChIJ8fVvXQU8TIYRyFRyhwy_NmA,"{'compound_code': '552F+CM Frisco, TX, USA', 'global_code': '8655552F+CM'}",2.0,4.2,ChIJ8fVvXQU8TIYRyFRyhwy_NmA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",703.0,"6842 Main Street #101, Frisco",
OPERATIONAL,"{'location': {'lat': 33.1373202, 'lng': -96.80501389999999}, 'viewport': {'northeast': {'lat': 33.13865458029149, 'lng': -96.80352981970849}, 'southwest': {'lat': 33.1359566197085, 'lng': -96.8062277802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106417997636853746498"">Jjay R16:16</a>'], 'photo_reference': 'AW30NDw_5DcK15ZGFnvxfsflKC8TK2MPuKfi_VrqzLuEKlo_lDbAr4krg4ooEUQ4VPfLZY9czCTrFg0EG7Mmw9yelfGjQSrbd9usdgEeq0m7YTqmuEqEg8oAHidorWg9UDeMeiBzZgQJl2_k9XUlPXVN7X4NNhotzG4qy3biRAf3MxNiHPSG', 'width': 4032}]",ChIJ_7Z8TEY8TIYRKRtnDDAYsiw,"{'compound_code': '45PV+WX Frisco, TX, USA', 'global_code': '865545PV+WX'}",2.0,4.2,ChIJ_7Z8TEY8TIYRKRtnDDAYsiw,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",478.0,"7135 Preston Road, Frisco",
OPERATIONAL,"{'location': {'lat': 33.13734, 'lng': -96.8060048}, 'viewport': {'northeast': {'lat': 33.13895773029149, 'lng': -96.80461736970848}, 'southwest': {'lat': 33.1362597697085, 'lng': -96.8073153302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Thai Green Village,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107409996583906192052"">Marquetta Baker</a>'], 'photo_reference': 'AW30NDzCXCdxl7O2sPuccTOpbr4yQZtMD__fKetGREmnfEHEIT0--ua0l8deUjSCS3DBy9debdIo2XAPWJVFI5WG76zpPVkKtCBfYFdDF2uD8oI3UlpwXPwiNEQvAPRQ8hEWCZB_usrK1tHix17xhptNSgCIyPMHdzAtUaagDh39aG3wxZxx', 'width': 4032}]",ChIJAcKjBUc8TIYR-Fq_O9fEbTU,"{'compound_code': '45PV+WH Frisco, TX, USA', 'global_code': '865545PV+WH'}",2.0,3.8,ChIJAcKjBUc8TIYR-Fq_O9fEbTU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",285.0,"7151 Preston Road Ste 201, Frisco",
OPERATIONAL,"{'location': {'lat': 33.139765, 'lng': -96.80286199999999}, 'viewport': {'northeast': {'lat': 33.1411043302915, 'lng': -96.8016455697085}, 'southwest': {'lat': 33.1384063697085, 'lng': -96.8043435302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lucky 99,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107892039048257822457"">Sivabalan Kannan</a>'], 'photo_reference': 'AW30NDzEWGW2i_rhGj2wgrNFnosfZ3S0qX_IA6qBdJaFpy6KxFR0u8PVinnQ--aV0memKK6TjnDIOpxzGnQI4r7BbD3nw6-SJlNbdpLRmiSfzLSUrdRM-_IlOsf4BgBrkyf6sr5HZYSIt99UVSE0NLJBC4s_qFErXXrcp-wKNyC1EuLwssg1', 'width': 4032}]",ChIJgcSTH1s8TIYRXtEaabpZmtE,"{'compound_code': '45QW+WV Frisco, TX, USA', 'global_code': '865545QW+WV'}",2.0,3.7,ChIJgcSTH1s8TIYRXtEaabpZmtE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",223.0,"7410 Preston Road #125, Frisco",
