business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 29.6401479, 'lng': -82.343637}, 'viewport': {'northeast': {'lat': 29.6412719802915, 'lng': -82.3421582197085}, 'southwest': {'lat': 29.6385740197085, 'lng': -82.3448561802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wendy's,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112908829872583763415"">Wendy&#39;s</a>'], 'photo_reference': 'AW30NDwBdbKtge5D9d0dVc9OnLu0Q9gE_rlXYLD_auKbuUAx1KelCluq5w53lLK-3tsUtIxnykEVpb_cYMzYMp4K-ebvprrbHqOcCDT_MfsM5OwUAE2BoYudesfUwCfvNI4eOfEWk4WmBWblpfCSUCVUJtMOa0QW8H_zXV5imMGDMsC2Rxli', 'width': 720}]",ChIJidCpQp6j6IgRdMzUTTN2gjI,"{'compound_code': 'JMR4+3G Gainesville, FL, USA', 'global_code': '76XVJMR4+3G'}",1.0,3.6,ChIJidCpQp6j6IgRdMzUTTN2gjI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",224.0,"1600 Southwest Archer Road, Gainesville",
OPERATIONAL,"{'location': {'lat': 29.6739639, 'lng': -82.30188059999999}, 'viewport': {'northeast': {'lat': 29.6753132302915, 'lng': -82.30047681970849}, 'southwest': {'lat': 29.6726152697085, 'lng': -82.3031747802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Satchel's Pizza,{'open_now': False},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111337068880460963910"">Kenneth Burton</a>'], 'photo_reference': 'AW30NDwcFdlKI4uK5ZDm8rbCkJ-b98WhVY6LJrOjMqqRxFFvLQfZWkwkTTI6VMDX_8lNkz_hyHeYIwALmqwQdcMK5d32o9ozmJlTwF-3pu1iy4w8D5yD9GBMJh6A_mijIbVluCH55vBZkWvuPshWYl6bPcjiPnml_ALeUZJBbcvZZWqKetwb', 'width': 4000}]",ChIJ0eY99h2k6IgRILAjo-PIX0U,"{'compound_code': 'MMFX+H6 Gainesville, FL, USA', 'global_code': '76XVMMFX+H6'}",2.0,4.7,ChIJ0eY99h2k6IgRILAjo-PIX0U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3070.0,"1800 Northeast 23rd Avenue, Gainesville",
OPERATIONAL,"{'location': {'lat': 29.6398333, 'lng': -82.3434662}, 'viewport': {'northeast': {'lat': 29.6413402302915, 'lng': -82.34169101970849}, 'southwest': {'lat': 29.63864226970851, 'lng': -82.3443889802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115757294230614269945"">Noah Jones</a>'], 'photo_reference': 'AW30NDyKMIOQj0z1tWr2E4cGFRu2jVH-JoiBUWlkELmj3N6Jw-i2Ye5KEXP0yc2AKVTiNoDjxIaeOozAA9eyKyGtx7czPShc1ozcQWbNmppnW9fOHW8CveGGHbENRssRHelIhucBfaGSrZtg2LeVLxA272Cy2eIHz8NwFnnMnfajDCyjlLmy', 'width': 3264}]",ChIJAVMuT3Sj6IgRCkMujxIY5FE,"{'compound_code': 'JMQ4+WJ Gainesville, FL, USA', 'global_code': '76XVJMQ4+WJ'}",1.0,3.2,ChIJAVMuT3Sj6IgRCkMujxIY5FE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",45.0,"1600 Southwest Archer Road, Gainesville",
OPERATIONAL,"{'location': {'lat': 29.652559, 'lng': -82.325294}, 'viewport': {'northeast': {'lat': 29.6539695302915, 'lng': -82.3238732197085}, 'southwest': {'lat': 29.6512715697085, 'lng': -82.32657118029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Top,{'open_now': False},"[{'height': 4480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104758913342967861098"">Christine Caven</a>'], 'photo_reference': 'AW30NDyDBAxW1Ww2EGt6JH4_Kueb_uzkFlCbNEjalHMcYQSYhsQnkeoiVe-BULj5Oe3oepCl9Vbs0eaBRKeQWUTgyIFponT6C_2hJeexlkCGVtajKLOlqd6D-AU7HzmBDaH56R4AN_h9u8FEWFqxAwliTqe70SxmdbGj89PZPAu7I3XANiw6', 'width': 6720}]",ChIJ2-LhlIyj6IgRQ8m7dbD2M2I,"{'compound_code': 'MM3F+2V Gainesville, FL, USA', 'global_code': '76XVMM3F+2V'}",2.0,4.5,ChIJ2-LhlIyj6IgRQ8m7dbD2M2I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2441.0,"30 North Main Street, Gainesville",
OPERATIONAL,"{'location': {'lat': 29.650503, 'lng': -82.33610039999999}, 'viewport': {'northeast': {'lat': 29.6518515302915, 'lng': -82.33486016970849}, 'southwest': {'lat': 29.6491535697085, 'lng': -82.3375581302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Swamp Restaurant,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117214446803878412907"">The Swamp Restaurant</a>'], 'photo_reference': 'AW30NDzuEiWTww6XKTOce4ET9eno1YmOpmZthnTO2rbkIC4RNuOZuXxleNeLYu2vm-n0ig_Ouj7eZh-AxiBTJErMbycFH6YmReAc7T80sEhvV2wCwzEpPjOc1pTze6OVzbBLtk_Aoh9j5HBGGJkVxfSRVr4mqZw8xIULa_ysG9FKg8zWP67y', 'width': 2048}]",ChIJCURNZYKj6IgRX0Ismyjwfas,"{'compound_code': 'MM27+6H Gainesville, FL, USA', 'global_code': '76XVMM27+6H'}",2.0,4.0,ChIJCURNZYKj6IgRX0Ismyjwfas,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",769.0,"1104 Southwest 2nd Avenue, Gainesville",
OPERATIONAL,"{'location': {'lat': 29.6507277, 'lng': -82.3269306}, 'viewport': {'northeast': {'lat': 29.6520972802915, 'lng': -82.3255989697085}, 'southwest': {'lat': 29.6493993197085, 'lng': -82.3282969302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Five Star Pizza,{'open_now': True},"[{'height': 1947, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106126226145954313430"">Tony Shrum</a>'], 'photo_reference': 'AW30NDwd2peMgyioIgz1-C73SjLYuSXVZS77rbB6Cuwy9up0NpysOpj38w2J7lp7FMAXvLN2wqmX02sG5KSnGIHYWWdzLJSoLa6NSP93aGc1zGPcqbNdQ07Euw8P7ejUQdHim4i3KnxLhpoADkvhP7plpQ_y-YVE5pQuwGU9p52Sa5TkN3SX', 'width': 3463}]",ChIJpRSBsY2j6IgRv085Py6NMUc,"{'compound_code': 'MM2F+76 Gainesville, FL, USA', 'global_code': '76XVMM2F+76'}",1.0,4.2,ChIJpRSBsY2j6IgRv085Py6NMUc,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",515.0,"210 Southwest 2nd Avenue, Gainesville",
OPERATIONAL,"{'location': {'lat': 29.65007099999999, 'lng': -82.32374399999999}, 'viewport': {'northeast': {'lat': 29.6515382302915, 'lng': -82.32244041970849}, 'southwest': {'lat': 29.6488402697085, 'lng': -82.32513838029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dragonfly Sushi & Sake Company,{'open_now': True},"[{'height': 2173, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101021253677237594677"">Dragonfly Sushi &amp; Sake Company</a>'], 'photo_reference': 'AW30NDxurDRfVDHYDa_f1bB24hRjPxvxIMIdLrOMiNy7Z9vqPldz3YT-h-3gmDQMf9VLfZsS6IurAxDfA0iD7ACiddAOaS4EsG9nu-yw-y7VsgTvDPFT8-olvOvOwgTtW81dDoAnzVKRQhUWC3IbpmH_55aueYRM7P47HqNxIEwjW2Bwfi4m', 'width': 3863}]",ChIJ22Q1LY2j6IgRd7DnO6AoyDY,"{'compound_code': 'MM2G+2G Gainesville, FL, USA', 'global_code': '76XVMM2G+2G'}",3.0,4.5,ChIJ22Q1LY2j6IgRd7DnO6AoyDY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1480.0,"201 Southeast 2nd Avenue #104, Gainesville",
OPERATIONAL,"{'location': {'lat': 29.651877, 'lng': -82.331339}, 'viewport': {'northeast': {'lat': 29.6533189802915, 'lng': -82.33000891970849}, 'southwest': {'lat': 29.6506210197085, 'lng': -82.3327068802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Reggae Shack Cafe,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113336569841434418060"">Reggae Shack Cafe</a>'], 'photo_reference': 'AW30NDxpTHFrq-xJ7rnBq1Wa4uwcsUnKIEbFk_lu_FnNLBtglEkiyfN8pqQYtPCMUHUSWtEdBAWZtXVqi2VlOkknJVYNNhuR5R0vp7tQ1SZs2Kuq0O9vPb7zJgGLtQ3qorG7Ch7_Sv52qdV9xAhb66SZrfQHgnvZpvO-BaW3P_06kDR6ndOs', 'width': 3024}]",ChIJxyDu446j6IgRt4OBVrHtyPo,"{'compound_code': 'MM29+QF Gainesville, FL, USA', 'global_code': '76XVMM29+QF'}",2.0,4.1,ChIJxyDu446j6IgRt4OBVrHtyPo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1558.0,"619 West University Avenue, Gainesville",
OPERATIONAL,"{'location': {'lat': 29.67266619999999, 'lng': -82.3387999}, 'viewport': {'northeast': {'lat': 29.67407788029149, 'lng': -82.33746736970849}, 'southwest': {'lat': 29.67137991970849, 'lng': -82.3401653302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Adam's Rib Co,{'open_now': False},"[{'height': 533, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111384924450780337948"">Adam&#39;s Rib Co</a>'], 'photo_reference': 'AW30NDxKY7VBIleuaWXTdxfgM_hmeihDlRDrvqzUMA72YOch9-aRLz5ikIUES6PdIRSoCXD4oeajEV5Mv59ISJOwnIg6YoljEv38H3rgSy6JCAeSqKjFyhx6PDRjjCsSkh9aEBDgZDr90ddahxrDeIm8-nDB2HEzI2x2pJUhxPRF6fp8zuJI', 'width': 800}]",ChIJedTGvWSk6IgRGVnzLPOBHaY,"{'compound_code': 'MMF6+3F Gainesville, FL, USA', 'global_code': '76XVMMF6+3F'}",1.0,4.5,ChIJedTGvWSk6IgRGVnzLPOBHaY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1543.0,"2109 Northwest 13th Street, Gainesville",
OPERATIONAL,"{'location': {'lat': 29.652525, 'lng': -82.34513059999999}, 'viewport': {'northeast': {'lat': 29.6538957302915, 'lng': -82.34368841970849}, 'southwest': {'lat': 29.6511977697085, 'lng': -82.34638638029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Relish University Avenue,{'open_now': True},"[{'height': 2610, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117034631180629632002"">Anurag Bihani</a>'], 'photo_reference': 'AW30NDwUvZlYNdvRMtCgEhM5eL486LEQkDJbAgAXmV1KY7VIDnbLi6_gpl50hu1uxfsoKkyazZ9UCffTGqvEeD_dqF4ZSeZE_QQePEd102yBf7ce1cxe9HQXW-n1E4Wu_ar4CN3AgrLQk4uixW_t_N5qYmgEOUtZqnK99RDmJ57ZCz-0Dbxy', 'width': 4640}]",ChIJx8KweIKj6IgRZeh2yPMLNH0,"{'compound_code': 'MM33+2W Gainesville, FL, USA', 'global_code': '76XVMM33+2W'}",1.0,4.1,ChIJx8KweIKj6IgRZeh2yPMLNH0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",424.0,"1702 West University Avenue, Gainesville",
