business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.766293, 'lng': -117.9706167}, 'viewport': {'northeast': {'lat': 33.76773773029149, 'lng': -117.9692580197085}, 'southwest': {'lat': 33.76503976970849, 'lng': -117.9719559802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brodard Chateau,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109059348157051228691"">Brodard Chateau</a>'], 'photo_reference': 'AW30NDzOIjhSMUq3sbYqClEdjoPZW2B_mxqwpMtg9SuZuV6Bc8zmt_czB2Tx7GQEl_bdpbaSjfgDy7bZmv4zqCo5glxAW5FolK37EbxmLyhH5O3X74U4ZGM-aKzt5ivIwczQ69IbJvgXx1Ulaf0nogRy4r5lqkesr75osbE218ObddpYiKEj', 'width': 1500}]",ChIJOc7x8X8o3YARWGA4DUL8-5U,"{'compound_code': 'Q28H+GQ Garden Grove, CA, USA', 'global_code': '8554Q28H+GQ'}",2.0,4.4,ChIJOc7x8X8o3YARWGA4DUL8-5U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1033.0,"9100 Trask Avenue, Garden Grove",
OPERATIONAL,"{'location': {'lat': 33.7734183, 'lng': -117.9694928}, 'viewport': {'northeast': {'lat': 33.77466178029149, 'lng': -117.9680060697085}, 'southwest': {'lat': 33.7719638197085, 'lng': -117.9707040302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cham Soot Gol,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102608249135416838558"">Grace Lin</a>'], 'photo_reference': 'AW30NDxYB85TmpbLRArItJyeIup7A7rPe-g3CHEdQaCSv6RZiYZn2GmKWmWiVp5LAc-2A5B2zusxYpA2FOZR0KDbCZrmNbp9WmzjEd6BqEYgu69E9BuYKQb6_OeVEii5nu9DLhef7jOJ5oKNvxBLrpfbMoJraGRNgDW_nXFSpTzRYqNvfjJt', 'width': 1920}]",ChIJvWznB30o3YARYahZBAeBiDU,"{'compound_code': 'Q2FJ+96 Garden Grove, CA, USA', 'global_code': '8554Q2FJ+96'}",2.0,4.4,ChIJvWznB30o3YARYahZBAeBiDU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",762.0,"9252 Garden Grove Boulevard ste 10, Garden Grove",
OPERATIONAL,"{'location': {'lat': 33.7603976, 'lng': -117.9547342}, 'viewport': {'northeast': {'lat': 33.7617438302915, 'lng': -117.9532086697085}, 'southwest': {'lat': 33.7590458697085, 'lng': -117.9559066302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tebo Restaurant,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103206339937238788058"">Bao Ly</a>'], 'photo_reference': 'AW30NDzU1PM4eqjs8mna0sD6SNHpxDGhf3fKvaEiQCqC93oktQTOfuBXLzDpB10C_tTg2DY1lj_yALYZnyi2jUiQ-RRy9c-x81uQdzSnK71XuH0fGpt-DIJdIUoDLIzb9MBd11OKMPrUyVWoylSQsLvXCX6Mx1W7UtPy1LOwhypQ3fIlK1ZD', 'width': 4000}]",ChIJX66eXNsn3YARSbjc4hThavA,"{'compound_code': 'Q26W+54 Garden Grove, CA, USA', 'global_code': '8554Q26W+54'}",1.0,3.7,ChIJX66eXNsn3YARSbjc4hThavA,GOOGLE,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",257.0,"13916 Brookhurst Street Ste D-E, Garden Grove",
OPERATIONAL,"{'location': {'lat': 33.7737333, 'lng': -117.9560686}, 'viewport': {'northeast': {'lat': 33.7751113802915, 'lng': -117.9546029697085}, 'southwest': {'lat': 33.7724134197085, 'lng': -117.9573009302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1067, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102132462205604018747"">Subway</a>'], 'photo_reference': 'AW30NDydDtFgBwCCho5j1De7nyEUsugKGDreI7SutkRlFz30QUTBG58dRR06sTRPkA2BG_nERjf4NlMpQaqoW0B1_FBBUXvjCbvmGqh1TnCmEDd3vOz6fQvAaTKJ9dd8zS5BS2O0gNAe_aeHzoUpRRfo8HW6EY91Txn_MA4Rn5dZa4QhpTLV', 'width': 1600}]",ChIJ0b7Fx3Yo3YARQ4IWxzy-p9s,"{'compound_code': 'Q2FV+FH Garden Grove, CA, USA', 'global_code': '8554Q2FV+FH'}",1.0,3.6,ChIJ0b7Fx3Yo3YARQ4IWxzy-p9s,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",99.0,"10120 Garden Grove Boulevard Suite 153, Garden Grove",
OPERATIONAL,"{'location': {'lat': 33.7736806, 'lng': -117.9736944}, 'viewport': {'northeast': {'lat': 33.7751143302915, 'lng': -117.9724311697085}, 'southwest': {'lat': 33.7724163697085, 'lng': -117.9751291302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Peking Gourmet,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116520571155870454329"">백길남</a>'], 'photo_reference': 'AW30NDw98UuE0JBFomBQS9lBZuiRli0q506-N3vXFgKPpBCRuYnVu5u25tge_UycNLeQ7JkcakhafCny_QKusaY0ZnNAhIe_cUf7hO0r3ySc-6fZBn5ANRXW-Us62NytlXJrZUoOkYctnMw4GASD0r3CewEivwwkVg-VV6Eq228_Gf75SAXM', 'width': 4032}]",ChIJY4bXlYco3YARNI9ME8ULpJc,"{'compound_code': 'Q2FG+FG Garden Grove, CA, USA', 'global_code': '8554Q2FG+FG'}",2.0,4.3,ChIJY4bXlYco3YARNI9ME8ULpJc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",624.0,"9092 Garden Grove Boulevard A, Garden Grove",
OPERATIONAL,"{'location': {'lat': 33.7735431, 'lng': -117.9667575}, 'viewport': {'northeast': {'lat': 33.7749826302915, 'lng': -117.9653635197085}, 'southwest': {'lat': 33.7722846697085, 'lng': -117.9680614802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,BobaLoca / Chung chun rice hotdog,{'open_now': True},"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106781011452815504240"">BobaLoca / Chung chun rice hotdog</a>'], 'photo_reference': 'AW30NDymlgDmBdaT4yekmlVa4uYZBT8lHaY4MD111gUQwKtX0_fQ3sJMS3HGCL80o5fQaLcKy1L9cnb7PP49qQNNqdrc2P9RWIA3y1LJEWQv_WcS5cVZhsTG9HMT-jxhETxnXYUXIrO71vn2xy7PWeEr964TRHuRUvBH86F7CkhaxSbXyS4', 'width': 768}]",ChIJ5-7Rc3wo3YARI-O1IRRxyFM,"{'compound_code': 'Q2FM+C7 Garden Grove, CA, USA', 'global_code': '8554Q2FM+C7'}",1.0,4.2,ChIJ5-7Rc3wo3YARI-O1IRRxyFM,GOOGLE,"['cafe', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",135.0,"9520 Garden Grove Boulevard Ste 1, Garden Grove",
OPERATIONAL,"{'location': {'lat': 33.767243, 'lng': -117.972895}, 'viewport': {'northeast': {'lat': 33.7685171802915, 'lng': -117.9715138197085}, 'southwest': {'lat': 33.7658192197085, 'lng': -117.9742117802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118388214641016211238"">Ertan</a>'], 'photo_reference': 'AW30NDwnRg71BoDaGWt__uMCxzGn7kGrxiboPjKrnVhIhHhAOhy0Venb6p_vK2LD1UFwCgeKXptd0K_tOA4e-TDqGNALQSyB0s4dVgik2Ie6QLa_-8yIpH106N1f_FHo3fHXQN_Rha1mz9mSP-ZsZ0WSVSshbxukli0VN4C1hc2nr4PmazPI', 'width': 4032}]",ChIJSxlwb4Ao3YARtW-G4f0OxQk,"{'compound_code': 'Q28G+VR Garden Grove, CA, USA', 'global_code': '8554Q28G+VR'}",2.0,4.2,ChIJSxlwb4Ao3YARtW-G4f0OxQk,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",404.0,"13471 Magnolia Street, Garden Grove",
CLOSED_TEMPORARILY,"{'location': {'lat': 33.7583063, 'lng': -117.9566282}, 'viewport': {'northeast': {'lat': 33.7598083302915, 'lng': -117.9553253197085}, 'southwest': {'lat': 33.7571103697085, 'lng': -117.9580232802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lua Bistro,,,ChIJ_1im28Qn3YARPfBik-ZpBBo,"{'compound_code': 'Q25V+88 Garden Grove, CA, USA', 'global_code': '8554Q25V+88'}",,3.0,ChIJ_1im28Qn3YARPfBik-ZpBBo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"9892 Westminster Boulevard # 311, Garden Grove",True
OPERATIONAL,"{'location': {'lat': 33.7738115, 'lng': -117.9547732}, 'viewport': {'northeast': {'lat': 33.77514963029149, 'lng': -117.9534449197085}, 'southwest': {'lat': 33.7724516697085, 'lng': -117.9561428802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wienerschnitzel,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106806427179121037811"">Zen Tran</a>'], 'photo_reference': 'AW30NDzJoeMSG-Wbco2TnTkNWmdNNAxUxov7j3pcBh0ISog_kh1Vd25LK_2cK-2X4mcmPwMQTr8CZaQy_LAa-7C7B86QySjuSRtmibaYFDuUQVI71ck4rrH4lJfXoGUEM4IS-OymLzwjPrD-j3vEOGNvUxYaXLsCJf5LUOxMUz4WlwoNTP75', 'width': 3024}]",ChIJjcCYpHYo3YARjhi0F56p2zQ,"{'compound_code': 'Q2FW+G3 Garden Grove, CA, USA', 'global_code': '8554Q2FW+G3'}",1.0,4.2,ChIJjcCYpHYo3YARjhi0F56p2zQ,GOOGLE,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",686.0,"10192 West Garden Grove Boulevard, Garden Grove",
OPERATIONAL,"{'location': {'lat': 33.7735482, 'lng': -117.9662342}, 'viewport': {'northeast': {'lat': 33.77498003029149, 'lng': -117.9648875197085}, 'southwest': {'lat': 33.7722820697085, 'lng': -117.9675854802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BCD Tofu House,{'open_now': True},"[{'height': 2262, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117155725339324726856"">Chiyu</a>'], 'photo_reference': 'AW30NDx0cs-LHqWwKCJrTqBK67BRGvPfh1VajyhMWCPT9ArwbhoiPBJlVzLhiYaAIKYrwaiICEUZB_OVZlT3TOvYBRLkoqhS3w7jQNjfie1xN3L40g-nPN7X1HPFIAAJLqLK-DAUQk0kEXx0WhkeBl9Nzx9_hlaSbUUZWYlQ49z4F9JpYFcl', 'width': 3658}]",ChIJ5-7Rc3wo3YARhrOd1wMXMSM,"{'compound_code': 'Q2FM+CG Garden Grove, CA, USA', 'global_code': '8554Q2FM+CG'}",2.0,4.0,ChIJ5-7Rc3wo3YARhrOd1wMXMSM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",439.0,"9520 Garden Grove Boulevard #9, Garden Grove",
