business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.4511061, 'lng': -112.3417813}, 'viewport': {'northeast': {'lat': 33.4525851302915, 'lng': -112.3404430197085}, 'southwest': {'lat': 33.4498871697085, 'lng': -112.3431409802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 639, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107191163591067392763"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDyF5dgJKyh7Rwognz5g988hKT_AyrgU7ZgmjwYor37MtuQ2otyBAAvy-wLFXS_aBdWzl7I3eQzswdiH0ciqBLL1HGdlM_g_pW8kNiH8Gxz9xRTwXpCJ6DiDp9VLyKfyDRDPcPG0Xtv1BdjFTXOBswzVCUwAUiu92wCQOnKGLUJtUVWL', 'width': 960}]",ChIJ84DrxM44K4cRsqz2EOhGruc,"{'compound_code': 'FM25+C7 Goodyear, AZ, USA', 'global_code': '8559FM25+C7'}",2.0,4.0,ChIJ84DrxM44K4cRsqz2EOhGruc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3023.0,"420 North Dysart Road, Goodyear",
OPERATIONAL,"{'location': {'lat': 33.4839629, 'lng': -112.3630696}, 'viewport': {'northeast': {'lat': 33.4853686802915, 'lng': -112.3615919197085}, 'southwest': {'lat': 33.4826707197085, 'lng': -112.3642898802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107319522787289278932"">Bryan Cruikshank</a>'], 'photo_reference': 'AW30NDxQD17HD7JhvLWvLHHWdfw9rHoWqm8u2w1JVHLGfMKN_tw-5lSbVwWml-1OwMUTqgvpjguIbvkBWlRohPUZQcI0CVCNIFsPy0xPszKAqzHkL7RGpEwo3aWVQTFD5mKfk-NWoo1SwD6EdHHxrpnS3cSW04J7GnjS-648ko30DjYc5z06', 'width': 3024}]",ChIJpR005WVHK4cRgD7rxhECk7E,"{'compound_code': 'FJMP+HQ Goodyear, AZ, USA', 'global_code': '8559FJMP+HQ'}",1.0,3.8,ChIJpR005WVHK4cRgD7rxhECk7E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",92.0,"14175 West Indian School Road A02, Goodyear",
OPERATIONAL,"{'location': {'lat': 33.4622061, 'lng': -112.3595782}, 'viewport': {'northeast': {'lat': 33.46343968029149, 'lng': -112.3582272697085}, 'southwest': {'lat': 33.4607417197085, 'lng': -112.3609252302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102921512307311902255"">R C</a>'], 'photo_reference': 'AW30NDzA0id7DLQVO37QXa1M5uYYNECvh7Z3KTxj3TYcXoPNvOG9Gqvxw0QgfeHnYnpEXKbR_vvRTFQhpmyVEEuuo7YjCx1sID7F6mX70Vovs1RCIjVs91RZYsDyqT-jAY__7tfLmNpeURry7w92GkG9Cx4b-3oZ7j3fwZjvyiZHeOy4vszs', 'width': 5312}]",ChIJ_YxlLpY4K4cRBnIh-a3pkIA,"{'compound_code': 'FJ6R+V5 Goodyear, AZ, USA', 'global_code': '8559FJ6R+V5'}",1.0,3.7,ChIJ_YxlLpY4K4cRBnIh-a3pkIA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",152.0,"1380 North Litchfield Road Suite K4, Goodyear",
OPERATIONAL,"{'location': {'lat': 33.4522617, 'lng': -112.391846}, 'viewport': {'northeast': {'lat': 33.45351893029149, 'lng': -112.3905025697085}, 'southwest': {'lat': 33.4508209697085, 'lng': -112.3932005302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104091094509794409515"">Justin H</a>'], 'photo_reference': 'AW30NDw756mC9UNZ6AByfXWU_SW4jcbeaLdiZ8_ebNJrTE61oyrt94uFwXKhGNSl5FfElubHHZ9CTT3WRiLdQ1IUFJKJSR9-_HvxxthsfMeyuxahxhIv2i75BaKmoYP4gXYk-VnDFvUIwK3qAIHPgJ_FgSlDLAGU2kFucloC7p86wtLua01H', 'width': 3000}]",ChIJx-EEa2Y4K4cRZNCcas5xutE,"{'compound_code': 'FJ25+W7 Goodyear, AZ, USA', 'global_code': '8559FJ25+W7'}",1.0,3.5,ChIJx-EEa2Y4K4cRZNCcas5xutE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",161.0,"525 North Estrella Parkway Suite 103, Goodyear",
OPERATIONAL,"{'location': {'lat': 33.4503743, 'lng': -112.3472791}, 'viewport': {'northeast': {'lat': 33.4516382802915, 'lng': -112.3458203197085}, 'southwest': {'lat': 33.44894031970851, 'lng': -112.3485182802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107256567549927683501"">Thomas Sutherland</a>'], 'photo_reference': 'AW30NDyqaej1f1r1Ukz6O0GAnrENGpTYjQpAmWEyktgOI1WoZXTRL--b929Qdx0e63gbEsZU5VLCesZMwOHYR-ZZjODChMou9DaNbdKq82ds1aO2LErfRTiTEVP5WQGj6-RZfbN6csxK0SnQMVuP460pccfpJ_9blUuR-RTQlFKviWwEDDpp', 'width': 5312}]",ChIJsfwzDuo4K4cRQJmTpkKh9ZA,"{'compound_code': 'FM23+43 Goodyear, AZ, USA', 'global_code': '8559FM23+43'}",1.0,3.3,ChIJsfwzDuo4K4cRQJmTpkKh9ZA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",251.0,"13370 West Van Buren Street Unit 106, Goodyear",
OPERATIONAL,"{'location': {'lat': 33.45095209999999, 'lng': -112.3397005}, 'viewport': {'northeast': {'lat': 33.45238758029149, 'lng': -112.3383977197085}, 'southwest': {'lat': 33.44968961970849, 'lng': -112.3410956802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1522, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113283049968212185912"">John Scott</a>'], 'photo_reference': 'AW30NDz90R3J5ogd_CX0qmps5XMVQfedH-QJojgGDZyNay78OmjHxtFSnp0J2opzetTPA3B9FswImROuiyBi3pymKTI1cppOGWJp61m0D88MpkJqds5DV8CbimPQM9Q4goe-wn2l3itgXm2C_GdsVPhDStbk7qimuctqGwjg0TQfuMjoybYK', 'width': 2645}]",ChIJkxxbnc44K4cRWGxSCKZGYvs,"{'compound_code': 'FM26+94 Avondale, AZ, USA', 'global_code': '8559FM26+94'}",1.0,4.0,ChIJkxxbnc44K4cRWGxSCKZGYvs,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",166.0,"1453 North Dysart Road #101, Avondale",
OPERATIONAL,"{'location': {'lat': 33.4631194, 'lng': -112.3434579}, 'viewport': {'northeast': {'lat': 33.46436558029149, 'lng': -112.3421363697085}, 'southwest': {'lat': 33.46166761970849, 'lng': -112.3448343302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nakama Sushi Restaurant & Lounge,{'open_now': False},"[{'height': 2112, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103563281343738873846"">Steven Burt (Mooncalled)</a>'], 'photo_reference': 'AW30NDyw6bYrzCc_SUDvKkro8hQj3KMXCYg4vewBhifa-ZHb3J7J8RJFfyN9ELZ0tQzJxlLBV3XOuf7-ArX6i2OM6TVDHu1qNXnIYR4ZtuIHcHczkpywSaiHTKeDmNuFPVUG9r649GvJwySdQ_r3g1RQ5Wr7Qi1ix9aB0JGVR4b68VWQCU6z', 'width': 4608}]",ChIJp76lxbA4K4cRugOWGNSIaOc,"{'compound_code': 'FM74+6J Goodyear, AZ, USA', 'global_code': '8559FM74+6J'}",2.0,4.3,ChIJp76lxbA4K4cRugOWGNSIaOc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",730.0,"13215 West McDowell Road, Goodyear",
OPERATIONAL,"{'location': {'lat': 33.45965109999999, 'lng': -112.3573487}, 'viewport': {'northeast': {'lat': 33.46094428029149, 'lng': -112.3561758697085}, 'southwest': {'lat': 33.45824631970849, 'lng': -112.3588738302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cracker Barrel Old Country Store,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110200449380441697633"">Cracker Barrel Old Country Store</a>'], 'photo_reference': 'AW30NDwMCGVsm6_v1F_UIoQe63um0NL5q6kYie0I6-3YPWaNyuFmwrRs0lKNUFFzp8LRyLHsAKdhHHU593wUBlQ7-ha6zUCl0jjksj83apNuHM9wu0uuKTkOJk3E8TTnOUBbHABum5WlxKQqRd0wwG2-imI0ii9woaGKCeMJDpsXCOj7Z-F4', 'width': 1080}]",ChIJ77wOWpU4K4cRi4Stfo5GRNY,"{'compound_code': 'FJ5V+V3 Goodyear, AZ, USA', 'global_code': '8559FJ5V+V3'}",2.0,4.3,ChIJ77wOWpU4K4cRi4Stfo5GRNY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4207.0,"1209 North Litchfield Road, Goodyear",
OPERATIONAL,"{'location': {'lat': 33.4640878, 'lng': -112.3905786}, 'viewport': {'northeast': {'lat': 33.4655607802915, 'lng': -112.3890899697085}, 'southwest': {'lat': 33.4628628197085, 'lng': -112.3917879302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103536337473473608373"">Mayra Din</a>'], 'photo_reference': 'AW30NDzrtsdSJwxNekZqxWLjsDJeVuvJkd7nOQCtXQW6vT0pjwqrmut_veacsOQp9JlUtz3tCB88lsF_bz1yF4GF9jjmWNfJS9I3SgB97yCAGAEsFp76rYGBr-XL3wVGCI-DQdfmVrvJIvbv5rCQ50IHFcSsPZRma9rKPXjTt7PtT3TqVUTf', 'width': 4032}]",ChIJLU4IhHk4K4cR1SE0uew1PbY,"{'compound_code': 'FJ75+JQ Goodyear, AZ, USA', 'global_code': '8559FJ75+JQ'}",2.0,4.3,ChIJLU4IhHk4K4cR1SE0uew1PbY,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3234.0,"15411 West McDowell Road, Goodyear",
OPERATIONAL,"{'location': {'lat': 33.46375370000001, 'lng': -112.3455587}, 'viewport': {'northeast': {'lat': 33.46509573029151, 'lng': -112.3443482697085}, 'southwest': {'lat': 33.46239776970851, 'lng': -112.3470462302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114967891631985742716"">Charlie Shapera</a>'], 'photo_reference': 'AW30NDzyLaVETnVpmXXq9d7UPppBFgQTBf7p_a82e12MajqcQSaeNlyGEq6ho4iJAACfIax9vL936q4KeYs5DuTkduARvvqVvOTIGpwN_PziZo12v2wmwtOhapOMtCIC3EfsckiUH4UG5ShXWJBp--jkuu110euEOWrfH-gIJ5fHSOn3gDW4', 'width': 2448}]",ChIJAatRdro4K4cR3-FFUVuy8aU,"{'compound_code': 'FM73+GQ Goodyear, AZ, USA', 'global_code': '8559FM73+GQ'}",2.0,3.9,ChIJAatRdro4K4cR3-FFUVuy8aU,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2248.0,"13311 West McDowell Road, Goodyear",
