business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.67704820000001, 'lng': -97.0375632}, 'viewport': {'northeast': {'lat': 32.67852953029151, 'lng': -97.03617631970847}, 'southwest': {'lat': 32.67583156970851, 'lng': -97.0388742802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103114017422338360005"">Hanson Tran</a>'], 'photo_reference': 'AW30NDxL8sav-PTSiSTgwV-nULjUTOh_jQiVRjJ5mPEPdtYzgmPfpAxXRr6g6CORFydnilz0BGcjZvo0JLN4m7o3O42lHb_UEB9iapUYZFvWIkYV9vKiVRzVPGmbFg1ZP-Dcmm7rLxaIYVQqnBiy9cxXFvzyt8LgV0ovn455x_4cKyZTUoR0', 'width': 4032}]",ChIJGcrpIPOIToYRrjbxmWi8dlE,"{'compound_code': 'MXG6+RX Grand Prairie, TX, USA', 'global_code': '8644MXG6+RX'}",2.0,4.4,ChIJGcrpIPOIToYRrjbxmWi8dlE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",7346.0,"2490 Interstate 20 Frontage Road, Grand Prairie",
OPERATIONAL,"{'location': {'lat': 32.6750776, 'lng': -97.0392164}, 'viewport': {'northeast': {'lat': 32.67653773029151, 'lng': -97.03785366970848}, 'southwest': {'lat': 32.67383976970851, 'lng': -97.0405516302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113851697446353069823"">Coronado</a>'], 'photo_reference': 'AW30NDxfwvvoEPBXAqdA3fmuwCFIjQm3asbQuqDU_2LlYQ7rgXtpEMbcrqwRSIoCS65P_ZSO506Kl7xzWyKfwynhC_WzEdLzI5o9jRkTZ0G8hgjKPWJAsAanrvV_da-XoSAiskx30WuGtcZVlXHUZW9zUkwFMGspYuIKo3uWiKE7nHr0lMej', 'width': 3060}]",ChIJ6Xuzd_KIToYRfzChBrpiaJo,"{'compound_code': 'MXG6+28 Grand Prairie, TX, USA', 'global_code': '8644MXG6+28'}",2.0,3.7,ChIJ6Xuzd_KIToYRfzChBrpiaJo,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1627.0,"2315 Interstate 20 West, Grand Prairie",
OPERATIONAL,"{'location': {'lat': 32.67778829999999, 'lng': -97.0459904}, 'viewport': {'northeast': {'lat': 32.6791330802915, 'lng': -97.0446777197085}, 'southwest': {'lat': 32.6764351197085, 'lng': -97.04737568029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wienerschnitzel,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109167962700647094185"">Todd Weber</a>'], 'photo_reference': 'AW30NDy_XuEyaCat5TLjO7MiION_VwD2PU1SECvtzLIhXVmh7IUJely4zzXjGo9YNlofZZhSeyMBIZUbtXDE3KKB8Bzu54eYKWcn43ii44Tiw5CSUXPlPltRNa9v-_NWPE2f0kjXaDH7eS-P0QcoZWhY4fsOVzjA9ja6OzvODMRUP0ZFKwgl', 'width': 4096}]",ChIJgUmtyfSIToYRbvGyMDMRBgY,"{'compound_code': 'MXH3+4J Grand Prairie, TX, USA', 'global_code': '8644MXH3+4J'}",1.0,4.3,ChIJgUmtyfSIToYRbvGyMDMRBgY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1514.0,"2614, West, I-20, South Great Southwest Parkway, Grand Prairie",
OPERATIONAL,"{'location': {'lat': 32.6592377, 'lng': -97.02600849999999}, 'viewport': {'northeast': {'lat': 32.6605188802915, 'lng': -97.02458101970849}, 'southwest': {'lat': 32.6578209197085, 'lng': -97.0272789802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jade Dragon Chinese Restaurant,{'open_now': False},"[{'height': 2074, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103523559026151294652"">Jon Williamson</a>'], 'photo_reference': 'AW30NDx6QiQa-UCCASvfIalr2HybfaJzXPv-wOjB6x1LkEcZKboITiLQSeQME-HYBSB7NGYBSUO9gJN5njuDFIZLsICzJ2ZC2GMP3lN4lB9plYP3229y6I4yWUqciWRvMfxlCdQNtCvi_MPoOHmBs3Ks0tPz2HEVHOuNC5m5pw6eklOOZLLJ', 'width': 3163}]",ChIJQ-0st9-IToYRlsKvoM3dZko,"{'compound_code': 'MX5F+MH Grand Prairie, TX, USA', 'global_code': '8644MX5F+MH'}",1.0,4.2,ChIJQ-0st9-IToYRlsKvoM3dZko,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",252.0,"1700 West Polo Road, Grand Prairie",
OPERATIONAL,"{'location': {'lat': 32.70898, 'lng': -97.0002583}, 'viewport': {'northeast': {'lat': 32.7105246302915, 'lng': -96.99891741970849}, 'southwest': {'lat': 32.7078266697085, 'lng': -97.0016153802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106813697096167710615"">TrinityTags</a>'], 'photo_reference': 'AW30NDwEY9QC58UhB1alHJ0nng_c-Pxcij5tr9zYdm5zooNJPtdgauAfmvWJTCebxjhZ3CoktXQammmnY9kozwlgj5Acrgc08KSt879yb50IHEh6bag-nyDhVwMMxC0ufqWaAwvPjlilRPQ5RP5jPqbpaOvejMxDbyUWRqbsdCYi5lb4VM9g', 'width': 3024}]",ChIJ_bt71_uFToYRsmQu_zd9hOw,"{'compound_code': 'PX5X+HV Grand Prairie, TX, USA', 'global_code': '8644PX5X+HV'}",1.0,3.7,ChIJ_bt71_uFToYRsmQu_zd9hOw,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",243.0,"419 East Pioneer Parkway Suite A, Grand Prairie",
OPERATIONAL,"{'location': {'lat': 32.6718103, 'lng': -97.00675150000001}, 'viewport': {'northeast': {'lat': 32.6732587802915, 'lng': -97.00543631970851}, 'southwest': {'lat': 32.6705608197085, 'lng': -97.00813428029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114946658237460324758"">Pure Party Ice Dallas Driver</a>'], 'photo_reference': 'AW30NDyCsGnZsb0cXOCX31O5ZCPyMeFW53aEChoe9y94iIeHSRD9-IhLxd2XfdCPn5dMfWbcB2QqJa3oMTzBqySWsPuuEs2zVkClzY_3fOQQzAVeWzqSGs2E8euSE9137gbZoeosmDHv9uaymtYxCV61uuYmv8WdJhPKl7zngtK43PJJoWb_', 'width': 5312}]",ChIJY1eI1DKPToYR7TjdPw5hvrY,"{'compound_code': 'MXCV+P7 Grand Prairie, TX, USA', 'global_code': '8644MXCV+P7'}",1.0,4.1,ChIJY1eI1DKPToYR7TjdPw5hvrY,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",228.0,"4146 South Carrier Parkway, Grand Prairie",
OPERATIONAL,"{'location': {'lat': 32.67359719999999, 'lng': -97.0081422}, 'viewport': {'northeast': {'lat': 32.67493768029149, 'lng': -97.00666456970849}, 'southwest': {'lat': 32.6722397197085, 'lng': -97.00936253029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103433533961146704612"">King Whalebo</a>'], 'photo_reference': 'AW30NDya94UadyMXyB6lOvstAbkabRSbyPzwQ4ms4AD80dKOvsYiJrXaCpAppNKpNkTs-dFdA5hdiqxeZRfFnFg-GYD3zqmx8gA1Crwbsaw6W1rNSVd-In8DRvfU_tFZ2mUkdtB_Kjk7YUuvU--1d9zH030u3NX6-Cq3_hgDnUCZZG_Avt-G', 'width': 3024}]",ChIJhZAkI82IToYRGqcgfzUX3Ok,"{'compound_code': 'MXFR+CP Grand Prairie, TX, USA', 'global_code': '8644MXFR+CP'}",1.0,3.2,ChIJhZAkI82IToYRGqcgfzUX3Ok,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",151.0,"4116 South Carrier Parkway Suite 105, Grand Prairie",
OPERATIONAL,"{'location': {'lat': 32.6778688, 'lng': -97.05247349999999}, 'viewport': {'northeast': {'lat': 32.67921398029149, 'lng': -97.05100956970848}, 'southwest': {'lat': 32.67651601970849, 'lng': -97.0537075302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 651, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100355468432230884792"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDza1nh7mCT1esSYfxxWouxbXgdsRikTseWPgt0u6IvyxpyIyCuyIlbm_1PIPsFse8iRlYWTm20jBPU41s7PUMNfOUuwOghdJZCzAdPPwsL1vhWDOsBC9GijaDOCaVCY5a11Z0C36ohluOrRup6e7KeZE8PsHf4WB001phpMGiiHucmD', 'width': 960}]",ChIJZX7NxF-IToYRIdbs9rYVVhE,"{'compound_code': 'MWHX+42 Grand Prairie, TX, USA', 'global_code': '8644MWHX+42'}",2.0,4.0,ChIJZX7NxF-IToYRIdbs9rYVVhE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3383.0,"2820 Interstate 20, Grand Prairie",
OPERATIONAL,"{'location': {'lat': 32.6778161, 'lng': -97.05086539999999}, 'viewport': {'northeast': {'lat': 32.6790224302915, 'lng': -97.04944376970849}, 'southwest': {'lat': 32.6763244697085, 'lng': -97.0521417302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chuck E. Cheese,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115939723049951052740"">Roxie Dean</a>'], 'photo_reference': 'AW30NDzPRuUIlJAU0SErgRxHMiNJ2UQdENg2YbPM9njXf4q0FbWUx1ozmwC6pnZLckBzKOtSxhSv5Gb75GBadRUGt8vVQ2NZxnXoToeScR7YyQM6syT-m3_AaHxxErRgH_04W-XlKxxg-A9etwjYgjLNwENUpfBG1jUaFJAJhF_IukbKa2j6', 'width': 3264}]",ChIJBdNu41-IToYRh39jCzCZFYs,"{'compound_code': 'MWHX+4M Grand Prairie, TX, USA', 'global_code': '8644MWHX+4M'}",2.0,4.1,ChIJBdNu41-IToYRh39jCzCZFYs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2134.0,"2760 Interstate 20, Grand Prairie",
OPERATIONAL,"{'location': {'lat': 32.677258, 'lng': -97.041079}, 'viewport': {'northeast': {'lat': 32.6785507802915, 'lng': -97.03987261970848}, 'southwest': {'lat': 32.67585281970851, 'lng': -97.0425705802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Beto's Mexican Restaurant and Catering,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107522264711856441755"">Beto&#39;s Mexican Restaurant and Catering</a>'], 'photo_reference': 'AW30NDxqjp-9XgXlHR54IAk_myU_a0RFa0ZVzTIyh3MmcA17pKZPhEAz2ljUhM7IQTVvsWeQ1cqAfSqXU-Sx8Nl8Em5q6NmwZoPOjvT2yxiPCB95gpXWXg1Ao64Oynxq8uweV-LJJ--45k3Ju6O8rL8aD2F8lu2cXbsO0_-9DhdJLsKPtXp_', 'width': 1600}]",ChIJqY4F6PKIToYRRiNpXx1nNB8,"{'compound_code': 'MXG5+WH Grand Prairie, TX, USA', 'global_code': '8644MXG5+WH'}",2.0,4.1,ChIJqY4F6PKIToYRRiNpXx1nNB8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1608.0,"2530 Interstate 20 Frontage Road, Grand Prairie",
