business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.9646244, 'lng': -85.6698547}, 'viewport': {'northeast': {'lat': 42.9660319302915, 'lng': -85.6684034697085}, 'southwest': {'lat': 42.9633339697085, 'lng': -85.67110143029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,CityFlatsHotel,{'open_now': True},"[{'height': 799, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115344119157614943260"">CityFlatsHotel</a>'], 'photo_reference': 'AW30NDxnAMHP4ofI_h3SuOBdHfNT0lZSHpYgA46TU0FPuNvWxg7ZO0-Wi6shusifnO_5D4dlj_9RSU4i2m7hfPu4lXnTKI13rAbM3dAvwJ3RUWLp0Bj5iTAbT-EUrj4iSKABZg99pY8HnZcdCX2JhG9tbtDGLVgLY7_mf65HFu61Fr7ktoCa', 'width': 1198}]",ChIJF2hqzcWtGYgR04Lefm1tr5E,"{'compound_code': 'X87J+R3 Grand Rapids, MI, USA', 'global_code': '86JPX87J+R3'}",4.3,ChIJF2hqzcWtGYgR04Lefm1tr5E,GOOGLE,"['cafe', 'bar', 'lodging', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",703.0,"83 Monroe Center Street Northwest, Grand Rapids",,
OPERATIONAL,"{'location': {'lat': 42.9584677, 'lng': -85.67381979999999}, 'viewport': {'northeast': {'lat': 42.9599723302915, 'lng': -85.67226721970849}, 'southwest': {'lat': 42.9572743697085, 'lng': -85.6749651802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Founders Brewing Co,{'open_now': True},"[{'height': 1366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110837641539124336262"">Founders Brewing Co</a>'], 'photo_reference': 'AW30NDzt5bYNew97zXbTmLi-RwJ_RaX6dPzA_hxnBN7wPScRv_08XAKaK5HtzbFHm4gsnqmroJsWh20biSDGpKoZcGLZWYFLWamAvyPa-LtZks3Du9im3Xz6sIKDjLOGuPYZOsREUObeZJuyG--b6o2nsfmOqOD5To1lxHRA6AGZ0Eu0q--o', 'width': 2048}]",ChIJ19JZuMKtGYgRzsDAb6Wmhzc,"{'compound_code': 'X85G+9F Grand Rapids, MI, USA', 'global_code': '86JPX85G+9F'}",4.4,ChIJ19JZuMKtGYgRzsDAb6Wmhzc,GOOGLE,"['bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2267.0,"235 Cesar E. Chavez Avenue Southwest, Grand Rapids",1.0,
OPERATIONAL,"{'location': {'lat': 42.9635228, 'lng': -85.67282379999999}, 'viewport': {'northeast': {'lat': 42.9649445302915, 'lng': -85.67165006970849}, 'southwest': {'lat': 42.9622465697085, 'lng': -85.67434803029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,B.O.B.'s Brewery,{'open_now': False},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111839059744052399245"">B.O.B.&#39;s Brewery</a>'], 'photo_reference': 'AW30NDws1ZPnwelzMJCvTfwa9jIX6UVZOFfcvu9RX5eEGN8GFGDDvTEctEanQJqZd7c8z09FQOWJAr7_PQvv6TigKMlPDUzdX7c4arnazvikqYKSiGl0DYtChZa-q0FEyDxQnd2cj-HMaiWZHmF5ElCHA4IpVImGtLde2EaVSYdI_ftqsp1m', 'width': 1920}]",ChIJXbFwwsStGYgRI9HhZXQr-qA,"{'compound_code': 'X87G+CV Grand Rapids, MI, USA', 'global_code': '86JPX87G+CV'}",4.0,ChIJXbFwwsStGYgRI9HhZXQr-qA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",120.0,"20 Monroe Avenue Northwest, Grand Rapids",3.0,
OPERATIONAL,"{'location': {'lat': 42.9597977, 'lng': -85.6461401}, 'viewport': {'northeast': {'lat': 42.9610219302915, 'lng': -85.6447641197085}, 'southwest': {'lat': 42.9583239697085, 'lng': -85.6474620802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Brewery Vivant,{'open_now': True},"[{'height': 1617, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102627461031762032711"">Brewery Vivant</a>'], 'photo_reference': 'AW30NDykwYeRvQaO2ccFVKMj4vQ18L-gjutWT1BzKd1JRZoXVbUejkQAcU-8DWcSf8USbPx-u-LpkNyXqf2JJbPBDzs36TSH8Noi45hghiqtioYl-T-KNLDCeTBfAsyutok9CUsGebpn1Xs7SZEHQ5JK-tJYNOziCvFStgH4CVA9QQXwHiQu', 'width': 2000}]",ChIJud9NGqGtGYgRhD3CJgXBPGY,"{'compound_code': 'X953+WG Grand Rapids, MI, USA', 'global_code': '86JPX953+WG'}",4.6,ChIJud9NGqGtGYgRhD3CJgXBPGY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1255.0,"925 Cherry Street Southeast, Grand Rapids",,
OPERATIONAL,"{'location': {'lat': 42.96182659999999, 'lng': -85.6731046}, 'viewport': {'northeast': {'lat': 42.96335448029149, 'lng': -85.67176541970848}, 'southwest': {'lat': 42.9606565197085, 'lng': -85.6744633802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bistro Bella Vita,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110400709266396723737"">Bistro Bella Vita</a>'], 'photo_reference': 'AW30NDw_AjBYtV2w9TsCdHQ0m-wgyjb-l15MCccODmld1-URX1FfeSO7JenFxiazOAEdXkHsP1EoByvMO1kl2Ik-Y15LQ6aZdjKI4Vv5z0XEAtLI1NbLVdiWwBelIbvVbMbba5zpZWqZ9kgXXV7kVHfMT2xUt57HcKfOI_HVxtfRMrgMSgMF', 'width': 1024}]",ChIJI3oaXMOtGYgRtsm-RPqpKf4,"{'compound_code': 'X86G+PQ Grand Rapids, MI, USA', 'global_code': '86JPX86G+PQ'}",4.6,ChIJI3oaXMOtGYgRtsm-RPqpKf4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1468.0,"44 Cesar E. Chavez Avenue Southwest, Grand Rapids",2.0,
OPERATIONAL,"{'location': {'lat': 42.9524998, 'lng': -85.6116545}, 'viewport': {'northeast': {'lat': 42.9538671802915, 'lng': -85.6103557197085}, 'southwest': {'lat': 42.9511692197085, 'lng': -85.6130536802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rose's,{'open_now': True},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116387134867717607645"">Rose&#39;s</a>'], 'photo_reference': 'AW30NDxNk4Qx_nVdl95eXQ_33cSw8MK_qy-CqHReYoj6vzDt62BE4WWm7CMTAktrBXh2e9IAxGnsHC888MYpbpdjaR12Ii0VpI-lgbQsXWQO0xX9akYTQ43nVTlnv4vpzqmDcwt_sx6Ee5xeD1WNpdFJyqVkniTJIxqR4Vs1IgDiD5pjSzQy', 'width': 2400}]",ChIJwz89ikitGYgRbz-SUZqzefM,"{'compound_code': 'X92Q+X8 East Grand Rapids, MI, USA', 'global_code': '86JPX92Q+X8'}",4.6,ChIJwz89ikitGYgRbz-SUZqzefM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1747.0,"550 Lakeside Drive Southeast, East Grand Rapids",2.0,
OPERATIONAL,"{'location': {'lat': 42.9635139, 'lng': -85.67269999999999}, 'viewport': {'northeast': {'lat': 42.9647295302915, 'lng': -85.67132131970848}, 'southwest': {'lat': 42.9620315697085, 'lng': -85.6740192802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The B.O.B.,{'open_now': False},"[{'height': 500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109122858491953640936"">The B.O.B.</a>'], 'photo_reference': 'AW30NDzwI59w2FWH1Gqr4QW4I95tp8dlXGkH19b3w3rjv8RMvwZWY-zM4Rrg0tOhqrU96gx9WrEii-c3A0RgwqcKnH-kxhSHUgPfGJQ1nKRP8qZywqHL6tGhxJg51PdCvpxlZrQxPFwDyUvIpGa4HbobaOJnsDDkMgZHUI8wdlpf1yHtbsFm', 'width': 800}]",ChIJXbFwwsStGYgRi_btOtiq5N0,"{'compound_code': 'X87G+CW Grand Rapids, MI, USA', 'global_code': '86JPX87G+CW'}",4.2,ChIJXbFwwsStGYgRi_btOtiq5N0,GOOGLE,"['restaurant', 'night_club', 'food', 'point_of_interest', 'establishment']",3210.0,"20 Monroe Avenue Northwest, Grand Rapids",2.0,
OPERATIONAL,"{'location': {'lat': 42.9623832, 'lng': -85.6705798}, 'viewport': {'northeast': {'lat': 42.96365298029151, 'lng': -85.66914696970849}, 'southwest': {'lat': 42.96095501970851, 'lng': -85.67184493029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,HopCat,{'open_now': True},"[{'height': 5000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113146643880866083710"">HopCat</a>'], 'photo_reference': 'AW30NDxAUB-hNtbey-J7Bci9gO_JrtfoOR8qqe3eu-tBVtcfpUsVW3WqTcEyLKh8NFpWJSltzvlkR623y-Dc4tTeM4RCemdr9OVImEo0JaPSh0vXUBWZ229jAxqNOc2nGPEcoSSjtJss6vrmhvwaxjm7xCSnfBHONdprNraL6yk07kFE_tO_', 'width': 4000}]",ChIJ1QytC8StGYgRb3V7nliYuX4,"{'compound_code': 'X86H+XQ Grand Rapids, MI, USA', 'global_code': '86JPX86H+XQ'}",4.4,ChIJ1QytC8StGYgRb3V7nliYuX4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1774.0,"25 Ionia Avenue Southwest, Grand Rapids",2.0,
OPERATIONAL,"{'location': {'lat': 42.959349, 'lng': -85.64640519999999}, 'viewport': {'northeast': {'lat': 42.9607965302915, 'lng': -85.64510331970848}, 'southwest': {'lat': 42.9580985697085, 'lng': -85.64780128029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Green Well,{'open_now': False},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114784682769236091972"">The Green Well</a>'], 'photo_reference': 'AW30NDw4A9Bj4bSdQqwlDyrYXrqR_Kjoux33kANpPlP9094xNpji6C-SQl6zIDw6HY6WMuS2xq-V0fLl3iBDC9C6vl_qiHctOmW7BXOgsdA-QjIDlDrdrwDPa9piO_KXo4f8CHvn4joH1idqTXaDWB93ptOaPuqN5Dpcljw1W44GHaGHNzHD', 'width': 2048}]",ChIJh4hfEKGtGYgRPF6JTaT-0tg,"{'compound_code': 'X953+PC Grand Rapids, MI, USA', 'global_code': '86JPX953+PC'}",4.6,ChIJh4hfEKGtGYgRPF6JTaT-0tg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1531.0,"924 Cherry Street Southeast, Grand Rapids",2.0,
OPERATIONAL,"{'location': {'lat': 42.961687, 'lng': -85.6694775}, 'viewport': {'northeast': {'lat': 42.96303768029149, 'lng': -85.66824391970849}, 'southwest': {'lat': 42.96033971970849, 'lng': -85.67094188029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Stella's Lounge,{'open_now': True},"[{'height': 1067, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117356916766995731673"">Stella&#39;s Lounge</a>'], 'photo_reference': 'AW30NDzu5nbpMo4ViHPwoFasV30nFJjemrLCAz4PNhPtxK0leDIYvunNY74qp1galCXXQ_fJ8IIWWSrM8IM76Wkncifn-t2p4caZhLasSl_f9xFoL7WgyI1Bcz-w36g81I1ZnI68-t0xPkXduTcg2YyP45Z1ZlfbsuQ4bZ1pgdHmXm6ZxwPa', 'width': 1600}]",ChIJb6eO-8OtGYgRcv8XG-W8mWE,"{'compound_code': 'X86J+M6 Grand Rapids, MI, USA', 'global_code': '86JPX86J+M6'}",4.5,ChIJb6eO-8OtGYgRcv8XG-W8mWE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3964.0,"53 Commerce Avenue Southwest, Grand Rapids",2.0,
