business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 44.4963913, 'lng': -88.05759429999999}, 'viewport': {'northeast': {'lat': 44.4976690302915, 'lng': -88.05643791970849}, 'southwest': {'lat': 44.4949710697085, 'lng': -88.0591358802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Green Bay Distillery,{'open_now': False},"[{'height': 3006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104515429626872618202"">Bruce Wilk</a>'], 'photo_reference': 'AW30NDwReX9w5zJ8fVscH-i5OJqW2tvj-l64FTKgltlXLv4y81pNszKbNIRVJkkIV7zGzFcoDJxRANiaYmJ42FjeYRQDwhHcIrT7iY9tzeakW8KsqP-wOpHPW22sLL4nhwJZ63XSpzp2mDpCWxmshlY2ltY2pNzytaBoPNlwX42cj4CZtqyf', 'width': 5344}]",ChIJw5_fLVP6AogRAh3eXeJh2Ck,"{'compound_code': 'FWWR+HX Ashwaubenon, WI, USA', 'global_code': '86PHFWWR+HX'}",2.0,4.2,ChIJw5_fLVP6AogRAh3eXeJh2Ck,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1274.0,"835 Mike McCarthy Way, Ashwaubenon",
OPERATIONAL,"{'location': {'lat': 44.5123894, 'lng': -88.0179394}, 'viewport': {'northeast': {'lat': 44.5136329802915, 'lng': -88.01665801970849}, 'southwest': {'lat': 44.5109350197085, 'lng': -88.0193559802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,St. Brendan's Inn,{'open_now': True},"[{'height': 478, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102120938323997782466"">St. Brendan&#39;s Inn</a>'], 'photo_reference': 'AW30NDwWLVZi5trTW4guqdsY1SVJZ1bTphyODSeHQlNuOtCZ5aLCLeyAGQTsCJfCoGeOLrOxucB2eRPCadthTZJVjj9PSQ_QiFoA5rfbeFEQuosiMjxiOGS1AIERyr_gCs3fMwdJZzD-vqw0OwkVzL9GB-_4zMlVRzPp1NLiq--7v5EcC5Tj', 'width': 597}]",ChIJAXHDm8n6AogR9CM6Ljlt0ek,"{'compound_code': 'GX6J+XR Green Bay, WI, USA', 'global_code': '86PHGX6J+XR'}",,4.6,ChIJAXHDm8n6AogR9CM6Ljlt0ek,GOOGLE,"['bar', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",1298.0,"234 South Washington Street, Green Bay",
OPERATIONAL,"{'location': {'lat': 44.5011774, 'lng': -88.06586109999999}, 'viewport': {'northeast': {'lat': 44.5026646802915, 'lng': -88.0644220697085}, 'southwest': {'lat': 44.4999667197085, 'lng': -88.0671200302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Kroll's West,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106819212106650560097"">Stephen Heyd</a>'], 'photo_reference': 'AW30NDw554r_Yl7dDhwF7KOQ_5dwKGQ4Be1DR-lqDjO3KsaJMSVfzLLJYi5UzSbPb8Z-ghzTVCb2JTQcB4e_KifqlQQjUwjBFM6Z8lD9P2Deoc0eeipVDgrw6bOjQ62nPp-2BZSUa8LdXfCmYktCYSvExLTiPLQSWVd-v_1aoDHPuclqWO_t', 'width': 3000}]",ChIJ4edJUUn6AogRnZFu8XpWZ6o,"{'compound_code': 'GW2M+FM Ashwaubenon, WI, USA', 'global_code': '86PHGW2M+FM'}",2.0,4.1,ChIJ4edJUUn6AogRnZFu8XpWZ6o,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2670.0,"1990 South Ridge Road, Ashwaubenon",
OPERATIONAL,"{'location': {'lat': 44.4975225, 'lng': -88.0530643}, 'viewport': {'northeast': {'lat': 44.4990240802915, 'lng': -88.0519452697085}, 'southwest': {'lat': 44.49632611970851, 'lng': -88.0546432302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,"Stadium View Bar, Restaurant & Banquet Hall",{'open_now': True},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103678021896934012010"">Stadium View Bar, Restaurant &amp; Banquet Hall</a>'], 'photo_reference': 'AW30NDzojQsj47XVPkonplYKCeiR_zXUXrcjvq4OeANjffCT_RWPCjbI7hbJgi63vcaL5N2QqgkV1am99Yvt_tin8r3g_Q4zSiUrNGe2HZU9nz6gz11Mx6VJMJsppURocA4vmTG1g3ERjoLZDVGxI_U2mDaRmurLQqDlEfMwcHo1KU8dJFw2', 'width': 2048}]",ChIJ1XwPA1X6AogRbgvbfgf7ZQI,"{'compound_code': 'FWXW+2Q Green Bay, WI, USA', 'global_code': '86PHFWXW+2Q'}",2.0,4.4,ChIJ1XwPA1X6AogRbgvbfgf7ZQI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2520.0,"1963 Holmgren Way, Green Bay",
OPERATIONAL,"{'location': {'lat': 44.4628464, 'lng': -87.97981709999999}, 'viewport': {'northeast': {'lat': 44.4641897802915, 'lng': -87.97856441970849}, 'southwest': {'lat': 44.4614918197085, 'lng': -87.9812623802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,A'Bravo Bistro & Wine Bar,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101102281012839642324"">Daniel Roeder</a>'], 'photo_reference': 'AW30NDx7h28xFq9JPFD2Mxgl_eIuNra3yRGy0SSxDEG7Frj1gdZl8qlAgQ2l-XDCFd839NpnsVa4YneVpC42_6Bwf468b8NoYybFzO2UOkJ2e8Gz5_s7jJuIE07W7gsGhW_aSlCmlNiHADLKD4zI1951lBkra-QJyOdB3RL4O6F76ln952q7', 'width': 4032}]",ChIJW1oRX4TkAogRaz6doXLAnzE,"{'compound_code': 'F27C+43 Green Bay, WI, USA', 'global_code': '86PJF27C+43'}",2.0,4.6,ChIJW1oRX4TkAogRaz6doXLAnzE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",495.0,"2069 Central Court # 77, Green Bay",
OPERATIONAL,"{'location': {'lat': 44.501418, 'lng': -87.98299}, 'viewport': {'northeast': {'lat': 44.50265708029151, 'lng': -87.98152446970849}, 'southwest': {'lat': 44.49995911970851, 'lng': -87.98422243029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kroll's East,{'open_now': False},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111545214017284841516"">Ham Salad</a>'], 'photo_reference': 'AW30NDwtfX5j-T_u2Xqp9I5ZAnF95x_tcgAJPetEEGCrmEhLagYvEFi-8yV1Ac_ZW5x7m_jZ0Z0qi9JlaquMOZjsjlfniSe4zyJINxpthkYerLqFbtQJuVEWAqeJdIJIgLOpw5Yr5zIb_T8MlkgdulzPckA7_MKArbcesxhYpJ2P5t93wjVD', 'width': 4128}]",ChIJLZiPKRvlAogR1YrE5OWtRAc,"{'compound_code': 'G228+HR Green Bay, WI, USA', 'global_code': '86PJG228+HR'}",1.0,4.0,ChIJLZiPKRvlAogR1YrE5OWtRAc,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1303.0,"1658 Main Street, Green Bay",
OPERATIONAL,"{'location': {'lat': 44.5129635, 'lng': -88.01052829999999}, 'viewport': {'northeast': {'lat': 44.51437593029149, 'lng': -88.00911601970849}, 'southwest': {'lat': 44.5116779697085, 'lng': -88.01181398029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Village Inn Motel,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114417659562945774161"">Chad Schneidewind</a>'], 'photo_reference': 'AW30NDwhcTbUwUpQHQWkd-SWuDF-_k9ZJUvMBjuR0O4FQfVoA7I4y6vYjz4ciAmUyQy0gBEoADuR366vYLGbR4r_F1UZyLaM3F6KMojOFVrXT3Ccw72fldK-26AQ8jOf4QaW0glnmo4b80c95HMjQeiKHDRgG9otatEnszP1TaIL9Uqys1rd', 'width': 4160}]",ChIJ2Y7BazXlAogRVBlyZ12Ld4Q,"{'compound_code': 'GX7Q+5Q Green Bay, WI, USA', 'global_code': '86PHGX7Q+5Q'}",,3.0,ChIJ2Y7BazXlAogRVBlyZ12Ld4Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",193.0,"119 North Monroe Avenue, Green Bay",
CLOSED_TEMPORARILY,"{'location': {'lat': 44.50045530000001, 'lng': -87.98145699999999}, 'viewport': {'northeast': {'lat': 44.50175813029151, 'lng': -87.98024481970849}, 'southwest': {'lat': 44.49906016970851, 'lng': -87.9829427802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101399964126923716786"">Laura Allen</a>'], 'photo_reference': 'AW30NDy0HFafMyEsut4u9Q0d-YLqRMqNIUpXC7Q3jDpoJm7-FLLH6JGjM5Tpzz5i_NQXa0CgabOztNDrdqK6TqyU3NRVR-QmPUE55CsOOGCJFRlsNss3Q92IwXZTVjb8jqehj52e5cdxuW34l4n4vthsKROQ2GDv31VYGICu8VMnFB1B5RoY', 'width': 4608}]",ChIJC_G2lQTlAogRAx8WCtY24ho,"{'compound_code': 'G229+5C Green Bay, WI, USA', 'global_code': '86PJG229+5C'}",1.0,3.1,ChIJC_G2lQTlAogRAx8WCtY24ho,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",117.0,"1679 Main Street, Green Bay",True
OPERATIONAL,"{'location': {'lat': 44.46417, 'lng': -87.9806828}, 'viewport': {'northeast': {'lat': 44.46546453029149, 'lng': -87.9796588697085}, 'southwest': {'lat': 44.4627665697085, 'lng': -87.98235683029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Grapevine Café,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115841219464309263041"">Zendeeno</a>'], 'photo_reference': 'AW30NDzQiT0AWVBkrwSrCe7OzzRUAG8GZxOe2mGrRh62Feb44WKDC_-WCx5Vuf_53_IKnUelEKQJAjPCvGSZCc1sJ_7QF58ke_Suh8FSgxCZcFqPqvfbNfaRrTApOAoS9UUdx8f97Y7jJ6JfqiNHxjqgshqhQYqKExN7vO1cS6LGTK9iKpgU', 'width': 3024}]",ChIJ9VvgHIXkAogRRBqLJ6r3jXw,"{'compound_code': 'F279+MP Green Bay, WI, USA', 'global_code': '86PJF279+MP'}",2.0,4.5,ChIJ9VvgHIXkAogRRBqLJ6r3jXw,GOOGLE,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",563.0,"2058 Allouez Avenue, Green Bay",
OPERATIONAL,"{'location': {'lat': 44.50256780000001, 'lng': -88.0057333}, 'viewport': {'northeast': {'lat': 44.5040332302915, 'lng': -88.0043017197085}, 'southwest': {'lat': 44.50133526970851, 'lng': -88.0069996802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103248318101502099548"">Subway</a>'], 'photo_reference': 'AW30NDwfM5Ku1clqm-evywsDBVnSnUvbY1jZEBiigYrnVNLHU9a59r3rlKBUdRbwrWsgNH-KfJeVTKHzSC1-rD0INwxnxq76L8-PG7iXgoFMIXAgD8MwvmQHqS65Id0SACcSQca72DiUeUmHMbS22eIjlURB9RLcLajZe0FsoQ04XsTo4vvK', 'width': 766}]",ChIJibyXXi7lAogRJuxSclrjtIA,"{'compound_code': 'GX3V+2P Green Bay, WI, USA', 'global_code': '86PHGX3V+2P'}",1.0,4.2,ChIJibyXXi7lAogRJuxSclrjtIA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",75.0,"1180 East Mason Street, Green Bay",
