business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.0490046, 'lng': -76.3089379}, 'viewport': {'northeast': {'lat': 37.05030828029149, 'lng': -76.30765456970849}, 'southwest': {'lat': 37.04761031970849, 'lng': -76.31035253029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112740489833427318987"">Früg Al</a>'], 'photo_reference': 'AW30NDyc5mhDYLeJEFXTVAPJZ5KKqkdetf1YnWDrV7UyiTM69Wd9nxl_oRUceS9gnFmM6nTh74g1ydz8Ueak2GxvuN897BKuuRZnRv_aKsd43Ar1DYLWh2q5vqz4Qmnp_u2DXzdz-K9BUdC4liqXr8JVSxYsQpoB-i-gdR72ae1ycqK_gbuO', 'width': 4128}]",ChIJ800gLgSFuokR3N3Sr9lY2Hw,"{'compound_code': '2MXR+JC Hampton, VA, USA', 'global_code': '87952MXR+JC'}",1.0,4.0,ChIJ800gLgSFuokR3N3Sr9lY2Hw,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",322.0,"2020 Nickerson Boulevard, Hampton",
OPERATIONAL,"{'location': {'lat': 37.0387085, 'lng': -76.3120003}, 'viewport': {'northeast': {'lat': 37.0401016302915, 'lng': -76.3105523697085}, 'southwest': {'lat': 37.0374036697085, 'lng': -76.31325033029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103859151849441138307"">Coolin S</a>'], 'photo_reference': 'AW30NDz1UlhA8Pdvpc1hbr8U7IUU_NWi7H8Bzl_uGKn70PefjMmuH_lp5OIswMH53xNWVb9MzU6p3x3u0WK4wROm__-JbuEd86NXXnH-rdfs98GHVYigDADgydW_ZKThCdP7Xgz8akAFFIdZynwCXzpTshUxukUtz4qjsMsts-8R_NwXaHaU', 'width': 4032}]",ChIJOalR_xuFuokRBPFpjp_F3hY,"{'compound_code': '2MQQ+F5 Hampton, VA, USA', 'global_code': '87952MQQ+F5'}",1.0,4.0,ChIJOalR_xuFuokRBPFpjp_F3hY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",355.0,"1807 East Pembroke Avenue, Hampton",
CLOSED_TEMPORARILY,"{'location': {'lat': 37.0490338, 'lng': -76.3089923}, 'viewport': {'northeast': {'lat': 37.05032878029149, 'lng': -76.3076881197085}, 'southwest': {'lat': 37.04763081970849, 'lng': -76.31038608029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110945777592945495300"">Subway</a>'], 'photo_reference': 'AW30NDzb8A2EnBtPbR9oR5npvVITYn0-_BU14BDn7JX0cY4omvcT1nD36N-F35SvzHXE5ZrZFop48ZEQw8pRYuYNUpzgvdrMMFBxO_exTnW4OBC1FO8Y54LqyzA3fG2Kz3JXK_jQkXb25fOPmBBiqWYhJTPor2XrgtIOQ3lZDYUUPQcWF_34', 'width': 766}]",ChIJjVohLgSFuokRiLTi5c_l5HE,"{'compound_code': '2MXR+JC Hampton, VA, USA', 'global_code': '87952MXR+JC'}",1.0,4.0,ChIJjVohLgSFuokRiLTi5c_l5HE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",46.0,"2022 Nickerson Boulevard, Hampton",True
OPERATIONAL,"{'location': {'lat': 37.0342309, 'lng': -76.32516439999999}, 'viewport': {'northeast': {'lat': 37.0355332302915, 'lng': -76.32384581970848}, 'southwest': {'lat': 37.0328352697085, 'lng': -76.32654378029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 3186, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110229948072759544551"">Dee Brevard</a>'], 'photo_reference': 'AW30NDx9NiZ-73eASUw27TnJKSaptS8dsZnELRtyl3T8HUwlEpwagiJyMb6yoYJ69HBwPuKDLxwxqrqSQ01-QmZsJtbM3NxtWnQE6sONnDId_6E9X34-1Ym3Wj-YQcL5vkFH8BeYhh4sivOLO4pE6r0MGexu_TF9uDIruPtkB85En6UuMxV5', 'width': 2794}]",ChIJQdFhjt2EuokRkMqTWdkb50w,"{'compound_code': '2MMF+MW Hampton, VA, USA', 'global_code': '87952MMF+MW'}",1.0,3.5,ChIJQdFhjt2EuokRkMqTWdkb50w,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",129.0,"231 East Mercury Boulevard, Hampton",
OPERATIONAL,"{'location': {'lat': 37.0169478, 'lng': -76.325459}, 'viewport': {'northeast': {'lat': 37.0183146302915, 'lng': -76.32401616970849}, 'southwest': {'lat': 37.0156166697085, 'lng': -76.32671413029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109900103294033299100"">Goutham Ganesh</a>'], 'photo_reference': 'AW30NDy-VXUobBgdZErXgxwRG0C22YDenptmmAnZyYTE-xW8q3smJJVxEIBh5JbkPc3V8AAcU8Dxbv7dujJ80IFByy6ECa24pzIXlauEEDufuNW0uVEY3JMTZvLKQdxGDSJN_9t93J2UWM4BWCMd2O4wFejXe5uJgKmLM4aC5HzRVO3519Uk', 'width': 3024}]",ChIJN1acpNOEuokRM-lU_I8RDfk,"{'compound_code': '2M8F+QR Hampton, VA, USA', 'global_code': '87952M8F+QR'}",1.0,3.4,ChIJN1acpNOEuokRM-lU_I8RDfk,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1623.0,"236 South Mallory Street, Hampton",
OPERATIONAL,"{'location': {'lat': 37.03743559999999, 'lng': -76.3145603}, 'viewport': {'northeast': {'lat': 37.03888498029149, 'lng': -76.3133035697085}, 'southwest': {'lat': 37.03618701970849, 'lng': -76.3160015302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110229948072759544551"">Dee Brevard</a>'], 'photo_reference': 'AW30NDzysiFFoajkXVhyvWy5-vjsyLWBUODDEGokeLymsXVqn8vj2KwiX8v917fibHqfS3WaEIevLPAEDhbq9wtPFQl9316hIUxhNyRhPHGyjz51U6Z7y8Bv1xUDXGFcPPXJVBLKu_FPYPmPM8t5QFfFFLbUjK3aX7VTAAvywSLSfkjUNV4l', 'width': 3024}]",ChIJoX9T9R6FuokRazk6LEaSEKI,"{'compound_code': '2MPP+X5 Hampton, VA, USA', 'global_code': '87952MPP+X5'}",1.0,3.1,ChIJoX9T9R6FuokRazk6LEaSEKI,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1088.0,"1534 East Pembroke Avenue, Hampton",
OPERATIONAL,"{'location': {'lat': 37.0381912, 'lng': -76.3139865}, 'viewport': {'northeast': {'lat': 37.03943148029149, 'lng': -76.3125954697085}, 'southwest': {'lat': 37.03673351970849, 'lng': -76.3152934302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taco Bell,{'open_now': True},"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114770065672950982340"">Taco Bell</a>'], 'photo_reference': 'AW30NDza7B8hs8jELL9yMwucVklWHfhY8i6KNd25UM7301fNqXQ3XmehNqmvRh9MM40x4BGh57bV4CdXCW1YYeFh2y4IvwZkWAfhg_P0945BWL3kuiCsmdnv58flgldCeYXMHmDPCWOCOEtX1LfLQX5UxIb3sBggDgIj3W3pcBvvmE3y5Glj', 'width': 640}]",ChIJc3i_hR6FuokRvhxCAV0C77o,"{'compound_code': '2MQP+7C Hampton, VA, USA', 'global_code': '87952MQP+7C'}",1.0,3.0,ChIJc3i_hR6FuokRvhxCAV0C77o,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",405.0,"1603 East Pembroke Avenue, Hampton",
OPERATIONAL,"{'location': {'lat': 37.0490412, 'lng': -76.3097933}, 'viewport': {'northeast': {'lat': 37.05032413029149, 'lng': -76.30845996970851}, 'southwest': {'lat': 37.04762616970849, 'lng': -76.31115793029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 1253, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115730692563459073966"">Domino&#39;s Pizza</a>'], 'photo_reference': 'AW30NDw3xxMjG1JTEUNTT38ET9bvqiAFPjkughYvrp45IXaIMsPJmiFBj9YwG3rqbQiyx4teP9UmVLen1RrtDh4EVzA5yDoKRTNVyeY9wHpFrFOQXlq920NKJO8iFYPxJw2izLpMiSuGhE_y2_jpUB6AzNnATEuWCOeWasQEt-A-Dex3Y7Ub', 'width': 1080}]",ChIJ3W_xfwaFuokRhGB8G-20Z78,"{'compound_code': '2MXR+J3 Hampton, VA, USA', 'global_code': '87952MXR+J3'}",1.0,4.1,ChIJ3W_xfwaFuokRhGB8G-20Z78,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",137.0,"2002 Nickerson Boulevard Ste C, Hampton",
OPERATIONAL,"{'location': {'lat': 37.04909029999999, 'lng': -76.3098368}, 'viewport': {'northeast': {'lat': 37.0503986302915, 'lng': -76.3085523697085}, 'southwest': {'lat': 37.0477006697085, 'lng': -76.3112503302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dunkin',{'open_now': False},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111017152323086138936"">rich wilcox</a>'], 'photo_reference': 'AW30NDz6nRpPGgQ66v_ZhWb2I2IfjaXlJwD0o0SY-usOR3raffxgSUvcBBEKViZPru-6btd1_QlEYiSjqa6eVy5tfMjmRmYhD5_BsgIdg3oWAmn7Ufu-wfaNH-wFrWPfFMOn7502z27b7HxmKqy271dRxrd22r0K1squgKkv3aTsuablGVzk', 'width': 4160}]",ChIJa2pwMwSFuokR-vGKz-MzWqE,"{'compound_code': '2MXR+J3 Hampton, VA, USA', 'global_code': '87952MXR+J3'}",1.0,3.6,ChIJa2pwMwSFuokR-vGKz-MzWqE,GOOGLE,"['bakery', 'cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",404.0,"2006 Nickerson Boulevard Suite A, Hampton",
OPERATIONAL,"{'location': {'lat': 37.0356292, 'lng': -76.32578269999999}, 'viewport': {'northeast': {'lat': 37.03698428029151, 'lng': -76.32463611970849}, 'southwest': {'lat': 37.03428631970851, 'lng': -76.32733408029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Loyal Order of Moose,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105827031746645943789"">Candace LaVee</a>'], 'photo_reference': 'AW30NDzB4QHK2SAbCW8ZCTSBAGf60GjPb5KyP4gWNTLWaR3O9KxfKmpNrf0IxXnLLcpfQAZdI2uu1osR6p7oivS3q7ZBBjv1Xns3TNS6G764HRsFnvj38eNOufhNc5Q8xW-Ca-i2sGoTxlmC3wiNWUVyu9rFfxjAfwxOwXuTgWe-pWYW55l-', 'width': 1152}]",ChIJ54ZAceeEuokRPtTnYssfYQo,"{'compound_code': '2MPF+7M Hampton, VA, USA', 'global_code': '87952MPF+7M'}",1.0,4.6,ChIJ54ZAceeEuokRPtTnYssfYQo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",97.0,"207 East Mercury Boulevard, Hampton",
