business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.767097, 'lng': -72.6766416}, 'viewport': {'northeast': {'lat': 41.7685199802915, 'lng': -72.67526731970848}, 'southwest': {'lat': 41.7658220197085, 'lng': -72.6779652802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Max Downtown,{'open_now': True},"[{'height': 2001, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116004023955105977388"">Max Downtown</a>'], 'photo_reference': 'AW30NDzCZ_8v_pe1swcxbL8sK9TThyaCWGqFuZ2OwAn0qIhEBD9vaeHGpaQAKbZ0F--Bx3_15inSE5nrTr8Rxas5qeqR4Sw5GTUX1BoMo-ipkpu6lOUotETZuBjLR_JtI0YQ3mwLQX-jdAXetFWUnab0PIjrTL88wZUyvl_n94gU0S_FXMKo', 'width': 3000}]",ChIJ5ZXjk2RT5okRYnfbR2hC_bA,"{'compound_code': 'Q88F+R8 Hartford, CT, USA', 'global_code': '87H9Q88F+R8'}",3.0,4.5,ChIJ5ZXjk2RT5okRYnfbR2hC_bA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",674.0,"185 Asylum Street, Hartford",
OPERATIONAL,"{'location': {'lat': 41.76769069999999, 'lng': -72.6728634}, 'viewport': {'northeast': {'lat': 41.76911648029149, 'lng': -72.6716286697085}, 'southwest': {'lat': 41.76641851970849, 'lng': -72.6743266302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,City Steam Brewery,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117076857442421129194"">City Steam Brewery</a>'], 'photo_reference': 'AW30NDz_02TCEcBnfA6C9fdrS3ll4PkY3HxR13OCE8mSbdjEWtuInsSSQIzY08qtko_lU1VvT100JcpLmwu6JH3mWu0mQAApiKRvqer8q2wW725aT6M0e5zpCXBtR4wfOOUU7WqxxX-pY-MZgq9jFZjgEyoJCSS2t-klhnrtHen_1i2KJaZv', 'width': 1440}]",ChIJf5Zto3xT5okRcRHEf8qo4b0,"{'compound_code': 'Q89G+3V Hartford, CT, USA', 'global_code': '87H9Q89G+3V'}",2.0,4.0,ChIJf5Zto3xT5okRcRHEf8qo4b0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",424.0,"942 Main Street, Hartford",
OPERATIONAL,"{'location': {'lat': 41.7667208, 'lng': -72.6754406}, 'viewport': {'northeast': {'lat': 41.7680461302915, 'lng': -72.6742286697085}, 'southwest': {'lat': 41.7653481697085, 'lng': -72.6769266302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Trumbull Kitchen,{'open_now': True},"[{'height': 562, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116853248721245542096"">Amy Mock</a>'], 'photo_reference': 'AW30NDwkbCasXSilJ-7f5OBHfcxeGjC5_tzx3aU1VnjYS4NgmdjS32UlehYF2Y_VBapT9lvsqy6g67sSHXAVzZsMvqmuo3Eh12a7OVSxpjqvwkSLUiBRtcY1qSiPhs8a8sxb0gL8bWsfMPX5rX27KQVfS0NrKv0d52IfCuyE6IjxZf5117ru', 'width': 1000}]",ChIJiW5avmRT5okRsNYQAVx5xXI,"{'compound_code': 'Q88F+MR Hartford, CT, USA', 'global_code': '87H9Q88F+MR'}",2.0,4.4,ChIJiW5avmRT5okRsNYQAVx5xXI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",919.0,"150 Trumbull Street, Hartford",
OPERATIONAL,"{'location': {'lat': 41.7629021, 'lng': -72.6704094}, 'viewport': {'northeast': {'lat': 41.76423773029151, 'lng': -72.6689159697085}, 'southwest': {'lat': 41.76153976970851, 'lng': -72.67161393029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Capital Grille,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110084364674028737640"">Jon R.</a>'], 'photo_reference': 'AW30NDy2CGnn2R5UkOwqFV2NKwow2_n1_v0_sUcaw834YG__-ixYuIyy2mJtjaWKOxJ_uZnkbvrSE8uPxK8T7iGpwee03OYvXWt6pbmiCVCcp-70AUoEDeIZxZ9u7WE1sU-5ZyfdIGhFSQFiArPVeoMT64Lc0-FHB0C7o3XrQ63tDOOSU5f7', 'width': 4032}]",ChIJAZAJcHpT5okRtflURcPQg8I,"{'compound_code': 'Q87H+5R Hartford, CT, USA', 'global_code': '87H9Q87H+5R'}",4.0,4.7,ChIJAZAJcHpT5okRtflURcPQg8I,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1333.0,"44 Front Street, Hartford",
OPERATIONAL,"{'location': {'lat': 41.76768189999999, 'lng': -72.679495}, 'viewport': {'northeast': {'lat': 41.7689870802915, 'lng': -72.6781953697085}, 'southwest': {'lat': 41.7662891197085, 'lng': -72.68089333029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Black-Eyed Sally's Southern Kitchen & Bar,{'open_now': False},"[{'height': 711, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114109476725218672107"">Black-Eyed Sally&#39;s Southern Kitchen &amp; Bar</a>'], 'photo_reference': 'AW30NDx_M8oLL2KxFkDsqVq1eXOtPfMQqbZwUnjMqg9JQZznixsd5t7UyrUVViVmdn9JE3XC81g8G8Kifv8LluSd3Dvz7lscfIeI4PqrGTXhj7pzT7qM1Czk67nP6kIdy1P51Wq8FlIEE221xeohEbgcbWb07LL9C11W9hz4tQbyrki2fxc3', 'width': 1243}]",ChIJ392KGmRT5okRJixT0bvkqTM,"{'compound_code': 'Q89C+36 Hartford, CT, USA', 'global_code': '87H9Q89C+36'}",2.0,4.4,ChIJ392KGmRT5okRJixT0bvkqTM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1789.0,"350 Asylum Street, Hartford",
OPERATIONAL,"{'location': {'lat': 41.75794589999999, 'lng': -72.7207852}, 'viewport': {'northeast': {'lat': 41.7591647302915, 'lng': -72.71949086970851}, 'southwest': {'lat': 41.7564667697085, 'lng': -72.72218883029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Plan B Burger Bar - West Hartford,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108025895413835099997"">Plan B Burger Bar - West Hartford</a>'], 'photo_reference': 'AW30NDxSWYyUmu4Akzlww-MzcL6bKqxkWpf0XaJqOSJ8M_VFiRnyksoYN4S46VF-n8X84IqSWSxhaoFLQKv2dawb-l7pladnWhKHnLzL6V76TydgZyEhnVqge3ia6G8UZ3iK-W2GUJhe6dp-mDehDUzKm934eiVYCHqN_Ln3Pg52ks_6_bZE', 'width': 1500}]",ChIJkYhZiMis54kRChwC_tExfeM,"{'compound_code': 'Q75H+5M West Hartford, CT, USA', 'global_code': '87H9Q75H+5M'}",2.0,4.3,ChIJkYhZiMis54kRChwC_tExfeM,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1210.0,"138 Park Road, West Hartford",
OPERATIONAL,"{'location': {'lat': 41.768474, 'lng': -72.67799509999999}, 'viewport': {'northeast': {'lat': 41.7697609302915, 'lng': -72.67663206970849}, 'southwest': {'lat': 41.7670629697085, 'lng': -72.67933003029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Agave Grill,{'open_now': True},"[{'height': 2928, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110084364674028737640"">Jon R.</a>'], 'photo_reference': 'AW30NDyYORZamF_GksM1coYpb9oLToTFM8q4ot3iBaazM6kciOvsfGdsw8TyUuwMJPTgZeiYQtsrHB-SIYHjlzJNMpvMibODuOreOtWXbc3G3R84k5FaDXCtIkgGXwc8XD1zDl9Dew7P64ru-l9TSc-pJxUl1ufVl9920uC8PK0wG9rkSjv4', 'width': 3904}]",ChIJublEiWNT5okRCAQtQmd-IoM,"{'compound_code': 'Q89C+9R Hartford, CT, USA', 'global_code': '87H9Q89C+9R'}",2.0,4.2,ChIJublEiWNT5okRCAQtQmd-IoM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",880.0,"100 Allyn Street #1418, Hartford",
OPERATIONAL,"{'location': {'lat': 41.7617597, 'lng': -72.6708737}, 'viewport': {'northeast': {'lat': 41.7631955302915, 'lng': -72.6695091197085}, 'southwest': {'lat': 41.76049756970851, 'lng': -72.67220708029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Arch Street Tavern,{'open_now': False},"[{'height': 1666, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101246314816566630714"">Arch Street Tavern</a>'], 'photo_reference': 'AW30NDyQXeR3yWBk2Zf9qV16xHd-7CoJpfnhwKFGzI_n_KJvxVXIxhl7tGdE7eauWwi-myACrJRL-75RRKSroH9gnCHqZtudpYLyowprsuWO0Sr978nUWliN9g2gj0p66UZkVgBLleS9PGRP132-1pb4KWXWksy6Iw5SAP7Gg4SmKrGCEBg', 'width': 2960}]",ChIJ3QnGhXBT5okR7Zpf1ypHyBU,"{'compound_code': 'Q86H+PM Hartford, CT, USA', 'global_code': '87H9Q86H+PM'}",2.0,4.3,ChIJ3QnGhXBT5okR7Zpf1ypHyBU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",645.0,"85 Arch Street, Hartford",
OPERATIONAL,"{'location': {'lat': 41.79026799999999, 'lng': -72.65736609999999}, 'viewport': {'northeast': {'lat': 41.7914840802915, 'lng': -72.65587371970848}, 'southwest': {'lat': 41.7887861197085, 'lng': -72.6585716802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mynx Cabaret Hartford,{'open_now': True},"[{'height': 428, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113130316046046084572"">Mynx Cabaret Hartford</a>'], 'photo_reference': 'AW30NDzPB2-nUvwLKUorbeDpkWAVK9DEl5_esKqdq249N6CGTPZQg7gfxc2QMBeviCEJTjNkS86NJ6XTD25cn7hhWCBegL_5fFhZOqO1yrgW9NWJKJT7cxbApTN60an28yRE6J6O_7c_l63N2teOCOBHI9edyn8-oRJR5sz5-22NlGmBJqZw', 'width': 640}]",ChIJdbAOD15U5okRPJtn-ystY84,"{'compound_code': 'Q8RV+43 Hartford, CT, USA', 'global_code': '87H9Q8RV+43'}",,2.7,ChIJdbAOD15U5okRPJtn-ystY84,GOOGLE,"['night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",125.0,"145 West Service Road, Hartford",
OPERATIONAL,"{'location': {'lat': 41.73536289999999, 'lng': -72.6612102}, 'viewport': {'northeast': {'lat': 41.73669638029149, 'lng': -72.6601123197085}, 'southwest': {'lat': 41.7339984197085, 'lng': -72.66281028029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,U.S.S. Chowder Pot IV,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110548854863380156245"">Jonathan Liu</a>'], 'photo_reference': 'AW30NDxp9lZYY-YJhwlSGcqOth69zGs0XzkEMQY9ICN5KHu6Xzx7wTRd4JK6zpMBzFGqK-3TqFjjpct2dedjzuErCNcycgyHAGz21WKObbEayjzjQRaVGkmGR_jAXzb115r5i2CkMfHn4ecOUruA58D8woy-FAfFk8_XSM7KPx4chgyXBoUW', 'width': 4608}]",ChIJ_9ztMqpT5okRiDBNNehPxK0,"{'compound_code': 'P8PQ+4G Hartford, CT, USA', 'global_code': '87H9P8PQ+4G'}",2.0,4.2,ChIJ_9ztMqpT5okRiDBNNehPxK0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3019.0,"165 Brainard Road, Hartford",
