business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.019904, 'lng': -115.053291}, 'viewport': {'northeast': {'lat': 36.0213112302915, 'lng': -115.0518447697085}, 'southwest': {'lat': 36.0186132697085, 'lng': -115.0545427302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ventano Italian Grill & Seafood,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101471644719316704771"">Taja Hueysuwan</a>'], 'photo_reference': 'AW30NDxdTbJgvYENCycg3F38D-gIcOVRPaG-TGlQvHFaKTcVs7OLX7Acnpq_aEBaTiPr8LcImMxlFm9fkGGFZwfTKIQS1r5jkpIh_GpY9p-XDpzvmSkbHm4c7fR5SY_qq_VSknHvD8_JK1dZpUhCt8M-KUyABdHd2Uddd-VFHgaHVUSGUn2C', 'width': 4032}]",ChIJqfEznZvRyIARsXbioAGekSc,"{'compound_code': '2W9W+XM Henderson, NV, USA', 'global_code': '85862W9W+XM'}",2.0,4.5,ChIJqfEznZvRyIARsXbioAGekSc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1558.0,"191 South Arroyo Grande Boulevard, Henderson",
OPERATIONAL,"{'location': {'lat': 36.02313400000001, 'lng': -115.048877}, 'viewport': {'northeast': {'lat': 36.0245212302915, 'lng': -115.0475610697085}, 'southwest': {'lat': 36.0218232697085, 'lng': -115.0502590302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jesse's Pizza,{'open_now': True},"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110394299548771104380"">GingerRoots Media</a>'], 'photo_reference': 'AW30NDztTStRubz01ALh1xxCEdZOOeGN9WIbi5fkwcDQ5NePjoaM7GnPPtmEMYMwRQKisilv8E7d1OcSrTs4sm6wSCwhvZWIncOn-cIOd1Q0DjHPdyaJMqYoYQb24rjfqPDomJ4iEV3ruNSAM9FtQ0JNMDd9YcvKE6y6xuuFc2T8zRtpuzEz', 'width': 2000}]",ChIJNzmVL5zRyIARbBQGrtflYFk,"{'compound_code': '2XF2+7C Henderson, NV, USA', 'global_code': '85862XF2+7C'}",1.0,4.2,ChIJNzmVL5zRyIARbBQGrtflYFk,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",108.0,"1450 West Horizon Ridge Parkway, Henderson",
OPERATIONAL,"{'location': {'lat': 36.02178639999999, 'lng': -115.0486353}, 'viewport': {'northeast': {'lat': 36.02314273029149, 'lng': -115.0471459197085}, 'southwest': {'lat': 36.02044476970849, 'lng': -115.0498438802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Metro Pizza,{'open_now': False},"[{'height': 1868, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104242751310100735002"">E Gil</a>'], 'photo_reference': 'AW30NDzy3SkJfF3gZKjdVNHBVwUh2h6ZP4CF0KIRajAXz_tdexBiJ1ET8K1Q9ODB836Mh99BH7ffrs-zkG6fOHs0N1fZKY3eaW33BX5iaLYZf94OErMKFkjvfJ8S1MDOxrmTkwxG36aXEwz21s-dewvgfMHR0YZtFKRUvTxtdYWZbKBgdZux', 'width': 4000}]",ChIJF8PRu53RyIARBb-r_vHbmtY,"{'compound_code': '2XC2+PG Henderson, NV, USA', 'global_code': '85862XC2+PG'}",2.0,4.4,ChIJF8PRu53RyIARBb-r_vHbmtY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1059.0,"1420 West Horizon Ridge Parkway, Henderson",
OPERATIONAL,"{'location': {'lat': 36.0232408, 'lng': -115.0479081}, 'viewport': {'northeast': {'lat': 36.02449353029151, 'lng': -115.0465242697085}, 'southwest': {'lat': 36.02179556970851, 'lng': -115.0492222302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Timbers Bar & Grill,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113598969552850977778"">Luis Santana</a>'], 'photo_reference': 'AW30NDxVlmCuY2gt4vkeTWBs_5FHyPhAp55z3_Uz4VobtziZy38eXrwrzfZbMLvYr_IgiE6MBbnx8WfzYfyRET8-o9agk2uqPjVuFDZXETwRaBq3VIHQFSxvHCEORatjVlR3gj2VYggEGe_GeG46o4dpSawp5QmfALEPLWDYX2kdpy_CGZh2', 'width': 5312}]",ChIJNzmVL5zRyIAR_1uXrKP3gbE,"{'compound_code': '2XF2+7R Henderson, NV, USA', 'global_code': '85862XF2+7R'}",2.0,4.5,ChIJNzmVL5zRyIAR_1uXrKP3gbE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",570.0,"1450 West Horizon Ridge Parkway, Henderson",
CLOSED_TEMPORARILY,"{'location': {'lat': 36.03209439999999, 'lng': -115.0094186}, 'viewport': {'northeast': {'lat': 36.03331688029149, 'lng': -115.0081274697085}, 'southwest': {'lat': 36.03061891970849, 'lng': -115.0108254302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102410589604457808638"">Belinda Steffen</a>'], 'photo_reference': 'AW30NDzekNYgmViHsLnuiBpunzvtPqxJ44ZK1zBRqcq5zmGZEs3nwA6nwCAg4qgo8CyFXWJoMzlg7Zb7djIz1cY6dMlKPb2WiRq2akjGPa1j79NYDtCnO5Eb9GtVilIMKva6HYVhojO0IJd3keRiQJ1Vr8Pc7FD12OmUwo4zNuXLIfmZMf8N', 'width': 1536}]",ChIJrwYDNU_RyIARfZduf2yPKTA,"{'compound_code': '2XJR+R6 Henderson, NV, USA', 'global_code': '85862XJR+R6'}",1.0,3.4,ChIJrwYDNU_RyIARfZduf2yPKTA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",10.0,"777 West Lake Mead Parkway, Henderson",True
OPERATIONAL,"{'location': {'lat': 36.0240728, 'lng': -115.0632878}, 'viewport': {'northeast': {'lat': 36.02551348029149, 'lng': -115.0619361697085}, 'southwest': {'lat': 36.02281551970849, 'lng': -115.0646341302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China a Go Go,{'open_now': True},"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110394299548771104380"">GingerRoots Media</a>'], 'photo_reference': 'AW30NDzlbZLgL3JBZ18iDneTOchCJxZ95bKJf-c7ecbQyJx7oX8WB9Y8VHnzLt_mnAm_6yh0B5B1wbDfYmAbIFKEPEVBlLB2yw5V6HkpYpX5dqPT7XODu987pjxgg-kHrkErFSsjzgBXYRcNvo_BZyDrxlGp741SoR--RsBCrsrXkn586C2j', 'width': 2000}]",ChIJ8USQEJbRyIARUSk6ngNGVys,"{'compound_code': '2WFP+JM Henderson, NV, USA', 'global_code': '85862WFP+JM'}",1.0,4.2,ChIJ8USQEJbRyIARUSk6ngNGVys,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",217.0,"75 South Valle Verde Drive, Henderson",
OPERATIONAL,"{'location': {'lat': 36.0399985, 'lng': -115.0299307}, 'viewport': {'northeast': {'lat': 36.0413591302915, 'lng': -115.0284747697085}, 'southwest': {'lat': 36.0386611697085, 'lng': -115.0311727302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110394299548771104380"">GingerRoots Media</a>'], 'photo_reference': 'AW30NDw77BpYf9idL3EoGX-96BxSIaref-8fWhTwQEqycBSsf4TCa3xalRH7sgN4giOU3vrh-F18z9BM4RMNqaBHKcPMnjiCPAJIxC3rFq5T51J98nwykDQr0lzG6nb2VzwVDcNZhgbwaDrt8HCOyE0jW-1m1PwmqMTUjrJGuGqXYY-oGx40', 'width': 2000}]",ChIJUzXheBPRyIAROtOLALEAlDo,"{'compound_code': '2XQC+X2 Henderson, NV, USA', 'global_code': '85862XQC+X2'}",1.0,3.9,ChIJUzXheBPRyIAROtOLALEAlDo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",78.0,"183 North Gibson Road Suite 100, Henderson",
OPERATIONAL,"{'location': {'lat': 36.0240513, 'lng': -115.0630803}, 'viewport': {'northeast': {'lat': 36.0254997302915, 'lng': -115.0617547697085}, 'southwest': {'lat': 36.0228017697085, 'lng': -115.0644527302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110394299548771104380"">GingerRoots Media</a>'], 'photo_reference': 'AW30NDwPNwEs2sBjkfAok5pw0j5TnwF5H8er6fQJt1wiaAGz8-SRTNS0Y_JsUc6CmQLlqspt4pm0-HVqlVPZ6AyPBQtvES54zUerQNAQjdvB3Z41WRugBaNDmB8esQT4tBMVeSEyX2itxUkKLftyInIcwwHmMbe_VKvtlboimFmiiYX-kXIs', 'width': 2000}]",ChIJ8USQEJbRyIARgpkfOBFeT4g,"{'compound_code': '2WFP+JQ Henderson, NV, USA', 'global_code': '85862WFP+JQ'}",1.0,3.1,ChIJ8USQEJbRyIARgpkfOBFeT4g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",99.0,"75 South Valle Verde Drive, Henderson",
OPERATIONAL,"{'location': {'lat': 36.0391913, 'lng': -115.0299474}, 'viewport': {'northeast': {'lat': 36.0404996302915, 'lng': -115.0284925697085}, 'southwest': {'lat': 36.0378016697085, 'lng': -115.0311905302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dunkin',{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101273657292500894397"">Sujith Suresh Babu</a>'], 'photo_reference': 'AW30NDxzEkjfYfpu-IfXrBsmbNc1VsEG9m5-yYgf3cEhYWMVdXOKZJNgNq5U6RDEV5bK4fEZrF0yhhIyXeKCv45CKitnwPRg9lJYOmoDzHXYlzoxu3jxMlffY8GRN9lC32lDzt4AEFTNgDTTEves2zAni_R3Wm5ttPmCy2-NpkAqi_ocLt05', 'width': 4032}]",ChIJUzXheBPRyIARF7Np8plZnEU,"{'compound_code': '2XQC+M2 Henderson, NV, USA', 'global_code': '85862XQC+M2'}",1.0,3.8,ChIJUzXheBPRyIARF7Np8plZnEU,GOOGLE,"['meal_takeaway', 'cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",699.0,"171 North Gibson Road Suite 100, Henderson",
OPERATIONAL,"{'location': {'lat': 36.00898470000001, 'lng': -114.9916458}, 'viewport': {'northeast': {'lat': 36.0103158802915, 'lng': -114.9904142197085}, 'southwest': {'lat': 36.0076179197085, 'lng': -114.9931121802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105799496735031637396"">Lucas Gallup</a>'], 'photo_reference': 'AW30NDyBL-zsv6pLxih_S1482Pr2fkTXuQOdfJD4NKz6fx9QhWW0ODrVBTbrIRT25rnM6Zj7zsS6F3GwcXy7MOKESTeUSHuf0PwOqIr4o-41uTml4q1Em4rf3AuflqQkzsjo3AWtDa2nwjaGqB0UDRts8wreB8xYk1yHhTTBtxUnY_FUeyBk', 'width': 4032}]",ChIJV087EQ_UyIAR7fnbUahabRs,"{'compound_code': '2255+H8 Henderson, NV, USA', 'global_code': '85872255+H8'}",2.0,3.9,ChIJV087EQ_UyIAR7fnbUahabRs,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",946.0,"65 East Horizon Ridge Parkway, Henderson",
