business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 25.86819479999999, 'lng': -80.31810899999999}, 'viewport': {'northeast': {'lat': 25.8703204, 'lng': -80.31052495}, 'southwest': {'lat': 25.86540599999999, 'lng': -80.32655315}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Westland Mall,{'open_now': True},"[{'height': 2441, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116101859672176249087"">Westland Mall</a>'], 'photo_reference': 'AW30NDx2jzqdYDWZNYwRahjTheq8m7O7teS9-F8schhcmkd8-4F1DLIR2Z4gwpXU6KB-7_HGUzYw9FikYIlZjdOwTvnL8RMn3KsLb9Pf41hB2V4rBEB8bgkTG7W17ShbdRSR_XajhR8SjdkR-x0WE04Fr_BL6FXKJTlu5tCnQNbYsk7mWfs0', 'width': 3662}]",ChIJTbIsAP262YgRSF-ZX7wkRtw,"{'compound_code': 'VM9J+7Q Hialeah, FL, USA', 'global_code': '76QXVM9J+7Q'}",4.4,ChIJTbIsAP262YgRSF-ZX7wkRtw,GOOGLE,"['shopping_mall', 'clothing_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",10701.0,"1675 West 49th Street, Hialeah",,
OPERATIONAL,"{'location': {'lat': 25.8682493, 'lng': -80.31905479999999}, 'viewport': {'northeast': {'lat': 25.86934388029151, 'lng': -80.3175483197085}, 'southwest': {'lat': 25.8666459197085, 'lng': -80.3202462802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Auntie Anne's,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116766858520122761422"">Auntie Anne&#39;s</a>'], 'photo_reference': 'AW30NDxo5El5Nz4xWjWBZ489kktn-_95l985_rClxOdclQjB-LWJHbAWVdop3uR90b1p4e4QKfWQ2RN-xv7AdS4-Ak3F4QVIuuLcfNL-dHdvJJbwyfsqSudEJrV0hk67luicLSgnuKUzN_0u3BeB89InQVZ2cD6oHRy1ETcV3e2NuTjbdPmS', 'width': 1000}]",ChIJo9Lzc_y62YgRUijcTZU2I9M,"{'compound_code': 'VM9J+79 Hialeah, FL, USA', 'global_code': '76QXVM9J+79'}",3.8,ChIJo9Lzc_y62YgRUijcTZU2I9M,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",20.0,"1675 West 49th Street, Hialeah",1.0,
OPERATIONAL,"{'location': {'lat': 25.8661998, 'lng': -80.3098978}, 'viewport': {'northeast': {'lat': 25.8676453302915, 'lng': -80.30855046970849}, 'southwest': {'lat': 25.8649473697085, 'lng': -80.31124843029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101173413996688461981"">Fran Olav</a>'], 'photo_reference': 'AW30NDzhH1b2FBW-LFAfhK_mR5VPrw8EFm_Ru9dT38oU670ygr_9ZVH_I5xkOsDWvZpRxB9d1x5CDeM5ya-LOGaO7KtKjlBFxZzhzLDiPWeBG1JlaMQF8-zFwsCzFJ5rDZrIL54DQzPv08n5a-wcguCs6V9SvhyTReIUQbNps9Zlb2a-dnXj', 'width': 5312}]",ChIJK2yWnvC62YgRm0cFPtyw5_Y,"{'compound_code': 'VM8R+F2 Hialeah, FL, USA', 'global_code': '76QXVM8R+F2'}",4.3,ChIJK2yWnvC62YgRm0cFPtyw5_Y,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4595.0,"1350 West 49th Street Bldg .1, Hialeah",2.0,
OPERATIONAL,"{'location': {'lat': 25.8669763, 'lng': -80.3093766}, 'viewport': {'northeast': {'lat': 25.8682496302915, 'lng': -80.30802966970849}, 'southwest': {'lat': 25.86555166970849, 'lng': -80.31072763029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDxbXh000KMaZ5q8oXly5aMqyfbyYOoSPiRlsjSGIE4UdYvQGCWSgZK8AjsTMIpFwERo42TTXXe4d81t0Gyv9KxdX9RS9KcMXiIy6PpeJKDnPO8Sies9Hlf8B3CUHHId19JIdFFcwUON57bqbbKhFxKydhaQU5iSYOw4eySBMrKbeeYL', 'width': 4000}]",ChIJzRzxtY262YgRaDHk1SIWwKs,"{'compound_code': 'VM8R+Q6 Hialeah, FL, USA', 'global_code': '76QXVM8R+Q6'}",3.9,ChIJzRzxtY262YgRaDHk1SIWwKs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",237.0,"1315 West 49th Street, Hialeah",1.0,
OPERATIONAL,"{'location': {'lat': 25.8687044, 'lng': -80.3165998}, 'viewport': {'northeast': {'lat': 25.86954783029151, 'lng': -80.3153504697085}, 'southwest': {'lat': 25.8668498697085, 'lng': -80.31804843029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101285769890785237701"">IVETH Morales</a>'], 'photo_reference': 'AW30NDy1YBKjgW-cWCMIZtpZtyCwRJv1yBzWDEOvUwViRlteiT-E344zfiMzhPPtZYCj9OLnBIdqOCHWVmacQMxnp24W1_HS06ejjAFdoPSg7aLfol4t40CoYQW37ZrceF1fzQNss9yhzPq_kUsGuFhaPCl4lxGyWTo_xj_HrmUGzvJTYePQ', 'width': 3024}]",ChIJ63G4q_262YgR1iL0Rppizr8,"{'compound_code': 'VM9M+F9 Hialeah, FL, USA', 'global_code': '76QXVM9M+F9'}",4.4,ChIJ63G4q_262YgR1iL0Rppizr8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",259.0,"1675 West 49th Street Store #1250, Hialeah",1.0,
OPERATIONAL,"{'location': {'lat': 25.8670672, 'lng': -80.2919284}, 'viewport': {'northeast': {'lat': 25.8683778302915, 'lng': -80.29067306970849}, 'southwest': {'lat': 25.8656798697085, 'lng': -80.2933710302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115049433960468410943"">Oscar Glez</a>'], 'photo_reference': 'AW30NDxMOplK25I3h-6CeUFKW3IZWrQSg74TZ8w_gRHS_GHweCuwAFJVqnEHrvixQ9Xf3__IHWVEdh4SiOusWzKm8ywlxvutSeiWv0uUlcdEP1tcMFclNCqYSAr_3dV3Usr7Br5q-al0UXWbJL_J2kWOFIA8yj-4n_eDIJYppWAg7lmpg6O3', 'width': 6016}]",ChIJvQOuWo662YgRsCKACZaOGwg,"{'compound_code': 'VP85+R6 Hialeah, FL, USA', 'global_code': '76QXVP85+R6'}",3.8,ChIJvQOuWo662YgRsCKACZaOGwg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1114.0,"405 West 49th Street, Hialeah",1.0,
OPERATIONAL,"{'location': {'lat': 25.8619232, 'lng': -80.3161748}, 'viewport': {'northeast': {'lat': 25.8630366802915, 'lng': -80.3147224197085}, 'southwest': {'lat': 25.8603387197085, 'lng': -80.31742038029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111925717467283002525"">Direlys Pupo</a>'], 'photo_reference': 'AW30NDy0EF5PR58G1W5zkE29z8qCpSE_DILKAiAl4vq01othoLx6W99n29E9EKZ8J8NlG3vYT28H_QuSHNJ-jtjzKqPHL2y3HmC9avHRsiGwAV1plqutE3bnicFz7Rg1xKa8BNpUdiFfzF6DrATaPFSqq_ii-SQKZGHwvE74cYCZSrkzeKWh', 'width': 4032}]",ChIJjQwJ2fi62YgRoIg3zTENdqE,"{'compound_code': 'VM6M+QG Hialeah, FL, USA', 'global_code': '76QXVM6M+QG'}",4.2,ChIJjQwJ2fi62YgRoIg3zTENdqE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",84.0,"4410 West 16th Avenue Bay 28B, Hialeah",1.0,
OPERATIONAL,"{'location': {'lat': 25.8654326, 'lng': -80.2961376}, 'viewport': {'northeast': {'lat': 25.8669201302915, 'lng': -80.2945830697085}, 'southwest': {'lat': 25.86422216970849, 'lng': -80.2972810302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nrgize,{'open_now': True},"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113706437096696986690"">Nrgize</a>'], 'photo_reference': 'AW30NDztTpR8E3IYMMx7X7ErEGvhRmcw5JJjt1atYLUCBHbEOFiCBSO4V6o0ExpzFBJ1mbt0jGmdyFse1HcenGgje2EGLej0Pg-kT_gNTsjxxPkvsPNvgP2TZjo41-yPXxAUr5Dtc5wnNxUE7pLZ_UIwdvBcRdEDhLT4JT7tkmVVPQV8QNQC', 'width': 640}]",ChIJg-JT6OJThVQRRvl56uSmy-g,"{'compound_code': 'VP83+5G Hialeah, FL, USA', 'global_code': '76QXVP83+5G'}",3.0,ChIJg-JT6OJThVQRRvl56uSmy-g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,"630 West 49th Street, Hialeah",1.0,
OPERATIONAL,"{'location': {'lat': 25.8537973, 'lng': -80.3203549}, 'viewport': {'northeast': {'lat': 25.8552305802915, 'lng': -80.3190061697085}, 'southwest': {'lat': 25.8525326197085, 'lng': -80.32170413029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Subway 1905W 35th St. Hialeah, FL 33012",{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105779608700713636856"">Subway 1905W 35th St. Hialeah, FL 33012</a>'], 'photo_reference': 'AW30NDxMw1hQHkZ4-9FF8LQpB3UcLhUBlICjkr6afTz2sUjxPapNwiooZD9ZT7l5F6WA2azDaq4ZaELqxLvOjhUHnpdeSl7Y1VSsnLnknL4YdufHsBglT6v28MmeracT7mGjwT4k_5EtD9Y0qlEE8lODq49gKiyVdmFKyUmhJU4TjKlX77vO', 'width': 4032}]",ChIJvyKXfVO62YgRKDBr8-6R8f0,"{'compound_code': 'VM3H+GV Hialeah, FL, USA', 'global_code': '76QXVM3H+GV'}",4.3,ChIJvyKXfVO62YgRKDBr8-6R8f0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",219.0,"1905 West 35th Street Suite 155, Hialeah",1.0,
OPERATIONAL,"{'location': {'lat': 25.86297069999999, 'lng': -80.3072756}, 'viewport': {'northeast': {'lat': 25.8642433802915, 'lng': -80.3058730697085}, 'southwest': {'lat': 25.8615454197085, 'lng': -80.3085710302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDykYzcDO_9p51PnapD-B6fzrC7vOJmpY5Yf6IbWXCxadTuAfHszwNbCTVJ22GhF78b2IC4zb5xQSVPCxT07gPUpC5zpSJ5wBDIg4oHCu_0M98V_PahxDxOvVveDId94LbzCXDPu6qPOpDLX3s5m3bqu6bmxgOL_e_OKySnxddhdvcn7', 'width': 4000}]",ChIJ_WhB4va62YgRRTVC5Dvtq5E,"{'compound_code': 'VM7V+53 Hialeah, FL, USA', 'global_code': '76QXVM7V+53'}",3.8,ChIJ_WhB4va62YgRRTVC5Dvtq5E,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",390.0,"1213 West 44th Place Suite 15, Hialeah",1.0,
