business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 35.991994, 'lng': -79.9968}, 'viewport': {'northeast': {'lat': 35.99338478029149, 'lng': -79.99551251970848}, 'southwest': {'lat': 35.99068681970849, 'lng': -79.9982104802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Thai Herb,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118275254989508607130"">Tayland Haberleri</a>'], 'photo_reference': 'AW30NDyVV3UHxAow8638E1qJaX1j1JRT8ljwqJO58B9mftMm8AJ0NC5zFjh1yt416ujZw7bVXjbjslPJkcE-VBWlhep4o5PDsQSqaR21up1qirQE4qnTqAcO9VaI0F56EruWy_YcGmOd-KgUd6nqkMILzP8DFzglZ8WwZvlfp9-akSY1RHNh', 'width': 4032}]",ChIJWyDc-jkPU4gRCIYTuzCaV58,"{'compound_code': 'X2R3+Q7 High Point, NC, USA', 'global_code': '8772X2R3+Q7'}",2.0,4.4,ChIJWyDc-jkPU4gRCIYTuzCaV58,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",321.0,"1116 Eastchester Drive, High Point",
CLOSED_TEMPORARILY,"{'location': {'lat': 35.9619999, 'lng': -80.0111895}, 'viewport': {'northeast': {'lat': 35.96320033029151, 'lng': -80.0099436197085}, 'southwest': {'lat': 35.96050236970851, 'lng': -80.01264158029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109308033234879639979"">Donald Maggard</a>'], 'photo_reference': 'AW30NDztyxjd3336h1gbNCvJl5F0grvraFV01fD1q0F2ZfuxlCg6h3qKxt92jryCGH_bqKh2d0ouTuGvS754HIN4M6jlN2ipnuKcrRfGe76doySTyNvVoB0WuigI7bYi1G25M6T0h4QgZAnV8zb0LMbg0yawynvG97ZwjWsA9BUweyiJR4Oz', 'width': 3264}]",ChIJfYOnCDMJU4gRBxF4tvzB1g4,"{'compound_code': 'XX6Q+QG High Point, NC, USA', 'global_code': '867XXX6Q+QG'}",1.0,4.2,ChIJfYOnCDMJU4gRBxF4tvzB1g4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",136.0,"200 West Westwood Avenue, High Point",True
OPERATIONAL,"{'location': {'lat': 35.9926318, 'lng': -79.99781}, 'viewport': {'northeast': {'lat': 35.9942259302915, 'lng': -79.99646256970848}, 'southwest': {'lat': 35.9915279697085, 'lng': -79.9991605302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Giannos Of High Point,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104871754582487019363"">Giannos Of High Point</a>'], 'photo_reference': 'AW30NDzdfAvpnmomyCPuN3iDf4ZdkI2QnG6j4GNVOEhFP-HUEwC_4INj16B-2CkTx2e2xEJRLLq65KxMJU4oIOE0AZAWGSPKWyCy_jlEHjs-oe8TPczUFJa0TQCK3Vh_U1Lc2SSJZTVApG9VxDwqum286CvvW6vwJLNKLq1iziTT-rfINDtl', 'width': 4032}]",ChIJpz7PZjcPU4gR4oTummO-6bw,"{'compound_code': 'X2V2+3V High Point, NC, USA', 'global_code': '8772X2V2+3V'}",2.0,4.4,ChIJpz7PZjcPU4gR4oTummO-6bw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1224.0,"1124 Eastchester Drive, High Point",
OPERATIONAL,"{'location': {'lat': 35.9858029, 'lng': -80.0169932}, 'viewport': {'northeast': {'lat': 35.98719748029149, 'lng': -80.01549681970849}, 'southwest': {'lat': 35.98449951970849, 'lng': -80.01819478029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Outback Steakhouse,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115886093671723171406"">Charity Bunting</a>'], 'photo_reference': 'AW30NDwd2SRgHN2ZIrPE4gKLjighleWRBp6UbxIEFgam4vCIfoT-Zz32Gs68-Jt_8Zb8q9I2Csv_RvVtvShEqKL4_fH4u4dqv3k2WJsWYsDi-kIbK_wBzyRkZkD7W-WikCuRM6rOohEWv6pAljPDOe6qLrVbn8QSh_LNhgmCAnwwyH5cL6RX', 'width': 3024}]",ChIJvZqHs9EIU4gR8KvwCLAIhJ0,"{'compound_code': 'XXPM+86 High Point, NC, USA', 'global_code': '867XXXPM+86'}",2.0,4.0,ChIJvZqHs9EIU4gR8KvwCLAIhJ0,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2090.0,"260 East Parris Avenue, High Point",
OPERATIONAL,"{'location': {'lat': 35.9965884, 'lng': -79.9966917}, 'viewport': {'northeast': {'lat': 35.9979099302915, 'lng': -79.9952272197085}, 'southwest': {'lat': 35.9952119697085, 'lng': -79.9979251802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Barberitos,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100324275639886015785"">J Culler</a>'], 'photo_reference': 'AW30NDxYiN4yN_HkFVQikF63-af7IcrE4fnB0i9314lnbVO9E-U97HO-McFy8nhTXPOZVGL5hnvzi3GMbv3xZVeXq3vAkfsji7Y7UgFDPd3cInKeCZyQkj24zxndq2TkauAzRaZtZaTT641xh3OmUd79Ss81YqBqS3W0kS_QiD_buFN7ckmn', 'width': 4000}]",ChIJ_wj8CDgPU4gRzqUs6pDWFUI,"{'compound_code': 'X2W3+J8 High Point, NC, USA', 'global_code': '8772X2W3+J8'}",1.0,4.2,ChIJ_wj8CDgPU4gRzqUs6pDWFUI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",490.0,"1231 Eastchester Drive Ste 118, High Point",
OPERATIONAL,"{'location': {'lat': 35.9765901, 'lng': -80.01766789999999}, 'viewport': {'northeast': {'lat': 35.97792433029149, 'lng': -80.0163021197085}, 'southwest': {'lat': 35.97522636970849, 'lng': -80.01900008029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Blue Water Grille,{'open_now': True},"[{'height': 1816, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110858596082090212146"">William Conley</a>'], 'photo_reference': 'AW30NDz_gyGOPjO1PC_IvN6gFdzKHpL-K8L97nsjcjL9gMT7u7CWzxaQbPciMr2yZIcYBO3-ZrFEdQRhXGPkEyXqXa51yMZdARbw8JkLLeTi8YTmjSi14HeeaUp2cyNHTK4zGkCFvuzzbdclh-uD4_iJO51WEYw-6a2anYtsaL5akil7_-FL', 'width': 4032}]",ChIJlysz2tcIU4gRDXnmFKj644I,"{'compound_code': 'XXGJ+JW High Point, NC, USA', 'global_code': '867XXXGJ+JW'}",3.0,4.6,ChIJlysz2tcIU4gRDXnmFKj644I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",325.0,"126 East State Avenue, High Point",
OPERATIONAL,"{'location': {'lat': 35.9918298, 'lng': -80.0303394}, 'viewport': {'northeast': {'lat': 35.99315058029151, 'lng': -80.02886536970848}, 'southwest': {'lat': 35.99045261970851, 'lng': -80.0315633302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mario's Pizza,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110858596082090212146"">William Conley</a>'], 'photo_reference': 'AW30NDxK0jjzNsKDxK7HM1Twg5Bl3qW6X2BUiFhhyuXfx8TIo1WkcyAczO_pyjuDjRvpZkhFVNsODATgSweUi74XiSos0Vf6QdMeLXTBLlF9glLcNAjLBah2dDYw38o0A7I3lMF7mBeaxCEdfRfaUJsa52S-4OySgW8gbTsIpEsJiUsfkEBI', 'width': 4032}]",ChIJIfcGe8IIU4gRsvf_kIVb3KQ,"{'compound_code': 'XXR9+PV High Point, NC, USA', 'global_code': '867XXXR9+PV'}",2.0,4.5,ChIJIfcGe8IIU4gRsvf_kIVb3KQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",498.0,"2645 North Main Street, High Point",
OPERATIONAL,"{'location': {'lat': 35.98854000000001, 'lng': -80.003697}, 'viewport': {'northeast': {'lat': 35.9899443802915, 'lng': -80.00250301970848}, 'southwest': {'lat': 35.98724641970851, 'lng': -80.00520098029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chili's Grill & Bar,{'open_now': True},"[{'height': 1996, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113965239692981385844"">Chris Tuck</a>'], 'photo_reference': 'AW30NDyLCLB1v0O2Wf7jKce3i3dFtS_fx9bj2zK4UDr1FpZo0FO-BDzxie3DDslCy6qPY-YKql6cx0RFj7-iPInyD3VboBOVBqCfJMJUi2JR17cFiqRnx8_GxVWx4cbhXxLz3jp9TRMeOFdt-Vo8b1fuFFWDFNCGehmbJUnDZvnAik6ibwrd', 'width': 2988}]",ChIJlzr5MTIPU4gR_DntBFDnmGQ,"{'compound_code': 'XXQW+CG High Point, NC, USA', 'global_code': '867XXXQW+CG'}",2.0,3.9,ChIJlzr5MTIPU4gR_DntBFDnmGQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1566.0,"920 Mall Loop Road, High Point",
OPERATIONAL,"{'location': {'lat': 35.98315719999999, 'lng': -80.0214628}, 'viewport': {'northeast': {'lat': 35.9845036302915, 'lng': -80.0201464697085}, 'southwest': {'lat': 35.9818056697085, 'lng': -80.0228444302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"The Biscuit Factory, Inc",{'open_now': False},"[{'height': 764, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112454570996044627450"">High Point CVB</a>'], 'photo_reference': 'AW30NDwsm_jk6BAPSlUSTOe4Q5mydJvhgw2YwPRCcAXQN4CkisxstW6psdKAqILgv9u56sxCT9dtx72ANZGpDURlPtlTqBwKSYYKmqTgPDcSQQ86FqB6EnFWWdb3T0B1ZTT8RY3GN0Tp7sPjttwfueZJi5V3G4IAUXnUW4Rp4gqEI-2g7aDg', 'width': 1200}]",ChIJ69I2GNoIU4gRKCQTtaNiiDw,"{'compound_code': 'XXMH+7C High Point, NC, USA', 'global_code': '867XXXMH+7C'}",1.0,4.6,ChIJ69I2GNoIU4gRKCQTtaNiiDw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",664.0,"2103 Kirkwood Street, High Point",
OPERATIONAL,"{'location': {'lat': 36.0246228, 'lng': -79.9700266}, 'viewport': {'northeast': {'lat': 36.0259958802915, 'lng': -79.96863856970849}, 'southwest': {'lat': 36.0232979197085, 'lng': -79.97133653029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3984, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112904950634249741651"">John Guzman III</a>'], 'photo_reference': 'AW30NDwowmZbkt3-fLycs9Y83q1SGySTpBTH1V8E1UJMCTw_2nGO_AZiMqbkqEx9c4hO0cqtdp4NuJX7Dmj-EsRpApOAhTADyr32IOrLaILnnT9djE7n51L3OJUMwTALHxP_pKJTPjx4wE8fh1k4bzdy_w2m1DM5arClCZjmfjq2C1_VJvw', 'width': 2988}]",ChIJ_TlGm4QFU4gRNFGlEOcQxT0,"{'compound_code': '22FH+RX High Point, NC, USA', 'global_code': '878222FH+RX'}",1.0,4.1,ChIJ_TlGm4QFU4gRNFGlEOcQxT0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",216.0,"3792 Samet Drive, High Point",
