business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 45.520212, 'lng': -122.928661}, 'viewport': {'northeast': {'lat': 45.5216440802915, 'lng': -122.9272794697085}, 'southwest': {'lat': 45.5189461197085, 'lng': -122.9299774302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Coyote's Bar & Grill,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108851318565534685060"">Coyote&#39;s Bar &amp; Grill</a>'], 'photo_reference': 'AW30NDzeAeaIRjC9YMZhgs-S5PSVjoiMm003g3EJAm9WlGFNx2uNE67xqISUXOHRtoTKMyBS_Pi3AfKY5FCHzihAL5-zvNPaLM0KBVwm1O6ABEeznhZns9Tq9UlxOQAxCP1yZcaAOHKObKHzbq9XHrUxiloZUriND7EsswlbHHTUHTnOMmsI', 'width': 4032}]",ChIJf7Hdiu0PlVQRVY3EvQz9IG0,"{'compound_code': 'G3CC+3G Hillsboro, OR, USA', 'global_code': '84QVG3CC+3G'}",2.0,4.1,ChIJf7Hdiu0PlVQRVY3EvQz9IG0,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1504.0,"5301 West Baseline Road, Hillsboro",
OPERATIONAL,"{'location': {'lat': 45.5062386, 'lng': -122.9568592}, 'viewport': {'northeast': {'lat': 45.5075173802915, 'lng': -122.9554063197085}, 'southwest': {'lat': 45.5048194197085, 'lng': -122.9581042802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109372592349602261793"">Street Smart</a>'], 'photo_reference': 'AW30NDwsN1Ko9b9D9yMji--UhYcrhyTrDk-Rjh-Eq4S6sk9Oe26YVfjQNl7Q3SJcaJIoqC5nl2t4mvJK1DT1WNrARNaP_cFXkm3Lcb1Bzz-H9l1SoKDSywrndTNv-kXn7vVcl4EVNK0mUcJc7uCwzYEM8i8x5xm7gMhiNIzZ5cSa6VtMe2qC', 'width': 5312}]",ChIJ2WrLURcQlVQRikqa0hiFEDE,"{'compound_code': 'G24V+F7 Hillsboro, OR, USA', 'global_code': '84QVG24V+F7'}",1.0,3.9,ChIJ2WrLURcQlVQRikqa0hiFEDE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",221.0,"2375 Southeast Tualatin Valley Highway, Hillsboro",
OPERATIONAL,"{'location': {'lat': 45.53461370000001, 'lng': -122.9165747}, 'viewport': {'northeast': {'lat': 45.5359516302915, 'lng': -122.9153397697085}, 'southwest': {'lat': 45.5332536697085, 'lng': -122.9180377302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hillsboro Swagat Indian Cuisine,{'open_now': True},"[{'height': 533, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103254915043452095493"">Hillsboro Swagat Indian Cuisine</a>'], 'photo_reference': 'AW30NDzTRvLrlMkYfq-p9ZpkSVDF9XWQ0kh31bH9KntDyOkPdFiI9ZsgNBIGnqPXYOFYED9uyeqgDc1YWN8AEXfmvpFGueQAUdcR6WK-QBn0GUGcInXXP19eQhzRZVEeLabiJwoxWMGHYBFByvIXWza0W8m_oH_-TThZf0ayw3y8UN8SL3oE', 'width': 800}]",ChIJj8p0hIcPlVQRHZTxzjpTj-0,"{'compound_code': 'G3MM+R9 Hillsboro, OR, USA', 'global_code': '84QVG3MM+R9'}",2.0,4.0,ChIJj8p0hIcPlVQRHZTxzjpTj-0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",911.0,"1340 Northeast Orenco Station Parkway, Hillsboro",
OPERATIONAL,"{'location': {'lat': 45.5052921, 'lng': -122.9563481}, 'viewport': {'northeast': {'lat': 45.5066977302915, 'lng': -122.9549998697085}, 'southwest': {'lat': 45.5039997697085, 'lng': -122.9576978302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Robin Gourmet Burgers and Brews,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110230952354066698034"">Red Robin Gourmet Burgers and Brews</a>'], 'photo_reference': 'AW30NDyly1h-ggBJl0qhYuGFH_76z36hVWdMTu83MWJG7vK1k3y7IiJBLf_JMzR21MGhyVk9NKaSlkm194Lh8YJXBdwC-o7X3U1Fl1j58ohDXSKuRLThxY6O0lSoFo2H0AwcpEM-A9YUgmEuLfC6QQRrxLAHFoQCluRhNjDuszYB0VRFo-Ms', 'width': 1080}]",ChIJ-UJwUBcQlVQReQvFgVNkyN0,"{'compound_code': 'G24V+4F Hillsboro, OR, USA', 'global_code': '84QVG24V+4F'}",2.0,4.1,ChIJ-UJwUBcQlVQReQvFgVNkyN0,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",1593.0,"2405 Southeast Tualatin Valley Highway, Hillsboro",
OPERATIONAL,"{'location': {'lat': 45.52913789999999, 'lng': -122.9561862}, 'viewport': {'northeast': {'lat': 45.5305883802915, 'lng': -122.9547493197085}, 'southwest': {'lat': 45.52789041970851, 'lng': -122.9574472802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,IHOP,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103552346234662196267"">Berto Mendoza</a>'], 'photo_reference': 'AW30NDzohWvCrCoKKQibyWzbTaeFxXi4xdqpfUAWjL7M3PQZ7hxq8N-zuipNLKnmFPpsgwoIHTS4mYNwp4dHTQZ9nHnb1j8SN7ykx4RGJLZOJuIdc0HQs_hVnkvFay_wJh06a4rzZWE70Y3kFXPUThSAAQk8vFl82BR_qYMHii4bF3qEqBdZ', 'width': 4032}]",ChIJxzL2CVEFlVQRcoupdvRsOl4,"{'compound_code': 'G2HV+MG Hillsboro, OR, USA', 'global_code': '84QVG2HV+MG'}",1.0,4.0,ChIJxzL2CVEFlVQRcoupdvRsOl4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1105.0,"849 Northeast 25th Avenue, Hillsboro",
OPERATIONAL,"{'location': {'lat': 45.50552059999999, 'lng': -122.9569815}, 'viewport': {'northeast': {'lat': 45.50693723029149, 'lng': -122.9557635697085}, 'southwest': {'lat': 45.50423926970849, 'lng': -122.9584615302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Shari's Cafe and Pies,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109894044081239999490"">Virgil Perry</a>'], 'photo_reference': 'AW30NDzNh3ESj9zE7BhDfVJeeIyfECnG6gqSzBdDyNA6m9NmIAI9NODJZy8p_woG24f0xNRyF6kmVxV61WxpZYP7GpfrOrg03WIFE6PUcKW8SHTpTkHNsHSxUbu1d54tgj5YbNTYTExXfqyOpEvBLwaMYrJkNC6VJHzUX6AOuEHiNzi5-8r3', 'width': 3264}]",ChIJvTg6URcQlVQRel-EsQdUzDo,"{'compound_code': 'G24V+66 Hillsboro, OR, USA', 'global_code': '84QVG24V+66'}",2.0,3.7,ChIJvTg6URcQlVQRel-EsQdUzDo,GOOGLE,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1266.0,"2385 Southeast Tualatin Valley Highway, Hillsboro",
OPERATIONAL,"{'location': {'lat': 45.5342522, 'lng': -122.9170608}, 'viewport': {'northeast': {'lat': 45.53557653029149, 'lng': -122.9155810197085}, 'southwest': {'lat': 45.53287856970849, 'lng': -122.9182789802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Orenco Station Grill,{'open_now': True},"[{'height': 1445, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118062443008555503855"">Orenco Station Grill</a>'], 'photo_reference': 'AW30NDyIvrrogHdGzZxhTemV1eCnilpQ4Tjm4zGBwJ5y09WumSbQMEB6yrNpnGFPSJJUrMcM2LqiJYpXIB7SUWMYRtIR3pcPVYicVt1vcFTaFY8AsXzYwF7YhjdTzInQGqkm0JtgOUuGACoKG4ztffRps66mQVQOVSOToq0MICFaa9R_dK91', 'width': 2176}]",ChIJd7IqhIcPlVQRGajeeAhT338,"{'compound_code': 'G3MM+P5 Hillsboro, OR, USA', 'global_code': '84QVG3MM+P5'}",2.0,4.1,ChIJd7IqhIcPlVQRGajeeAhT338,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",585.0,"6195 Northeast Cornell Road, Hillsboro",
OPERATIONAL,"{'location': {'lat': 45.515471, 'lng': -122.903788}, 'viewport': {'northeast': {'lat': 45.5166540802915, 'lng': -122.9026085697085}, 'southwest': {'lat': 45.5139561197085, 'lng': -122.9053065302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Godfather's Pizza,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118419529115488593052"">Angela Cleverdon</a>'], 'photo_reference': 'AW30NDy-yNjFxBowx9bmMbmaw5mP_zQLMcau4a-6tSnVLtNYR8s7AqORgh8fVE_Sut53S9_GpeHIBNzLrtyCId-VXy8TWJPkbVTfjMY-cN_ZYCfwpWIvr0mU77sikG8ftdky9JT6990gmdb2lI52IhBvp_VJziFLf1i8cDqJcSJWKf3x0p-k', 'width': 4000}]",ChIJV6xdH5YPlVQREgc3_ekwvEE,"{'compound_code': 'G38W+5F Hillsboro, OR, USA', 'global_code': '84QVG38W+5F'}",2.0,4.2,ChIJV6xdH5YPlVQREgc3_ekwvEE,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",416.0,"7440 East Main Street, Hillsboro",
OPERATIONAL,"{'location': {'lat': 45.5060777, 'lng': -122.9582207}, 'viewport': {'northeast': {'lat': 45.5073825302915, 'lng': -122.9568973197085}, 'southwest': {'lat': 45.5046845697085, 'lng': -122.9595952802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115464587571050485998"">Valentine Power</a>'], 'photo_reference': 'AW30NDzeNWK04ZcecfdY0a94iTnq92jwTdIavR2bTmC0gt6GSD-5qElESXMU9vm0UXDtxDSmk0ZgNS-Foyj0HJs-ZFMob6IGHJslMTkXAaac9BJOmlT2sIQ-itXCvJ-tgqYOVlcIC5VP7tojWQ6FfHb0vZxj9PrcNLJq9gUOH0xTq07XurVw', 'width': 4160}]",ChIJzZtgsRAQlVQRD8IRi3qYy2g,"{'compound_code': 'G24R+CP Hillsboro, OR, USA', 'global_code': '84QVG24R+CP'}",1.0,4.0,ChIJzZtgsRAQlVQRD8IRi3qYy2g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",603.0,"2275 Southeast Tualatin Valley Highway, Hillsboro",
OPERATIONAL,"{'location': {'lat': 45.53452890000001, 'lng': -122.9169944}, 'viewport': {'northeast': {'lat': 45.5358527802915, 'lng': -122.9155491197085}, 'southwest': {'lat': 45.5331548197085, 'lng': -122.9182470802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yuki | Japanese Restaurant,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113892786135880752304"">Andrew Hillman</a>'], 'photo_reference': 'AW30NDwrFgj89GmhMQli1Gs4BO7SwgoUK-tWV0hemktbhOkXYDIvj0vyXxrsXZUp3fdnAjFn3ZeASPhQDsEOIb4ecm4KRh622vgnDIKIwkF0dQAkn6t2K6fMdz5-lvl7pHtY-Xa_eN6_gtzMss_xDZJCI3oYI4FMyAbooFNggfxmkYOkIH_H', 'width': 4032}]",ChIJATd2hIcPlVQRQ_89XoSedA8,"{'compound_code': 'G3MM+R6 Hillsboro, OR, USA', 'global_code': '84QVG3MM+R6'}",2.0,4.4,ChIJATd2hIcPlVQRQ_89XoSedA8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",434.0,"1335 Northeast Orenco Station Parkway East, Hillsboro",
