business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 26.0401807, 'lng': -80.16221150000001}, 'viewport': {'northeast': {'lat': 26.04137873029151, 'lng': -80.1610465197085}, 'southwest': {'lat': 26.03868076970851, 'lng': -80.16374448029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dave & Buster's,{'open_now': True},"[{'height': 3168, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104886193436252689663"">Dave &amp; Buster&#39;s</a>'], 'photo_reference': 'AW30NDxvUISvoMbfQN82y0QtnGLa0z6GmLLG1_-r9CV0nx9wMP9szfzaYPLTn3wLRSe6gRpKEHDh1nGsPie_e2MGB94ZY_0D9miodQuHZeF4BjuoWTUOaii0Re_Jewg3GvJqbDXB3mTnm2lRfyjykUKoaPUJW_296yfI6mhQmuk2ylMcwbVt', 'width': 4752}]",ChIJi1oatUuq2YgRaF07fWt3dmo,"{'compound_code': '2RRQ+34 Hollywood, FL, USA', 'global_code': '76RX2RRQ+34'}",2.0,4.1,ChIJi1oatUuq2YgRaF07fWt3dmo,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",6402.0,"3000 Oakwood Boulevard, Hollywood",
OPERATIONAL,"{'location': {'lat': 26.0471682, 'lng': -80.1682341}, 'viewport': {'northeast': {'lat': 26.0488087302915, 'lng': -80.1671186697085}, 'southwest': {'lat': 26.04611076970849, 'lng': -80.1698166302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities",{'open_now': True},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102284471413993231619"">K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities</a>'], 'photo_reference': 'AW30NDxQFDuzUAsjC704nTW4ptLNBtxWP136hpFJFvsHP1zevQ_7zh7_cgPGtbmgtuUhxWTrvJNBZjWWs_SRatT8H12UGys8uKNtHrt9w8Lmkyjrdm6PCaZJukPAbhrRjurxOYM-xXOU6dDEloKkbPlA2yXW9iWNkuPiJwiKPLkhBbt9ilSN', 'width': 2048}]",ChIJ08XccDeq2YgR4falc9k1L5o,"{'compound_code': '2RWJ+VP Hollywood, FL, USA', 'global_code': '76RX2RWJ+VP'}",,4.3,ChIJ08XccDeq2YgR4falc9k1L5o,GOOGLE,"['tourist_attraction', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2107.0,"2950 Stirling Road, Hollywood",
OPERATIONAL,"{'location': {'lat': 26.0404226, 'lng': -80.1607815}, 'viewport': {'northeast': {'lat': 26.0416664302915, 'lng': -80.15947346970849}, 'southwest': {'lat': 26.0389684697085, 'lng': -80.16217143029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Miller's Ale House,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110883366402543846135"">L.A. T</a>'], 'photo_reference': 'AW30NDznrAftbd15r2dmPj-A30iQqQgMK6qy9coAO2oB3Z-6Api2wVZP-dRaFfMoDncJeuleWJClwNPc1xItyNCRgSTd9_ERkr8d4JmpC9jD6CuaZWvhlkz4iReWVMAhpx7pCcc4tFFA7OKg4tsHHJZOxf4BEG365a4aP5YZJE1q3Vb6uELP', 'width': 4032}]",ChIJd1qM6kuq2YgRDEsjn8BcW4c,"{'compound_code': '2RRQ+5M Hollywood, FL, USA', 'global_code': '76RX2RRQ+5M'}",2.0,4.2,ChIJd1qM6kuq2YgRDEsjn8BcW4c,GOOGLE,"['restaurant', 'bar', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",3960.0,"3215 Oakwood Boulevard, Hollywood",
CLOSED_TEMPORARILY,"{'location': {'lat': 26.026345, 'lng': -80.1715021}, 'viewport': {'northeast': {'lat': 26.0278644802915, 'lng': -80.17013296970849}, 'southwest': {'lat': 26.0251665197085, 'lng': -80.1728309302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 2819, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104412749952095870141"">Joy C (61)</a>'], 'photo_reference': 'AW30NDx49XQ8LTuAvKdQszBmLocCouswDIwvR1M1MomEkpT-6lJrHj4zDNedxSM4QIgo6K2LpJXyK18EFRj5rN5Ffsa09Rp1L0HLoWHVTHmSG3iGjSqJqlIBgPczhvOpA-Fk42ssMZXzbCiUXqXNIYUv9t7IYjHl2US57SVXuuaQUOhLbN_p', 'width': 3759}]",ChIJs4yRRc-r2YgRHlZT6vHEB3o,"{'compound_code': '2RGH+G9 Hollywood, FL, USA', 'global_code': '76RX2RGH+G9'}",1.0,3.4,ChIJs4yRRc-r2YgRHlZT6vHEB3o,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",16.0,"3161 Taft Street, Hollywood",True
OPERATIONAL,"{'location': {'lat': 26.0477757, 'lng': -80.165187}, 'viewport': {'northeast': {'lat': 26.0491891302915, 'lng': -80.16386736970848}, 'southwest': {'lat': 26.0464911697085, 'lng': -80.1665653302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDysjs0GVtURh_U8uAne30XbPkQPffQCdtqPI_QZwz5T3PMA_lSdMrubo527eE__2k7cRZAvNEpd7gbVLQHs-U2XcaVHqhaO_dQgblLQJGUMB4wDHz6GmQaITZ8hLtwZY47AVhxLBY4pDFYECbhxT9n2i6qstPGnD3ZofhN1FlBE0kBM', 'width': 4000}]",ChIJe8MjAEiq2YgRFfDPem9g-3c,"{'compound_code': '2RXM+4W Dania Beach, FL, USA', 'global_code': '76RX2RXM+4W'}",1.0,3.9,ChIJe8MjAEiq2YgRFfDPem9g-3c,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",185.0,"2850 Stirling Road Suites A-B, Dania Beach",
OPERATIONAL,"{'location': {'lat': 26.0338113, 'lng': -80.1758825}, 'viewport': {'northeast': {'lat': 26.0351706302915, 'lng': -80.1743982197085}, 'southwest': {'lat': 26.0324726697085, 'lng': -80.1770961802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108510158763924837966"">Mia Zoll</a>'], 'photo_reference': 'AW30NDy3jCjpXaZKQCG25FJYE1SwEQr3uhHRbRBh-ZblGtevkW_ZHEe-MKUc_EJoXTps4BXbneY-j8ee3SbVkLB6u_U8N-liRJhoI7xlGItMozVyiGHcwZwTBXWuIGFkDfR6qFeV8HGHC7RQWYv8T79eGpW05vkT0EeetQYjQGDcJ9I3hGRv', 'width': 3024}]",ChIJAciKgs2r2YgRwGSsONTeuKI,"{'compound_code': '2RMF+GJ Hollywood, FL, USA', 'global_code': '76RX2RMF+GJ'}",2.0,4.3,ChIJAciKgs2r2YgRwGSsONTeuKI,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",614.0,"3305 Sheridan Street, Hollywood",
OPERATIONAL,"{'location': {'lat': 26.0476631, 'lng': -80.1637465}, 'viewport': {'northeast': {'lat': 26.0490183802915, 'lng': -80.1624764197085}, 'southwest': {'lat': 26.04632041970849, 'lng': -80.1651743802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Las Vegas Cuban Cuisine,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109514023369887676617"">Carlos Mendoza</a>'], 'photo_reference': 'AW30NDx5-zsvUj749jm1WhqIaE4Y3eIkgKK4Uk3rrEvAISU3fg7WasVVvcZxPBct-5-CGU2EyFDHiSUBcWEGLc4Adfn2BDQ5j2t5_roPoAzSZFScnMp6HJ6PICc1nMa6tXlZd7rPGRjkXdkEzyniaLXT1UiDbQjrIDz6eKURy_KrfO-N13YC', 'width': 1836}]",ChIJ3d7t30eq2YgRq7rY_vt6uyU,"{'compound_code': '2RXP+3G Hollywood, FL, USA', 'global_code': '76RX2RXP+3G'}",2.0,4.3,ChIJ3d7t30eq2YgRq7rY_vt6uyU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2185.0,"2810 Stirling Road, Hollywood",
OPERATIONAL,"{'location': {'lat': 26.018651, 'lng': -80.149693}, 'viewport': {'northeast': {'lat': 26.0199846302915, 'lng': -80.1482687197085}, 'southwest': {'lat': 26.0172866697085, 'lng': -80.1509666802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mile High Sandwich Shop,{'open_now': False},"[{'height': 481, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108905073049807161628"">Mile High Sandwich Shop</a>'], 'photo_reference': 'AW30NDyCx8eqSvGccGpFQNGfHXXLrvXrqg0LruDuICk9PzPQIlGti2Mvx3IOITJ771iuV0XpB0yJcxxjG162oVRw0gzAcEtZjQUXIbooVRwjTWBkBqQAJuc1vbLuE5bNUvdJ93ZZDDH6VFAZB7BJO0yEocba-tcW77RIHB92n6yIbYxhJM_l', 'width': 959}]",ChIJvcmIFKSr2YgRQ28-xCT0B9s,"{'compound_code': '2V92+F4 Hollywood, FL, USA', 'global_code': '76RX2V92+F4'}",1.0,4.7,ChIJvcmIFKSr2YgRQ28-xCT0B9s,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",242.0,"828 North Dixie Highway, Hollywood",
OPERATIONAL,"{'location': {'lat': 26.0477494, 'lng': -80.1596307}, 'viewport': {'northeast': {'lat': 26.0491764302915, 'lng': -80.15828021970849}, 'southwest': {'lat': 26.0464784697085, 'lng': -80.1609781802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101679767154182876952"">Harrison C. Davies</a>'], 'photo_reference': 'AW30NDyoe6UrDc2_X0jV_UVTfbst3CnoVLQgSxwzwY1ym9yAQCMZwQKoaWLZPEUH_pR1has-Jtidakz0X1lW6Tf6kne1RaLhuQqaGXK1S5RTn-3NJdMHa7bkRTHDHYmM1KfsbhnBcxYBTbRglivmi4KBsZMofgBxf80scq8Ot7BkMndlOqar', 'width': 4032}]",ChIJDe08B0aq2YgRAeSnJp6C_8U,"{'compound_code': '2RXR+34 Hollywood, FL, USA', 'global_code': '76RX2RXR+34'}",1.0,3.6,ChIJDe08B0aq2YgRAeSnJp6C_8U,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1716.0,"2690 Stirling Road, Hollywood",
OPERATIONAL,"{'location': {'lat': 26.0340384, 'lng': -80.1759155}, 'viewport': {'northeast': {'lat': 26.0353744802915, 'lng': -80.1744159697085}, 'southwest': {'lat': 26.0326765197085, 'lng': -80.17711393029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Shenanigans Sports Pub,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117372316437687206442"">Michael Shemer</a>'], 'photo_reference': 'AW30NDyOl2Y9t1gBUlCnuYo93QmvfKX53mg-zmGPKFouLLXCeemw-aZ26FSlFLDTtPzTFju8dvvpWz0bYl8AEVZj8WL0swgkoJujBH-xgV-jQujDbtA-rS-5HQwWPKgD9g9A56efxPThSBU6V5x_6gxprpHqi9IYxH_mYRk6b4jPmD8uZW3c', 'width': 4032}]",ChIJNcLkcNKr2YgRCGqJLGYJ5sA,"{'compound_code': '2RMF+JJ Hollywood, FL, USA', 'global_code': '76RX2RMF+JJ'}",2.0,4.1,ChIJNcLkcNKr2YgRCGqJLGYJ5sA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",869.0,"3303 Sheridan Street, Hollywood",
