business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 21.2950683, 'lng': -157.8399157}, 'viewport': {'northeast': {'lat': 21.2964302802915, 'lng': -157.8386872197085}, 'southwest': {'lat': 21.2937323197085, 'lng': -157.8413851802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pagoda Restaurant & Catering,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106646437601758752625"">Eri Faagai</a>'], 'photo_reference': 'AW30NDx1CH4HWx-dG3SlojOMBaxZgFcH_NbW0RXKXZEPHpO0CeOthj51Fp0A8UamWfqFiTMiuZJDenIfpA1g7BKRNwxNTtg5WUq4Oivrf7GbuVPONS61qfAgH422z7xJCoNRcgEr5YofhnZ4XukHaXc7k30DVqAXV2pwV1lVWIuBt2DjI98B', 'width': 4032}]",ChIJswzvZu5tAHwRqbkcuoraFHo,"{'compound_code': '75W6+22 Honolulu, HI, USA', 'global_code': '73H475W6+22'}",2.0,3.9,ChIJswzvZu5tAHwRqbkcuoraFHo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",457.0,"1574 Kanunu Street, Honolulu",
OPERATIONAL,"{'location': {'lat': 21.2997941, 'lng': -157.8433325}, 'viewport': {'northeast': {'lat': 21.3012984802915, 'lng': -157.8419412197085}, 'southwest': {'lat': 21.2986005197085, 'lng': -157.8446391802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Zippy's Makiki,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105584392968413871191"">Zippy&#39;s Makiki</a>'], 'photo_reference': 'AW30NDx_hUM6aDRlpPQwy4FzJPB0bJEcKAcGzjyJ14cXFi_79C-RdoJrX2cbLtCo0i9ih5forM1ykY8gNA3eXcBqHMKUkCt52PFmmrU-cwCRhSJ30k0ZwxNKOlDQIW2R43tmSClN26PzlTtLMs-m7P4sy6tGGXmwyjBDgJkQo1n_YzNsHg2o', 'width': 1280}]",ChIJF5a6x-htAHwRcKC7kzEWodU,"{'compound_code': '75X4+WM Honolulu, HI, USA', 'global_code': '73H475X4+WM'}",2.0,4.2,ChIJF5a6x-htAHwRcKC7kzEWodU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1753.0,"1222 South King Street, Honolulu",
OPERATIONAL,"{'location': {'lat': 21.299016, 'lng': -157.8412619}, 'viewport': {'northeast': {'lat': 21.3002913802915, 'lng': -157.8399255197085}, 'southwest': {'lat': 21.29759341970849, 'lng': -157.8426234802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Karai Crab,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106475992159966600181"">Hyewon Geum</a>'], 'photo_reference': 'AW30NDzbzfj27aGt0EmjbXxIUE1w5aMr8l5o0XM0cAzPHvkCyL2VVA4HwclM6esR166fd5so5qIPoy38q9P3JxgifdqUGt1xgJOzM4Iwo9UoAnWDux7GhEMrItwzGlG3kjko7f8r4loodAIot5fcNKzhnOKy_ZAt6LpHXd6yrDtsklspeTKE', 'width': 3024}]",ChIJEfR6zZFtAHwR3ZZYP0kE-Ps,"{'compound_code': '75X5+JF Honolulu, HI, USA', 'global_code': '73H475X5+JF'}",2.0,4.5,ChIJEfR6zZFtAHwR3ZZYP0kE-Ps,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",724.0,"1314 South King Street STE G2, Honolulu",
OPERATIONAL,"{'location': {'lat': 21.298725, 'lng': -157.8413607}, 'viewport': {'northeast': {'lat': 21.3001324802915, 'lng': -157.8399541197085}, 'southwest': {'lat': 21.2974345197085, 'lng': -157.8426520802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sushi Izakaya Gaku,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103013569016520993782"">Sharif Matar</a>'], 'photo_reference': 'AW30NDwe8Yh3SORfC5ike-tQCjKXBCdXC5zSVFUpAS4T0NfkQsXUdJ_DM1Rs5d4EivCz0XczgRmAt-aHLCaxK4Jpo_uNsAYjBkCfMpPvZEWejRVQGZ0E8k3ZT5eWhmwAfQVlcIl1lAqwqH_M_DQsqN72J_lbL3ynWQ-fdoQxPpJyhIC-glCA', 'width': 4032}]",ChIJF76BMultAHwRjzWEmhrHBn4,"{'compound_code': '75X5+FF Honolulu, HI, USA', 'global_code': '73H475X5+FF'}",3.0,4.5,ChIJF76BMultAHwRjzWEmhrHBn4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",206.0,"1329 South King Street, Honolulu",
OPERATIONAL,"{'location': {'lat': 21.2933261, 'lng': -157.8389149}, 'viewport': {'northeast': {'lat': 21.2945890802915, 'lng': -157.8375852197085}, 'southwest': {'lat': 21.2918911197085, 'lng': -157.8402831802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hokkaido Ramen Santouka,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118086412629711364471"">maryroselol</a>'], 'photo_reference': 'AW30NDxkLzIUhfXlDm3oN9UNQXnL89N34HFDVS5mXWIetmGS167RTYUjQkrAzl48BrhUhFlySScWvwBuZ49vN0pblqXMv-vwMqyw1RivN2ndWQfLAccoslpr9Ku6I9z0c79fyBHUGitSIgqgIy6Obi9izc2IEMO8YRl7AFmHN7xToYItxepV', 'width': 4032}]",ChIJswak5O1tAHwRybB_xh3EtLw,"{'compound_code': '75V6+8C Honolulu, HI, USA', 'global_code': '73H475V6+8C'}",2.0,4.5,ChIJswak5O1tAHwRybB_xh3EtLw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",294.0,"801 Kaheka Street A-8, Honolulu",
OPERATIONAL,"{'location': {'lat': 21.3240097, 'lng': -157.8579347}, 'viewport': {'northeast': {'lat': 21.3253840302915, 'lng': -157.8566391697085}, 'southwest': {'lat': 21.3226860697085, 'lng': -157.8593371302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Liliha Bakery,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100051334032019857350"">Liliha Bakery</a>'], 'photo_reference': 'AW30NDz76SNktCdFm4PUapjzHlR2xHUkKOwkAilmNWXC8577bmNqf3oMLOeQzAtUoIpxa4PduznKFJ2VE9Yubtn8u0MfKjkj8Fi5PkwJUQhZW2J4qBZGV0Im6_lknUN-TdqoMeXzc2-jlRYWZH-SeVjyl6flfIUkB1E0qLAAfAQ0rbMfZGE4', 'width': 960}]",ChIJQ9anT39uAHwR3nYOPjeqsF8,"{'compound_code': '84FR+JR Honolulu, HI, USA', 'global_code': '73H484FR+JR'}",2.0,4.6,ChIJQ9anT39uAHwR3nYOPjeqsF8,GOOGLE,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",3675.0,"515 North Kuakini Street, Honolulu",
CLOSED_TEMPORARILY,"{'location': {'lat': 21.2932174, 'lng': -157.8384378}, 'viewport': {'northeast': {'lat': 21.2944847802915, 'lng': -157.8371085197085}, 'southwest': {'lat': 21.2917868197085, 'lng': -157.8398064802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yummy Korean Bar-B-Q,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116374680727299771139"">김호순</a>'], 'photo_reference': 'AW30NDwLcnyH_dPNGoLDobxIdrlo5KgVHldYHU5VuSCTLy7qY08cIa88GKXBF0VJITsYCC4X4nit73GO1q-OJSzEP6IaA_vBVPR2caD8p6i9uMGmJSsU158O3yPVpsX8uJIxhCIcbwHBFbfI2yVJvRKjAqvB1inAuJ1knSd03xy2MKCssaQl', 'width': 3264}]",ChIJswak5O1tAHwRfSTmbsAGD4s,"{'compound_code': '75V6+7J Honolulu, HI, USA', 'global_code': '73H475V6+7J'}",,4.5,ChIJswak5O1tAHwRfSTmbsAGD4s,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",6.0,"801 Kaheka Street, Honolulu",True
OPERATIONAL,"{'location': {'lat': 21.2981778, 'lng': -157.83985}, 'viewport': {'northeast': {'lat': 21.2995854302915, 'lng': -157.8384222197085}, 'southwest': {'lat': 21.2968874697085, 'lng': -157.8411201802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sushi Sasabune,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105797234814303470921"">S G</a>'], 'photo_reference': 'AW30NDx8Xw8_clwv5b7QZLYyRDDfGCW7Wh6gJhW4VpJK-5rpB2cSONq4VrNvZjip2CcG-4TEUJeqQMXCM0R5o0I0tbB-tirN5UyD0k0h4xHqhvwXTMbdswCSnEHwftoVh4pNJ75Wf7JOSurvkbOTIO-1bHXGThkAhVxxJ0SpQJp-1yaSbfia', 'width': 4032}]",ChIJUVThrO5tAHwRiAxoNC_pE5M,"{'compound_code': '75X6+73 Honolulu, HI, USA', 'global_code': '73H475X6+73'}",4.0,4.6,ChIJUVThrO5tAHwRiAxoNC_pE5M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",314.0,"1417 South King Street, Honolulu",
OPERATIONAL,"{'location': {'lat': 21.3302402, 'lng': -157.846878}, 'viewport': {'northeast': {'lat': 21.3314501302915, 'lng': -157.8452314197085}, 'southwest': {'lat': 21.3287521697085, 'lng': -157.8479293802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Govinda's Restaurant,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102802468127152668984"">Bharath Chinta</a>'], 'photo_reference': 'AW30NDxaMdnKie63y9Jq22YuJzMhxhy47vPuFdFUinQlfZQoRaIahBA5jzjm4AEaJbfLyYwlw-VMFnqqdY7fRd3MYDpooi1d88rDHJQ34IcroMrHqubmjvV99w4Y7i0YQgYAUhMf3GDC2cbDdHJ7P8JWv6rYPrk-EvLoa9kzv_X0b-alAXfC', 'width': 4032}]",ChIJ_cELCy1sAHwRWtQhy9H7czw,"{'compound_code': '85J3+36 Honolulu, HI, USA', 'global_code': '73H485J3+36'}",1.0,4.5,ChIJ_cELCy1sAHwRWtQhy9H7czw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",136.0,"51 Coelho Way, Honolulu",
OPERATIONAL,"{'location': {'lat': 21.301622, 'lng': -157.8454486}, 'viewport': {'northeast': {'lat': 21.3029209302915, 'lng': -157.8440333197085}, 'southwest': {'lat': 21.3002229697085, 'lng': -157.8467312802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111670603653948385162"">Kayla Whalen</a>'], 'photo_reference': 'AW30NDyyHnXjx7W-iQO59nbH2s5b-cRgngsT96WdAmtKxtPiXBqtJxBxuzZRgIxSiEZNBeXOhVDUVpzEEY9XU7qyDms9KikgAG-DaHmeVh4mZWadooCbG7acUuGJl2R4VWrsgTHu5ag6Un4XJ00jiNdSpDg90JvY1vJmy92Y7bU-kBrgh62K', 'width': 3024}]",ChIJN_v9K-ZtAHwRMnr8Y4MJSOA,"{'compound_code': '8523+JR Honolulu, HI, USA', 'global_code': '73H48523+JR'}",1.0,3.9,ChIJN_v9K-ZtAHwRMnr8Y4MJSOA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",35.0,"1106 Pensacola Street, Honolulu",
