business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 29.7818022, 'lng': -95.3910429}, 'viewport': {'northeast': {'lat': 29.7830398302915, 'lng': -95.38968746970849}, 'southwest': {'lat': 29.7803418697085, 'lng': -95.3923854302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,"Onion Creek Coffee House, Bar and Lounge",{'open_now': True},"[{'height': 648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117285681547693701129"">Onion Creek Coffee House, Bar and Lounge</a>'], 'photo_reference': 'AW30NDw1eIX8I3pERDRm6zwQPax4ZsViZxhlte-Uj4YBKCqVgz4J9t8dIkOpCt2N2fRJTBmbVDSrRnxUpHVBFryhjLd7O3ztw7HmelX2FhCHE7xUpyZUFNjhRCd6q1D6Rdrgrqt-ikoMJQ0TfhiavM-OjoyDuJBgra_CQF9f5GLIYB3KOj0h', 'width': 648}]",ChIJO2UE9Ki4QIYRjxtJzROLhMc,"{'compound_code': 'QJJ5+PH Northside, Houston, TX, USA', 'global_code': '76X6QJJ5+PH'}",2.0,4.5,ChIJO2UE9Ki4QIYRjxtJzROLhMc,GOOGLE,"['night_club', 'cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1923.0,"3106 White Oak Drive, Houston",
OPERATIONAL,"{'location': {'lat': 29.7684654, 'lng': -95.3879326}, 'viewport': {'northeast': {'lat': 29.7698202802915, 'lng': -95.38652261970849}, 'southwest': {'lat': 29.76712231970851, 'lng': -95.38922058029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Hughes Hangar,{'open_now': False},"[{'height': 681, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102412852746225141212"">Hughes Hangar</a>'], 'photo_reference': 'AW30NDxVrT7_nyDqmTPW6MjffBxZnbf-IfK3m31QeVrzEcZwWGy6Qm1kqxpXBRy0Rjgs6meLpkHw5cCtxSOD26dnzCTXAtG1lRZQucp3LEjFLJ4BwPhzRpq6il6Ol1l2dZreWFy-TQMI95LyZaF3DlltNdacnA66M8Mc8g755vUCXlWKhnRt', 'width': 1024}]",ChIJo8S3m1O_QIYR97UrUtNfG2I,"{'compound_code': 'QJ96+9R Washington Avenue Coalition / Memorial Park, Houston, TX, USA', 'global_code': '76X6QJ96+9R'}",2.0,3.0,ChIJo8S3m1O_QIYR97UrUtNfG2I,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",64.0,"2811 Washington Avenue, Houston",
OPERATIONAL,"{'location': {'lat': 29.7700117, 'lng': -95.396202}, 'viewport': {'northeast': {'lat': 29.7712370302915, 'lng': -95.39485546970849}, 'southwest': {'lat': 29.7685390697085, 'lng': -95.39755343029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Star Pizza,{'open_now': True},"[{'height': 1108, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112286332270406559898"">Star Pizza</a>'], 'photo_reference': 'AW30NDzIOawxvMNsHL43Epp9VJ7UaQw_pAJ9V-s3rtUx-GkPhZg6DBfNAXQCrMfStdFYj2C_PrATvOrkAhZxC8mxIwjuoMGznTx-4BKn7Ol6df7Bp1GX_J9nQqIl2vngN1GvuhyQJqVPRys1qHnshuugL9Lhanyopn_aSxAJKn36tGYjfas9', 'width': 1512}]",ChIJm0cM5KrAQIYRaWn2_F8jGEA,"{'compound_code': 'QJC3+2G Washington Avenue Coalition / Memorial Park, Houston, TX, USA', 'global_code': '76X6QJC3+2G'}",2.0,4.5,ChIJm0cM5KrAQIYRaWn2_F8jGEA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2424.0,"77 Harvard Street, Houston",
OPERATIONAL,"{'location': {'lat': 29.7970599, 'lng': -95.38185469999999}, 'viewport': {'northeast': {'lat': 29.7984306802915, 'lng': -95.38040216970849}, 'southwest': {'lat': 29.7957327197085, 'lng': -95.3831001302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Spanish Flowers,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104135750565944376744"">Spanish Flowers</a>'], 'photo_reference': 'AW30NDz6NSPSug0qcsaEdCc-Gb9a6kALQ-yVs3lV_4BeJQgbJM9tVPZH6Fd0KkEJD6DvX7YD6s76ycfdnPjy2mHw-DDiDA1GAHSwAzjDQsPYH8sSBCh0Y72RqyyunFNs7oGErMIR3QzHaOaps2D6fZDFo3d7r3bdRkwjO0my5SH6NdnOgbgZ', 'width': 1800}]",ChIJ36mlv5e4QIYR4cElFhuj39A,"{'compound_code': 'QJW9+R7 Northside, Houston, TX, USA', 'global_code': '76X6QJW9+R7'}",2.0,4.2,ChIJ36mlv5e4QIYR4cElFhuj39A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3435.0,"4701 North Main Street, Houston",
OPERATIONAL,"{'location': {'lat': 29.7677592, 'lng': -95.3916405}, 'viewport': {'northeast': {'lat': 29.7691053802915, 'lng': -95.3903159197085}, 'southwest': {'lat': 29.7664074197085, 'lng': -95.3930138802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Trez,{'open_now': False},"[{'height': 1825, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115881896800196488248"">Trez</a>'], 'photo_reference': 'AW30NDzhhNtDi-IkEjUgJOdOGbRCLB42K0OtdbzKEA_on20KvHuC4ngyI8rx44PN3-G67Z0SY3cOC7fKtgcMtp1Cux75hj8jUm4qNLdmLEIwTFswD27baI8iYcpiBZOj96EGV8bm_1mRP2azHaXzDfDFsoSThBIJbx4KXItF63swKJwi7DqN', 'width': 2738}]",ChIJeS6UyVW_QIYRwtLHVJqiNlA,"{'compound_code': 'QJ95+48 Washington Avenue Coalition / Memorial Park, Houston, TX, USA', 'global_code': '76X6QJ95+48'}",2.0,4.6,ChIJeS6UyVW_QIYRwtLHVJqiNlA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",645.0,"920 Studemont Street Suite #150, Houston",
OPERATIONAL,"{'location': {'lat': 29.7989509, 'lng': -95.3822266}, 'viewport': {'northeast': {'lat': 29.8003250302915, 'lng': -95.38069341970849}, 'southwest': {'lat': 29.7976270697085, 'lng': -95.3833913802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Teotihuacan Mexican Cafe,{'open_now': True},"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109883380606897765605"">Michael Castaneda</a>'], 'photo_reference': 'AW30NDwNv_VOjVRcHktw1MBur44tG44jOweRPpprgj58rhBYy-BDNiD5LNDGLPgvE5h1myf4hzOu0HugSRdPKdxgP65t0oQC_Zp7R86CLFoE-ZREjdR_AjMuXixOZrcz3IIvis_9OAE1vOI9Z3Gtcat6GY80K1fTQwzl4bKwzHJ5L2UI0L4V', 'width': 2976}]",ChIJLTdbDZe4QIYRHvhnGZnh3hs,"{'compound_code': 'QJX9+H4 Northside, Houston, TX, USA', 'global_code': '76X6QJX9+H4'}",2.0,4.4,ChIJLTdbDZe4QIYRHvhnGZnh3hs,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3662.0,"1511 Airline Drive, Houston",
OPERATIONAL,"{'location': {'lat': 29.7906035, 'lng': -95.3880394}, 'viewport': {'northeast': {'lat': 29.7919390802915, 'lng': -95.38658841970849}, 'southwest': {'lat': 29.7892411197085, 'lng': -95.38928638029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,bellagreen,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100773164560964232519"">Ramon Heredia</a>'], 'photo_reference': 'AW30NDwJaDzQ1Am7sAQMjH0othXmraPeCYn-aL9X0s-xIC_BfZl7GvMIQ6HHwy6nkEV3QeCkmR21bl-dwf8r0OoDt06_OM4lgDRy4b-SStSDTh_WjBBh52AT8fQtG5NB2cJ23Yp3-5UitKYvehF2YvLdt3g4jfqZgGeS7dGpVTBBsnek3Ros', 'width': 3984}]",ChIJGxRh6KO4QIYRdJQIHSv2JgE,"{'compound_code': 'QJR6+6Q Northside, Houston, TX, USA', 'global_code': '76X6QJR6+6Q'}",2.0,4.6,ChIJGxRh6KO4QIYRdJQIHSv2JgE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1528.0,"748 East 11th Street, Houston",
OPERATIONAL,"{'location': {'lat': 29.78187, 'lng': -95.3896843}, 'viewport': {'northeast': {'lat': 29.7830821302915, 'lng': -95.38831066970849}, 'southwest': {'lat': 29.7803841697085, 'lng': -95.3910086302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Christian's Tailgate Bar & Grill,{'open_now': True},"[{'height': 3118, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102134147922572932024"">Christian&#39;s Tailgate Bar &amp; Grill</a>'], 'photo_reference': 'AW30NDySWRXxnpzDi9Fp1OPCOARiKkC_E-40s4PbGNM84GtcdyTZIvxjqjqJVeEvJdE5BbMT94Yu-AxnKxIWmo-R_ghG3HHRp8eiFB_u6UaQ_ymbk2s4dbYU80XCS6OJZcCRF1tM5Q8B93r12aYOpNWkHTEb6s2PNGitU18YF6DR9K29dU4N', 'width': 4707}]",ChIJYRMEwai4QIYRSsz-VR8Vhmw,"{'compound_code': 'QJJ6+P4 Northside, Houston, TX, USA', 'global_code': '76X6QJJ6+P4'}",1.0,4.1,ChIJYRMEwai4QIYRSsz-VR8Vhmw,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1330.0,"2820 White Oak Drive, Houston",
OPERATIONAL,"{'location': {'lat': 29.7773914, 'lng': -95.3969486}, 'viewport': {'northeast': {'lat': 29.7787195802915, 'lng': -95.3956805697085}, 'southwest': {'lat': 29.7760216197085, 'lng': -95.39837853029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115049064301018131479"">Eddy Rodriguez</a>'], 'photo_reference': 'AW30NDwl6ZXqlIFj7Fz8ujh43-E8ajXpSsyKXVfvzYCzkaTI7GaUtlzdEpVdXCJGilmElzKKVxSpl5tQbmUtf6xkBpOhYWvYZi_-UU1HM0Lee2VEihI9oCQBdawppZPwasKWGOtYbNJPRJCvlOeYS7Jub2jwrJKbKOTEY77KEL3_LxfMMseR', 'width': 4032}]",ChIJzYWk6lXHQIYRVDiXHSIg4F8,"{'compound_code': 'QJG3+X6 Northside, Houston, TX, USA', 'global_code': '76X6QJG3+X6'}",1.0,3.9,ChIJzYWk6lXHQIYRVDiXHSIg4F8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",187.0,"3620 Katy Freeway Suite C, Houston",
OPERATIONAL,"{'location': {'lat': 29.79095479999999, 'lng': -95.39856689999999}, 'viewport': {'northeast': {'lat': 29.79225613029149, 'lng': -95.39728791970849}, 'southwest': {'lat': 29.7895581697085, 'lng': -95.3999858802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lola,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115323406321278310430"">Lola</a>'], 'photo_reference': 'AW30NDxw8M4LP8S2xTv6zLRzYAZ-qwi8KsSWFAYivzm-fs-SjNCQoJ0pWsjvV7aYmZtCHVpdaXVz-IqavF74lvQrF-3-l0-OIFZZCdXgwdDU1xJow5GvO842Lyt9IWxW0KYI3kQnqcKD6oAPfTqi3YHhud4LybW0FXmk0BU-6NUineZIxWvR', 'width': 2048}]",ChIJtw8uhV7HQIYRnFMLA0CNMXs,"{'compound_code': 'QJR2+9H Northside, Houston, TX, USA', 'global_code': '76X6QJR2+9H'}",2.0,4.2,ChIJtw8uhV7HQIYRnFMLA0CNMXs,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1926.0,"1102 Yale Street, Houston",
