business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours
CLOSED_TEMPORARILY,"{'location': {'lat': 33.6857394, 'lng': -118.008362}, 'viewport': {'northeast': {'lat': 33.6871496802915, 'lng': -118.0068965197085}, 'southwest': {'lat': 33.68445171970851, 'lng': -118.0095944802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,True,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106504493758472201161"">Dave Chajlow</a>'], 'photo_reference': 'AW30NDztauHv3MDS0vx-QD96FKa4p-lF3Ux3dgRn_PRxCiqNpru1Se3Smc60-YKIdflOfULca2-qR1eW1sMUG4I2Z0rwn4uinxHA29zLD3CnIbtIEnz7AUuQV6WGcLBptFmcnzy_tQgsAE0O0KnNIw3sSF1-kZkf7Wmm8iBhkyXsCqxLXVqc', 'width': 1920}]",ChIJeX4xz7om3YARzFjhRbnM0-Q,"{'compound_code': 'MXPR+7M Huntington Beach, CA, USA', 'global_code': '8553MXPR+7M'}",1.0,3.3,ChIJeX4xz7om3YARzFjhRbnM0-Q,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",37.0,"19051 Goldenwest Street Suite 105, Huntington Beach",
OPERATIONAL,"{'location': {'lat': 33.69180729999999, 'lng': -117.9893449}, 'viewport': {'northeast': {'lat': 33.69325728029149, 'lng': -117.9879547197085}, 'southwest': {'lat': 33.69055931970849, 'lng': -117.9906526802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Five Guys,,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100501472444825426755"">Mark McGill</a>'], 'photo_reference': 'AW30NDyQvAOb76r1XLs_WZHO7PouKW0lPb0WWhhNBm9m4-qDuEkVEzlX4B7szsZP3Tu8gekbV_pnvC9mQigtPDmRC_t62k_h5AQJYcsMO925-Wm6fG_8MQ8VwXVryVW6vykT5Hx61jPFwuub3Y3g1KtRs1ro-gzdAJwWoWDmaCD-BS-DNjMd', 'width': 2992}]",ChIJ65KCLMQm3YARosGxAiwpyIc,"{'compound_code': 'M2R6+P7 Huntington Beach, CA, USA', 'global_code': '8554M2R6+P7'}",2.0,4.2,ChIJ65KCLMQm3YARosGxAiwpyIc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",435.0,"18645 Beach Boulevard, Huntington Beach",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 33.687468, 'lng': -117.988357}, 'viewport': {'northeast': {'lat': 33.6888139302915, 'lng': -117.9870441697085}, 'southwest': {'lat': 33.6861159697085, 'lng': -117.9897421302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109848137791618724047"">farah lemings</a>'], 'photo_reference': 'AW30NDylJxBm_qihG3KX3og29-wCe1Nv1jx6G5MYjfV4BAQXfZ9jJgUu0HGWwS-ln76662ym5tnSZ5fcpKxVrfQVPeOYMWvRNq3ms6sOGg5JT8qbRSsFU0Q42DI-YNlRJnlmQGFa3Wilr2ZhrJxUSFMNv9nZpligO46y-VP3mOxsLJdQXbfU', 'width': 3024}]",ChIJ5fikOc8m3YARngzArJAvI4U,"{'compound_code': 'M2P6+XM Huntington Beach, CA, USA', 'global_code': '8554M2P6+XM'}",2.0,4.1,ChIJ5fikOc8m3YARngzArJAvI4U,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",448.0,"18922 Beach Boulevard, Huntington Beach",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 33.6860994, 'lng': -117.9882981}, 'viewport': {'northeast': {'lat': 33.6874577802915, 'lng': -117.9870192697085}, 'southwest': {'lat': 33.6847598197085, 'lng': -117.9897172302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114276334117880862142"">Chris Lucas</a>'], 'photo_reference': 'AW30NDyPN3ZhgjrKUaABwRlwJbdggarYMBL4WkrSe__L_z0ikRKlW4LsRTU3Rr3hDceeC8nTzdpfLdp2naYdUqCajWyEQCdkLKOk5iM0ARy5eoXlbQ8ZPfgood4IijtJMoaw-e48O7Qs9bLCrYhl1QTSaAJzImtgQQCG5Pb6CLUlkFLOeBfv', 'width': 852}]",ChIJddtR184m3YARAgBFtHeRSSA,"{'compound_code': 'M2P6+CM Huntington Beach, CA, USA', 'global_code': '8554M2P6+CM'}",1.0,3.2,ChIJddtR184m3YARAgBFtHeRSSA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",78.0,"19008 Beach Boulevard, Huntington Beach",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 33.6930834, 'lng': -117.9925112}, 'viewport': {'northeast': {'lat': 33.69445708029151, 'lng': -117.9910768197085}, 'southwest': {'lat': 33.69175911970851, 'lng': -117.9937747802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mario's Mexican Food & Cantina,,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117679357134781580710"">Mario&#39;s Mexican Food &amp; Cantina</a>'], 'photo_reference': 'AW30NDxsiSunvEsqOnTKxqKi5jNIXS6STJwnAPOqjZb74wNFENjFbPXymUf3F1CsDoQnx9AlgTxo3VUiIZfeNYcYCHXlMv3AJe1VZgHHAOoN-VbIDdO8q-jxO_InNAI50D209MrUfBHEa8-C1DZbw88TJnoiRCdnJfXuMWP6RZuMEWtW7X2F', 'width': 2048}]",ChIJrSqVKccm3YARsO4ZkNr3778,"{'compound_code': 'M2V4+6X Huntington Beach, CA, USA', 'global_code': '8554M2V4+6X'}",2.0,4.4,ChIJrSqVKccm3YARsO4ZkNr3778,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1088.0,"18603 Main Street, Huntington Beach",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 33.6806488, 'lng': -118.0042096}, 'viewport': {'northeast': {'lat': 33.6818857802915, 'lng': -118.0027722197085}, 'southwest': {'lat': 33.6791878197085, 'lng': -118.0054701802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sango Sushi Restaurant - Huntington Beach,,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101911038147207694931"">Miles</a>'], 'photo_reference': 'AW30NDxqJCTFnU-TugECwKA5v3bxo8SRG1NwxwZcTcz73csCYvo5r4WT1EJccYtZqQ9igR0WACRWg7DNg0DzL0kOBnjpnsXeIQcXhq31NCqq6S9jgX9_t5DBn35xH3bHIOPaFg1XHaWbTwC2bCLbO9lpHvQyvJzDzLTvQ-4QFAUeazziHZwV', 'width': 4128}]",ChIJpfPHfrEm3YARQe3E8XUQIAE,"{'compound_code': 'MXJW+78 Huntington Beach, CA, USA', 'global_code': '8553MXJW+78'}",1.0,4.3,ChIJpfPHfrEm3YARQe3E8XUQIAE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",151.0,"7101 Yorktown Avenue Ste 110, Huntington Beach",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 33.6763412, 'lng': -117.9870137}, 'viewport': {'northeast': {'lat': 33.6777262302915, 'lng': -117.9858586197085}, 'southwest': {'lat': 33.6750282697085, 'lng': -117.9885565802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Silk Thai Cuisine,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101055588710013728856"">jerry zaiden</a>'], 'photo_reference': 'AW30NDyQynFgG6_FwapWls4JUMLMUUy2gBs0WToG7VtKiAZ91zfrs18tghEhbeGafKemSQ01Mh8AfQf3adOMf9lxDR5y7bH6EmHTIcZd3KkRRGeMpCH7KUQ_ySYVkmI9zNa2JCeVunkqHIizeJGfnAmiQ1q1II5XxCJ0ECIKxudVAbCL8-Cm', 'width': 4032}]",ChIJVRbknDMh3YARvKp-FKoinIA,"{'compound_code': 'M2G7+G5 Huntington Beach, CA, USA', 'global_code': '8554M2G7+G5'}",2.0,4.3,ChIJVRbknDMh3YARvKp-FKoinIA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",163.0,"19690 Beach Boulevard, Huntington Beach",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 33.6856456, 'lng': -117.9883669}, 'viewport': {'northeast': {'lat': 33.6869253802915, 'lng': -117.9870145697085}, 'southwest': {'lat': 33.68422741970851, 'lng': -117.9897125302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Thai Gulf Restaurant,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112833590484890895435"">Brian Weltmer</a>'], 'photo_reference': 'AW30NDyHZ5q2rWqap0et51tgYAj8KZs59OriR-cxIut9DjH050Gl7ZPGcofaF2OUWVXx2TiZ4I8lp6XAU3azqXEPvx5YUNvw0woAydVu_9n08qao-MNKeoVMl9LJ9Omf1gaRLo6f2_QU-oN802WxKmbxYm8MG3--VjPQyRdOcDtVtuX79bDe', 'width': 4032}]",ChIJj1Lyz84m3YARs-EAD5qqPF4,"{'compound_code': 'M2P6+7M Huntington Beach, CA, USA', 'global_code': '8554M2P6+7M'}",1.0,4.3,ChIJj1Lyz84m3YARs-EAD5qqPF4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",202.0,"19072 Beach Boulevard, Huntington Beach",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 33.68981790000001, 'lng': -117.9881863}, 'viewport': {'northeast': {'lat': 33.69107253029151, 'lng': -117.9868806197085}, 'southwest': {'lat': 33.68837456970851, 'lng': -117.9895785802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,IHOP,,"[{'height': 1073, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114276334117880862142"">Chris Lucas</a>'], 'photo_reference': 'AW30NDy-24HNURV-PlijRP6JsSMGSDvqn58ikwyknk8I8wIwy-r2im_n-XBHGywKfYKBZEr4MzEuAK0F7MDUT2CYtBt3uXBhMH-VaNdOHuQbJS4JmF9q7dDCTmvKWPHsd7gqCbOUjKLA_8bVMJnbAzok3-0hy6SzFUP0I5QxyfTxfDgww06t', 'width': 1508}]",ChIJ5QwYVs8m3YAROLUTODG22ho,"{'compound_code': 'M2Q6+WP Huntington Beach, CA, USA', 'global_code': '8554M2Q6+WP'}",1.0,4.1,ChIJ5QwYVs8m3YAROLUTODG22ho,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1161.0,"18782 Beach Boulevard, Huntington Beach",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 33.7007064, 'lng': -117.9903824}, 'viewport': {'northeast': {'lat': 33.7020623302915, 'lng': -117.9889512697085}, 'southwest': {'lat': 33.6993643697085, 'lng': -117.9916492302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Thai Pepper,,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114119306412611786238"">Lucia Pedemonti</a>'], 'photo_reference': 'AW30NDxzJMdCEVKd1XttlHlasfgXdBed6MxnKlqeLbmO6rPhtTImVP9ATq-1vWUepL-Ey3Y0qhukIt0zDvRp0ZrxkKamS4AKQRj1iLUUbRsCTSm7lRbzZgnupVMmnDGUtRbgNXeKj-MdehAKhC9D4s07uTqsaC4Wjq-Jp9YN04h2di8yCH9I', 'width': 4032}]",ChIJF7rriekm3YARhJkQJYOuxYU,"{'compound_code': 'P225+7R Huntington Beach, CA, USA', 'global_code': '8554P225+7R'}",1.0,4.6,ChIJF7rriekm3YARhJkQJYOuxYU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",261.0,"18023 Beach Boulevard, Huntington Beach",{'open_now': True}
