business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.7193419, 'lng': -86.6735126}, 'viewport': {'northeast': {'lat': 34.7204642802915, 'lng': -86.67209745000001}, 'southwest': {'lat': 34.7177663197085, 'lng': -86.67504525}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark Bridge Street and XD,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114728662627512099156"">J B</a>'], 'photo_reference': 'AW30NDxBlXhvXRQoikRk_xUjYrokvUzDzKCkcognT10jWZc51zYc_h2gOrYyDqeDwYB8tX5j1TuuVkehGn71JXzzF0S5obuTUqSpm-cAh2WjWGlTrUCElYZBahdZOX_j1_e0u-Nd04uuAr2aAzBdP9hDIrsDTmTtHdtvxgJAi4U8ojXALcfI', 'width': 3024}]",ChIJC7JMZ7BuYogR_93eOpYJaZk,"{'compound_code': 'P89G+PH Huntsville, AL, USA', 'global_code': '866MP89G+PH'}",4.4,ChIJC7JMZ7BuYogR_93eOpYJaZk,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2224.0,"370 The Bridge Street, Huntsville",,,
OPERATIONAL,"{'location': {'lat': 34.71718459999999, 'lng': -86.6739559}, 'viewport': {'northeast': {'lat': 34.71853358029148, 'lng': -86.6726069197085}, 'southwest': {'lat': 34.71583561970849, 'lng': -86.6753048802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Connors Steak & Seafood,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111661094393273384409"">Lawrence Ariel</a>'], 'photo_reference': 'AW30NDzclqC0H_gcTB8VuE-ZtqtD00nsqaaccndPZRiVAIey-zgEu769HTZoolpbHymQ0O-xYophDYLJOWhQ9GcObRXviCo1dH1VEcdR5kljKo7Y9cLWAseaArnJsNihy9s5ZAOsQgEz1V5FAMbtQ05RFklQTT0pDs64mrMJjpbVcPjiXzA9', 'width': 1920}]",ChIJi8Sj-7luYogRHrtdLj7f0L8,"{'compound_code': 'P88G+VC Huntsville, AL, USA', 'global_code': '866MP88G+VC'}",4.6,ChIJi8Sj-7luYogRHrtdLj7f0L8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3410.0,"345 The Bridge Street, Huntsville",{'open_now': True},3.0,
OPERATIONAL,"{'location': {'lat': 34.71358290000001, 'lng': -86.6591135}, 'viewport': {'northeast': {'lat': 34.7147235802915, 'lng': -86.6578522697085}, 'southwest': {'lat': 34.71202561970851, 'lng': -86.6605502302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107462922590031814248"">Christian Matt</a>'], 'photo_reference': 'AW30NDw3CTKMYjZAKQS9p5lcqKQwTnZLCrRBdlh4A8Vve3gv4UR2FGsN_v8zCyuLJrwcmCeAzApk_rJIBZ5uILnHlKnNzcOOBPc-_gvsS5LiXHQV9-X08E73bcBd4hQyv5ePDnhJuYUROOtgi2nHjrLbmyZNZnSiqEBBLX0Nj0TwTIUqN3WX', 'width': 4048}]",ChIJqVs3yB1sYogRn3UWQc9OFDY,"{'compound_code': 'P87R+C9 Huntsville, AL, USA', 'global_code': '866MP87R+C9'}",4.3,ChIJqVs3yB1sYogRn3UWQc9OFDY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",310.0,"6212 Old Madison Pike A, Huntsville",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 34.7153096, 'lng': -86.67345999999999}, 'viewport': {'northeast': {'lat': 34.71665858029149, 'lng': -86.6721110197085}, 'southwest': {'lat': 34.7139606197085, 'lng': -86.6748089802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,P.F. Chang's,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106761663519646917904"">Tangenia Nunley</a>'], 'photo_reference': 'AW30NDxuUjn9ygNE_MmVqIrHRx91vQHzmHamIci21DkZSch_dNGxq2hdiXhzDoaCrmC97j-cq8v-j0A5KkM7fhMGpnIWT32gi_3PFW1pIa486cUNvjlTr5W4OZbBJvQZLlAUE5oL-0_2GeXSwJOjCx5Qf-1Pm3QzD8HHAyZYfXAeTrFAz_KB', 'width': 3024}]",ChIJ_Res4rpuYogRelWfvTHyhoM,"{'compound_code': 'P88G+4J Huntsville, AL, USA', 'global_code': '866MP88G+4J'}",4.0,ChIJ_Res4rpuYogRelWfvTHyhoM,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1479.0,"305 The Bridge Street Ste 101, Huntsville",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 34.71853100000001, 'lng': -86.672361}, 'viewport': {'northeast': {'lat': 34.7199999802915, 'lng': -86.6711418197085}, 'southwest': {'lat': 34.71730201970851, 'lng': -86.6738397802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Robin Gourmet Burgers and Brews,"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111251143416785506040"">Red Robin Gourmet Burgers and Brews</a>'], 'photo_reference': 'AW30NDwQJdvND2OQuMbbf61ykt7FwkCwOXBSUrhVdiqMwAiX0okvhI8nreev_y8FuPALw-ckpVVVTo0DGUlseiK-qs7oje_G2Yu3-R_1WEaBwKNXlFxcLLtBg9lJNtnpJxMnoVa2EbqY9CfS500eO1fQrCK3ESxP2nvsJmgW5WNM9bTd1IeG', 'width': 1080}]",ChIJ_Res4rpuYogRPJ5rOtYxkaU,"{'compound_code': 'P89H+C3 Huntsville, AL, USA', 'global_code': '866MP89H+C3'}",3.9,ChIJ_Res4rpuYogRPJ5rOtYxkaU,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",1979.0,"365 The Bridge Street, Huntsville",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 34.7142628, 'lng': -86.66900749999999}, 'viewport': {'northeast': {'lat': 34.7155995802915, 'lng': -86.6677145697085}, 'southwest': {'lat': 34.7129016197085, 'lng': -86.6704125302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,West End Grill,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108012125692211679359"">West End Grill</a>'], 'photo_reference': 'AW30NDxGdFQn4A_osyuT1Lj9jH9jeQ9IIeJzCq4z_mWs3Mm-DP8qc4PaG5LZ3Qfncson2t74exbqbIqF11FOUGnpH3QcY0cNmf90D8PJ8lo_pEPaeH7ut0nhYXgrI0ObQXofRcCd9yQMxQOczAzXAQmXAoi90wzwNo_EqSOa2TXrO-DW5gY', 'width': 5312}]",ChIJKb67-aRuYogRuqPeMKeq1sg,"{'compound_code': 'P87J+P9 Huntsville, AL, USA', 'global_code': '866MP87J+P9'}",4.5,ChIJKb67-aRuYogRuqPeMKeq1sg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1931.0,"6610 Old Madison Pike #109, Huntsville",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 34.7142499, 'lng': -86.6689098}, 'viewport': {'northeast': {'lat': 34.71562558029149, 'lng': -86.66761941970849}, 'southwest': {'lat': 34.71292761970849, 'lng': -86.67031738029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Venice Pizza,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109556811123790756867"">Venice Pizza</a>'], 'photo_reference': 'AW30NDy5egvtNBMlFhwglwn5T_a07sxrtXCbGSQdZu18q1bVWOuVgs6vBs2oz_3EY2pbFolROUn_jwN6y8WRHuwc_IabGBS0VTvQ-edmU7zbixk75vBtZt7ti5dPCREobRaq-YoQulo3SH9o29Q7xvhder1KsXjZXITUzFS6j5iJHXCdpgkF', 'width': 960}]",ChIJKb67-aRuYogR10j81MPoYEI,"{'compound_code': 'P87J+MC Huntsville, AL, USA', 'global_code': '866MP87J+MC'}",4.4,ChIJKb67-aRuYogR10j81MPoYEI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",511.0,"6610 Old Madison Pike, Huntsville",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 34.6970808, 'lng': -86.6734633}, 'viewport': {'northeast': {'lat': 34.6984964802915, 'lng': -86.67033539999998}, 'southwest': {'lat': 34.6957985197085, 'lng': -86.6753454}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fiero Mexican Grill,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102433370981087167747"">Cortez Painting &amp; Drywall</a>'], 'photo_reference': 'AW30NDzQZzLkBuc2H-S5ME16-gIdbUNTqS9kv-K6n901YmbbjAzxMAaEJFgd6TCTgdw0E44m2ESb4HrbMuLItns49oohD7VtR4vPxE5gF1m-csUyqOQCCkVk1ubNmNLL5lt_XXdvuI0FfMds_sKZBO_xHxjbnSFSpuET6zhFhy3qcFgIn06i', 'width': 4160}]",ChIJDSIASpBuYogRZOiwtjZxBTU,"{'compound_code': 'M8WG+RJ Huntsville, AL, USA', 'global_code': '866MM8WG+RJ'}",4.2,ChIJDSIASpBuYogRZOiwtjZxBTU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",264.0,"2100 Rideout Road, Huntsville",{'open_now': False},1.0,
OPERATIONAL,"{'location': {'lat': 34.69717780000001, 'lng': -86.6734628}, 'viewport': {'northeast': {'lat': 34.69876978029151, 'lng': -86.6720590197085}, 'southwest': {'lat': 34.69607181970851, 'lng': -86.6747569802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,DipWich Original American Sandwiches,"[{'height': 2056, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113359421018421506815"">Dave Jackman</a>'], 'photo_reference': 'AW30NDwC_5dnchXeD6LID5e-g0Z37kJ-2V1qmOqTCi4GM2ZiG9kw9__Ds-8Y59yijt_QRhtm4jQWOAwTrb6aSObNpTJxF15OiHnuXuljuHtA8h6dHZLPWoF8cJBClWbtc9dVrQB_wdPHfokFxD6G2TATze9x6y5C24xcpNfnPl8tHUf0Pwy8', 'width': 1873}]",ChIJP5vhS5BuYogRcYEcicWtsqg,"{'compound_code': 'M8WG+VJ Huntsville, AL, USA', 'global_code': '866MM8WG+VJ'}",4.3,ChIJP5vhS5BuYogRcYEcicWtsqg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",134.0,"2100 Rideout Road, Huntsville",{'open_now': False},1.0,
OPERATIONAL,"{'location': {'lat': 34.7108247, 'lng': -86.6498288}, 'viewport': {'northeast': {'lat': 34.7119615302915, 'lng': -86.64836656970849}, 'southwest': {'lat': 34.7092635697085, 'lng': -86.6510645302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Seasons,"[{'height': 1868, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103783837016441613804"">Jim Haynie</a>'], 'photo_reference': 'AW30NDzxfwQW20TjvC2sm2kIOhWHDWvZ24_vWH3ymLgTxmOHWLrabwJyaQQX4jontciNExnZGXC_LE--m-FRzPTloJjBbWhivyQif7T8A37_6wPlp2BA7CNTZMAyvrgEkjy-BtG0ma-f9nc6k2As-jnc1pTHf44WZgcLHjy0V-A-sQZEDzBk', 'width': 4000}]",ChIJheyTRxdsYogRK1fm6JDb1-w,"{'compound_code': 'P962+83 Huntsville, AL, USA', 'global_code': '866MP962+83'}",3.1,ChIJheyTRxdsYogRK1fm6JDb1-w,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",13.0,"5 Tranquility Base, Huntsville",{'open_now': False},,
