business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.03884499999999, 'lng': -94.35320700000001}, 'viewport': {'northeast': {'lat': 39.04007388029149, 'lng': -94.35178971970849}, 'southwest': {'lat': 39.0373759197085, 'lng': -94.3544876802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109399616444965843510"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDx7pNvZaXEXQzRYNSJZD1hwOV7QfuSsyG6mxPjaEseTAZH-tBIZBBN02YmBEMdhAygsPNDqjJ5AJujsaL6u9T6FtEAkOstwKeZuyi-N5Ze-xL_IOLvI2v9JiLO6GUMfc1j_pkEtz7dNFSiUwz0N6OOKhdJAKT1LmdqGL0dzBrhx6u60', 'width': 960}]",ChIJLSve3f0cwYcRU0haOz8jqqI,"{'compound_code': '2JQW+GP Independence, MO, USA', 'global_code': '86F72JQW+GP'}",2.0,3.7,ChIJLSve3f0cwYcRU0haOz8jqqI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",5394.0,"19120 East Valley View Parkway, Independence",
OPERATIONAL,"{'location': {'lat': 39.0387223, 'lng': -94.3456352}, 'viewport': {'northeast': {'lat': 39.03999908029149, 'lng': -94.3441354697085}, 'southwest': {'lat': 39.0373011197085, 'lng': -94.34683343029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Carrabba's Italian Grill,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112640829270011604788"">Joshua MeyersPeone</a>'], 'photo_reference': 'AW30NDyeOS_Atj95xi8Iktm9y-UBS-Zyj-deRk8UWqf2tx33CCoEfHlVcLFRsWDbTSrEbW3q5zstITD47-JHtt6-UyJiKbs2AiyW1qTVh7Zm14WoUZsVS_eP1_Ccrr3s41x_ZP0RRZSbxdgL7YrU3oLnQN0HE5NhaWBxmoxBnp-_QsE4GFtL', 'width': 12000}]",ChIJgdlLp_AcwYcRTXc5DZYr_6g,"{'compound_code': '2MQ3+FP Independence, MO, USA', 'global_code': '86F72MQ3+FP'}",2.0,4.3,ChIJgdlLp_AcwYcRTXc5DZYr_6g,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1595.0,"19900 East Valley View Parkway, Independence",
OPERATIONAL,"{'location': {'lat': 39.10060980000001, 'lng': -94.4124532}, 'viewport': {'northeast': {'lat': 39.10195383029149, 'lng': -94.41130921970849}, 'southwest': {'lat': 39.09925586970849, 'lng': -94.41400718029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107339781131447080333"">Subway</a>'], 'photo_reference': 'AW30NDzq9RNVDHbBgCR-AzAjbC2ZlhR9IrPRKGixwsafbpIk170_-zft_T9Qt2u0WVzUSqf3hYQv3-MlbsH0b7nGJb0UV6eNVbscn4LZEfuY-GWQpE03BBJCHga38h0NIbXWoC4vH638hL-e0jeWsmEFrLj67k2fSqyp0ODTIzh78mV_r7xq', 'width': 1763}]",ChIJpwWlem79wIcRah5tnKz4CeM,"{'compound_code': '4H2Q+62 Independence, MO, USA', 'global_code': '86F74H2Q+62'}",1.0,4.0,ChIJpwWlem79wIcRah5tnKz4CeM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",226.0,"911 North Noland Road G, Independence",
OPERATIONAL,"{'location': {'lat': 39.04070129999999, 'lng': -94.3478964}, 'viewport': {'northeast': {'lat': 39.04215488029149, 'lng': -94.34666486970849}, 'southwest': {'lat': 39.03945691970849, 'lng': -94.3493628302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hereford House - Indpendence,{'open_now': True},"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114097618186398018122"">Hereford House - Indpendence</a>'], 'photo_reference': 'AW30NDyXEbaViKLHaarCTeG3kYbLe1tTC4hxb41nRqFqF8QXxNRAA_j4LVqF3UEMdVUD9m5WlqBiTLUb_1WSNXu2maGYy6929yEuWZfLz84pE619f4lvUO4RQpC48iEZAXR2IY7LrdXGxLqqjCSSEH_LjBhJOotGsoIQt8niRleFiIxjL_hU', 'width': 3008}]",ChIJv5Rsv_ocwYcROQDVxn7k718,"{'compound_code': '2MR2+7R Independence, MO, USA', 'global_code': '86F72MR2+7R'}",3.0,4.3,ChIJv5Rsv_ocwYcROQDVxn7k718,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1624.0,"19721 East Jackson Drive, Independence",
OPERATIONAL,"{'location': {'lat': 39.0483924, 'lng': -94.3563671}, 'viewport': {'northeast': {'lat': 39.0497065302915, 'lng': -94.3548978697085}, 'southwest': {'lat': 39.0470085697085, 'lng': -94.3575958302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Smokehouse Barbecue - Independence,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108866234119817953890"">David Hawkins</a>'], 'photo_reference': 'AW30NDxpUthCTzJjIRcrWyC42EqVokd53wkqkxbr-_DNXjGPhjN71hn6dQKwrdo8CKHx00VKa-dX7K00y7IYXQ9oUWQf3O5TJH8Da4_VK8TEKFyJajG-JkF0Z9eogD8tXe1_3e4rwOoPr-TbFmcIFn3rMOOvQBudkXJspGghcq_SzqeEERAi', 'width': 3264}]",ChIJT3xK4OEcwYcRvCw41zjbRCk,"{'compound_code': '2JXV+9F Independence, MO, USA', 'global_code': '86F72JXV+9F'}",2.0,4.2,ChIJT3xK4OEcwYcRvCw41zjbRCk,GOOGLE,"['meal_delivery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1706.0,"19000 East 39th Street South, Independence",
OPERATIONAL,"{'location': {'lat': 39.11910750000001, 'lng': -94.3729091}, 'viewport': {'northeast': {'lat': 39.1205659802915, 'lng': -94.3714294697085}, 'southwest': {'lat': 39.1178680197085, 'lng': -94.37412743029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Murphy's | Take 'N' Bake Pizza,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102193715525612270132"">Justin Rowden</a>'], 'photo_reference': 'AW30NDxi33knCguHqvtD59nftPDKoepHRnO8jlaNohU9V-XrECOOpoI_Kye5npdkXNPC3UEsQk-7YxpDAIvvAidlDaB4Iw-hZLHtvkQF45ciozAvak81j7D5Hvaz-7X2dPSgWciP10pIqBQZfU1wVnE8ZcZW3Vi3tE9oaH-UZUac1yV9Q6rB', 'width': 4608}]",ChIJq_ODO1kCwYcRAn3B74qn9Y8,"{'compound_code': '4J9G+JR Independence, MO, USA', 'global_code': '86F74J9G+JR'}",1.0,4.4,ChIJq_ODO1kCwYcRAn3B74qn9Y8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",204.0,"824 North Dakota Drive, Independence",
OPERATIONAL,"{'location': {'lat': 39.0417923, 'lng': -94.3439496}, 'viewport': {'northeast': {'lat': 39.0432434802915, 'lng': -94.3419388}, 'southwest': {'lat': 39.04054551970851, 'lng': -94.34520479999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106705798380464529105"">yessenia acuña</a>'], 'photo_reference': 'AW30NDytbSnkuUZzWGKWidjr8A0_MZodGlbzomxxIX2tcdAfXKdIM2FOmdu8GOjmuJTbaYxb-XMwCp01hc1eXvpW5TuMk_2qygEPUmuA5G5oYDkBjYCk9150I5_-681gQs5c2bgNY0Vl7rcwIkFI9q554bZlLP3XAaIwm77NlcHuWmlAY58w', 'width': 4032}]",ChIJBXl4NfAcwYcRf_fPC5EKVb0,"{'compound_code': '2MR4+PC Independence, MO, USA', 'global_code': '86F72MR4+PC'}",2.0,3.8,ChIJBXl4NfAcwYcRf_fPC5EKVb0,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2290.0,"20110 East Jackson Drive, Independence",
OPERATIONAL,"{'location': {'lat': 39.0717212, 'lng': -94.3814441}, 'viewport': {'northeast': {'lat': 39.0730159302915, 'lng': -94.3799724197085}, 'southwest': {'lat': 39.0703179697085, 'lng': -94.3826703802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113031111202108497324"">Subway</a>'], 'photo_reference': 'AW30NDx0zaU7L6eOT76Eq24YY6UVwezMAlgWOC0uDJ5c3TpS89HCDFpq6UvYKjK-SatyocR2Z2F12XEYO-wE26fY7HydshzdLcLTLumJDcUsJD9i091H326xBRrIsSIEV1cBOXqci4KPunlR_GFw8HWU-zPL8ucpyUc3z5PO9_Ox_VzY2oXu', 'width': 1763}]",ChIJc0s3T0sdwYcR9eZJN6fZEuU,"{'compound_code': '3JC9+MC Independence, MO, USA', 'global_code': '86F73JC9+MC'}",1.0,3.8,ChIJc0s3T0sdwYcR9eZJN6fZEuU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",227.0,"2650 South Hub Drive Suite G, Independence",
OPERATIONAL,"{'location': {'lat': 39.0436947, 'lng': -94.3887579}, 'viewport': {'northeast': {'lat': 39.04508328029149, 'lng': -94.3872483197085}, 'southwest': {'lat': 39.04238531970849, 'lng': -94.38994628029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cracker Barrel Old Country Store,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100582818067852590838"">Cracker Barrel Old Country Store</a>'], 'photo_reference': 'AW30NDx5RbdlS3xQsrmA0zZEWF_foM5A_S_4XNhdQPhrPG6tGjEgx3BtjEelgeIQF1krg7TixA5yiBRkvejSYRf4bIC55X6jVfk8wQ3zFwKZ8haiC-IgdlCjXKXBEXpbDMU1rOir31XeQI9SRyIpnN8lQpHo_jtoO46DNL7TLk63bA3-CZyP', 'width': 1080}]",ChIJNXK3mGUdwYcRxtfomqCu2pw,"{'compound_code': '2JV6+FF Independence, MO, USA', 'global_code': '86F72JV6+FF'}",2.0,4.2,ChIJNXK3mGUdwYcRxtfomqCu2pw,GOOGLE,"['meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4830.0,"4110 South Lee's Summit Road, Independence",
OPERATIONAL,"{'location': {'lat': 39.0317859, 'lng': -94.30455200000002}, 'viewport': {'northeast': {'lat': 39.03317998029149, 'lng': -94.30319936970851}, 'southwest': {'lat': 39.0304820197085, 'lng': -94.30589733029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100906644344587084349"">Seasy Driscoll</a>'], 'photo_reference': 'AW30NDwkATDBTGzQSTr7LsqB9IjJMxcPLl2Pvcqxx43U3RafSal8kUozdcyDFCxkw1pWeoXhlwKvMQZMk9tKUhEFfutFFauyHGLwyeBKLjZPbU7Y6FVrHxsbq_NZokVCX0IICiKVxOP_Dyr5oyrE0US2ogxeunuRSnVkrg1ukNLL-0ANmA8T', 'width': 4032}]",ChIJKwN7Op0bwYcRgJTYO9zMFVY,"{'compound_code': '2MJW+P5 Blue Springs, MO, USA', 'global_code': '86F72MJW+P5'}",1.0,3.8,ChIJKwN7Op0bwYcRgJTYO9zMFVY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",138.0,"1240 Northwest Woods Chapel Road, Blue Springs",
