business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.7736134, 'lng': -86.1502333}, 'viewport': {'northeast': {'lat': 39.7751157802915, 'lng': -86.1488439697085}, 'southwest': {'lat': 39.7724178197085, 'lng': -86.1515419302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Rathskeller,{'open_now': True},"[{'height': 3279, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105019152180474527312"">The Rathskeller</a>'], 'photo_reference': 'AW30NDw7Z91hLP7PwKRTfbNnawFq-ck79tKXbQYEvjredemKwdaWiK4L4R3eRlHf--ejl8SY3knkaRwSrM4ebi7qnzrodGNYfw3UawxzQWTUhnYVBaGubeDljEWOVa2Ou1b3IzuaDbuw70bi6jfEQz6trxAepUAZuEV2IcpYZwREqGGt_ip0', 'width': 4919}]",ChIJu8tmVOtQa4gRMXEfW9DtZ-k,"{'compound_code': 'QRFX+CW Indianapolis, IN, USA', 'global_code': '86FMQRFX+CW'}",2.0,4.5,ChIJu8tmVOtQa4gRMXEfW9DtZ-k,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3099.0,"401 East Michigan Street, Indianapolis",
OPERATIONAL,"{'location': {'lat': 39.7767191, 'lng': -86.1461999}, 'viewport': {'northeast': {'lat': 39.7781512802915, 'lng': -86.1449269197085}, 'southwest': {'lat': 39.7754533197085, 'lng': -86.14762488029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mesh - Indianapolis,{'open_now': True},"[{'height': 1067, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100474251331531492025"">Mesh - Indianapolis</a>'], 'photo_reference': 'AW30NDw4b2GEUtW4oZA05oLYyx0iTWZ2XT3Q0lXsAfRjkxJE1RMr6DHTUn483qivG6gui-5idM_OlYcDlFDWuZr4ZtInkBJwZM-rVqRuLL2PB9UWC2isnHndi43aFDE4RG2cmo2yJGPWyePeJTLPItsoWO2l8nychWqCy9Z6fVAP_Mjb05Q1', 'width': 1600}]",ChIJF7ujvO1Qa4gRvr9-aFMpudc,"{'compound_code': 'QVG3+MG Indianapolis, IN, USA', 'global_code': '86FMQVG3+MG'}",3.0,4.4,ChIJF7ujvO1Qa4gRvr9-aFMpudc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1291.0,"725 Massachusetts Avenue, Indianapolis",
OPERATIONAL,"{'location': {'lat': 39.766715, 'lng': -86.1554682}, 'viewport': {'northeast': {'lat': 39.7682093802915, 'lng': -86.1542023197085}, 'southwest': {'lat': 39.7655114197085, 'lng': -86.15690028029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fogo de Chão Brazilian Steakhouse,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100814206460251830667"">Fogo de Chão Brazilian Steakhouse</a>'], 'photo_reference': 'AW30NDzs96yVoosMzKCa7mpjWi47aUm4a8jr64HzsvbZ0-RKs_5qxvsMmxS0_W-Chx695lpsQzLe3gNOl3ityPva9ycKH4q6lXIgxYCSjTl3rBykLye_b6vK39G822jH-gNbvFBvNkhlZRuXJqqjXTLj1qWaPmQIXUFJkvZS8dANzzuqQ7xE', 'width': 720}]",ChIJUd6-kL1Qa4gRX1tBFOTvo2g,"{'compound_code': 'QR8V+MR Indianapolis, IN, USA', 'global_code': '86FMQR8V+MR'}",3.0,4.6,ChIJUd6-kL1Qa4gRX1tBFOTvo2g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",6450.0,"117 East Washington Street, Indianapolis",
OPERATIONAL,"{'location': {'lat': 39.77665439999999, 'lng': -86.146384}, 'viewport': {'northeast': {'lat': 39.77805268029149, 'lng': -86.14511731970849}, 'southwest': {'lat': 39.77535471970849, 'lng': -86.14781528029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chatham Tap Mass Ave,{'open_now': True},"[{'height': 2269, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109100015234688219489"">Chatham Tap Mass Ave</a>'], 'photo_reference': 'AW30NDxCECGFuOzhK7l5ZSWDz40LfTpdIq6IL0RSqu5VUqqHKCambCBVdMldlK0tLczKfYqBrzj2cK2XA-2iQOzP1Tmal0XKpa6zPFmLU8xnyYfWQjIFdeUCdkFmneVgyV41yI159UPINjAOh3Hfd1Abmu34x6G21_EgBRwYbBC9LAi2HJIK', 'width': 4032}]",ChIJQQkTpe1Qa4gRHRVPeAjwKhQ,"{'compound_code': 'QVG3+MC Indianapolis, IN, USA', 'global_code': '86FMQVG3+MC'}",2.0,4.6,ChIJQQkTpe1Qa4gRHRVPeAjwKhQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",928.0,"719 Massachusetts Avenue, Indianapolis",
OPERATIONAL,"{'location': {'lat': 39.77728219999999, 'lng': -86.14543909999999}, 'viewport': {'northeast': {'lat': 39.77867438029149, 'lng': -86.14418776970848}, 'southwest': {'lat': 39.77597641970849, 'lng': -86.1468857302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,FortyFive Degrees,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117558807144854999667"">FortyFive Degrees</a>'], 'photo_reference': 'AW30NDxVvTVlR-nxJVdUru4vWNaJN4qzOYGFGNfK4jIzZ03GqfI-va-2iNKTrXIGZv-QXmcJ3Txg7JEfDmhJQYvgTOLTr6wHS5pkw0odIy0sideug98GrSonvxqR5J-Kvj6Hs3-b0g3PGfSBNqjDz6czW7prDgrVBR1H-K-qe-mqZA4X13W-', 'width': 4032}]",ChIJw8ZXk-1Qa4gRRNif3qVu8fs,"{'compound_code': 'QVG3+WR Indianapolis, IN, USA', 'global_code': '86FMQVG3+WR'}",2.0,4.5,ChIJw8ZXk-1Qa4gRRNif3qVu8fs,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1572.0,"765 Massachusetts Avenue, Indianapolis",
OPERATIONAL,"{'location': {'lat': 39.7685789, 'lng': -86.15346989999999}, 'viewport': {'northeast': {'lat': 39.7698441302915, 'lng': -86.15211941970848}, 'southwest': {'lat': 39.7671461697085, 'lng': -86.15481738029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Indianapolis City Market,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112780344017697275693"">Miguel Jarochov</a>'], 'photo_reference': 'AW30NDzx5HXQvFIIP4sSIyeViyxchm6OND5ZDR201-sufY8hcard1gDi7RIWFr5yF_HuZ6IyBDJb2cmjzUKHRiq3V0YYsTE6PYWBHtSjc44bulnJ5PduKS36yv5LECdJK9sK39DL3ZvgKBzM4aLkEvK7Fnfx5KEiVOlZYtFRbuvQxEh1I48_', 'width': 4032}]",ChIJt7mWA5ZQa4gR5zTGJ_O68SM,"{'compound_code': 'QR9W+CJ Indianapolis, IN, USA', 'global_code': '86FMQR9W+CJ'}",1.0,4.4,ChIJt7mWA5ZQa4gR5zTGJ_O68SM,GOOGLE,"['bicycle_store', 'hair_care', 'florist', 'bar', 'cafe', 'health', 'clothing_store', 'restaurant', 'food', 'point_of_interest', 'home_goods_store', 'store', 'establishment']",2752.0,"222 East Market Street, Indianapolis",
OPERATIONAL,"{'location': {'lat': 39.7618718, 'lng': -86.1455905}, 'viewport': {'northeast': {'lat': 39.7632847802915, 'lng': -86.14426421970849}, 'southwest': {'lat': 39.7605868197085, 'lng': -86.14696218029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Iaria's Italian Restaurant,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111826259371551770292"">Bill Brown</a>'], 'photo_reference': 'AW30NDw9KNdhgsgmrOlvsQesyN0NjDZcvayM4MQwXKNX_ha4aRpCNKRrF-QdVlZldsQ9nM6HucUXheSnR_BGa3JEW6W1DMyPPX0MKqNV2nuSYAtr3ea3E617ugcsjO7vh2i8MHblrX_KrFKfkg0RMhHSr6U3i-u58eI5KMExu4uQc0xvNTGJ', 'width': 3000}]",ChIJKec1x5pQa4gREZSfW_rpWp4,"{'compound_code': 'QV63+PQ Indianapolis, IN, USA', 'global_code': '86FMQV63+PQ'}",2.0,4.6,ChIJKec1x5pQa4gREZSfW_rpWp4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1311.0,"317 South College Avenue, Indianapolis",
OPERATIONAL,"{'location': {'lat': 39.764088, 'lng': -86.1584}, 'viewport': {'northeast': {'lat': 39.7653621802915, 'lng': -86.1569613197085}, 'southwest': {'lat': 39.7626642197085, 'lng': -86.1596592802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Old Spaghetti Factory,{'open_now': True},"[{'height': 3833, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107743599498831664222"">Yohalys Febres</a>'], 'photo_reference': 'AW30NDy5_0h3mDWSd-dQc8xo30ISp7Jc-1ya6oT7SKZOlC8lX4WQSPprnpACkei5Tlnd6LmNBCF1riFNxKnXk_bwwSSCZj7BNiHXNNTKBLbMWHB8xOhx7LRct7em7efmxzOso5-rp68nkbntnYmDhEfUlFMNjPD8KP6bK1g1vgfpMwk9piiI', 'width': 3024}]",ChIJvf37y7xQa4gRFxA9Q6o8zT4,"{'compound_code': 'QR7R+JJ Indianapolis, IN, USA', 'global_code': '86FMQR7R+JJ'}",2.0,4.3,ChIJvf37y7xQa4gRFxA9Q6o8zT4,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3157.0,"210 South Meridian Street, Indianapolis",
OPERATIONAL,"{'location': {'lat': 39.7543683, 'lng': -86.1419161}, 'viewport': {'northeast': {'lat': 39.7556689802915, 'lng': -86.14067001970848}, 'southwest': {'lat': 39.7529710197085, 'lng': -86.1433679802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Siam Square,{'open_now': False},"[{'height': 1578, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103327792682972043774"">P.J. Nix</a>'], 'photo_reference': 'AW30NDx-Db8S-Y8aIgbH-qZ5-oAWKmp93cdrLPxRWGp8_vwc0r6qTvAL1BZmvwzQHPqvx9C2G_OB-G0q7goABa-4lZdW51k1VKuQ4EnSTKO1wVWIG3sRGS1aCYC84Jl6XIeyq3VaTV7RKmlDv4b2xRGtgSXYZ_iBgy0VhaNQe5KUrJcJ7isi', 'width': 3024}]",ChIJyZ5oX4JQa4gRM3yfY4GEHhE,"{'compound_code': 'QV35+P6 Indianapolis, IN, USA', 'global_code': '86FMQV35+P6'}",2.0,4.4,ChIJyZ5oX4JQa4gRM3yfY4GEHhE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",959.0,"936 Virginia Avenue, Indianapolis",
OPERATIONAL,"{'location': {'lat': 39.7575355, 'lng': -86.14573600000001}, 'viewport': {'northeast': {'lat': 39.7588882302915, 'lng': -86.14450591970851}, 'southwest': {'lat': 39.7561902697085, 'lng': -86.14720388029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bluebeard,{'open_now': False},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108986745099230880091"">Bluebeard</a>'], 'photo_reference': 'AW30NDzE5Wke1fHsn5ZYQ2RsJANaYL-qm5EExl26rfM9zBbJpVrar3SLl1X0VUVFxOiCrIaHWPWIN4rmv7UMow_K5h-ERvwvh_KKu7hLH7UHFCfdX6kIBRcNpnl8OTpT6S4KU2OEFxykr_WmvkvlAIYHf2Kl3HWmZbh9SigCDTlEqKbxHMUa', 'width': 1280}]",ChIJ1b2Xo5xQa4gR5sXiiaBDwpM,"{'compound_code': 'QV53+2P Indianapolis, IN, USA', 'global_code': '86FMQV53+2P'}",3.0,4.6,ChIJ1b2Xo5xQa4gR5sXiiaBDwpM,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1537.0,"653 Virginia Avenue, Indianapolis",
