business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.945165, 'lng': -118.33237}, 'viewport': {'northeast': {'lat': 33.9465292802915, 'lng': -118.3308550197085}, 'southwest': {'lat': 33.9438313197085, 'lng': -118.3335529802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chili's Grill & Bar,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113619471720179989915"">m pagi</a>'], 'photo_reference': 'AW30NDxcVWUkM3mLXYRiozhZ2GEbrhEdmou28jPhuuQoimB5aoEZcKhuQd-v1lbl86Iu1V3Ow05EkimrsqLj_cI0bS7UbUY35dSCpm8cJzx0QGOe1KyQ4SleSOdtptjhnOLCt3pJu2cnAdbFieHX-0WgQbrJREluNr10RD4o3AjdXLpkNURO', 'width': 4032}]",ChIJAfTC70K2woARIi-JSyTLOvk,"{'compound_code': 'WMW9+33 Inglewood, CA, USA', 'global_code': '8553WMW9+33'}",2.0,3.5,ChIJAfTC70K2woARIi-JSyTLOvk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2791,"3490 West Century Boulevard, Inglewood",
OPERATIONAL,"{'location': {'lat': 33.945232, 'lng': -118.33131}, 'viewport': {'northeast': {'lat': 33.94657328029151, 'lng': -118.3300332197085}, 'southwest': {'lat': 33.94387531970851, 'lng': -118.3327311802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Lobster,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106055561806227049482"">Tishia Atwood</a>'], 'photo_reference': 'AW30NDxWl8tk3NHWfdp0UDXTSDzC9VVHuW1FKONSLDLv67lJs8wkyGdR4o0MyhPHrF3iIpSnFQ3l_38D_4Tz3xS4_nJ4qzO5znsL715QspnGVA8gmJXktK_57eSzYUjT9gd8zbpz1AOlSETrVUOD-FY73cjXPnXt6yV2yrpfHtnInynv2YdS', 'width': 4160}]",ChIJQZNZWUK2woARvs1vZivQX2M,"{'compound_code': 'WMW9+3F Inglewood, CA, USA', 'global_code': '8553WMW9+3F'}",2.0,3.9,ChIJQZNZWUK2woARvs1vZivQX2M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3333,"3400 West Century Boulevard, Inglewood",
OPERATIONAL,"{'location': {'lat': 33.9457913, 'lng': -118.3323452}, 'viewport': {'northeast': {'lat': 33.9471997302915, 'lng': -118.3308897197085}, 'southwest': {'lat': 33.9445017697085, 'lng': -118.3335876802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106251358033388272514"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDyLQ8UPtX34FZ74h-1uenKGy21yXtjUPQUyG0_-cmAcPgqeNj5YLtstZWKR11QLiP_8LoWVzDBghPcUq2tKR7GyC5KtgFyANC4MN1rSwDfxiQjUDJok87AZFq5hMQu15TY8yt8sIpG8OXwRf33tnNgrRoWb7nFYid8zP_fUzJdWHbP_', 'width': 1337}]",ChIJNZfs_EK2woARFSCfjQganDg,"{'compound_code': 'WMW9+83 Inglewood, CA, USA', 'global_code': '8553WMW9+83'}",1.0,4.6,ChIJNZfs_EK2woARFSCfjQganDg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",7597,"3411 West Century Boulevard, Inglewood",
OPERATIONAL,"{'location': {'lat': 33.9461783, 'lng': -118.3530575}, 'viewport': {'northeast': {'lat': 33.9475058302915, 'lng': -118.3516541697085}, 'southwest': {'lat': 33.94480786970851, 'lng': -118.3543521302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117688677320167995948"">Subway</a>'], 'photo_reference': 'AW30NDyQl5V54WFt3D09tKFNj4pKEiR1wXLkuqVhujGPhgFa-o_D5HhvijN15yFnKP3-tFLdCCFLDpz1XSqsvKKAgD4pISSDGbNa33NDkn8sSwiLptl8mPjZqbsUerxMBOJ0pukLIPkLCJ-wzRhWjspaZBXUOR8GAL4ntIoQlCkkJUrmBhY', 'width': 766}]",ChIJRXOT2PC2woARoyey1xdkzvY,"{'compound_code': 'WJWW+FQ Inglewood, CA, USA', 'global_code': '8553WJWW+FQ'}",1.0,4.1,ChIJRXOT2PC2woARoyey1xdkzvY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",174,"1275 South La Brea Avenue Suite 112, Inglewood",
OPERATIONAL,"{'location': {'lat': 33.9595957, 'lng': -118.3262686}, 'viewport': {'northeast': {'lat': 33.9609609802915, 'lng': -118.3249752197085}, 'southwest': {'lat': 33.9582630197085, 'lng': -118.3276731802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fatburger & Buffalo's Express,{'open_now': True},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117139148319086953377"">Dj 4eign</a>'], 'photo_reference': 'AW30NDwVy5RWnViZxDEu-k3hMSArdFEIuOt0CFFur_UYPuZ8Gjr0-9xKo2fvV1vEmfPCjDa3L8BOFV3mhYfzQIPc3EFr1lb7EXL3dKH4qQ0UF1hGrESPBsD_O7hN18W_UIL17IxuAGu-jOpxXt5mUaKlasJinfOvuUaZa7pqkFr8pTd0EHkS', 'width': 3468}]",ChIJH8MWe0m2woARVjHIjRSa6Zk,"{'compound_code': 'XM5F+RF Inglewood, CA, USA', 'global_code': '8553XM5F+RF'}",2.0,4.1,ChIJH8MWe0m2woARVjHIjRSa6Zk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1171,"3020 West Manchester Boulevard, Inglewood",
OPERATIONAL,"{'location': {'lat': 33.9363638, 'lng': -118.3267601}, 'viewport': {'northeast': {'lat': 33.9378030302915, 'lng': -118.3254084697085}, 'southwest': {'lat': 33.9351050697085, 'lng': -118.3281064302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 737, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110959837115474760270"">J Nelson</a>'], 'photo_reference': 'AW30NDxP8jtR8C0LO2PMyk-kmm2lr2OI4dfmhpp9-h7snbl1acBj2qHXyxwAuyf6nGLciqW6eogho6SQlIOKGc6xoznId5yX18BnpysQ1aZvyLvupdLooYXTiNSuzJ4QUQW4iwbd-PhhT2zLYLwBjxiPbF0SHGByOV36VB7vzYhovCEN6O4V', 'width': 1202}]",ChIJ_bxTN_G2woARm3aQAcvYWqU,"{'compound_code': 'WMPF+G7 Inglewood, CA, USA', 'global_code': '8553WMPF+G7'}",1.0,3.7,ChIJ_bxTN_G2woARm3aQAcvYWqU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",299,"10901 Crenshaw Boulevard Apt A Ste A, Inglewood",
OPERATIONAL,"{'location': {'lat': 33.9419968, 'lng': -118.3531009}, 'viewport': {'northeast': {'lat': 33.9433731802915, 'lng': -118.3515645697085}, 'southwest': {'lat': 33.9406752197085, 'lng': -118.3542625302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mariscos El Puerto Escondido - Inglewood 2,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113678073428303770049"">Mahr Amer</a>'], 'photo_reference': 'AW30NDx8pJVzUhxcvWr0cJnvwgTJmgmcgR5Rk5oF_JHzttSFrbWapKI78onTGpxD7UsjZUzWYDFUIvRw-KNVoOIJqExm7vBOY1sdnnzp4RwYVIZEtdxQrESDiQ63BFw4sgAfHMvVBTz1eqE22JyTAjeMXldeBwy-FFHhKhEp0RVlV8BVVAg8', 'width': 5312}]",ChIJb9fG7PO2woARv_7qnF8C9MY,"{'compound_code': 'WJRW+QQ Inglewood, CA, USA', 'global_code': '8553WJRW+QQ'}",2.0,3.8,ChIJb9fG7PO2woARv_7qnF8C9MY,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",372,"10321 Hawthorne Boulevard # A, Inglewood",
OPERATIONAL,"{'location': {'lat': 33.9458833, 'lng': -118.331208}, 'viewport': {'northeast': {'lat': 33.9473187302915, 'lng': -118.3298062697085}, 'southwest': {'lat': 33.9446207697085, 'lng': -118.3325042302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109547775380970112980"">Chasom was Here</a>'], 'photo_reference': 'AW30NDzws1cOQN6N4e2BMv2EE7m9GBXdRDPqu_bdy-nhcmEALNFDtNJtddREfhAyVfvVnCUHVNYUk6VkcfX-358K-ynhg2KtizoLcbQlBgh_0DApYUzroc4DCDbtR9d_ePcrmGoSWoCQ42Vmmj02SN0rk7lNhzYWHu-P_LJDOnY44aWrxM3t', 'width': 4032}]",ChIJYYxoUUK2woARRTnklcmYOc4,"{'compound_code': 'WMW9+9G Inglewood, CA, USA', 'global_code': '8553WMW9+9G'}",2.0,4.1,ChIJYYxoUUK2woARRTnklcmYOc4,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",859,"Park Marketplace, 3351 West Century Boulevard Hollywood, Inglewood",
OPERATIONAL,"{'location': {'lat': 33.9574051, 'lng': -118.3524226}, 'viewport': {'northeast': {'lat': 33.9587748302915, 'lng': -118.3509777197085}, 'southwest': {'lat': 33.9560768697085, 'lng': -118.3536756802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Woody's Bar-B-Que,{'open_now': True},"[{'height': 5714, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116366184928098485431"">Crana Lad</a>'], 'photo_reference': 'AW30NDyOx5X7iNOrT3nCB-2F_cPgYaHTXv0-t6McYIhGyMWojnlEhpmduQ97p7dsXAbcGliF8Q_nci7VMjlRs-okxSucZ6637_8Wnj5eFN_mU_uYPedqeCBoof8ICTT0IDSRksAsVGxxBCqsK1qS4iBYex6mAcA0emua9fVKZwUzICPAOCo_', 'width': 7485}]",ChIJc4X_3f22woARGqm7932QpkE,"{'compound_code': 'XJ4X+X2 Inglewood, CA, USA', 'global_code': '8553XJ4X+X2'}",2.0,4.2,ChIJc4X_3f22woARGqm7932QpkE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1384,"475 South Market Street, Inglewood",
OPERATIONAL,"{'location': {'lat': 33.94589250000001, 'lng': -118.3313047}, 'viewport': {'northeast': {'lat': 33.9473228802915, 'lng': -118.3299492197085}, 'southwest': {'lat': 33.94462491970851, 'lng': -118.3326471802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wingstop,{'open_now': True},"[{'height': 496, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108534063580809173686"">Wingstop</a>'], 'photo_reference': 'AW30NDxQtlpJGYOx-NUB0pMZ8yUMrl98AIWnRA14G91C5JUzqiANnHOaSkHn9ARcskkqrX9MuZ1v4AKdILXJOjmVKKjaJEjqZdndR1Qw9VvRh-y4MDzQqEDS3Qci_FsS_StvhLZGAxg1pLKr5qKMDT8HIi4i4YDac-aHNpHTk-9QyWXCzABE', 'width': 882}]",ChIJqVzDU0K2woAR-9PpS7Ctoss,"{'compound_code': 'WMW9+9F Inglewood, CA, USA', 'global_code': '8553WMW9+9F'}",2.0,3.7,ChIJqVzDU0K2woAR-9PpS7Ctoss,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",397,"3551 West Century Boulevard Ste 103, Inglewood",
