business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.654293, 'lng': -117.77858}, 'viewport': {'northeast': {'lat': 33.6556131302915, 'lng': -117.7773548197085}, 'southwest': {'lat': 33.6529151697085, 'lng': -117.7800527802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103309765704770800211"">Ines Quesada</a>'], 'photo_reference': 'AW30NDwIZg0HM2Lj_AmNzN6brfMmt0SpL63na-BRPbvEzOiuxuI8KuK4IIK1AIRdXxrhVQe09iJHQPAR4m5ROgFdfjhLz-4R_IQi0GhkdDMOiwAvA5cGMtm0J9UFs1-VHDEjVrxZwCrDMvGmWh7oS4gpoF2oydpkgUqQ2kTJUcKi7fe_lxoO', 'width': 3264}]",ChIJyx74YHnd3IAR0rWlGpgyFYk,"{'compound_code': 'M63C+PH Irvine, CA, USA', 'global_code': '8554M63C+PH'}",2.0,4.2,ChIJyx74YHnd3IAR0rWlGpgyFYk,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",266.0,"6783 Quail Hill Parkway, Irvine",
OPERATIONAL,"{'location': {'lat': 33.6808038, 'lng': -117.778984}, 'viewport': {'northeast': {'lat': 33.6821157802915, 'lng': -117.7775814697085}, 'southwest': {'lat': 33.6794178197085, 'lng': -117.7802794302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 2737, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102814613400855157920"">Paul C.</a>'], 'photo_reference': 'AW30NDy2CpEiGE0ySQQ6_R0VrKQ40dov1NKVr1IZDsqGGuyXfGNJcqneawgGm1j6fFL-h_67PozfC7naY4dGl84pWhAulvCYbBuxHyvy458T4nhDCEqmfkxVduvM-BLYm_k75YDlrKgCSmLxoYMVBnH_LL0rgR4D9fXEXLwlaDa4JhgrYw5t', 'width': 3391}]",ChIJt0eVfAbd3IAR0qh9vkvpFb0,"{'compound_code': 'M6JC+8C Irvine, CA, USA', 'global_code': '8554M6JC+8C'}",1.0,3.1,ChIJt0eVfAbd3IAR0qh9vkvpFb0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",151.0,"15435 Jeffrey Road #114, Irvine",
OPERATIONAL,"{'location': {'lat': 33.6684045, 'lng': -117.7634871}, 'viewport': {'northeast': {'lat': 33.66979938029151, 'lng': -117.7622154697085}, 'southwest': {'lat': 33.66710141970851, 'lng': -117.7649134302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101740509584961566912"">Swapna Madhan</a>'], 'photo_reference': 'AW30NDzztq14FrUHJkr30pDRcKnEygWVVBE9klIWV3budaPIq9gLDAx5mpvM5mipEPe23sSka4V6T3EndSpoThz1PP-hoFM0C5MZ-4m2QrBQCKiuiwtq38FC0alfCPgGEYl_SsNGUyfIF1CdyCGcH6f2PFOoyl_mGr4VzdpWC1AWizHqGRaR', 'width': 3024}]",ChIJhSYtqWvd3IARDTZ-kgHRGng,"{'compound_code': 'M69P+9J Irvine, CA, USA', 'global_code': '8554M69P+9J'}",2.0,4.3,ChIJhSYtqWvd3IARDTZ-kgHRGng,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",539.0,"6580 Irvine Center Drive, Sand Canyon Avenue, Irvine",
OPERATIONAL,"{'location': {'lat': 33.67161869999999, 'lng': -117.7892893}, 'viewport': {'northeast': {'lat': 33.67285628029149, 'lng': -117.7879499197085}, 'southwest': {'lat': 33.67015831970849, 'lng': -117.7906478802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118388214641016211238"">Ertan</a>'], 'photo_reference': 'AW30NDwfK2k0PjVVv8QqxmEKOdsotWBTeI7sETVm2VdB5G_fFQE1nDKM24DHNDotKhIz-YsIlkN0shW4tg3eJbswgIUNkeo5S9HY0wqAzSt8dabmhdTHn6s3I0WBDJLPeMEm500HTyzuU5jOtZWSMJYKOkmpFD9JtZ_HoKgcUuXFZEmZLiT7', 'width': 4032}]",ChIJP3fkr6bd3IARkoAQcMGZZo8,"{'compound_code': 'M6C6+J7 Irvine, CA, USA', 'global_code': '8554M6C6+J7'}",2.0,3.9,ChIJP3fkr6bd3IARkoAQcMGZZo8,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",198.0,"5365-B Alton Parkway, Irvine",
OPERATIONAL,"{'location': {'lat': 33.6885503, 'lng': -117.7714851}, 'viewport': {'northeast': {'lat': 33.6899104302915, 'lng': -117.7700515697085}, 'southwest': {'lat': 33.6872124697085, 'lng': -117.7727495302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taiko Japanese Restaurant,{'open_now': False},"[{'height': 2880, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104740049465370461771"">LISA WANG</a>'], 'photo_reference': 'AW30NDyafb89TNKhpkRHkGLymzkimp7ACCXhW0tcvsY0jtWv4VIfN9TaZxm1pVVgommIH1efihzzR9BEsC8YsdRvg7gKxDzfhctYd-X3QKHMRzYSEJop4ijNgOa-2HsDWgug8i0PWjPjPOhNowAwuBV-WVaqV80rnAfpnL0cNT7pk3yX5Rpi', 'width': 2160}]",ChIJBcbCJB3d3IARI4jfyaHaUhQ,"{'compound_code': 'M6QH+CC Irvine, CA, USA', 'global_code': '8554M6QH+CC'}",2.0,4.4,ChIJBcbCJB3d3IARI4jfyaHaUhQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",792.0,"14775 Jeffrey Road, Irvine",
OPERATIONAL,"{'location': {'lat': 33.6550501, 'lng': -117.7777462}, 'viewport': {'northeast': {'lat': 33.6564240802915, 'lng': -117.7765485197085}, 'southwest': {'lat': 33.6537261197085, 'lng': -117.7792464802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bacchus Bar and Bistro,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113785908281849725543"">Shelby Barone (OC Moms)</a>'], 'photo_reference': 'AW30NDy3JX6hQpgMLW9QGkZUqKs2sukCAaKHlGKgG54gfP0gw7Lof9dsRV5imegSZuXPlqD_S1nC_YyldGoPujpBlg16vIvRvzBtZkvZemhJB113X-S6jamI9ckqrYi7mdwuB7rH-oRr837JB7kNValqQY4IkeDAH8JFMIRxTS57CxQ1U2pD', 'width': 1080}]",ChIJG_o6V3nd3IARV49FJTkg964,"{'compound_code': 'M64C+2W Irvine, CA, USA', 'global_code': '8554M64C+2W'}",2.0,4.5,ChIJG_o6V3nd3IARV49FJTkg964,GOOGLE,"['restaurant', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",130.0,"6735 Quail Hill Parkway, Irvine",
OPERATIONAL,"{'location': {'lat': 33.6715813, 'lng': -117.7892565}, 'viewport': {'northeast': {'lat': 33.6728379802915, 'lng': -117.7879408697085}, 'southwest': {'lat': 33.6701400197085, 'lng': -117.7906388302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Donut Star - Bagels & Sandwiches,{'open_now': True},"[{'height': 2206, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114177801510468249228"">Saad</a>'], 'photo_reference': 'AW30NDyvYM6gdA7rzU2KVpB2BBBinJ1Rg2hzFt4Kdk_r5lA9cflwb25b32RBFGXEbz6a4AxbYGMfZFneCrI-yVldRhK61rQyvhLPhg--ujNDWjQO82vHxIYYkKtnSVGU6KunM2E563g6TimUy17X5kOzr9vH8QzIZIxJcgVCcnHnDZssJiIV', 'width': 3024}]",ChIJZzROsabd3IAR3MmUzMOHuL8,"{'compound_code': 'M6C6+J7 Irvine, CA, USA', 'global_code': '8554M6C6+J7'}",1.0,4.5,ChIJZzROsabd3IAR3MmUzMOHuL8,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",264.0,"5365 Alton Parkway C, Irvine",
OPERATIONAL,"{'location': {'lat': 33.6761587, 'lng': -117.7591189}, 'viewport': {'northeast': {'lat': 33.6774619802915, 'lng': -117.7576429697085}, 'southwest': {'lat': 33.6747640197085, 'lng': -117.7603409302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Knowlwood Restaurant,{'open_now': True},"[{'height': 256, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106404203792054270410"">Knowlwood Restaurant</a>'], 'photo_reference': 'AW30NDzI-g7o-LmG5IyxR8L8CEXqdlcwsRNdlidJL1FOP9A_-tz6VqxqbotEl_vQr55CJCwHBBHDwKONWNtSbR31Czn_XPyrf0Kz0coFcbhdWRXLT4KXaHA6msVzo5bysLn7kuBmnJsWNNQ29NKrYsd4_ax54jLbbiHNFmry14eGo8wNhMcL', 'width': 500}]",ChIJlVxmSD7d3IARkZrWp6QHoIg,"{'compound_code': 'M6GR+F9 Irvine, CA, USA', 'global_code': '8554M6GR+F9'}",1.0,4.1,ChIJlVxmSD7d3IARkZrWp6QHoIg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",906.0,"14952 Sand Canyon Avenue, Irvine",
OPERATIONAL,"{'location': {'lat': 33.68782789999999, 'lng': -117.7715423}, 'viewport': {'northeast': {'lat': 33.68911783029149, 'lng': -117.7701368697085}, 'southwest': {'lat': 33.68641986970849, 'lng': -117.7728348302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Shik Do Rak Restaurant,{'open_now': True},"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113349962906220343005"">John Huang</a>'], 'photo_reference': 'AW30NDzxnvEWrxjqlicUPrhJWaan8shYcUr8HckYyBw7eVqnjGYN5yZOayNuGGx5w71EY7RTJgxHCbq1sFnF_dQjDO9t0ImLl0LmDSXHlBMZraqVg7g6aZmK1s0eJqAIMk6LcC8KshU1UOHTPYwRDOWXtysDkq_f8WATZ7WhpEkvbfEwBF07', 'width': 4656}]",ChIJBcbCJB3d3IAR_B-EZ0gIcQQ,"{'compound_code': 'M6QH+49 Irvine, CA, USA', 'global_code': '8554M6QH+49'}",2.0,4.2,ChIJBcbCJB3d3IAR_B-EZ0gIcQQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",662.0,"14805 Jeffrey Road H, Irvine",
OPERATIONAL,"{'location': {'lat': 33.653135, 'lng': -117.7504095}, 'viewport': {'northeast': {'lat': 33.6545755302915, 'lng': -117.7490958697085}, 'southwest': {'lat': 33.6518775697085, 'lng': -117.7517938302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118388214641016211238"">Ertan</a>'], 'photo_reference': 'AW30NDw8LB7E0yjRX9C92cFrcw7daaRimSfpbKzHYfJBoYr8_ZR857trd5blflMrVy7infhTosWB8caJ2q2IGMG07qj51R7CTDNF8cZKUu-rauVW9AP6LcR9w_aVIpBUlUUw7z4nHPGpHIDxqbb8vdUWMGpmH0v1KzMmnBShCmNbo_GqkHII', 'width': 4032}]",ChIJWUdRlffn3IARFztGKACY6O4,"{'compound_code': 'M63X+7R Irvine, CA, USA', 'global_code': '8554M63X+7R'}",2.0,4.1,ChIJWUdRlffn3IARFztGKACY6O4,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",366.0,"38 Prism, Irvine",
