business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.3206588, 'lng': -90.17656170000001}, 'viewport': {'northeast': {'lat': 32.3219636802915, 'lng': -90.1752412697085}, 'southwest': {'lat': 32.3192657197085, 'lng': -90.1779392302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Fairview Inn,{'open_now': True},"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102720004947431682547"">Fairview Inn</a>'], 'photo_reference': 'AW30NDxbFnsJCFGAHzhYurDbSLCmPxXPynChZENYtN556JfiDYzI2NpfeZjtT5fZTu1k3exsA7UdV0uD_4rk-v7YykOZgC5hpxsiyt3MuN3a5Vp5Bes4x_IXvz7ySA6MMZdFsn2WblJush80325_hNi6SLv5iFpO05qF4BQIbj0e5VRAcL90', 'width': 5616}]",ChIJsRu8FfAyKIYRrtE9Zo1lbE8,"{'compound_code': '8RCF+79 Jackson, MS, USA', 'global_code': '864F8RCF+79'}",4.8,ChIJsRu8FfAyKIYRrtE9Zo1lbE8,GOOGLE,"['spa', 'lodging', 'night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",487.0,"734 Fairview Street, Jackson",,
OPERATIONAL,"{'location': {'lat': 32.3353071, 'lng': -90.176366}, 'viewport': {'northeast': {'lat': 32.3367129302915, 'lng': -90.1751577697085}, 'southwest': {'lat': 32.33401496970851, 'lng': -90.17785573029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Walker's Drive In,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107616455683845830905"">Kyle McCarthy</a>'], 'photo_reference': 'AW30NDwoJfrx0CT8pW5hrvin8UtPSUcIc_TsDNgs-3OyaLM_JUZrCrCNUiIubuQjYdjG9cSt0Mf9pmqfG_bxOdI3aMLKDV-1YFxBQJTS5s-J-gy6nqlOXbau-00oZi0xGKi4gbBAHNJBjJwPuaZ-shFlS_RHmMBfJLlvVHzXm4VAKMqYtFSK', 'width': 4032}]",ChIJPQWRwsIyKIYRssH-wvFeS0A,"{'compound_code': '8RPF+4F Jackson, MS, USA', 'global_code': '864F8RPF+4F'}",4.7,ChIJPQWRwsIyKIYRssH-wvFeS0A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",432.0,"3016 North State Street, Jackson",3.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 32.3001879, 'lng': -90.1890597}, 'viewport': {'northeast': {'lat': 32.3016213302915, 'lng': -90.1876859697085}, 'southwest': {'lat': 32.2989233697085, 'lng': -90.1903839302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Parlor Market,,"[{'height': 2795, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114715883951443361591"">Parlor Market</a>'], 'photo_reference': 'AW30NDyEu9EsCqn-qXw55V66Kq4wDfuOlUY0_DDsUaKC-vuwQSsSvlJQZBylwl2e72IZVCkoqwdPLoecQ4rLrS1lw3uhjw-ncYZVjIdPpCgqQpOyIhBwp1xOva2v7LN8H5MUA9h5gVbmLQBDZnzlRbCBC3CUVq8FbCYS6S6_ERxGu1JoLQbn', 'width': 4200}]",ChIJP9E7dK0zKIYR-fKlZS8mlGg,"{'compound_code': '8R26+39 Jackson, MS, USA', 'global_code': '864F8R26+39'}",4.3,ChIJP9E7dK0zKIYR-fKlZS8mlGg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",248.0,"115 West Capitol Street, Jackson",2.0,True
OPERATIONAL,"{'location': {'lat': 32.3011325, 'lng': -90.18529269999999}, 'viewport': {'northeast': {'lat': 32.3024378802915, 'lng': -90.18393671970848}, 'southwest': {'lat': 32.2997399197085, 'lng': -90.1866346802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116135643045034489693"">Daniel Sherer</a>'], 'photo_reference': 'AW30NDxttRFDO1IUdjH3j81TUP8QillENwKsqzFS_0gZhs2DXPOoQLL9tq0o2Ia9_T3fx9dIEF3FD-aFY_aGoSeJo0eIRR0etWugzWhyYS2cJtSEh3qv7TznCvg7N9wtqIFI7TXqjWOwn4ishhOWcYQ2ZR9TEmYgXSFqBSdqqsxg8Jxnqeex', 'width': 4032}]",ChIJ02lWklIyKIYRnP-_325Wj74,"{'compound_code': '8R27+FV Jackson, MS, USA', 'global_code': '864F8R27+FV'}",3.5,ChIJ02lWklIyKIYRnP-_325Wj74,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",22.0,"210 East Capitol Street Suite M117, Jackson",1.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 32.2987396, 'lng': -90.1837608}, 'viewport': {'northeast': {'lat': 32.30000398029149, 'lng': -90.1824331197085}, 'southwest': {'lat': 32.29730601970849, 'lng': -90.18513108029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 2266, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102361536040914790920"">Kevin Crothers</a>'], 'photo_reference': 'AW30NDykRMzaCZDCzJqeQmVUYravfe4HQLCVRNc9kZU4Ni6Hy8BaQxiEj5Q5IkYsQy6K5zus2RAKYDivvHyNIGmStP4gTYHpojx_JDXWo5Vss-Sc7ssJvkcdMltcYnA3_aoJjmD7M9K1jmp0KKlZi7DPC9bbTDDamxWYQZ8KGEH5Xnm4RnWZ', 'width': 3021}]",ChIJs1lWhU0yKIYRfHD6SHTVcbQ,"{'compound_code': '7RX8+FF Jackson, MS, USA', 'global_code': '864F7RX8+FF'}",4.5,ChIJs1lWhU0yKIYRfHD6SHTVcbQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",27.0,"308 East Pearl Street Suite 101, Jackson",1.0,True
OPERATIONAL,"{'location': {'lat': 32.30088, 'lng': -90.18531879999999}, 'viewport': {'northeast': {'lat': 32.3023138302915, 'lng': -90.18398561970848}, 'southwest': {'lat': 32.2996158697085, 'lng': -90.18668358029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chick-fil-A,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111976726616846569471"">Chick-fil-A</a>'], 'photo_reference': 'AW30NDxBY7j0m5eNcnaizdaUV2wXfT1Ynm7v6atIr7_Vk3SqRU2VD3TT2GW6uroFFkiYr4eOaqHwXzXtfUsc2wdCTnbOfukR3Kb8rN9wbr71GU1P5ssBS8t5MyqD_RtS2Cg2NVBNIw6hJNokS8_vF4xJOWe5pARy9RMDkWORVbKS9mvCFy_9', 'width': 4032}]",ChIJ02lWklIyKIYRu35Pxxek8ag,"{'compound_code': '8R27+9V Jackson, MS, USA', 'global_code': '864F8R27+9V'}",4.5,ChIJ02lWklIyKIYRu35Pxxek8ag,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",324.0,"210 East Capitol Street, Jackson",1.0,
OPERATIONAL,"{'location': {'lat': 32.3002804, 'lng': -90.1893082}, 'viewport': {'northeast': {'lat': 32.3016820302915, 'lng': -90.18795166970848}, 'southwest': {'lat': 32.2989840697085, 'lng': -90.1906496302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mayflower Cafe,{'open_now': True},"[{'height': 1816, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106761020128610181432"">Paul Vining</a>'], 'photo_reference': 'AW30NDyp0wlg1RGUujMrbUHIE82zcJ6OynT-m0otDeSwnyBCSl2VqXwYh_T42Kx31f4ZeEpwAp2n7HYy1Uryk8v62tuZE7I9W2AH8QZkbDIH7XHX3kvVF_Y2r0xr4odAiBLDYnw2mJgvhD9GsbobXiry0DRJJF0Xq9qgjnLEBXh0xMmuiDuL', 'width': 4032}]",ChIJTwUqdq0zKIYRZ5iTFuy6aDQ,"{'compound_code': '8R26+47 Jackson, MS, USA', 'global_code': '864F8R26+47'}",4.1,ChIJTwUqdq0zKIYRZ5iTFuy6aDQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",336.0,"123 West Capitol Street, Jackson",2.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 32.3010744, 'lng': -90.1847817}, 'viewport': {'northeast': {'lat': 32.30237598029149, 'lng': -90.18350211970849}, 'southwest': {'lat': 32.29967801970849, 'lng': -90.1862000802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McAlister's Deli,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116135643045034489693"">Daniel Sherer</a>'], 'photo_reference': 'AW30NDzMnE0uuP774ToP5RLUNl48f9cWd0-w7BA5vExksdtdXqZXvCzf7Mfmyfk-xqBHz_oNoGG4im1kWr0Xv45UbYybUoiYluzP7gMwKd4ziNMlGGoYfT5wA_EJzBgrEMBTDz8buv25Ji21zrv1wXV7vcvOk181X69O0HdRggAxOWLscQjd', 'width': 4032}]",ChIJP2Sb9lIyKIYRNPBX9ud2RUo,"{'compound_code': '8R28+C3 Jackson, MS, USA', 'global_code': '864F8R28+C3'}",4.0,ChIJP2Sb9lIyKIYRNPBX9ud2RUo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",105.0,"220 E. Amite Street Suite PG01, Jackson",2.0,True
OPERATIONAL,"{'location': {'lat': 32.2927751, 'lng': -90.23182039999999}, 'viewport': {'northeast': {'lat': 32.2941192302915, 'lng': -90.23041436970848}, 'southwest': {'lat': 32.2914212697085, 'lng': -90.23311233029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103633788902124897874"">Pizza Hut</a>'], 'photo_reference': 'AW30NDw0_njlm263X4i_QfW3jpYwv2XRjqvvhFUzE3LELyyVyDHLoE7EscI5XMYVR94frZ3ekFVfksrKh-t8LyUFr0jGJZ2HMeunxtd7mN2dIBQYI65rTecWmsGm-b7K6lAnkEG8dCBQc3zZHRIFUbGyCsIdXmfMpOQqKO1cKdgOwk1UnpJ1', 'width': 1025}]",ChIJT_Gx3Mk2KIYRDCs4L9DcAvw,"{'compound_code': '7QV9+47 Jackson, MS, USA', 'global_code': '864F7QV9+47'}",3.7,ChIJT_Gx3Mk2KIYRDCs4L9DcAvw,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",507.0,"2601 U.S. 80, Jackson",1.0,
OPERATIONAL,"{'location': {'lat': 32.3118862, 'lng': -90.1746412}, 'viewport': {'northeast': {'lat': 32.3133971302915, 'lng': -90.17327171970851}, 'southwest': {'lat': 32.3106991697085, 'lng': -90.17596968029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Pizza Shack,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112633117579346154396"">Stephen Reid</a>'], 'photo_reference': 'AW30NDx0y4v0EKCJCF0nMH7M86z8K0YAv_Uqr9fjhhn5ddeeQ43CF6LIvzlkAs18rw8OGb7IMrcogqkA3zwzPa_sci8ToHXOL3wQE-nQ4HbFxtn1X9usnZKCVixxGiyOTk3NUrcWd-wIqB54lgJ0QX9cGRN2lH_F-GEi1Be4FKptqZSN8utq', 'width': 4032}]",ChIJ7RsP3fkyKIYRrOnaLq_Jk4U,"{'compound_code': '8R6G+Q4 Jackson, MS, USA', 'global_code': '864F8R6G+Q4'}",4.2,ChIJ7RsP3fkyKIYRrOnaLq_Jk4U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",681.0,"925 East Fortification Street, Jackson",2.0,
