business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.7151551, 'lng': -74.04668509999999}, 'viewport': {'northeast': {'lat': 40.7165654302915, 'lng': -74.04533336970849}, 'southwest': {'lat': 40.7138674697085, 'lng': -74.0480313302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Zeppelin Hall Beer Garden,{'open_now': False},"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115475427954976845372"">Sumit</a>'], 'photo_reference': 'AW30NDzaNP98202PiVRwJ_caP0vamKF1lBVeUzGYEvdgpmUbNpxmrN6ba85q8ovU7okJ5syokB8LOHCaIfUEF2ckU81MJ18AJoAYiyiBG2LdmQeaCjY84XDBuVFAvGhy2YNXCPATv42AT7cCCcSMEhsymNj4TWJxRRB1LP4MrB6SKZYf1oSH', 'width': 4624}]",ChIJBbqTpbBQwokRagvP-6KCTfM,"{'compound_code': 'PX83+38 Jersey City, NJ, USA', 'global_code': '87G7PX83+38'}",2.0,4.3,ChIJBbqTpbBQwokRagvP-6KCTfM,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2624.0,"88 Liberty View Drive, Jersey City",
OPERATIONAL,"{'location': {'lat': 40.7352374, 'lng': -74.0638518}, 'viewport': {'northeast': {'lat': 40.73669863029149, 'lng': -74.06248186970849}, 'southwest': {'lat': 40.7340006697085, 'lng': -74.0651798302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Deccan Spice,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101988578785737122374"">Deccan Spice</a>'], 'photo_reference': 'AW30NDwoUFs6mZKAUdyVQ0qHH1WjloQHlLHfr8e0_IWRkMU5E9wkgYEB3AYJinJUD1rbsyNjvKUWSZlvejTvwBcA7Rbtlr3zYVGa0aaDgdUk7DgdZYaXaDug_1GFKhuNOFDE3Dzi5ICw6wRS7BwqgcQOvvg5BomEqVKOMX3WLUFef12B8JFq', 'width': 960}]",ChIJCwjSQDBXwokRczxZaPE4DUU,"{'compound_code': 'PWPP+3F Jersey City, NJ, USA', 'global_code': '87G7PWPP+3F'}",2.0,3.7,ChIJCwjSQDBXwokRczxZaPE4DUU,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",2084.0,"771 Newark Avenue, Jersey City",
OPERATIONAL,"{'location': {'lat': 40.7094024, 'lng': -74.04173279999999}, 'viewport': {'northeast': {'lat': 40.7106896302915, 'lng': -74.0403880697085}, 'southwest': {'lat': 40.70799166970851, 'lng': -74.0430860302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Maritime Parc,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109665094322841164213"">Maritime Parc</a>'], 'photo_reference': 'AW30NDzTLSMIWCKPb0NWBr0cIsX2zophwBW3t8fdMH_DX1uxLur5L_c8Q6SH_70io9szJlrdDIczsZ1ctpwGjzuG0aZzSz1lcV1L0hDgHdOdueMeEq42iEsmZidtKqyhDOx9MPuBt4FDDvU2eYL8MHr_LQiuUJ7l6BdVQuFX5O2EMD_4bAR9', 'width': 4032}]",ChIJ_4xgArxQwokRXMrai7uleGk,"{'compound_code': 'PX55+Q8 Jersey City, NJ, USA', 'global_code': '87G7PX55+Q8'}",3.0,4.4,ChIJ_4xgArxQwokRXMrai7uleGk,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",432.0,"Liberty State Park, 84 Audrey Zapp Drive, Jersey City",
OPERATIONAL,"{'location': {'lat': 40.7103852, 'lng': -74.0164692}, 'viewport': {'northeast': {'lat': 40.7118248802915, 'lng': -74.0150540697085}, 'southwest': {'lat': 40.7091269197085, 'lng': -74.0177520302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Picasso Pizzeria,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100007608725176246426"">Picasso Pizzeria</a>'], 'photo_reference': 'AW30NDwWUb3FSTcpNABzwyzfX1DeMHeoKPXqeMcnR8F3zCqadMhj5QLADcdm301WS8D-BopZAeX4WtymKY8ji-N5NEoonYQy8cEAOqeJWz1Yx86YS7FgL9XP4BVgNOKaAgenbDcYgiDhVRvZFbmSJR-htZWbCG_OGoMlp3oTiIARpNp3inQV', 'width': 3264}]",ChIJOWVTySJawokRBoW1r7qh-Us,"{'compound_code': 'PX6M+5C New York, NY, USA', 'global_code': '87G7PX6M+5C'}",2.0,4.4,ChIJOWVTySJawokRBoW1r7qh-Us,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",567.0,"303 South End Avenue, New York",
OPERATIONAL,"{'location': {'lat': 40.7152189, 'lng': -74.01488069999999}, 'viewport': {'northeast': {'lat': 40.7166660302915, 'lng': -74.0134412697085}, 'southwest': {'lat': 40.7139680697085, 'lng': -74.0161392302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Shake Shack Battery Park City,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112627314567131033848"">Shake Shack Battery Park City</a>'], 'photo_reference': 'AW30NDzDkT0FURIIl_iwGSbdMPpnakL6kEU4ze39yWRdNATHcIR5hjY_IfrBpQQt5rsLLuZm9cVLXZqkJjuoV_n-6vGhN_etn8ju8DsiqqCBy64Gbm7vlTlwL9bIAoO_pFueA-ONjuhSbNOLyv9wjCj_AcqNQAU-tmtpiFwkhvNC7ke_OVI7', 'width': 3888}]",ChIJWbrReBxawokRmMicGgsIrMA,"{'compound_code': 'PX8P+32 New York, NY, USA', 'global_code': '87G7PX8P+32'}",2.0,4.3,ChIJWbrReBxawokRmMicGgsIrMA,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",3204.0,"215 Murray Street, New York",
OPERATIONAL,"{'location': {'lat': 40.7140131, 'lng': -74.0382095}, 'viewport': {'northeast': {'lat': 40.71532173029149, 'lng': -74.03673091970849}, 'southwest': {'lat': 40.7126237697085, 'lng': -74.0394288802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Light Horse Tavern,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117211865693656285212"">Luca Dezzani</a>'], 'photo_reference': 'AW30NDwPPv0V9pg7NEPDCpmB2ALZy84xXSTo3I32GhshHDSIinZXOSO3qy3BZEtG3XbUoryBMwhw8PxPdT7PqJ4uIjxzt85moQI41n7MMs0fVI8I80t4gBMi10yqXjuvXcxdBLQICea_bj1l5hXICoRF6l0Dey-6upWrPazwygXHdgp9zfZF', 'width': 4032}]",ChIJR6nWeq9QwokRpkeN8zc9CJY,"{'compound_code': 'PX76+JP Jersey City, NJ, USA', 'global_code': '87G7PX76+JP'}",3.0,4.4,ChIJR6nWeq9QwokRpkeN8zc9CJY,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",1199.0,"199 Washington Street, Jersey City",
OPERATIONAL,"{'location': {'lat': 40.7347374, 'lng': -74.0601903}, 'viewport': {'northeast': {'lat': 40.73621638029149, 'lng': -74.05876321970848}, 'southwest': {'lat': 40.7335184197085, 'lng': -74.0614611802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Max's Restaurant, Cuisine of the Philippines, Jersey City",{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103704698560783738709"">Max&#39;s Restaurant, Cuisine of the Philippines, Jersey City</a>'], 'photo_reference': 'AW30NDw5cRum0l3tQfH0keGwK4qYDauQUxes29XdYG6yd_TG1ekUna3glfLJNa0maJ6R2Te4jcSM8HrN3bwiMjn2ICS1NBslmQU6U_asMijZkeRCL4RFsn3StR-uR-4CikI7BccUSlqkMBjXo2e3HKZas824Xy8SZY_A_4wVLNCzzuGF-L4O', 'width': 4608}]",ChIJJQ-DyDBXwokRDVrLo0JoO_Y,"{'compound_code': 'PWMQ+VW Jersey City, NJ, USA', 'global_code': '87G7PWMQ+VW'}",2.0,4.3,ChIJJQ-DyDBXwokRDVrLo0JoO_Y,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",687.0,"687 Newark Avenue, Jersey City",
OPERATIONAL,"{'location': {'lat': 40.7357635, 'lng': -74.0653992}, 'viewport': {'northeast': {'lat': 40.73705808029149, 'lng': -74.0640563697085}, 'southwest': {'lat': 40.7343601197085, 'lng': -74.0667543302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rasoi,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114559131891600454235"">Amarjit Singh</a>'], 'photo_reference': 'AW30NDxY9-O0Z6VukL3gaRYIUmlTBybOkjM1jkV4BREtiTBz-ns33xMaxTVehnxYaTVKRHAyF4Hjsnben2Zcf4UOkcETKqd0GcujyXq634G6AWewCL5T8l8S5EstxjA0r005Bma5JHLwAP1ix5Du5lVSer5xA46zvKFoob5yeyJNQSt76tv4', 'width': 4032}]",ChIJEeKl3y9XwokRXCC2Y0led9M,"{'compound_code': 'PWPM+8R Jersey City, NJ, USA', 'global_code': '87G7PWPM+8R'}",2.0,3.9,ChIJEeKl3y9XwokRXCC2Y0led9M,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",1757.0,"810 Newark Avenue, Jersey City",
OPERATIONAL,"{'location': {'lat': 40.7146267, 'lng': -74.0153591}, 'viewport': {'northeast': {'lat': 40.7158967802915, 'lng': -74.0140659697085}, 'southwest': {'lat': 40.7131988197085, 'lng': -74.0167639302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Blue Smoke,{'open_now': True},"[{'height': 3818, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111846965125067261687"">Blue Smoke</a>'], 'photo_reference': 'AW30NDwx91K-JqkzOlBsmn-9xG57RN2ib9-F6KxLHzngvgGPAwiuhrDYeFaTUrsb3LCVgYn-uVqw0fTwoFH_UnuXOMGCYE1Y-G7ScaLON9LoQF0bf8seNQUWxpeObBvo60ka4WyuO2bIroOUESfA7h4XZxu8rUETXeEWhTzEZkYTOTowUmtv', 'width': 5720}]",ChIJ9-FOdxtawokRqsxMeFMTGSo,"{'compound_code': 'PX7M+VV New York, NY, USA', 'global_code': '87G7PX7M+VV'}",2.0,4.4,ChIJ9-FOdxtawokRqsxMeFMTGSo,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1649.0,"255 Vesey Street, New York",
OPERATIONAL,"{'location': {'lat': 40.73579240000001, 'lng': -74.0633841}, 'viewport': {'northeast': {'lat': 40.7370880302915, 'lng': -74.06210711970849}, 'southwest': {'lat': 40.7343900697085, 'lng': -74.0648050802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,White Castle,{'open_now': True},"[{'height': 2461, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118395080736810249441"">Richard Metelski</a>'], 'photo_reference': 'AW30NDxNmeehEugwwOUIRAD7axC2XSQdNZqqvEdOnlEYqtbNEDeCD3k5WsVB2Zc-mG27KmzjLHWjRmfx7bS98W0AJMZrcsWAF0Oq2nCqQJh0PDcGsdb97lXDm7WA5yfbXmBFgXnIK_hKeRYqv6gdu1nb2-9H2O3-NE_ONeKlzimwVQUTg1sI', 'width': 1960}]",ChIJ2x48aTBXwokRBIaUh4cH6cY,"{'compound_code': 'PWPP+8J Jersey City, NJ, USA', 'global_code': '87G7PWPP+8J'}",1.0,4.0,ChIJ2x48aTBXwokRBIaUh4cH6cY,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",2812.0,"2995 John F. Kennedy Boulevard, Jersey City",
