business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.5218389, 'lng': -88.1306654}, 'viewport': {'northeast': {'lat': 41.52329238029149, 'lng': -88.1295064697085}, 'southwest': {'lat': 41.52059441970849, 'lng': -88.13220443029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Al's Steak House Restaurant,{'open_now': True},"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116445984572957935981"">Bill Cooper</a>'], 'photo_reference': 'AW30NDwE8ljgheNvtO6KKIlanhlAztAmhPgilnreBwvhWQr9WwbQgGXRd5XbY282Dc4wsvtQNFYcCmgcbLcIWJLXFNYwzn0YhvflEEvWGiNdhYbmGRq4im2TsDWdG0827WjeEsMUBLYYRCyVJnoJw-Pt1ng6s3shIgaJKqFDreiOXgi058sA', 'width': 4624}]",ChIJmbH_IJ5hDogR7vD5dbfSDbU,"{'compound_code': 'GVC9+PP Joliet, IL, USA', 'global_code': '86HHGVC9+PP'}",2.0,4.4,ChIJmbH_IJ5hDogR7vD5dbfSDbU,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",1480.0,"1990 West Jefferson Street, Joliet",
OPERATIONAL,"{'location': {'lat': 41.52189539999999, 'lng': -88.13178099999999}, 'viewport': {'northeast': {'lat': 41.52325503029149, 'lng': -88.13032541970848}, 'southwest': {'lat': 41.5205570697085, 'lng': -88.1330233802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 639, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114221143213945011378"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDyXIDUqCr4wmYgXPyv05o8Ad_-qXhkfEpx0BrXh_CK6QfOvWBSZVySPU32jjmWmaLlhhjMgFi9NMdLzPMJlOvnSNqibS_Zmr3NjArB_j6pruZTz0KOOVf3Y1zCaidDhTDHj7qET1efg0o0qdPIac2YGheQYBD23eRhrmncEm4N-CLF-', 'width': 960}]",ChIJxxURXp5hDogRpCrLzROkM9Q,"{'compound_code': 'GVC9+Q7 Joliet, IL, USA', 'global_code': '86HHGVC9+Q7'}",2.0,3.9,ChIJxxURXp5hDogRpCrLzROkM9Q,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1896.0,"2100 West Jefferson Street, Joliet",
OPERATIONAL,"{'location': {'lat': 41.479289, 'lng': -88.145328}, 'viewport': {'northeast': {'lat': 41.48106105, 'lng': -88.14292385}, 'southwest': {'lat': 41.47792284999998, 'lng': -88.14882524999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hollywood Casino & Hotel Joliet,,"[{'height': 486, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104122467565331764023"">Hollywood Casino &amp; Hotel Joliet</a>'], 'photo_reference': 'AW30NDxPYlX_or1WyYSrbdn6LtM7bzpaw1cjHvPP5LmTT4T4djBfJ54FkV5AXhBvF7odEAXbTATk1QyWkqfW7d1Mc_3GW6iKTGFgkA6QsG1G7bw3J10THFtrl2mY8grNBGM-bRwiuLXzIgVDThajWIDJiETBH5eT6aqWsk3p--4nTrMAwN4', 'width': 864}]",ChIJ0TNasENiDogRy06isgSWSY0,"{'compound_code': 'FVH3+PV Joliet, IL, USA', 'global_code': '86HHFVH3+PV'}",,3.8,ChIJ0TNasENiDogRy06isgSWSY0,GOOGLE,"['casino', 'restaurant', 'point_of_interest', 'food', 'establishment']",3621.0,"777 Hollywood Boulevard, Joliet",
OPERATIONAL,"{'location': {'lat': 41.5194803, 'lng': -88.14285799999999}, 'viewport': {'northeast': {'lat': 41.52088533029149, 'lng': -88.14158466970851}, 'southwest': {'lat': 41.5181873697085, 'lng': -88.14428263029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},,ChIJNwK0upZhDogRsmsu5QTp0ag,"{'compound_code': 'GV94+QV Joliet, IL, USA', 'global_code': '86HHGV94+QV'}",1.0,4.2,ChIJNwK0upZhDogRsmsu5QTp0ag,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",23.0,"2424 West Jefferson Street, Joliet",
OPERATIONAL,"{'location': {'lat': 41.53743799999999, 'lng': -88.14878}, 'viewport': {'northeast': {'lat': 41.5388005802915, 'lng': -88.14723576970849}, 'southwest': {'lat': 41.5361026197085, 'lng': -88.14993373029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Jameson's Pub,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100138955474261505313"">John Lazarz</a>'], 'photo_reference': 'AW30NDyAUKKk1uMxZ-zz2nFYf4b2qgOrGuhpSg8t2aqGzh2SOjAwsbMx5wshN-k6mObZo9EEsmwW86YhAZnGBEDqgVcXn0q_M9t6NzbhrMlZqlD6TVgiKOnBUgCBKiv-mdqYhuVRPjAamg84LVhFTVoIP0fNWrLrqoaLtHxBtUdjaTXciYXS', 'width': 4032}]",ChIJufDa4bdhDogRIVFfwZY-hgk,"{'compound_code': 'GVP2+XF Joliet, IL, USA', 'global_code': '86HHGVP2+XF'}",2.0,4.3,ChIJufDa4bdhDogRIVFfwZY-hgk,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",1136.0,"2755 Black Road, Joliet",
OPERATIONAL,"{'location': {'lat': 41.4970266, 'lng': -88.16776759999999}, 'viewport': {'northeast': {'lat': 41.4983549802915, 'lng': -88.16654721970849}, 'southwest': {'lat': 41.4956570197085, 'lng': -88.1692451802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111054618393990149493"">N Master</a>'], 'photo_reference': 'AW30NDxfW2tjb9skDKa6MaISI6kqFdsw3aQVjX4HQvcZW4vistNkQPcJS5_yXqym5IQo8SzwnVAt0lWfHRzk9Dhga6al6y0Gb53oCbjrv6tdhjYkdlqkc-uyguaIG3F-mYfh3Q2I9XPpC_xxO9H5H7LUGVuevtGpBT0DkxW_Pv7LMilZfBXi', 'width': 3024}]",ChIJl0TLmeKJDogRFgmPtZAP_pA,"{'compound_code': 'FRWJ+RV Joliet, IL, USA', 'global_code': '86HHFRWJ+RV'}",1.0,3.3,ChIJl0TLmeKJDogRFgmPtZAP_pA,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",54.0,"1354 Houlbolt Rd, Riverboat Center Drive, Joliet",
OPERATIONAL,"{'location': {'lat': 41.54061350000001, 'lng': -88.16163730000001}, 'viewport': {'northeast': {'lat': 41.5418163302915, 'lng': -88.1601899697085}, 'southwest': {'lat': 41.5391183697085, 'lng': -88.1628879302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103549777840556837492"">Larry S</a>'], 'photo_reference': 'AW30NDx03b6XqxZ9xcvX4iPtcSsYdwnHG1ppmpx1haSY0EC1WQMGtneP0FW2xDnA_J47GW7VoIss2gk0p5Vb_JnJELwgxctm0b1xSwjsF7LH61dds1E_setseHc_k4pHnlZDhoB7BNER2Ad-3v5o-ePfHJ7gXfkeRL4MCsv240D-0go8230L', 'width': 3024}]",ChIJo0Q5oNFhDogRpijL-CrpQLw,"{'compound_code': 'GRRQ+68 Joliet, IL, USA', 'global_code': '86HHGRRQ+68'}",1.0,4.1,ChIJo0Q5oNFhDogRpijL-CrpQLw,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",57.0,"1017 Essington Road, Joliet",
OPERATIONAL,"{'location': {'lat': 41.52166649999999, 'lng': -88.1422916}, 'viewport': {'northeast': {'lat': 41.5231537302915, 'lng': -88.14101521970849}, 'southwest': {'lat': 41.5204557697085, 'lng': -88.1437131802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108612204641083951671"">Lui Liu</a>'], 'photo_reference': 'AW30NDwtBjolDp1buO-1dMdRiKL4NUktho8M_SE5ECzOFTytGm7Pxu8keKq4HSQiwjHAZBLO7PJKORhh0kta4JJBVJ4KQJabibF16-cx54f5HRf2VOiNj0F77Jt9o89zB-CxGPP5jXE7N_JyKvgQRSLKdtwwLw8LzayKj67MRjdYUUt72YUr', 'width': 3024}]",ChIJnaswyJZhDogROYlIcrSYseg,"{'compound_code': 'GVC5+M3 Joliet, IL, USA', 'global_code': '86HHGVC5+M3'}",1.0,4.0,ChIJnaswyJZhDogROYlIcrSYseg,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",552.0,"2410 West Jefferson Street, Joliet",
OPERATIONAL,"{'location': {'lat': 41.5226675, 'lng': -88.15481179999999}, 'viewport': {'northeast': {'lat': 41.5239477802915, 'lng': -88.15347246970849}, 'southwest': {'lat': 41.5212498197085, 'lng': -88.1561704302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China Cook,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100822950248001340608"">Scott Xavier</a>'], 'photo_reference': 'AW30NDy-QT_nUu1XOMu5UhVjWFX8mrdLWX297_gx0LrnfR_AdOr8WGtUhj9B7ztBOKIz3sYv_gG6X7gunQZchBjDjxA4aD8exYFXDQWOeZ23TiVUHzTnYIF4BwSbbkhP6QBR-7OfIRTD9ICkNpqSMsUJv1Mjf126iVvErBH6vg7bC_oeXO6m', 'width': 3024}]",ChIJt9I5SOlhDogR-udzrX9xrIQ,"{'compound_code': 'GRFW+33 Joliet, IL, USA', 'global_code': '86HHGRFW+33'}",1.0,4.1,ChIJt9I5SOlhDogR-udzrX9xrIQ,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",255.0,"2951 West Jefferson Street, Joliet",
OPERATIONAL,"{'location': {'lat': 41.5231899, 'lng': -88.14894489999999}, 'viewport': {'northeast': {'lat': 41.52440363029149, 'lng': -88.14759696970849}, 'southwest': {'lat': 41.5217056697085, 'lng': -88.1502949302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sushi Ya,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104841569730798626924"">Christopher Janotta</a>'], 'photo_reference': 'AW30NDzHy5R8RHVLG_72PKOepTrc5pNDio9fKywFm9-eIP3lcJTEJgrDJPco2arnL3PTuDaXSl-uCunuNFWiiA3Ci3vcVi_DjwApby4zvnTx36Qfkj0CZmrJRJIQP42t6eeMFrqBWM865DyxMx643H7Hi7wguXrKaut4whEr-_am02n-YUtv', 'width': 4032}]",ChIJ3W2yspRhDogREsKrSg8BUB4,"{'compound_code': 'GVF2+7C Joliet, IL, USA', 'global_code': '86HHGVF2+7C'}",2.0,4.3,ChIJ3W2yspRhDogREsKrSg8BUB4,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",877.0,"2721 West Jefferson Street #120, Joliet",
