business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.986162, 'lng': -117.458549}, 'viewport': {'northeast': {'lat': 33.9875452302915, 'lng': -117.4573121197085}, 'southwest': {'lat': 33.9848472697085, 'lng': -117.4600100802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/golf-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/golf_pinlet,Indian Hills Golf Club,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105898453378132714659"">한혜진</a>'], 'photo_reference': 'AW30NDwj2vg4MkYOzfMqF5_V7rm3Orvz5yozWKYRu9PrMmRIVAfAeXtoX3p6jSUDlFM-C10VqpYy8tKLExhIn0EYedCxayOIAKaSu81dJ0orQVWGmDp_dWSbv_gqfzMJs-7yebsZ3WBP4ZxHBWQ9U8OkBEKVaH851aKzyvEtuCbYjXOK5f43', 'width': 2252}]",ChIJDZUe9gi03IARUgbgCUaCRRA,"{'compound_code': 'XGPR+FH Riverside, CA, USA', 'global_code': '8554XGPR+FH'}",4.2,ChIJDZUe9gi03IARUgbgCUaCRRA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",428.0,"5700 Club House Drive, Riverside",,
OPERATIONAL,"{'location': {'lat': 34.0171848, 'lng': -117.5051891}, 'viewport': {'northeast': {'lat': 34.01857933029149, 'lng': -117.5038872197085}, 'southwest': {'lat': 34.0158813697085, 'lng': -117.5065851802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115037529762618041984"">jordan woodcock</a>'], 'photo_reference': 'AW30NDxW39OYPpy2wP3r3bGm3R0kJbHNich3Hb65au1XV8tqyH98VMl1CLgrGg_ZKtXK1vHxdgUzd0IIp94317j1SDuN7Y5j8NIewg-YlzcLadsIyTN6wYmAXZUaxi5esoA1ERS2kLynmj1knlRYMyGMR8aLNwj0CFBRhf9X_Zmtl7Sj3HOT', 'width': 3264}]",ChIJy6WByx213IARSl_h9yN1nN4,"{'compound_code': '2F8V+VW Riverside, CA, USA', 'global_code': '85642F8V+VW'}",4.1,ChIJy6WByx213IARSl_h9yN1nN4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",193.0,"10255 Mission Boulevard Suite B, Riverside",1.0,
OPERATIONAL,"{'location': {'lat': 34.0028348, 'lng': -117.516911}, 'viewport': {'northeast': {'lat': 34.0044607302915, 'lng': -117.5152450197085}, 'southwest': {'lat': 34.0017627697085, 'lng': -117.5179429802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Big League Dreams Sports Parks,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103658546867351062652"">AceCap P</a>'], 'photo_reference': 'AW30NDyF17Xhg6UMeaDW5xwN0Jbnl8kbZoDYs_QRuDhWThyKfk38crLsX-1N8g6M2Hc_rawgxZOoJIyWlulKlshX7G-338BWL-plLqiSz5dcXWCKR4gxPW1gSZ0Qep7pvKLdlRBwbrR9k4KYtMPZju-oiPa_eh3sgxEjs1yrgjwVZ11lYBsV', 'width': 4096}]",ChIJf9miogi13IARQkUgPHmwJZ8,"{'compound_code': '2F3M+46 Mira Loma, Jurupa Valley, CA, USA', 'global_code': '85642F3M+46'}",3.6,ChIJf9miogi13IARQkUgPHmwJZ8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",711.0,"10550 Cantu-Galleano Ranch Road, Mira Loma",,
OPERATIONAL,"{'location': {'lat': 34.017258, 'lng': -117.504957}, 'viewport': {'northeast': {'lat': 34.0186783802915, 'lng': -117.5037026697085}, 'southwest': {'lat': 34.0159804197085, 'lng': -117.5064006302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizza Pirates,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100932591381482882219"">Scott Brian Pennington</a>'], 'photo_reference': 'AW30NDwgMQhevn7T5TFkossOGn2VYPsMvCP_zt-YwehfNG9ZFU0IM6Im0lVII54A4zVldZNb0dw0Qu-8j81UgU7xwpNPJ7royoCOXYGyf6QePaJ5O7Bc9fLeUAquRSU-ZNGq8BJru8G4Kq3rX1kZ7IW6QLMJz-sE5gwteGofekrRgWBE71ER', 'width': 2560}]",ChIJy6WByx213IARx3V1f9oU7ws,"{'compound_code': '2F8W+W2 Riverside, CA, USA', 'global_code': '85642F8W+W2'}",4.6,ChIJy6WByx213IARx3V1f9oU7ws,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",631.0,"10255 Mission Boulevard, Riverside",1.0,
OPERATIONAL,"{'location': {'lat': 33.9769084, 'lng': -117.4583094}, 'viewport': {'northeast': {'lat': 33.9783560802915, 'lng': -117.4569538697085}, 'southwest': {'lat': 33.9756581197085, 'lng': -117.4596518302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107096796058858450296"">Kenneth King (Kkng1)</a>'], 'photo_reference': 'AW30NDyYk1O4YYATxLHSauKmhjj9tn8UhmGO00Qum_37XsBM8ZJqXD17n7KO0t2JkLn9hAp8WNM6SNeSbZ6k1X6T6DbLavwV0AzwJ20LCGyPBWOSc8Jd3nL7Q5oJfqMR1UDuzCdq3PUeRZHZ3gaXa00sW58Z6nZL6BnzlxXMCkpz-9BLnNn6', 'width': 4032}]",ChIJ-1CR9Bi03IARfS8ILw5al9s,"{'compound_code': 'XGGR+QM Riverside, CA, USA', 'global_code': '8554XGGR+QM'}",3.9,ChIJ-1CR9Bi03IARfS8ILw5al9s,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",218.0,"7990 Limonite Avenue Unit H, Riverside",1.0,
OPERATIONAL,"{'location': {'lat': 33.97633, 'lng': -117.4631596}, 'viewport': {'northeast': {'lat': 33.9775793802915, 'lng': -117.4618800197085}, 'southwest': {'lat': 33.9748814197085, 'lng': -117.4645779802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107420949395241449761"">Hector Becerra</a>'], 'photo_reference': 'AW30NDxLRjtVfGzyYX1P8DWmXsZCnPVo5MrmJyWYIVVkWzwbhKRKIE1sCN3dAx1zEx6G6b6uioqPBnelAwqK8xNN6lpFRKrx70XlSX4CwO_kBGcCN1Tv8xUH9JQaIUpm7lzeizhNrftuGh_XrECNztDO3siSsiBxshL5SPz9FK7sfDKAg7el', 'width': 3264}]",ChIJ9yzskQO03IARlPQj-vQAwoM,"{'compound_code': 'XGGP+GP Riverside, CA, USA', 'global_code': '8554XGGP+GP'}",3.9,ChIJ9yzskQO03IARlPQj-vQAwoM,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",242.0,"8300 Limonite Avenue Ste H, Riverside",1.0,
OPERATIONAL,"{'location': {'lat': 33.9766311, 'lng': -117.4589462}, 'viewport': {'northeast': {'lat': 33.9780717302915, 'lng': -117.4578452697085}, 'southwest': {'lat': 33.9753737697085, 'lng': -117.4605432302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Beach Sports Grill & Bar,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106552350074164154175"">Adam Rodriguez</a>'], 'photo_reference': 'AW30NDxhbu1NLPvB_SlXeZAif3RUKF1BrAEiKAkpTliNW21NydMdXoPlaiA8waMy9g9ERUsMYjksGxMyqw8MxIHigoKoLnjdIxzneE1skuEfR2yk7MRK_XPRM1coz552ishO5jEAF4NRrQtnOh3_1XNHKObG76BNJjdULyV0QUWv-oVvSHMQ', 'width': 4000}]",ChIJj4rT1Aa03IARMYrCDnRnGFU,"{'compound_code': 'XGGR+MC Riverside, CA, USA', 'global_code': '8554XGGR+MC'}",4.1,ChIJj4rT1Aa03IARMYrCDnRnGFU,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",515.0,"8022 Limonite Avenue Suite 113, Riverside",2.0,
OPERATIONAL,"{'location': {'lat': 34.0415641, 'lng': -117.4841132}, 'viewport': {'northeast': {'lat': 34.0428588802915, 'lng': -117.4828452697085}, 'southwest': {'lat': 34.0401609197085, 'lng': -117.4855432302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116461980050217939002"">jQ •</a>'], 'photo_reference': 'AW30NDyomDk5v8CsL2rfuiV24ZDKuPXK5wbeaivMy3JuCZWh8bpfvwyRRiAAa57dnT-swXcKyt94riCZK7kPq2WbV6rPCwMYW9jiiemI_CQpZ9oHx7zqhlbPC-poFUmq1nVK-btmUJYw4ilvohEXchaTI_ytrB_WUDZMxt99Bu68zw7OE1an', 'width': 3024}]",ChIJ39zalc603IARN6iAuS64qdk,"{'compound_code': '2GR8+J9 Fontana, CA, USA', 'global_code': '85642GR8+J9'}",3.6,ChIJ39zalc603IARN6iAuS64qdk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",133.0,"11683 Cherry Avenue Unit F6, Fontana",1.0,
OPERATIONAL,"{'location': {'lat': 33.9982568, 'lng': -117.4850742}, 'viewport': {'northeast': {'lat': 33.9995161802915, 'lng': -117.4837246197085}, 'southwest': {'lat': 33.9968182197085, 'lng': -117.4864225802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115717816577874390844"">Eleanor Martinez</a>'], 'photo_reference': 'AW30NDye-zMjPLcvROe7W7ubbTLrf-kwdwhGEjyQ4gYmcW4zKXgqVPUNAMHfb5-xD6qziAwA9gPcCpBs1Pz9MgZzDLkZYB36bkDWl_c04UUeKyCYLPQUXKsXmDDYT1iqDXpp0hH8y0gPLq8xm5TX2BBRQn-CgAFF-H0rw9rhTJ8MdC1Zsrvr', 'width': 4032}]",ChIJRSNVp1y03IAR-6tmkLf2zV0,"{'compound_code': 'XGX7+8X Riverside, CA, USA', 'global_code': '8554XGX7+8X'}",4.0,ChIJRSNVp1y03IAR-6tmkLf2zV0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",72.0,"4955 Felspar Street Unit C, Riverside",1.0,
OPERATIONAL,"{'location': {'lat': 33.97505020000001, 'lng': -117.477773}, 'viewport': {'northeast': {'lat': 33.9764920802915, 'lng': -117.4763496197085}, 'southwest': {'lat': 33.9737941197085, 'lng': -117.4790475802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102747810379116101224"">Paula Huerta</a>'], 'photo_reference': 'AW30NDxnOPSyrTFj4qCUxYdfbDjNZVUh5iiHbwLfk1KhuJ1w3zv37PDAp3_w3SedrIr36teWf-4ZdJXOaBvHhfxpx9dPvutILb_RehHN2H9NKT8zLPeqvUoCJWlPnZneczPzB_2goSr4svG7CgdPvNreFXqjJjTthkrmtTGP63GrbSG3f9C9', 'width': 3120}]",ChIJ6XvKixi03IARYm64KQkZF4I,"{'compound_code': 'XGGC+2V Riverside, CA, USA', 'global_code': '8554XGGC+2V'}",3.9,ChIJ6XvKixi03IARYm64KQkZF4I,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",444.0,"8916 Limonite Avenue, Riverside",1.0,
