business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 47.3900292, 'lng': -122.2031713}, 'viewport': {'northeast': {'lat': 47.3913799302915, 'lng': -122.2017209197085}, 'southwest': {'lat': 47.3886819697085, 'lng': -122.2044188802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Punjab Sweets,{'open_now': False},"[{'height': 1702, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100469139681310243909"">Punjab Sweets</a>'], 'photo_reference': 'AW30NDwOiLa_KFBYv5JGXEGg_gVwCmrCkSaus0RPYR_-eZvi6vQolhS6bMS9sSL4bp2LempyFRhob1ATiERB5jvod5bBIB6Vb5G6PUObndMuBcIi4G-Ll-u4chmAOc60YLM2NAt0CuBy_YNCXAwqkzP0JfYydzPiOXdSqijEv5nAHPrGMs18', 'width': 3024}]",ChIJe0j-TaBekFQRatdfFOleoBI,"{'compound_code': '9QRW+2P Kent, WA, USA', 'global_code': '84VV9QRW+2P'}",1.0,3.6,ChIJe0j-TaBekFQRatdfFOleoBI,GOOGLE,"['bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",550.0,"23617 104th Avenue Southeast C, Kent",
OPERATIONAL,"{'location': {'lat': 47.3706754, 'lng': -122.2034624}, 'viewport': {'northeast': {'lat': 47.3720174802915, 'lng': -122.2019816697085}, 'southwest': {'lat': 47.3693195197085, 'lng': -122.2046796302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chuck E. Cheese,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115107594682903088808"">sarah brantley</a>'], 'photo_reference': 'AW30NDzvyekITgN8bpjk1JEIgw0EePk_1XenDXLNCrDj9QsuF21jaTEWAc8lT6Nsmke_dlndk6FalA1d8rEh8OMBpaK85jj6GHHiM3b05bJUmsfpfvMzNX1Rh5pPPSm3iO0pKdc6Zr6-MDL2i0KlgI3Q6wJDUEOMRn_99oBrcpFyIJ0KPPTD', 'width': 4032}]",ChIJ690HBbZekFQRpQ22AoVV3cE,"{'compound_code': '9QCW+7J Kent, WA, USA', 'global_code': '84VV9QCW+7J'}",2.0,3.9,ChIJ690HBbZekFQRpQ22AoVV3cE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1292.0,"25817 104th Avenue Southeast, Kent",
OPERATIONAL,"{'location': {'lat': 47.3851732, 'lng': -122.2349129}, 'viewport': {'northeast': {'lat': 47.38643093029149, 'lng': -122.2336867197085}, 'southwest': {'lat': 47.38373296970849, 'lng': -122.2363846802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Ram Restaurant & Brewery,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100265063484926594619"">Kristen Augusztiny</a>'], 'photo_reference': 'AW30NDzUuc5cYKOY_a5B_6Hhhu2fdTE_X6wE8BXUymtK5J6ck_K9uFiwQylv0Nj9aDwTbxSJOUMsKFV3BwHolBDogX2lJgir3acXztrq4DgmLVeAK9xIQ_e6FFA6eRmPj3yuqKigvLHioTKAr6ahgMsRtohwIkML0aXvaQN51hDYeHydBY0e', 'width': 3024}]",ChIJ-6hn_v5bkFQRCu1kjTqz-q8,"{'compound_code': '9QP8+32 Kent, WA, USA', 'global_code': '84VV9QP8+32'}",2.0,4.2,ChIJ-6hn_v5bkFQRCu1kjTqz-q8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1634.0,"512 Ramsay Way suite 4-103, Kent",
OPERATIONAL,"{'location': {'lat': 47.3824054, 'lng': -122.2308528}, 'viewport': {'northeast': {'lat': 47.38380298029149, 'lng': -122.2295034197085}, 'southwest': {'lat': 47.38110501970849, 'lng': -122.2322013802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111757968081209558715"">H. Sanders</a>'], 'photo_reference': 'AW30NDzTn5O2W1WBH_7-poWADQ9A-E44GUpQmv68QVxgTrKPhUd0h3YCksEsrWN6zfvl6FNE9CLtuuTK2B4yi-jnOpiYBxMEbA753GSqjcYJsEzDjqIkkNFSN9OXAuqaZWGRLP7c48URJuLCHleUpylMoNGiznFbGygdJZVfSUoOjCtZ-RoD', 'width': 3000}]",ChIJ0al3plVZkFQRNKh94NfrI74,"{'compound_code': '9QJ9+XM Kent, WA, USA', 'global_code': '84VV9QJ9+XM'}",1.0,3.0,ChIJ0al3plVZkFQRNKh94NfrI74,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",120.0,"124 North Central 105, Kent",
OPERATIONAL,"{'location': {'lat': 47.3853181, 'lng': -122.2352137}, 'viewport': {'northeast': {'lat': 47.3867818302915, 'lng': -122.2336518197085}, 'southwest': {'lat': 47.3840838697085, 'lng': -122.2363497802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115992606226819517983"">Jennifer Marie</a>'], 'photo_reference': 'AW30NDxDKxDoiqhcCUYI1ao5KccIpQpK3-0gQkN7_AWAtvx8LJUVldj_Qe7Ay8XyR3EB-DCstBvud1yzrJbB5Imjk4p69Am4KQZh5B8sUrttBDoR6_MtDE_H_J1ewaRGbtzaNn9y6YM_qk2kQ7JTzESTuqpEq-Dz12gIUjAtaGZ0QB4M53jh', 'width': 3456}]",ChIJbbVB_f5bkFQRXqEo4vb5t3I,"{'compound_code': '9QP7+4W Kent, WA, USA', 'global_code': '84VV9QP7+4W'}",1.0,4.0,ChIJbbVB_f5bkFQRXqEo4vb5t3I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",638.0,"512 Ramsay Way Ste 101, Kent",
OPERATIONAL,"{'location': {'lat': 47.4115812, 'lng': -122.2269729}, 'viewport': {'northeast': {'lat': 47.41296808029149, 'lng': -122.2255421197085}, 'southwest': {'lat': 47.4102701197085, 'lng': -122.2282400802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114919015264964550608"">Ahsan Farooq</a>'], 'photo_reference': 'AW30NDyzpQyVeIHZrEOHhR8tdq0EapfYDHiMlrzNW_SvZgL5bRVuYF60kv4v_-QL4hJ_2MiH2-MjLxUUKFT_5-eskFOXR5o8lfAbn5gXrqXw6qBpBpRB-irrfpj5cvQsUwEEzEQC4PhZc3vZAaCfi85RssxavYjcYrkH2aSSsDrqhEm9SFBd', 'width': 4032}]",ChIJD-WV_2lckFQR_rAsz-Gcq4M,"{'compound_code': 'CQ6F+J6 Kent, WA, USA', 'global_code': '84VVCQ6F+J6'}",1.0,3.8,ChIJD-WV_2lckFQR_rAsz-Gcq4M,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",132.0,"8433 South 212th Street Suite 101, Kent",
OPERATIONAL,"{'location': {'lat': 47.3876014, 'lng': -122.16371}, 'viewport': {'northeast': {'lat': 47.3888658302915, 'lng': -122.1623874697085}, 'southwest': {'lat': 47.38616786970851, 'lng': -122.1650854302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106408366408774842902"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDwnXzJbke0qpTv3oYDxw8tly3KLFx2SVcJiB4lOfoVKjcNB-_Ir4vi4UaI4DzYVWoR50ZfXorMeMZWY45_SB1qWxbkcjfuJQDdX3inGlxl7xxvhWvh3LRAI1L6L6xpsRSsn2IJHF6Fbgrwx_bHruqOBmA71WjSubYN7hO7un5o4obaH', 'width': 1444}]",ChIJIVfIx4tekFQRLbkJgXCvSxs,"{'compound_code': '9RQP+2G Kent, WA, USA', 'global_code': '84VV9RQP+2G'}",1.0,3.3,ChIJIVfIx4tekFQRLbkJgXCvSxs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",147.0,"13308 Southeast 240th Street, Kent",
OPERATIONAL,"{'location': {'lat': 47.3828139, 'lng': -122.2477094}, 'viewport': {'northeast': {'lat': 47.3841464302915, 'lng': -122.2463484197085}, 'southwest': {'lat': 47.38144846970851, 'lng': -122.2490463802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,{'open_now': True},"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110558797271388597157"">JNorlan Smith</a>'], 'photo_reference': 'AW30NDxUiRu6wPZqWO--M_cO5LwijT2GlKFZD2vPfeRGeDx9qZCwn2Z79a4jgC6GlKaRFx-hUd0PBPQKSP8lgb_6CQvSkWVCrDRj31RmEOupr8v7cXKv6wkU3z-FfBdhaYiJg1Aq6FU3cPj0Ed5ekCOVRlajQAmquzRJzp5QijVtetg5Fs55', 'width': 3264}]",ChIJUQBiPuNbkFQRfcHFahj75uU,"{'compound_code': '9QM2+4W Kent, WA, USA', 'global_code': '84VV9QM2+4W'}",1.0,4.0,ChIJUQBiPuNbkFQRfcHFahj75uU,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",262.0,"229 Washington Avenue North, Kent",
OPERATIONAL,"{'location': {'lat': 47.385686, 'lng': -122.2351426}, 'viewport': {'northeast': {'lat': 47.3871040302915, 'lng': -122.2337859697085}, 'southwest': {'lat': 47.3844060697085, 'lng': -122.2364839302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mama Stortini's Restaurant & Bar,{'open_now': True},"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109873692686711024553"">Wendy Walters</a>'], 'photo_reference': 'AW30NDyPuDwAdOWmdB3g0e9C0DSLWsJoJEx-Tr9xWXh8CLjhwy3K0UKGkMF_Gv3LmFj0JiiD0vdmUxyF4YpWvazGrLmuhzbPYSKWCJJXSDCWrntrlKs0KhSp5JY47LiEarBe3VDQzc9xMB43XH4WvJ4EqHYQdn21fmq334Z7gcpuKGdhZgaw', 'width': 4656}]",ChIJIUh7sP9bkFQR17skSa6EVWA,"{'compound_code': '9QP7+7W Kent, WA, USA', 'global_code': '84VV9QP7+7W'}",2.0,4.2,ChIJIUh7sP9bkFQR17skSa6EVWA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1330.0,"240 West Kent Station Street #104, Kent",
OPERATIONAL,"{'location': {'lat': 47.3888721, 'lng': -122.2488761}, 'viewport': {'northeast': {'lat': 47.3900440302915, 'lng': -122.2476100697085}, 'southwest': {'lat': 47.3873460697085, 'lng': -122.2503080302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,CaveMan Kitchen,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116010890035066129099"">Rik kern</a>'], 'photo_reference': 'AW30NDy6sXplWChQH6suaKuuKEAHsVBSb5c0xj4i7ZZzzljQpORYtcY1J_r1Z39fRlVB0WnJBDCuSivVyO_4RsIbSqD_5X4DzjgFzD6jQv6VUBhs18zEfBeUZHrs-BukSW15k4sIXCdi18FkaA4XSWayP_kkhvMSc9q3bNJdPjRteyiMPmA', 'width': 3024}]",ChIJYUrJg_BbkFQRj4Y0_uFcDe0,"{'compound_code': '9QQ2+GC Kent, WA, USA', 'global_code': '84VV9QQ2+GC'}",2.0,4.1,ChIJYUrJg_BbkFQRj4Y0_uFcDe0,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1171.0,"807 West Valley Highway, Kent",
