business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 31.0779924, 'lng': -97.7250167}, 'viewport': {'northeast': {'lat': 31.07937378029149, 'lng': -97.72340201970849}, 'southwest': {'lat': 31.07667581970849, 'lng': -97.72609998029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Shilo Inns Killeen,{'open_now': True},"[{'height': 2795, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104065179768603964815"">Shilo Inns Killeen</a>'], 'photo_reference': 'AW30NDxWRNpai1WCElIY6qFPQjUCuZdAhQu17OwH9n5D_jwwBK0Fv7gRmJZ6sHuWAwxcDr2PaHsGzY63juUVpEZBgXJ1tANlsX4wP5htevKOAVVBJf3z0cJgYtIa_xeATZXEmaegfetZMoRbPrSVIYB8uy1GhS5mPBBJDPao_Ze2bAnV9epn', 'width': 4200}]",ChIJX3JNXrNLRYYRXyuuT2pvMEQ,"{'compound_code': '37HF+5X Killeen, TX, USA', 'global_code': '863437HF+5X'}",4.1,ChIJX3JNXrNLRYYRXyuuT2pvMEQ,GOOGLE,"['lodging', 'night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1407.0,"3701 South W. S. Young Drive, Killeen",,
OPERATIONAL,"{'location': {'lat': 31.086583, 'lng': -97.713279}, 'viewport': {'northeast': {'lat': 31.0879884302915, 'lng': -97.71189936970849}, 'southwest': {'lat': 31.0852904697085, 'lng': -97.71459733029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Logan's Roadhouse,{'open_now': True},"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106650211424962581055"">beau sutton</a>'], 'photo_reference': 'AW30NDzTeXKAZ_n8uOBY1Jf9dtM9pLDKGitl_DE6uS4LkgBQ1KZ8LvxzA-PJhZe40ixDeGdRVM1W_XeAjDxssZT9pDxvkv-sQcirfa66_nBrAF3JwOlDbjzKqGlJTDXC3bQO_nfqIcLVqGWhgTcrZ_Uw9D6INIkGlw3UfG4X1GVvgTagXfhJ', 'width': 4656}]",ChIJ591mPc9LRYYRHzM_ebNpXFY,"{'compound_code': '37PP+JM Killeen, TX, USA', 'global_code': '863437PP+JM'}",3.6,ChIJ591mPc9LRYYRHzM_ebNpXFY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1109.0,"3100 E. Central TX Expressway, 3100 East Central Texas Expressway, Killeen",2.0,
OPERATIONAL,"{'location': {'lat': 31.08694289999999, 'lng': -97.70931689999999}, 'viewport': {'northeast': {'lat': 31.0881765802915, 'lng': -97.70803681970848}, 'southwest': {'lat': 31.0854786197085, 'lng': -97.71073478029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116015876202609667696"">Georgie Cruz</a>'], 'photo_reference': 'AW30NDx42SAVb1TH1S5myEF58ZvIVjjPzKe_7-5CdQvHj_87KjW8JLcopL08XvVIAJxYNkBSSdatG-99f64dXvX97TI1SC6UavqhjGg0XhX5o2KkIugbfm2QOdqFK2TESUBe7pmkuyHOqSkA8-farMD6H4WJOR2IczNobv_OeHBCq4ICjWj5', 'width': 2576}]",ChIJk9sAts9LRYYR_2if3fXkeDA,"{'compound_code': '37PR+Q7 Killeen, TX, USA', 'global_code': '863437PR+Q7'}",4.1,ChIJk9sAts9LRYYR_2if3fXkeDA,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3405.0,"2811 East Central Texas Expressway, Killeen",2.0,
OPERATIONAL,"{'location': {'lat': 31.083058, 'lng': -97.701529}, 'viewport': {'northeast': {'lat': 31.08419828029151, 'lng': -97.70032041970849}, 'southwest': {'lat': 31.08150031970851, 'lng': -97.7030183802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101416324710960769433"">Hermann Haas</a>'], 'photo_reference': 'AW30NDy4uLNwdueYD8cPkYU5t5pdJNG3_owj6kJ77RTzeIrdnKq5Rtyf9PtVCqp1XmwPnuMG0ettmV0ZcyZCleEOe781HjH3GUYPbGKQPjGa1goMowEB8Z4kSjKAvA-Vo1ha6l_U1JstB-_XKaFolROu4-u8eFBCrHUGYjv3n3gp1rV55aM2', 'width': 4000}]",ChIJh9ciPtRLRYYRSpuMSiyA7h8,"{'compound_code': '37MX+69 Killeen, TX, USA', 'global_code': '863437MX+69'}",4.4,ChIJh9ciPtRLRYYRSpuMSiyA7h8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4721.0,"3709 East Central Texas Expressway, Killeen",2.0,
OPERATIONAL,"{'location': {'lat': 31.0873397, 'lng': -97.7061507}, 'viewport': {'northeast': {'lat': 31.0886142802915, 'lng': -97.70483056970849}, 'southwest': {'lat': 31.0859163197085, 'lng': -97.7075285302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106910526301120627929"">Vanessa Svehla</a>'], 'photo_reference': 'AW30NDye0GbL8aXgxozPo4sFIKXXJIH4jWXnjYpNM0WSJILA8teluXy2sx3JHqS8l74IAUiHpWBU0oCmst2q7WbVxv5Z-NHUt_hQZq8XEZ9aqH9nQnys4zCKN3Xb3w5KYs7LC5fCbYxYMXaTkT-3YgCXK_Yg0YuGZx-G_UfhJMWs9SR9BrWh', 'width': 5312}]",ChIJdSt-vdFLRYYRp9Tt7CiwxwQ,"{'compound_code': '37PV+WG Killeen, TX, USA', 'global_code': '863437PV+WG'}",4.3,ChIJdSt-vdFLRYYRp9Tt7CiwxwQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1719.0,"3213 East Central Texas Expressway, Killeen",2.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 31.0910894, 'lng': -97.73074170000001}, 'viewport': {'northeast': {'lat': 31.09265458029149, 'lng': -97.7297240697085}, 'southwest': {'lat': 31.0899566197085, 'lng': -97.73242203029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 1376, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105119603152910130640"">peetre</a>'], 'photo_reference': 'AW30NDwULk_XYtZdyy7YKaUBw0mA814rhhICm2dZ-5FGZelCALNNHr-XVDqIuiD-Z2Hfk8YU3hMKbKSWzqXjtlemG7Rr8Rd1xAIozjRhZ_dbSTJIR7Lbbc3pUM4IoOzCKa5M0KSve2oyebadYnlxM31qqLU1OvsuCWrwMpIUUkbbo1jrP-23', 'width': 2448}]",ChIJlU-_LLtLRYYRFooQRR3tmF8,"{'compound_code': '37R9+CP Killeen, TX, USA', 'global_code': '863437R9+CP'}",4.3,ChIJlU-_LLtLRYYRFooQRR3tmF8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",121.0,"1200 Lowes Boulevard Suite 114, Killeen",1.0,True
OPERATIONAL,"{'location': {'lat': 31.0864844, 'lng': -97.75411969999999}, 'viewport': {'northeast': {'lat': 31.0877646302915, 'lng': -97.75286071970848}, 'southwest': {'lat': 31.0850666697085, 'lng': -97.7555586802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105083071920331047358"">Hiram Figueroa</a>'], 'photo_reference': 'AW30NDzu59WSK2ehZTD5DIENeJsZ5mZGT4BngXVZIkZT38RWVFL7bI52b54YSIJK0yo7YRQEAM1H_ngRXZwySqm2Wr3cGn8WMZbnk8i64Y1Jvgm7TSR-MGXBxzAO9I86qQFW_XFbqz37dCBp0Tz_uotlCusVKWbdO-UFFMfTHbKkb37edLZs', 'width': 3024}]",ChIJg3mioxpLRYYReKlJvEScLqI,"{'compound_code': '36PW+H9 Killeen, TX, USA', 'global_code': '863436PW+H9'}",4.1,ChIJg3mioxpLRYYReKlJvEScLqI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",215.0,"701 Elms Road Suite 360, Killeen",1.0,
OPERATIONAL,"{'location': {'lat': 31.1058183, 'lng': -97.7475805}, 'viewport': {'northeast': {'lat': 31.1073752302915, 'lng': -97.7465509197085}, 'southwest': {'lat': 31.1046772697085, 'lng': -97.74924888029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111056948061423578967"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDzokGRVo4zmInwmNPGrjGbxoiGfpKUCisvfsO8k0m8ePs9LQmRPNxHiWZ5ud5QAiwAm2t68YkWl0-QzbEGFuIHpXiXwRW883kpEqRcErmUzJUbjkoKzFL2KEddE_MI_Lfv2GIqNFRhta3kceo8ShHJJEpo441BHiO-SskMybqsTc1AR', 'width': 720}]",ChIJcdX9LXFLRYYRwTnEoKoPwFk,"{'compound_code': '4742+8X Killeen, TX, USA', 'global_code': '86344742+8X'}",3.5,ChIJcdX9LXFLRYYRwTnEoKoPwFk,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",364.0,"902 West Central Texas Expressway, Killeen",1.0,
OPERATIONAL,"{'location': {'lat': 31.0966086, 'lng': -97.7210506}, 'viewport': {'northeast': {'lat': 31.0979806302915, 'lng': -97.7196497197085}, 'southwest': {'lat': 31.0952826697085, 'lng': -97.7223476802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 957, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114149972267454715773"">Patrick Hanley</a>'], 'photo_reference': 'AW30NDwCd7pET01RnVjZ6Y7RJj0v0LXHNSH5W4E6uc2SLYJLatOz-o6akaFeXvxOdN5uIgGRdMs5yu2ViQpbI8HN5nUXa-isAQMTAmHENM4UIvwpYhgKB1944bLbZbVOPBiBMcwgigGKiNWS5G4fDtk7MSYYB9B3rpEBE4wU1em9yVdvvjam', 'width': 1569}]",ChIJF8StcL9LRYYRyrpx4BnhFxQ,"{'compound_code': '37WH+JH Killeen, TX, USA', 'global_code': '863437WH+JH'}",4.0,ChIJF8StcL9LRYYRyrpx4BnhFxQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",320.0,"1805 South W. S. Young Drive, Killeen",1.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 31.0791485, 'lng': -97.6985241}, 'viewport': {'northeast': {'lat': 31.0806417802915, 'lng': -97.6969937197085}, 'southwest': {'lat': 31.0779438197085, 'lng': -97.69969168029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hallmark Restaurant,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110093013263380277937"">S M</a>'], 'photo_reference': 'AW30NDy6mVSojEredJqcjpcHmXBnE8hRt1q2v-CE9VCFmrv-xkhGQkbGkW_BnXOBA3tsf0isu6viCOrGRtxBYU0C-aFsnAae3_bB1Ju6ti_ADaFDvOuXOov8TXOkGb1yC0qiJ17B4fHJd1tHwyAP9VSyNA_HUBnRy-7oHa7341-e5UuqzxVu', 'width': 4032}]",ChIJabqC-n9JRYYRZmfwBy9LOWk,"{'compound_code': '38H2+MH Killeen, TX, USA', 'global_code': '863438H2+MH'}",4.1,ChIJabqC-n9JRYYRZmfwBy9LOWk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2076.0,"4402 East Central Texas Expressway, Killeen",1.0,True
OPERATIONAL,"{'location': {'lat': 31.0805146, 'lng': -97.7603937}, 'viewport': {'northeast': {'lat': 31.0816084802915, 'lng': -97.75914601970851}, 'southwest': {'lat': 31.0789105197085, 'lng': -97.76184398029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105317671110475825288"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDzRsNUSFJs5mifFh0ujU7WmKFLfnwezVgstY4_NX2V3rbdR1VgIxG7bpYznikxBzt5hFYmt3GVVgxGuUnWJmy89oZt4q8iWAGzdemDcClkFDqPVYxzfREJwQs_DeInfepnXm7Ipy4FoWaG2zCW2nHHAH3rFDb-5icAkjLxVpNV4PeRx', 'width': 1444}]",ChIJdzVyIKRLRYYR8-fqDBXAvSE,"{'compound_code': '36JQ+6R Killeen, TX, USA', 'global_code': '863436JQ+6R'}",3.5,ChIJdzVyIKRLRYYR8-fqDBXAvSE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",248.0,"1103 West Stan Schlueter Loop, Killeen",1.0,
