business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 35.959197, 'lng': -83.915791}, 'viewport': {'northeast': {'lat': 35.9606041302915, 'lng': -83.91454126970848}, 'southwest': {'lat': 35.9579061697085, 'lng': -83.91723923029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Calhoun's On The River,{'open_now': True},"[{'height': 1320, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108722302141947518471"">Calhoun&#39;s On The River</a>'], 'photo_reference': 'AW30NDyBE9o8Co3n_jvvHO1DtjWUdDH33moMohkK3rPxFyU_7bNP0zMsycZ1BfeT2aAjSu9_s9Zo0mrq4_id2cZG2MQIGO7U3AtEjYpwUAeRYUb8EYK9EuUm_mBbHcD0m9uLDuCGWx8Eii9sd8oSzYm63_KR9ROVJqvM4GHyc9tuuC8_x_P5', 'width': 2048}]",ChIJ6eJRhsEXXIgR78jyCsGMY_4,"{'compound_code': 'X35M+MM Knoxville, TN, USA', 'global_code': '867RX35M+MM'}",2.0,4.4,ChIJ6eJRhsEXXIgR78jyCsGMY_4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",5390.0,"400 Neyland Drive, Knoxville",
OPERATIONAL,"{'location': {'lat': 35.96569119999999, 'lng': -83.91814769999999}, 'viewport': {'northeast': {'lat': 35.96697693029149, 'lng': -83.9169582697085}, 'southwest': {'lat': 35.9642789697085, 'lng': -83.91965623029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Downtown Grill & Brewery,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109054372199163936527"">Byron Myers</a>'], 'photo_reference': 'AW30NDxAtgLgn3wLJxxXy6mpw6u9SdoZ6sR0QZexXYSwHqIeLxfKPXGfV_VwnLjy4ZiwnmVLKavygnlNqkG59zIgRKqHvd_CnLe-5bTcbQL8AqJnsDzyQYC-zzuRXvM63dOZpRus0_V_XNixvMx_CgAUnBmUdGW76kKox-Wvx71e3P9iSIUJ', 'width': 1920}]",ChIJKZhKrMUXXIgRGRzwYABDlis,"{'compound_code': 'X38J+7P Knoxville, TN, USA', 'global_code': '867RX38J+7P'}",2.0,4.4,ChIJKZhKrMUXXIgRGRzwYABDlis,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1996.0,"424 South Gay Street, Knoxville",
OPERATIONAL,"{'location': {'lat': 35.9707585, 'lng': -83.91725989999999}, 'viewport': {'northeast': {'lat': 35.97227068029149, 'lng': -83.91605841970849}, 'southwest': {'lat': 35.96957271970849, 'lng': -83.91875638029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Barley's Taproom and Pizzeria,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103098342959721502735"">alice snellings</a>'], 'photo_reference': 'AW30NDw5v-pYOBmQbY49QIWL8o120hJABh0XdDcRCRIJzykgxfkNijNZXTWh5RKTNFIPBlL13hDOHFuWibPa9ah8AsJe-e4EJs1Gn0en3WZzzZEqFg8V7-_y40wCvb-AI-mTHqZUVUNRzyBuQ-GQ-gHSKmhWO0fneytUpDyN0Ep0Xkg0Ec8Q', 'width': 4032}]",ChIJgdGf3s4XXIgRO458MYiy-i4,"{'compound_code': 'X3CM+83 Knoxville, TN, USA', 'global_code': '867RX3CM+83'}",2.0,4.4,ChIJgdGf3s4XXIgRO458MYiy-i4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2289.0,"200 East Jackson Avenue, Knoxville",
OPERATIONAL,"{'location': {'lat': 35.9612282, 'lng': -83.9126613}, 'viewport': {'northeast': {'lat': 35.9626152302915, 'lng': -83.91141516970849}, 'southwest': {'lat': 35.95991726970851, 'lng': -83.9141131302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ruth's Chris Steak House,{'open_now': True},"[{'height': 289, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117587366142399211796"">Ruth&#39;s Chris Steak House</a>'], 'photo_reference': 'AW30NDwJH8_AKBPN-M9OShxE-PSdQFJpJtA2XfSIJGh85m26d4s9MAyPbz3XsqhKcFZeUIPWRrbGtbTYiX2iDqN6XiyQtqnx1d0aXUB1lyyzdu2rhRLdYu0eDvKqZgHdgGNnNGDSFlA81Xt00bIuRmhjjpCuIKVZf-Q-0TmqLGHLkJ_CIv04', 'width': 503}]",ChIJjQ_ntsAXXIgRUeRF0hJ63Jg,"{'compound_code': 'X36P+FW Knoxville, TN, USA', 'global_code': '867RX36P+FW'}",4.0,4.6,ChIJjQ_ntsAXXIgRUeRF0hJ63Jg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1268.0,"950 Volunteer Landing Lane, Knoxville",
OPERATIONAL,"{'location': {'lat': 35.964723, 'lng': -83.919528}, 'viewport': {'northeast': {'lat': 35.9660550802915, 'lng': -83.91811546970848}, 'southwest': {'lat': 35.9633571197085, 'lng': -83.9208134302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tupelo Honey Southern Kitchen & Bar,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108519534484275882673"">Brock Wakham</a>'], 'photo_reference': 'AW30NDzibpR_UonXkt_JeP43r7q6amXN0S6YP2BSO30dYJNw2mHWFYsgJaYe4bMGjObJkyY5yD8FxgtW7gWqmRW09b3lOSkqPt0LKR_83x-qtU21k-9EOWhtzBoVPc9q6gJaRhTXFadF-cvefFAaqI8IQFLmrwxcbLHy13FVz1wHeNoed-Wm', 'width': 4032}]",ChIJ74NB8MQXXIgRpc309SsolTg,"{'compound_code': 'X37J+V5 Knoxville, TN, USA', 'global_code': '867RX37J+V5'}",2.0,4.4,ChIJ74NB8MQXXIgRpc309SsolTg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2510.0,"1 Market Square, Knoxville",
OPERATIONAL,"{'location': {'lat': 35.9638889, 'lng': -83.9280556}, 'viewport': {'northeast': {'lat': 35.9651928802915, 'lng': -83.92663691970849}, 'southwest': {'lat': 35.9624949197085, 'lng': -83.92933488029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Hill Bar and Grill,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104993132494512022596"">Paul Lueth</a>'], 'photo_reference': 'AW30NDy3mCopdmjhlcPq5JqV6W5_EDCc3PRuDUXI7Dra01rTAv4rVlZsFXTtRtBPYIsNLuKtmoQCY0TiTmnqkgWbYR7srJg_CgSqEEgnKOyVPU0FnB1ZMeooIOMJw881UDdNsGKoXb82pxB4W_Y-KhRaMSs83BCzPopZhdjAbibasSA_Et10', 'width': 4032}]",ChIJQzf_RtkXXIgRlSsDvMRYO5Y,"{'compound_code': 'X37C+HQ Knoxville, TN, USA', 'global_code': '867RX37C+HQ'}",1.0,4.1,ChIJQzf_RtkXXIgRlSsDvMRYO5Y,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",378.0,"1105 Forest Avenue, Knoxville",
OPERATIONAL,"{'location': {'lat': 35.9637598, 'lng': -83.9221654}, 'viewport': {'northeast': {'lat': 35.9652268802915, 'lng': -83.92086356970849}, 'southwest': {'lat': 35.9625289197085, 'lng': -83.9235615302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chesapeake's Seafood Restaurant,{'open_now': True},"[{'height': 1577, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111601747966251608341"">Chesapeake&#39;s Seafood Restaurant</a>'], 'photo_reference': 'AW30NDyeZYBWXH7gEqQUfJpHGScrvSvYjSelad21ERlwLsc9xeZulIv4VIodF6Cej24uE9lDXL_tZ_bk6BuooDRJikLlFx_PEVN3sglrn8afmsSv8MKD-i_6PbbQLUvOGvKON35B5Vbr-_8r_8DZTjqnl7gVq6DTyeEFAtp5KGeGBwKnA-y1', 'width': 2048}]",ChIJC0T1T9sXXIgRr9M3CRLmU98,"{'compound_code': 'X37H+G4 Knoxville, TN, USA', 'global_code': '867RX37H+G4'}",3.0,4.5,ChIJC0T1T9sXXIgRr9M3CRLmU98,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1731.0,"600 Union Avenue Southwest, Knoxville",
OPERATIONAL,"{'location': {'lat': 35.9707981, 'lng': -83.9187894}, 'viewport': {'northeast': {'lat': 35.9721825802915, 'lng': -83.9173641697085}, 'southwest': {'lat': 35.96948461970851, 'lng': -83.92006213029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Melting Pot,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116216620693963259365"">Josh Norris</a>'], 'photo_reference': 'AW30NDxa780LIP75CuY86V9_UeriGEI9x6zdptJxlIO8JHIqmbLCn-KNNfgUlzrElepifSusR244TvKK55zRZ8j0mhRmG7KMWcIK3TU2G8205dYF71JBAQG9ibkm1HXpZ01DSMeS7vuDeCl9a5CeZXfiPkCNAGtaO1sTWWYrV8fFZwrp7-qa', 'width': 3024}]",ChIJ2dGQAc8XXIgRINKfnTzCtPQ,"{'compound_code': 'X3CJ+8F Knoxville, TN, USA', 'global_code': '867RX3CJ+8F'}",3.0,4.7,ChIJ2dGQAc8XXIgRINKfnTzCtPQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1832.0,"111 North Central Street Suite #3, Knoxville",
OPERATIONAL,"{'location': {'lat': 35.9813971, 'lng': -83.9280251}, 'viewport': {'northeast': {'lat': 35.9826270302915, 'lng': -83.9267426697085}, 'southwest': {'lat': 35.9799290697085, 'lng': -83.92944063029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Three Rivers Market,{'open_now': False},"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108306744507745762898"">Three Rivers Market</a>'], 'photo_reference': 'AW30NDzFoyMiCpvERkh3iVsl7a82kQYy5jmFjyLd4fGO4X3jrLTts4zMVN81g14NFuUCA-C2KVUdojOogCfDDNfmwDc1LVAgo5WU9hI-GJMyx8KvGDl_uIYbS4AdgW26Ao3-skNkq2KXynyrKlH0DtEw7X6y27jAiQtX5g3UKGxmfpe7yUwu', 'width': 1600}]",ChIJPxZrGS0WXIgR8zRuGG3QnyQ,"{'compound_code': 'X3JC+HQ Knoxville, TN, USA', 'global_code': '867RX3JC+HQ'}",,4.6,ChIJPxZrGS0WXIgR8zRuGG3QnyQ,GOOGLE,"['grocery_or_supermarket', 'supermarket', 'restaurant', 'health', 'food', 'store', 'point_of_interest', 'establishment']",1134.0,"1100 North Central Street, Knoxville",
OPERATIONAL,"{'location': {'lat': 35.9546601, 'lng': -83.9354157}, 'viewport': {'northeast': {'lat': 35.9559378302915, 'lng': -83.9341677697085}, 'southwest': {'lat': 35.9532398697085, 'lng': -83.9368657302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111348438939978098633"">TK Hyatt</a>'], 'photo_reference': 'AW30NDxJQzdSgFM1VOJiTAKf8E6a0xQmV0rBfrDzLnYUi7fif0ql4Vk5hd4hwEkCG0DggOijxuJ-Q9D3csERoFqJbBzPwG5vL8cRrnO3BrsA4dr5VE-XSIw2zAKCYeu-N117o8nEvuxiGSPNfuJA2ZFPWMMX4B1KlEdVYHsjSRh_3t6aCVUW', 'width': 4032}]",ChIJgWKO7149XIgRdwnkbcuS3qM,"{'compound_code': 'X337+VR Knoxville, TN, USA', 'global_code': '867RX337+VR'}",1.0,3.7,ChIJgWKO7149XIgRdwnkbcuS3qM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",239.0,"1819 Lake Avenue, Knoxville",
