business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 30.2239, 'lng': -92.0171917}, 'viewport': {'northeast': {'lat': 30.2253394802915, 'lng': -92.01584341970849}, 'southwest': {'lat': 30.2226415197085, 'lng': -92.0185413802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The French Press,{'open_now': False},"[{'height': 4251, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100008894275304429139"">Mama &amp; Shortcast</a>'], 'photo_reference': 'AW30NDw8x44gXxjMeSbhG8MwZKi5CGtsUIY5RrwFAWLS8EBesIRbCeNJiVGtxIzSqxcD9JUiMrau3WJ5X44R668MyYhHGLoWO35QfbGE8-1TZ8M9uG8tRfpBPv22rUrx1fqg-Aqsaot55kiQ75B_QLhGYwkiVSHWjVWWathSj7S5CVSwyNIy', 'width': 5668}]",ChIJ6faiBpCcJIYRALmNP7T2sK0,"{'compound_code': '6XFM+H4 Lafayette, LA, USA', 'global_code': '86296XFM+H4'}",2.0,4.2,ChIJ6faiBpCcJIYRALmNP7T2sK0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",733.0,"214 East Vermilion Street, Lafayette",
OPERATIONAL,"{'location': {'lat': 30.1690661, 'lng': -92.0356844}, 'viewport': {'northeast': {'lat': 30.1703253802915, 'lng': -92.0342926197085}, 'southwest': {'lat': 30.1676274197085, 'lng': -92.0369905802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bonefish Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114898216788684964402"">Luis Daniel Antón O.</a>'], 'photo_reference': 'AW30NDw01YU8TuSxW8nsyoAPVq8yMR8-BbjjnukbvNzzSrD1mDyLwEfdU8qCgBtO58AS_GS0RdbmYKl63KFnou43gKTJVp8ny6W-ZyuNhXIvfGYr3cmpqTJIdxzqnNEwkxKQX33lD1ZeCPc14LgmgUIKcvBX9JOkU-NWSLaOP8gBfQLe53k1', 'width': 1816}]",ChIJdT-b4KKdJIYRZjfutNGNze8,"{'compound_code': '5X97+JP Lafayette, LA, USA', 'global_code': '86295X97+JP'}",2.0,4.5,ChIJdT-b4KKdJIYRZjfutNGNze8,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",767.0,"1912 Kaliste Saloom Road, Lafayette",
OPERATIONAL,"{'location': {'lat': 30.2032293, 'lng': -92.0546626}, 'viewport': {'northeast': {'lat': 30.2044804302915, 'lng': -92.05323046970848}, 'southwest': {'lat': 30.2017824697085, 'lng': -92.0559284302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116013025997881842603"">Michelle Whitney-Rodriguez</a>'], 'photo_reference': 'AW30NDxPVFIIGMDBzM0OrtNH7xOEKWShTpbtPzFKuidc9O8ajSrqTwrAim7E6M5ZtR2i9Squb5ycKiRsXpXc_3lsvCfo7vnpy3F_i7YrGUBTXYEhdJd3EVDacFsoOGwQ_laslLUD80u-ypVdikGQzfTf04uqukEsfrdAKZvF-foASOppKJ_N', 'width': 2160}]",ChIJOXpv_DqcJIYRQWoeGSakeek,"{'compound_code': '6W3W+74 Lafayette, LA, USA', 'global_code': '86296W3W+74'}",2.0,4.5,ChIJOXpv_DqcJIYRQWoeGSakeek,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",562.0,"149 Arnould Boulevard, Lafayette",
CLOSED_TEMPORARILY,"{'location': {'lat': 30.22528539999999, 'lng': -92.0185269}, 'viewport': {'northeast': {'lat': 30.2266881802915, 'lng': -92.0172404697085}, 'southwest': {'lat': 30.2239902197085, 'lng': -92.0199384302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117093039641612749919"">One Love</a>'], 'photo_reference': 'AW30NDwuNVp_ODT6jkJxEtEeFX2Vnd2ZFf01fRItjhHxUaCKzDRB8B4NC9ANq-RYJfVk-WaP3OR-IuMHqlVDNb3mcLAmc4BXXc57NDwvdhf-GXIeOpW7hayeWtilyv5Oa6nSbrKMJ4BcYN3WJIyjdczvAY84yA7PoxUL6yVe3bJp-uy41Ipn', 'width': 2072}]",ChIJNe3NQ4WcJIYR8yRYYoWEbiw,"{'compound_code': '6XGJ+4H Lafayette, LA, USA', 'global_code': '86296XGJ+4H'}",1.0,3.8,ChIJNe3NQ4WcJIYR8yRYYoWEbiw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",40.0,"515 Jefferson Street, Lafayette",True
OPERATIONAL,"{'location': {'lat': 30.2157038, 'lng': -92.02312289999999}, 'viewport': {'northeast': {'lat': 30.2170016802915, 'lng': -92.02185376970849}, 'southwest': {'lat': 30.2143037197085, 'lng': -92.02455173029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olde Tyme Grocery,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105547127969630099571"">Olde Tyme Grocery</a>'], 'photo_reference': 'AW30NDwytLlciEBG3VazaKCfkx3AkdghLol0ixtGLGJ17HuA2KpYqVsQKjv6vr7YuWeFotyK8gMuL71Y1-asGdd1yFi1HHYyfREKGP6iBy4l7dY7ITCe5aCwPBPKVlFh80dTGIshE6dImgBdn9IuDpH0fWTCHaWAEzpLap5-FkHieCo4g1Kh', 'width': 1500}]",ChIJ6eAbnYucJIYRY7bKxQn7GT4,"{'compound_code': '6X8G+7Q Lafayette, LA, USA', 'global_code': '86296X8G+7Q'}",1.0,4.7,ChIJ6eAbnYucJIYRY7bKxQn7GT4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1998.0,"218 West Saint Mary Boulevard, Lafayette",
OPERATIONAL,"{'location': {'lat': 30.1787776, 'lng': -92.006132}, 'viewport': {'northeast': {'lat': 30.1800895802915, 'lng': -92.0046865197085}, 'southwest': {'lat': 30.1773916197085, 'lng': -92.0073844802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},,ChIJr-mnMz2dJIYRKT75ezqKoiE,"{'compound_code': '5XHV+GG Lafayette, LA, USA', 'global_code': '86295XHV+GG'}",1.0,2.9,ChIJr-mnMz2dJIYRKT75ezqKoiE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",14.0,"2428 West Pinhook Road, Lafayette",
OPERATIONAL,"{'location': {'lat': 30.21367369999999, 'lng': -92.02104330000002}, 'viewport': {'northeast': {'lat': 30.2151024802915, 'lng': -92.0196087197085}, 'southwest': {'lat': 30.21240451970851, 'lng': -92.0223066802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116482434535000988768"">Katleenie</a>'], 'photo_reference': 'AW30NDyDffftXx_R6MbTmOb97nBzaqHt90R5O6Ysk2QsCw_xlRCgWG_PQnNa1Ol44K3YiSm2nehhHLjDU8CGDqXOWisD1YtZHmlSlXg1JFKqn-v1ZvFtVhnCAXqSvSsseiQOqHDakuk_B-ydnLKeux0H-qTUHnnIWGeqNAo1iRJ1zp2kMTv1', 'width': 3264}]",ChIJw2W4xoycJIYRAw_0GQG7iTo,"{'compound_code': '6X7H+FH Lafayette, LA, USA', 'global_code': '86296X7H+FH'}",1.0,4.3,ChIJw2W4xoycJIYRAw_0GQG7iTo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",38.0,"200 East Saint Mary Boulevard, Lafayette",
CLOSED_TEMPORARILY,"{'location': {'lat': 30.1925911, 'lng': -92.05861110000001}, 'viewport': {'northeast': {'lat': 30.1938880802915, 'lng': -92.05731671970851}, 'southwest': {'lat': 30.1911901197085, 'lng': -92.06001468029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,,ChIJwzmPry2cJIYRHYfisr18_UQ,"{'compound_code': '5WVR+2H Lafayette, LA, USA', 'global_code': '86295WVR+2H'}",1.0,4.3,ChIJwzmPry2cJIYRHYfisr18_UQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",26.0,"4519 Johnston Street Suite C, Lafayette",True
OPERATIONAL,"{'location': {'lat': 30.19275, 'lng': -92.01641599999999}, 'viewport': {'northeast': {'lat': 30.1941694802915, 'lng': -92.01508841970848}, 'southwest': {'lat': 30.1914715197085, 'lng': -92.0177863802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chili's Grill & Bar,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114297484286118193420"">tuan le</a>'], 'photo_reference': 'AW30NDwCpt8drbC8mWbELuYQ4Ai67rQXFtFC3xYhSZWSaFegPYKfVlurwTUzcdpKnc20cMTvTMWSzHQUM6VthW8mMU461GTYK4qh9QotoMHr6zSSF1ohBWgUcv__3GIwnsQ-k1F3B5el4xaY5Amqs4wUrhlgbh3dFDLUGs6iu-xragEKvZtp', 'width': 4048}]",ChIJPYSzIeOcJIYRO_hC6Na0KRE,"{'compound_code': '5XVM+4C Lafayette, LA, USA', 'global_code': '86295XVM+4C'}",2.0,3.8,ChIJPYSzIeOcJIYRO_hC6Na0KRE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",867.0,"1734 W, 1734 West Pinhook Road, Lafayette",
OPERATIONAL,"{'location': {'lat': 30.198826, 'lng': -92.05514}, 'viewport': {'northeast': {'lat': 30.2000815802915, 'lng': -92.05383306970849}, 'southwest': {'lat': 30.1973836197085, 'lng': -92.0565310302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Fonda,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115472089612853409895"">Andrew Gifford</a>'], 'photo_reference': 'AW30NDyjpUvpq5m8hlZEVHZEnDPCo7_H2fGv_v_3cAfWKH4A98MpCxEs07W3EKodvewFUvsHY1ubStAo-DaORT34QvTrRCwVPMH7IkhHSvPGLFzhOYAbkIrGBMLI2lHyxOhIAaOBbdSSNkx2TU7CkncwZWUgj9SOtsc3K1LQhhz0iYxtZ5FH', 'width': 4032}]",ChIJe7n3QzCcJIYRPeM11mViBpY,"{'compound_code': '5WXV+GW Lafayette, LA, USA', 'global_code': '86295WXV+GW'}",2.0,4.3,ChIJe7n3QzCcJIYRPeM11mViBpY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",350.0,"3809 Johnston Street, Lafayette",
