business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 28.0443064, 'lng': -81.95498189999999}, 'viewport': {'northeast': {'lat': 28.0456083302915, 'lng': -81.95373141970849}, 'southwest': {'lat': 28.0429103697085, 'lng': -81.9564293802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Harry's Seafood Bar & Grille,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102223023081211219153"">Harry&#39;s Seafood Bar &amp; Grille</a>'], 'photo_reference': 'AW30NDzME7KLEpm6WFLhf9XbzfFoFZEAymVVPGzbUDLXjm2sUGd-y9xiVr45LgNHlat22Ot9zChGm6ejg8PgmFiGLaUnAuMptM3BCBbth10chjYPO_HLlNc_siTkOmibnW_4UhtCi5GdSSLHtILY6UGXWR4IjndZOegBT6DkpjoxK2gKf9f2', 'width': 2048}]",ChIJ8UJr6bQ43YgRjtTgGWBla70,"{'compound_code': '22VW+P2 Lakeland, FL, USA', 'global_code': '76WW22VW+P2'}",2.0,4.6,ChIJ8UJr6bQ43YgRjtTgGWBla70,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",6474.0,"101 North Kentucky Avenue, Lakeland",
OPERATIONAL,"{'location': {'lat': 28.0439726, 'lng': -81.9493543}, 'viewport': {'northeast': {'lat': 28.0453282302915, 'lng': -81.9481714197085}, 'southwest': {'lat': 28.0426302697085, 'lng': -81.95086938029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Cattle Company,{'open_now': False},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110418937378785429801"">Texas Cattle Company</a>'], 'photo_reference': 'AW30NDyI7NAXmmLKFO4Yr0fm3y8ESepBslJwKBrtXjKqyARgybPkHTR5yyix0ZIJnH6XGuNjy1ZkbElyQucNf5lVLpKo1fHyfeVRFhLxU8EMHN1yoBWWun-gwSvTkRmE9v1sB_OMczkJVas7a7y7ya-iPIl_5VNsnKC6voAoq5tfxtke-VE', 'width': 4928}]",ChIJ-9rcuEs_3YgRTFBbewoLJjk,"{'compound_code': '23V2+H7 Lakeland, FL, USA', 'global_code': '76WW23V2+H7'}",3.0,4.3,ChIJ-9rcuEs_3YgRTFBbewoLJjk,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",3276.0,"735 East Main Street, Lakeland",
OPERATIONAL,"{'location': {'lat': 28.0243662, 'lng': -81.9267224}, 'viewport': {'northeast': {'lat': 28.0254471302915, 'lng': -81.92532251970849}, 'southwest': {'lat': 28.0227491697085, 'lng': -81.92802048029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118331817675723863451"">Gia Fasano</a>'], 'photo_reference': 'AW30NDyB5oxbeuvE-AJfmKaXgrrDWNCIiS4kFyGdf6bGhCUOAYZixUh0Re_AQpPSzPWMvcbKiVpJYiJkvLk4ay4-foKHY0BM2HfFDebclJPfgJ1enxNPMIJIWrJvHQo72aXAmXIlpQM66DbFKR-Kcf_hJUwCduuKjZoY9D6sbp7DCTGvnQSA', 'width': 3024}]",ChIJ0w7L1xk_3YgRChUlmwY9Ml8,"{'compound_code': '23FF+P8 Lakeland, FL, USA', 'global_code': '76WW23FF+P8'}",1.0,4.0,ChIJ0w7L1xk_3YgRChUlmwY9Ml8,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",231.0,"1509 U.S. 98 #8, Lakeland",
OPERATIONAL,"{'location': {'lat': 28.0426974, 'lng': -81.989539}, 'viewport': {'northeast': {'lat': 28.0439610802915, 'lng': -81.9881189197085}, 'southwest': {'lat': 28.0412631197085, 'lng': -81.9908168802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102432938704560340122"">Lennys Lahera</a>'], 'photo_reference': 'AW30NDxglfDhK4lBK8nr1CEY2KmGqpHU4pT9h6-5CSKV4G8ric-bamnkFYyqJLZRcMAZnJ_6J3xt5PCGjEVMNYhw5C9tcFgTAWun5EV1-fqyG9aAtDWWc0nvyUtCi8ru3n3BvXnQXsbecXEW7bTHw0FjBnAmCqSd7yqQ2nAM59qPSyF8iqhK', 'width': 4032}]",ChIJbd-ixow43YgRZF4zrX2qQQs,"{'compound_code': '22V6+35 Lakeland, FL, USA', 'global_code': '76WW22V6+35'}",1.0,3.9,ChIJbd-ixow43YgRZF4zrX2qQQs,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",240.0,"125 North Wabash Avenue, Lakeland",
OPERATIONAL,"{'location': {'lat': 28.0545982, 'lng': -81.9471484}, 'viewport': {'northeast': {'lat': 28.0556419802915, 'lng': -81.9459984197085}, 'southwest': {'lat': 28.05294401970849, 'lng': -81.94869638029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106919924232763517198"">BeTTy bOOp</a>'], 'photo_reference': 'AW30NDwRbRYq3JBLJ_nHI6Tn65zUUF6arbD1bS8bkaNGkBWv1x7zNvvYN7IZ56SHabVPUXueAow23gt-ftHKytr60s_PuZbfepZeSirZ4zOyh15Y3mUzGLV1ESvAlkaAUF0f622Rl-BAzxaaKWsHwiNg1RBkLcNQGe74GP0QtaSLFXOr7k3Y', 'width': 2448}]",ChIJoYhtc1E_3YgRC1JSNEYEqCk,"{'compound_code': '3333+R4 Lakeland, FL, USA', 'global_code': '76WW3333+R4'}",1.0,3.9,ChIJoYhtc1E_3YgRC1JSNEYEqCk,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",135.0,"905 East Memorial Boulevard Suite 2, Lakeland",
OPERATIONAL,"{'location': {'lat': 28.0366634, 'lng': -81.94911119999999}, 'viewport': {'northeast': {'lat': 28.03812473029151, 'lng': -81.94773906970849}, 'southwest': {'lat': 28.0354267697085, 'lng': -81.9504370302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Door Lakeland,{'open_now': False},"[{'height': 1550, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110869575251331839134"">Red Door Lakeland</a>'], 'photo_reference': 'AW30NDxE1T9iURMOUa7HMuDq5nQy86NzMgajzvEoU_ouhCKlgnelOcSxX1XWJ8xxXVdOBRwA9m0tCTL1xZJRzw2hpyRGfeDidycwgzLACh3X42y5qESYYay3i-FLzqgcsbiFs71XvtExE9aYsk56cJdhJNRKd_kQBquwkDTzyjpjRTG6Zh3z', 'width': 1879}]",ChIJFRI9h8w43YgR471Vzdl1X2E,"{'compound_code': '23P2+M9 Lakeland, FL, USA', 'global_code': '76WW23P2+M9'}",2.0,4.2,ChIJFRI9h8w43YgR471Vzdl1X2E,GOOGLE,"['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']",464.0,"733 East Palmetto Street, Lakeland",
OPERATIONAL,"{'location': {'lat': 28.0492544, 'lng': -81.90743739999999}, 'viewport': {'northeast': {'lat': 28.0504849802915, 'lng': -81.9059800197085}, 'southwest': {'lat': 28.0477870197085, 'lng': -81.90867798029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114647578399877714617"">Subway</a>'], 'photo_reference': 'AW30NDybgFw0igPVsqajzHha5NtfJzkmzGWcDT3FmReRlSbimvwkA2IpuizDWJFsfU33mA9xBBi4YLUCn7AEWJlATHhQSF72zs1GyPRrk0K0G4X-ZyAMereA7DvWCb6P0jrGfBu9Jt4iQqrOpxLvPgP2OLxhPI7Dmfdl13jesBCEpOZ-EwZc', 'width': 1763}]",ChIJz7Tk4Hc_3YgRVWFAl9L0K9s,"{'compound_code': '23XV+P2 Lakeland, FL, USA', 'global_code': '76WW23XV+P2'}",1.0,3.8,ChIJz7Tk4Hc_3YgRVWFAl9L0K9s,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",176.0,"2616 US Hwy 92 E, Lakeland",
OPERATIONAL,"{'location': {'lat': 28.0134522, 'lng': -81.9574282}, 'viewport': {'northeast': {'lat': 28.0148331302915, 'lng': -81.95607901970848}, 'southwest': {'lat': 28.0121351697085, 'lng': -81.95877698029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114860324187778728466"">Grant Nieddu</a>'], 'photo_reference': 'AW30NDylm0h3j0x4Amk1HYW7MioWPNBm6FLXBQeKOZeinzIotZ0s8hjG7Id_kqY4OzOrBmDhvX-2G_5rDwhIdOu63oy3UPxEJuMw6VwI9CTbi8nMMkEmVTo54KaLVnVoENTQtOQqgNJRiUE1eZWZj9JYvA300cseuWjm2egnTW_sVFWjaP9D', 'width': 4048}]",ChIJExODlNU43YgRKfnj0NwOlec,"{'compound_code': '227V+92 Lakeland, FL, USA', 'global_code': '76WW227V+92'}",2.0,4.2,ChIJExODlNU43YgRKfnj0NwOlec,GOOGLE,"['cafe', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",818.0,"2639 Florida Avenue South, Lakeland",
OPERATIONAL,"{'location': {'lat': 28.04304, 'lng': -81.95499000000001}, 'viewport': {'northeast': {'lat': 28.0443725802915, 'lng': -81.95372411970851}, 'southwest': {'lat': 28.0416746197085, 'lng': -81.95642208029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Frescos Southern Kitchen & Bar,{'open_now': False},"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109190191341898620068"">Frescos Southern Kitchen &amp; Bar</a>'], 'photo_reference': 'AW30NDz_WBCfTLdWPGs9iuYIKmSug5cLzsFQNRBPhcN5gyCJluqr5zKeqXzX7WbbnREmF_-99jJHTO155c7flAi5ww69xsUtubTA05L7tjxoIGS0LWsStLLgJuq_DbZQt7ouzG8bD8XI6OCA12Sdz6MfotvjgCocivZpW4_dZXaW0TWdvF7s', 'width': 960}]",ChIJZ39QHrU43YgRPjTO34FYi1I,"{'compound_code': '22VW+62 Lakeland, FL, USA', 'global_code': '76WW22VW+62'}",2.0,4.3,ChIJZ39QHrU43YgRPjTO34FYi1I,GOOGLE,"['bar', 'night_club', 'restaurant', 'point_of_interest', 'food', 'establishment']",1831.0,"132 South Kentucky Avenue, Lakeland",
OPERATIONAL,"{'location': {'lat': 28.0118537, 'lng': -81.95667949999999}, 'viewport': {'northeast': {'lat': 28.01313508029151, 'lng': -81.95551111970849}, 'southwest': {'lat': 28.0104371197085, 'lng': -81.9582090802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 1447, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106724988273592740785"">Daniel Nutting</a>'], 'photo_reference': 'AW30NDzO2P4YmoxbOV3uPyLz96JrRi4gWOdbMtbIfbW9d4paTqMtATr4i2fMtSHLdgpuXRvD5O26OkLNICOGI4lQTJ7AvBK1AjEBXHRztcIwQNPM2RmxXMY0rubIFusAzsFSL0eP2l5N8Ul4oai4IePNCCTERJ9VU7_Ka4mLhgZb0ZAUAA-_', 'width': 2875}]",ChIJg3_2jys53YgRvbjMjDfP2zM,"{'compound_code': '226V+P8 Lakeland, FL, USA', 'global_code': '76WW226V+P8'}",1.0,4.0,ChIJg3_2jys53YgRvbjMjDfP2zM,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",184.0,"2810 Florida Avenue South Suite C, Lakeland",
