business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.69849, 'lng': -105.11128}, 'viewport': {'northeast': {'lat': 39.7000237802915, 'lng': -105.1100451697085}, 'southwest': {'lat': 39.6973258197085, 'lng': -105.1127431302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bowlero Lakewood,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113887191664734286311"">Rob Koch</a>'], 'photo_reference': 'AW30NDx12nmxPNIPTBNFMSeivnCtfza5ttb3XRu2ZfclrkXwElHmigLI9ZspUdTihFnef8DwKEpe-fHIMF0rzwHqQOp23tNZ4ER8L48TbsyjASyncGtUGDDBmf6XoYqf6lYYf-k4igowQ8YSmy56N9n7d86xz656aZawe9QOc_MGrrX8xds', 'width': 1920}]",ChIJARHa_WiBa4cROd-D1UmrVk4,"{'compound_code': 'MVXQ+9F Lakewood, CO, USA', 'global_code': '85FPMVXQ+9F'}",4.0,ChIJARHa_WiBa4cROd-D1UmrVk4,GOOGLE,"['bowling_alley', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1047.0,"945 South Kipling Parkway, Lakewood",,
OPERATIONAL,"{'location': {'lat': 39.6896985, 'lng': -105.1187978}, 'viewport': {'northeast': {'lat': 39.69113123029149, 'lng': -105.1173941697085}, 'southwest': {'lat': 39.68843326970849, 'lng': -105.1200921302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101138581587411188842"">Gordon “Gordo” F</a>'], 'photo_reference': 'AW30NDzd-eXV_yp1BAkSc62ehOxtkfQTxSGIUd9Y2sAbxNFXp0LdKWo0cWDk79CLZo6uxum70DM7P5iY9iQ5wkyckNk0eXfFYeTOxIe2zYSbVnmRk6o_oiB7dXG8aotkdoxQSBpcxxn7ZOC0J_-o-6KcCEeHKq9BGt11RIpGDCVftjKhkiYr', 'width': 4048}]",ChIJUa_hRnuBa4cR1FphYQT_nvM,"{'compound_code': 'MVQJ+VF Lakewood, CO, USA', 'global_code': '85FPMVQJ+VF'}",3.0,ChIJUa_hRnuBa4cR1FphYQT_nvM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",85.0,"1535 South Kipling Parkway Unit D, Lakewood",1.0,
OPERATIONAL,"{'location': {'lat': 39.7116109, 'lng': -105.0825822}, 'viewport': {'northeast': {'lat': 39.7128481302915, 'lng': -105.0810524697085}, 'southwest': {'lat': 39.7101501697085, 'lng': -105.0837504302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113274441743225860466"">James Richmond</a>'], 'photo_reference': 'AW30NDxDuyMTkstaHSwXq37y5hOLLT5Z1cPWG5rbjuF6aGgWMsbBNjs5heJv1oMBxjZtVB3eUsjaDsChgVVC1pMfQpSZdLgYVBYLrmepwXK-mR511-ma_zfZQYzv4uFYeClfo8rbbMzU67oSMci7UsrgfqKAPyiDGq4XuaLHsLNVZBgyOl4q', 'width': 1920}]",ChIJQUuc3SaBa4cRmSO0wvksHKM,"{'compound_code': 'PW68+JX Lakewood, CO, USA', 'global_code': '85FPPW68+JX'}",4.3,ChIJQUuc3SaBa4cRmSO0wvksHKM,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3248.0,"7655 West Alameda Avenue, Lakewood",2.0,
OPERATIONAL,"{'location': {'lat': 39.6845439, 'lng': -105.0817821}, 'viewport': {'northeast': {'lat': 39.6858915802915, 'lng': -105.0802990197085}, 'southwest': {'lat': 39.6831936197085, 'lng': -105.0829969802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108845655573861017615"">Joshua Stock</a>'], 'photo_reference': 'AW30NDxict7joe1Jne-RSJLTCMqB3tmZx5P-g49o96rRK52HV77ngPelP58I0k1J1Ya4icv8dfxIwV_d_fO7_eFo5MlzrGv_bInMYVc8ZCZdx_XQixBQZB-Up__06oJFTReST4doL4Pjay81M-JS3_3XrAoilKf2xnmX9_C4UpQRCiUQ3LPr', 'width': 3024}]",ChIJAwQBiaqBa4cRTSKSa4LpAWc,"{'compound_code': 'MWM9+R7 Lakewood, CO, USA', 'global_code': '85FPMWM9+R7'}",3.1,ChIJAwQBiaqBa4cRTSKSa4LpAWc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",277.0,"1745 South Wadsworth Boulevard, Lakewood",1.0,
OPERATIONAL,"{'location': {'lat': 39.68168419999999, 'lng': -105.1226326}, 'viewport': {'northeast': {'lat': 39.6830568802915, 'lng': -105.1210994697085}, 'southwest': {'lat': 39.6803589197085, 'lng': -105.1237974302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2411, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101138581587411188842"">Gordon “Gordo” F</a>'], 'photo_reference': 'AW30NDxwLXunJrP-Nf0j33Zthc82keUtX9clkmpeTYKWCEhgQs2mnf41p5vSCXP-Tt_L1cTBRIsF2Ct5X7FHckQrVTYb8viTupa3I1HLxM5Q9LfhIaaH7wLB3GOh8z1t1U4fqhKVNsV0BeSMzS7QfCTft_Bt_E4QpYcnOxS4IOVBlrd6h29F', 'width': 2360}]",ChIJTcyLrX-Ba4cRAKOQk4v9vzQ,"{'compound_code': 'MVJG+MW Lakewood, CO, USA', 'global_code': '85FPMVJG+MW'}",3.3,ChIJTcyLrX-Ba4cRAKOQk4v9vzQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",338.0,"11098 West Jewell Avenue, Lakewood",1.0,
OPERATIONAL,"{'location': {'lat': 39.7191667, 'lng': -105.1318182}, 'viewport': {'northeast': {'lat': 39.7205576302915, 'lng': -105.1306118197085}, 'southwest': {'lat': 39.7178596697085, 'lng': -105.1333097802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,240 Union Restaurant,{'open_now': False},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110373373416174858163"">Jay Finesilver</a>'], 'photo_reference': 'AW30NDwC0jmqlmdBsYLeeH0c6tlSQebX111zu9K6b24HDR_Elf9UszJj1wUGe9GCL2SB3llwnx0iBIKuK3azffqI5oYuW_VATQbHinRIGphkujrIm3EZKWqh7EBDoVwX_pcmYeAd8yrKziBKBdj7l7MQekjIiEopZ12KVULhjbSti6DQnbk', 'width': 12000}]",ChIJr9qxsPiDa4cRoDN1ZidWJqo,"{'compound_code': 'PV99+M7 Lakewood, CO, USA', 'global_code': '85FPPV99+M7'}",4.7,ChIJr9qxsPiDa4cRoDN1ZidWJqo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1210.0,"240 Union Boulevard, Lakewood",3.0,
OPERATIONAL,"{'location': {'lat': 39.717238, 'lng': -105.133652}, 'viewport': {'northeast': {'lat': 39.7185111802915, 'lng': -105.1322337197085}, 'southwest': {'lat': 39.7158132197085, 'lng': -105.1349316802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Old Chicago Pizza + Taproom,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102693450558457689632"">Driving Addict</a>'], 'photo_reference': 'AW30NDzccKNpV19hb2cwWO0UXZmuF1rre-pL_WzHD3Eeyu4a-K117PWY3_kcqoOwQ5nn9K-K9AIfjUTKNze2Lnk3xCrmVG-DRiaD1uM-r22BK2hkjLvr8kGpYO6JZufwTbd_C1ZPL7BYzTXGmPvKoY97hXnN7VQ3bm_PMwvkdPbdzEs7N1Kn', 'width': 3024}]",ChIJ2-_mw_iDa4cRWcJN_zsj5qk,"{'compound_code': 'PV88+VG Lakewood, CO, USA', 'global_code': '85FPPV88+VG'}",4.0,ChIJ2-_mw_iDa4cRWcJN_zsj5qk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2045.0,"145 Union Boulevard Ste 101, Lakewood",2.0,
OPERATIONAL,"{'location': {'lat': 39.7116318, 'lng': -105.0783141}, 'viewport': {'northeast': {'lat': 39.71296048029149, 'lng': -105.0769729197085}, 'southwest': {'lat': 39.71026251970849, 'lng': -105.0796708802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Tapatio Lakewood,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105248911438273387183"">Paul Sorokaty (SlyAttacks)</a>'], 'photo_reference': 'AW30NDzoqhbCqS9s9OgnABzwtKPX1q8f_7bJhCUP6jlh2m4M1Nxms1DeHhW8lN4x_vf6dI5Ti1j0RG57-KT_bgwoLweymtfUyByH0JuBX7SufJC158sSIXEZJ3IhASk8YlpmTB27lcrft9WEyEgcjv71itx2FpbAnUhhgJtJzhW7eXWCTRkn', 'width': 4032}]",ChIJkbeRr9iAa4cRjUW0h7x5iI0,"{'compound_code': 'PW6C+MM Lakewood, CO, USA', 'global_code': '85FPPW6C+MM'}",3.8,ChIJkbeRr9iAa4cRjUW0h7x5iI0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1274.0,"7301 West Alameda Avenue, Lakewood",2.0,
OPERATIONAL,"{'location': {'lat': 39.6818278, 'lng': -105.1102444}, 'viewport': {'northeast': {'lat': 39.68322723029149, 'lng': -105.1088561697085}, 'southwest': {'lat': 39.6805292697085, 'lng': -105.1115541302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taste of Denmark,{'open_now': False},"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117872801337428117778"">Taste of Denmark</a>'], 'photo_reference': 'AW30NDx4Lw3-9PMXvyu0bt_8KDcyJaDodOiEDho4Pbs_L3NXAhtSJPvqKtsFN4JmdwihMaJnrX0IWAG2zyf4Gumve3qRwVqiEkjbDEEtbfBvEpO-O5xvkpSy4Ze7v8R7ZbRuw2oZsNUXZve3yyM6ehwg9q4GaWWJsNEWKbocYgjTUYQOWU8', 'width': 640}]",ChIJPZTjVt6Da4cR854AGLrr43Q,"{'compound_code': 'MVJQ+PW Lakewood, CO, USA', 'global_code': '85FPMVJQ+PW'}",4.8,ChIJPZTjVt6Da4cR854AGLrr43Q,GOOGLE,"['bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1137.0,"1901 South Kipling Street, Lakewood",1.0,
OPERATIONAL,"{'location': {'lat': 39.680834, 'lng': -105.121352}, 'viewport': {'northeast': {'lat': 39.6822733302915, 'lng': -105.1199860697085}, 'southwest': {'lat': 39.6795753697085, 'lng': -105.1226840302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cafe Jordano,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103356169202042157892"">Kevin F</a>'], 'photo_reference': 'AW30NDyL5FHerGVfhVRgmL3OhcvHNawW99OyfDM5KHj1OCv8reV6aE_lap-tI7HQNVX4clRmXo1Kv_k6znl8xijLnlyPweh1JK27Ka4UZ4xykdfYf87mwN-A1PqpQO7tKtaUlWrUOzhfHwZP2EtDA_j6LMZOwTSDRr4rBFIhxdfG7Jpi4wJz', 'width': 3024}]",ChIJOx_IrX-Ba4cRSfXoo4UPIRk,"{'compound_code': 'MVJH+8F Lakewood, CO, USA', 'global_code': '85FPMVJH+8F'}",4.6,ChIJOx_IrX-Ba4cRSfXoo4UPIRk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1559.0,"11068 West Jewell Avenue, Lakewood",2.0,
