business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.73576949999999, 'lng': -84.4799008}, 'viewport': {'northeast': {'lat': 42.7368784302915, 'lng': -84.47873176970849}, 'southwest': {'lat': 42.7341804697085, 'lng': -84.4814297302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bistro 43,"[{'height': 2445, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113609622297246029195"">Maxime Goovaerts</a>'], 'photo_reference': 'AW30NDwnFTj_Oqfsphy3x5HgbbtU_lpCEyHEP2FxQDrY9bPQ1TBU4maggVG_DKHRs-pKZ1BNj9aZd7Q75xi3SQvrL4PcKfGA8dmJkglfxeSUCxVEgz_ayLrrnzFHITl_BV0tIKy7KALdX4Kn82D8a1l9lCL7UC8s4QJrPRqbZSb5lm0zMq0f', 'width': 2318}]",ChIJDXZIqtTpIogRQmJbWoVT1sI,"{'compound_code': 'PGPC+82 East Lansing, MI, USA', 'global_code': '86JQPGPC+82'}",4.0,ChIJDXZIqtTpIogRQmJbWoVT1sI,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",7.0,"300 M. A. C. Avenue, East Lansing",,,
OPERATIONAL,"{'location': {'lat': 42.7149636, 'lng': -84.60210169999999}, 'viewport': {'northeast': {'lat': 42.71630063029149, 'lng': -84.60087751970849}, 'southwest': {'lat': 42.71360266970849, 'lng': -84.6035754802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 671, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100250934377447676453"">Todd Mitchell</a>'], 'photo_reference': 'AW30NDwTiwrwdBORVLfOs8dxHauu8vWKx47FvVHkb-OEhrLIaxsrupcFzSIVUsl7s_ho6badmNQIEOUCRbDL4R1rD8CN5GTQ6f21ThcuXM8twYoNm6DPo4-j_jwLe3PpStE4ayp0ujybHTEMZr5yCCBZt1Gl-YfSyp5wZ6gWuVE6WjHXoPM', 'width': 960}]",ChIJwQ5O83TAIogRWx2UKnmuPmk,"{'compound_code': 'P97X+X5 Lansing, MI, USA', 'global_code': '86JQP97X+X5'}",3.9,ChIJwQ5O83TAIogRWx2UKnmuPmk,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",158.0,"1701 South Waverly Road Suite 108, Lansing",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 42.7359466, 'lng': -84.48189819999999}, 'viewport': {'northeast': {'lat': 42.7372632302915, 'lng': -84.48063851970849}, 'southwest': {'lat': 42.7345652697085, 'lng': -84.4833364802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,HopCat,"[{'height': 638, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112531796288555729558"">HopCat</a>'], 'photo_reference': 'AW30NDxA29zin5Cp6xcPeH5oh2mTjNcYrFdyJ6YWsR96llXz2f4sCxkw40tixXlyFsAAOnY8ubRB610UT7Ns49uZGq9WUtdwOWs0BASeKmJ3IV6RD8e5RGDsHQ3CrMuiYY4tNFgemk87IQaJERLXCrDmRggP6vxd2faWzr0dfxexubyDjkzN', 'width': 957}]",ChIJAeNbnNTpIogRY4MSoiMHiVE,"{'compound_code': 'PGP9+96 East Lansing, MI, USA', 'global_code': '86JQPGP9+96'}",4.4,ChIJAeNbnNTpIogRY4MSoiMHiVE,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2468.0,"300 Grove Street, East Lansing",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 42.752412, 'lng': -84.5497846}, 'viewport': {'northeast': {'lat': 42.7538467802915, 'lng': -84.5484234697085}, 'southwest': {'lat': 42.7511488197085, 'lng': -84.5511214302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Harvest Restaurant,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114327999627079856162"">Tess S</a>'], 'photo_reference': 'AW30NDxF6fNmBOjio3SPpvTA82Va7gPKEdEq2ObwiFbfgLzNP2PFDrqzEDR6jC9TU2tVXVGAODTg1vvxsG0rX9hoG3K642YGdgGc3MG_ypAzCH_b_Q3_I5i0Sg2rfrZnJHmPnmmfvJ_amdFsLM3lpbkgJI4GBB7nNPiD88mNnItV6UCzazm9', 'width': 5312}]",ChIJoQgvvmnqIogRZ4k6H9gIyo0,"{'compound_code': 'QF22+X3 Lansing, MI, USA', 'global_code': '86JQQF22+X3'}",4.4,ChIJoQgvvmnqIogRZ4k6H9gIyo0,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",1296.0,"1625 Turner Road, Lansing",{'open_now': False},2.0,
OPERATIONAL,"{'location': {'lat': 42.7203745, 'lng': -84.4596801}, 'viewport': {'northeast': {'lat': 42.72160868029151, 'lng': -84.45805196970849}, 'southwest': {'lat': 42.71891071970851, 'lng': -84.4607499302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117141871079623497183"">Kevin Jeong</a>'], 'photo_reference': 'AW30NDx7uApgywsOJ1aNapD3ibNCmmZXa3I1duOWQ9WjMzdD6_3zXdGlAVoG9yO4XlXfc-8cCqlxC4ZyVLscpCwVS4TShgEp6MzElYftiGt0r98z3J3HeRKRebSvqQhl98VjB9YEyOEDrY7omjeuD9SchzEBqQnCGqle6sZ2FONjUFhtBF8o', 'width': 4048}]",ChIJy72R1ZnCIogRklIKkdPiVos,"{'compound_code': 'PGCR+44 East Lansing, MI, USA', 'global_code': '86JQPGCR+44'}",3.8,ChIJy72R1ZnCIogRklIKkdPiVos,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",85.0,"4790 Hagadorn Road #140, East Lansing",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 42.76124599999999, 'lng': -84.51611}, 'viewport': {'northeast': {'lat': 42.7625295802915, 'lng': -84.5146397697085}, 'southwest': {'lat': 42.7598316197085, 'lng': -84.5173377302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,P.F. Chang's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106490571114464667829"">ken barkdoll</a>'], 'photo_reference': 'AW30NDzcZVQ_heGv1WJw7MGxljR5N2WThattOvHpXJX46-wUXD66jfQl3T91KHOmJckwn5POy8jY0Knl8bq5TnUq3zVJfVt4GtwsSA8LAx9BqevOgwnenTvbS1SGAh6HIugkONh7JszHmsKcK3veK3FHOwdmfLyf9_LYXQA-YmvJ1AxE8Kpf', 'width': 4032}]",ChIJmzA2a4_pIogRBda82f0xeMg,"{'compound_code': 'QF6M+FH Lansing, MI, USA', 'global_code': '86JQQF6M+FH'}",4.2,ChIJmzA2a4_pIogRBda82f0xeMg,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1559.0,"2425 Lake Lansing Road, Lansing",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 42.730329, 'lng': -84.463312}, 'viewport': {'northeast': {'lat': 42.7316255302915, 'lng': -84.4619338197085}, 'southwest': {'lat': 42.7289275697085, 'lng': -84.46463178029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sultan's Restaurant,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102025945548965280261"">Sultan&#39;s</a>'], 'photo_reference': 'AW30NDxARfA2sd5aXobm6zJz0ni_ChCMJTfIJkJiohnebtppJPpzSXL7l42cs6salyOhjSULrAzXzn7B4SUkAwRECp7gWOdzjwL6ozQiN1AvqsLgl7Axn3VHmLsh86ChPAIks6HG2czjrxJjdNHHykeZA870029zQu7D584aELFZ8PSQ-Icl', 'width': 2048}]",ChIJy72R1ZnCIogR0DPYoqC55Qk,"{'compound_code': 'PGJP+4M East Lansing, MI, USA', 'global_code': '86JQPGJP+4M'}",4.3,ChIJy72R1ZnCIogR0DPYoqC55Qk,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",651.0,"1381 East Grand River Avenue, East Lansing",{'open_now': False},2.0,
OPERATIONAL,"{'location': {'lat': 42.7426361, 'lng': -84.5076917}, 'viewport': {'northeast': {'lat': 42.74382719999999, 'lng': -84.5066888697085}, 'southwest': {'lat': 42.7410864, 'lng': -84.5093868302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spare Time Entertainment Center,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115313193176920211745"">Spare Time Entertainment Center</a>'], 'photo_reference': 'AW30NDxIVlbn8ssqWeFIk_6zKXVvTNrQM5DFV8z0MxEmLSvHlfDzWOXdtPIeiHd-3cgCuMRr7mkvRZxnG6B5KJFUgYCq5cghF_AH_gZ3V4DlUpDxMsHxJhs969DhcV_sQrIiAh27_Rs9S5SXB5Svw0rbMmVdT-exDFzX1t71L5mAuSscouq7', 'width': 1440}]",ChIJmwyU9OXpIogRAZ7Y6hzVs0M,"{'compound_code': 'PFVR+3W Lansing, MI, USA', 'global_code': '86JQPFVR+3W'}",4.1,ChIJmwyU9OXpIogRAZ7Y6hzVs0M,GOOGLE,"['bowling_alley', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",1759.0,"3101 East Grand River Avenue, Lansing",{'open_now': True},,
OPERATIONAL,"{'location': {'lat': 42.681698, 'lng': -84.549065}, 'viewport': {'northeast': {'lat': 42.6830343802915, 'lng': -84.5473445197085}, 'southwest': {'lat': 42.6803364197085, 'lng': -84.55004248029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,"[{'height': 1485, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115411449652369143009"">RJ Cormack (Fireguy)</a>'], 'photo_reference': 'AW30NDxEi6O84Rb4j0usUOaCVxBvzcMdOA24aL1ttzS6p14PTpeXmYq7GefFSWv5J-6lUTkwjzgghM_Ywsaywx2IV5Y3vWnkcHKigeXDGxsR8zYVlmklczo-XT95MfjPlyzeqT1xpDH8gCVa5nnlD6OjLPfISnq7aTfFLhMG9_Hk1FdF6XBK', 'width': 1680}]",ChIJeTdgFhLBIogR6P4fGkJiMIo,"{'compound_code': 'MFJ2+M9 Lansing, MI, USA', 'global_code': '86JQMFJ2+M9'}",3.6,ChIJeTdgFhLBIogR6P4fGkJiMIo,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",405.0,"5140 South Cedar Street, Lansing",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 42.7203745, 'lng': -84.4596801}, 'viewport': {'northeast': {'lat': 42.7218200302915, 'lng': -84.4587901197085}, 'southwest': {'lat': 42.7191220697085, 'lng': -84.4614880802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizza House,"[{'height': 3346, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112044435178384939921"">Pizza House</a>'], 'photo_reference': 'AW30NDydI_X1zd0U4zkEFdnUzpv6fDHEsRPUysllAW6vXnpXanzZ8Re1JWntb3xkZadBS_RSvVO1L5ROcedPZBBNGzD8i2ZIjH0RsMSyeUOISh5Wy_g5dy2S6WltCKiE6YIZTD-Rbq1upBZzlx4A5okWuKr75vCcEaW6Z99CzBeRpU5aYpiG', 'width': 5018}]",ChIJy72R1ZnCIogRKRBK-hVVIUI,"{'compound_code': 'PGCR+44 East Lansing, MI, USA', 'global_code': '86JQPGCR+44'}",4.0,ChIJy72R1ZnCIogRKRBK-hVVIUI,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1423.0,"4790 Hagadorn Road Stes 114-116, East Lansing",{'open_now': True},2.0,
