business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 27.5504601, 'lng': -99.5028914}, 'viewport': {'northeast': {'lat': 27.5517742302915, 'lng': -99.50164771970849}, 'southwest': {'lat': 27.54907626970849, 'lng': -99.5043456802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Logan's Roadhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115100271982331608378"">Mike Pool</a>'], 'photo_reference': 'AW30NDxWqOLTFjpVCvh1PFqisk98VPlQnXVzliRswHt3PUhpO7o4Os3oU2aCPhjK9f8KjhCd4QQlVYyzxc3pmjIcNiTIdkKYhObjs6IVgLok0qDec-QR15zc0li8N4tmBeDZU9QvzBhxJoY_OODHdwy2vXM34bOeO8f7j62tMHH30NCRDN1i', 'width': 4032}]",ChIJe25du6ohYYYRpsClWOoPnVo,"{'compound_code': 'HF2W+5R Laredo, TX, USA', 'global_code': '76V2HF2W+5R'}",2.0,4.2,ChIJe25du6ohYYYRpsClWOoPnVo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",906.0,"5300 San Dario Avenue, Laredo",
OPERATIONAL,"{'location': {'lat': 27.5434599, 'lng': -99.4834539}, 'viewport': {'northeast': {'lat': 27.5448059302915, 'lng': -99.4820149197085}, 'southwest': {'lat': 27.5421079697085, 'lng': -99.48471288029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106379486684454292978"">Subway</a>'], 'photo_reference': 'AW30NDxlUCWWsqJylVYT03xBBJuOWg4LakDRtw_lPFC62ZW94_ij92qo4iWOXYTJiSajrfuENINZr-g2Evk23d0IjvFaMgTOXc2HD3mQBx7G7578PSNfCIlejnwQ-k3ULFyAPOwb-XJ5SUAcRWlVgQzdG79WNxRqP4unYSOyVY8wOUXl2Q0e', 'width': 1763}]",ChIJ2R3KGxohYYYRrdtJDM6Zk5E,"{'compound_code': 'GGV8+9J Laredo, TX, USA', 'global_code': '76V2GGV8+9J'}",1.0,4.5,ChIJ2R3KGxohYYYRrdtJDM6Zk5E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",145.0,"5112 McPherson Road #103, Laredo",
OPERATIONAL,"{'location': {'lat': 27.55561669999999, 'lng': -99.5046272}, 'viewport': {'northeast': {'lat': 27.55696413029149, 'lng': -99.5031736197085}, 'southwest': {'lat': 27.55426616970849, 'lng': -99.50587158029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104763073691365289879"">Guadalupe Garza</a>'], 'photo_reference': 'AW30NDy8FpZJWLKJyN_3QvEyfDIJ4Exfn8v3p-8JFNhyyXrIukhB01IdV41yTTT9gTE4TeyAcvkLNVEl3yNi-YO_KdAC5Q9gcdA9mS0q0PVdTl75Q55Jt3LWSbgEDTt1OOD67qI8VboLotbizDnv-qdcvtZWTtnE2B4YgqsQHFuJMITN_zpC', 'width': 3024}]",ChIJsQRTRlQgYYYRWpuFNArUdKo,"{'compound_code': 'HF4W+64 Laredo, TX, USA', 'global_code': '76V2HF4W+64'}",1.0,4.1,ChIJsQRTRlQgYYYRWpuFNArUdKo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",123.0,"5724 San Bernardo Avenue Suite 103, Laredo",
OPERATIONAL,"{'location': {'lat': 27.560621, 'lng': -99.444363}, 'viewport': {'northeast': {'lat': 27.5620562302915, 'lng': -99.44296196970849}, 'southwest': {'lat': 27.5593582697085, 'lng': -99.4456599302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Palenque Grill Loop 20,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111258976679397490410"">Arden Trevino</a>'], 'photo_reference': 'AW30NDx4o5zogm_2zDR8f6DyUicjI7lRBbGtknnOcN96v9tVgjWJWv_mHl2elMXsQUdSddSRAMLdU-ngSPFrzTxC3CqALT1XVapsrn3ZM8upvQlOYkTmsr7X8cdUvBqQs4vEo-s_NaZ_VAzaJ8zoqru499ORC9F7hc3JV4E5RtFRf-qAA0ru', 'width': 3024}]",ChIJfTuMDyYnYYYRdLy38j_yUVY,"{'compound_code': 'HH64+67 Laredo, TX, USA', 'global_code': '76V2HH64+67'}",2.0,4.4,ChIJfTuMDyYnYYYRdLy38j_yUVY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1148.0,"7220 Bob Bullock Loop #2, Laredo",
OPERATIONAL,"{'location': {'lat': 27.5301506, 'lng': -99.4748054}, 'viewport': {'northeast': {'lat': 27.5315717302915, 'lng': -99.47345536970849}, 'southwest': {'lat': 27.5288737697085, 'lng': -99.4761533302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110427845230591695590"">trigre castro</a>'], 'photo_reference': 'AW30NDz_3-syp5-ktPX2gItvSHS38T0N4vgiTmWsCtDcPKNcPEaB8MdhdNzgVGzZinpANyada8cF4aJ1S8IbTA59yyIY-Y-KTH9_03kmawLMKcWtoNJ_O4-_tf4uPxris_39vZ_SdkAGB3lRXhQZiCvSKwBUq219EGU8-tgBYqPgjr6cLRi3', 'width': 4160}]",ChIJkSKpnUAhYYYRYJMoIW4kfps,"{'compound_code': 'GGJG+33 Laredo, TX, USA', 'global_code': '76V2GGJG+33'}",1.0,4.1,ChIJkSKpnUAhYYYRYJMoIW4kfps,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",118.0,"2117 East Saunders Street #2, Laredo",
OPERATIONAL,"{'location': {'lat': 27.5444683, 'lng': -99.4832289}, 'viewport': {'northeast': {'lat': 27.5457684802915, 'lng': -99.4818357197085}, 'southwest': {'lat': 27.5430705197085, 'lng': -99.4845336802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 1253, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114409090603568381257"">Domino&#39;s Pizza</a>'], 'photo_reference': 'AW30NDws14c7-hPV1Re6Hf5DEQIcyI2sbkgbJOntA9uyQg80qWvYRV6u2jnC9dJgbHrKCJhL5e-PwQS4_kQyVGlM2XpIRJUcui358O_qzSRqxQASJaaHgsoVg7mfMwwWIoIwpZtyv36ordrTtUt9mZ61f0zroj4FEtl_hNlgMN-I_OKMcjmX', 'width': 1080}]",ChIJE3YF-RkhYYYR6_p3KjLz27k,"{'compound_code': 'GGV8+QP Laredo, TX, USA', 'global_code': '76V2GGV8+QP'}",1.0,4.0,ChIJE3YF-RkhYYYR6_p3KjLz27k,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",411.0,"5220 McPherson Road Ste 102, Laredo",
OPERATIONAL,"{'location': {'lat': 27.5992322, 'lng': -99.48088729999999}, 'viewport': {'northeast': {'lat': 27.6006136302915, 'lng': -99.4796254697085}, 'southwest': {'lat': 27.5979156697085, 'lng': -99.4823234302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106062321211091486924"">Jesus Chan</a>'], 'photo_reference': 'AW30NDxFfjBwrok8v9GE4_OxwP6942m-bt5LuY5wc76Mlv57YV8hCQzXgMuxf7ec6AFZ5N7mMuK-3Fl1uItITz6VQbsWPVIOZWK6tv07mFH2p_rC6qEHjhBg1C7qZFqAl7iCbHwgPqMblmAh80NaPsLxod28pMJDNzMtCrCIwo05p_tyWqqK', 'width': 5312}]",ChIJddDNz58gYYYRWqCsjVtdKrE,"{'compound_code': 'HGX9+MJ Laredo, TX, USA', 'global_code': '76V2HGX9+MJ'}",1.0,4.2,ChIJddDNz58gYYYRWqCsjVtdKrE,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",425.0,"9810 McPherson Avenue, Laredo",
OPERATIONAL,"{'location': {'lat': 27.5320288, 'lng': -99.5036151}, 'viewport': {'northeast': {'lat': 27.5332757302915, 'lng': -99.50232541970848}, 'southwest': {'lat': 27.5305777697085, 'lng': -99.5050233802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Denny's,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102589333102232113710"">Joseph Mendez</a>'], 'photo_reference': 'AW30NDzuLD8Raf4Z2R2aMmb8XmTt5tJ51dM1QFsq5wSm4DpB2obdwQgfk1aHFMSIQVrbHrH7JvrVF3_viE3OEE-_TPGceBRFskJgCuwhwA79kEk6-WxQg293V4pDigprdb7fzHvC92_UdIABkfFoUwDS7yOogrf3gZUdgI0E6ip4ZCPpC_UM', 'width': 3264}]",ChIJZd4IBKEhYYYR4w15ULTC_hw,"{'compound_code': 'GFJW+RH Laredo, TX, USA', 'global_code': '76V2GFJW+RH'}",1.0,4.2,ChIJZd4IBKEhYYYR4w15ULTC_hw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2045.0,"3600 Santa Ursula Avenue, Laredo",
OPERATIONAL,"{'location': {'lat': 27.5524214, 'lng': -99.5005405}, 'viewport': {'northeast': {'lat': 27.55401783029151, 'lng': -99.49956061970849}, 'southwest': {'lat': 27.5513198697085, 'lng': -99.50225858029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sbarro,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115652630996752147684"">Tony “Tony99”</a>'], 'photo_reference': 'AW30NDy7FAV_bIsx27ckN0EaEZOWfXhA-ycqvb1TBN5UYXr2XrxI01wQyWjf9KBbFs0-UQDZ5gNZbgXbNXpARhxOOyhHjYt3qLX7kUkWhLyOb90hE8q6EvAGxfm4830sHqGeyfh6mlXhsDwCPfKx_pIskMnyETmQLuMz-fks0ydXQTxGvPov', 'width': 4032}]",ChIJe25du6ohYYYRVaZ8YgMRFVQ,"{'compound_code': 'HF2X+XQ Laredo, TX, USA', 'global_code': '76V2HF2X+XQ'}",1.0,3.7,ChIJe25du6ohYYYRVaZ8YgMRFVQ,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",49.0,"5300 San Dario Avenue #168, Laredo",
OPERATIONAL,"{'location': {'lat': 27.555095, 'lng': -99.50460799999999}, 'viewport': {'northeast': {'lat': 27.5563952302915, 'lng': -99.50326046970848}, 'southwest': {'lat': 27.5536972697085, 'lng': -99.5059584302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115100271982331608378"">Mike Pool</a>'], 'photo_reference': 'AW30NDzldhIfGK22pla3iIPcN1G2kV8MsWq9ThvbtpgcpWosxuUNmDd2jdppMegsY5nVNfxQZ6DaIPyZ5wigKjs3nzHZ03KJogen3JtWZhRRcs5dIlZ4FXrvGGEz2YjvbkDRKGdAQoQFOuPuhgqPbp0Klw7iv7boBpKQ08orBs4BbOKjLYxl', 'width': 4032}]",ChIJHQRTRlQgYYYRDMVWO0y80jw,"{'compound_code': 'HF4W+25 Laredo, TX, USA', 'global_code': '76V2HF4W+25'}",2.0,4.6,ChIJHQRTRlQgYYYRDMVWO0y80jw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2163.0,"5722 San Bernardo Avenue, Laredo",
