business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.3112623, 'lng': -106.7442724}, 'viewport': {'northeast': {'lat': 32.31241153029149, 'lng': -106.7431606697085}, 'southwest': {'lat': 32.3097135697085, 'lng': -106.7458586302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sansei,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103508721790445490338"">John R</a>'], 'photo_reference': 'AW30NDz15Lbq0whz34mGGiCthhoTRKkmXf5gqundS-rEggo8GSDZDFYjel3wuP67z6iz0aaYnn08mr7cd6EBAa4-XJlAnCtkJypJ5vy7ZZgWPc4aPGxinQfPV-nQLIzbpLzIFbg8QVGmvimKvQPjYguvFz-MXQEwBc_XXrfqMNQbYLvb85mN', 'width': 5312}]",ChIJjYgucF493oYReUPQZqP6zOw,"{'compound_code': '8764+G7 Las Cruces, NM, USA', 'global_code': '854M8764+G7'}",4.0,ChIJjYgucF493oYReUPQZqP6zOw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",70.0,"700 South Telshor Boulevard #1236, Las Cruces",,
OPERATIONAL,"{'location': {'lat': 32.2740196, 'lng': -106.7946581}, 'viewport': {'northeast': {'lat': 32.27543618029149, 'lng': -106.7931902697085}, 'southwest': {'lat': 32.27273821970849, 'lng': -106.7958882302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Posta De Mesilla,{'open_now': True},"[{'height': 1198, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116168986539558665229"">La Posta De Mesilla</a>'], 'photo_reference': 'AW30NDwdzVBa0aFomCIyMEW9o3QFP2JCv4EOrL04ZCjG5vL011ZUiPRcf7Wl_E5dAophUfscdI8ZyjB9Ddujr8dn_7x6_Yx9ye6Jmkev6_wgKv2M0bqXQh95tyTiwOaf1sucDPYyfMOryRLZaUHWjts5XFvV4kaClemwJwiaGtMEG7PJ_IIN', 'width': 1800}]",ChIJ90VUcWoW3oYRtz8NTKB3nGI,"{'compound_code': '76F4+J4 Mesilla, NM, USA', 'global_code': '854M76F4+J4'}",4.4,ChIJ90VUcWoW3oYRtz8NTKB3nGI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",5115.0,"2410 Calle De San Albino, Mesilla",2.0,
OPERATIONAL,"{'location': {'lat': 32.312062, 'lng': -106.753238}, 'viewport': {'northeast': {'lat': 32.3131217302915, 'lng': -106.7517659697085}, 'southwest': {'lat': 32.3104237697085, 'lng': -106.7544639302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101507446759515091380"">Frank Bredal</a>'], 'photo_reference': 'AW30NDxu9NYDEaPxJooCVXzy9pXMLc0ruFX39x-yBVI75A-Zo9ztyvFoZXgdOkEbA6UkyQkN2vklDKpPHz3xeks6qTF6eYPegz6h0t1dvVHYHxI0zxrB1dTgICaQvulLCBjP7ILSjFGo_hTEgMMrq73ndymlei9sM4eIykPHB064ehnYa4ey', 'width': 5312}]",ChIJWYENIGQ93oYRzUuBy3aTKk8,"{'compound_code': '866W+RP Las Cruces, NM, USA', 'global_code': '854M866W+RP'}",4.4,ChIJWYENIGQ93oYRzUuBy3aTKk8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3102.0,"2200 East Lohman Avenue Suite 400, Las Cruces",2.0,
OPERATIONAL,"{'location': {'lat': 32.2746696, 'lng': -106.795082}, 'viewport': {'northeast': {'lat': 32.2759480802915, 'lng': -106.7938690697085}, 'southwest': {'lat': 32.2732501197085, 'lng': -106.7965670302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Double Eagle,{'open_now': True},"[{'height': 680, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109228427155351654214"">Double Eagle</a>'], 'photo_reference': 'AW30NDyypJwGzGooakkFD8d4Ld2PmaNy19LpNZcr6hgg9pp3xT-tW_VqOZXtAxD56k4zYfsRR2_avhUYEwXb31-Z_egqEgRZyjlK9y9mTtBHXFNTcMXeTvrkX6HypeFW5CJOpJQyU7R8pSlns3FAjaq-B1y_uUa16csPA-DIXiIZ9CS5RGw7', 'width': 1024}]",ChIJk3PBZWoW3oYRt34k9H3CJsc,"{'compound_code': '76F3+VX Mesilla, NM, USA', 'global_code': '854M76F3+VX'}",4.2,ChIJk3PBZWoW3oYRt34k9H3CJsc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1570.0,"2355 Calle De Guadalupe, Mesilla",3.0,
OPERATIONAL,"{'location': {'lat': 32.29015609999999, 'lng': -106.7839707}, 'viewport': {'northeast': {'lat': 32.29154623029149, 'lng': -106.7825819197085}, 'southwest': {'lat': 32.2888482697085, 'lng': -106.7852798802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108641056044646270626"">Subway</a>'], 'photo_reference': 'AW30NDwNaXp5GbWQq7-umP3bp11eMm4k_mCGZqj8kSMN2nJ3XWCCdsiea8i6PBxcgeWi1J5QidTT0hfPEB0J_8QRbSJ9fs7o7xkZkwMuT0Sd_sTWrb-NaW283vUF41pixW0YMXzj9zdp4Q4dj3LPtIPXYKh6CNEgGn6qaA4wUexyNTnd9-y4', 'width': 1543}]",ChIJlX2NyjoW3oYR-7i8FJeGurU,"{'compound_code': '76R8+3C Las Cruces, NM, USA', 'global_code': '854M76R8+3C'}",3.9,ChIJlX2NyjoW3oYR-7i8FJeGurU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",231.0,"1600 South Valley Drive Suite F, Las Cruces",1.0,
OPERATIONAL,"{'location': {'lat': 32.3221209, 'lng': -106.7342821}, 'viewport': {'northeast': {'lat': 32.32339238029149, 'lng': -106.7328820197085}, 'southwest': {'lat': 32.3206944197085, 'lng': -106.7355799802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105550680013351864432"">Angela Beck</a>'], 'photo_reference': 'AW30NDxbC2U_HkpFYYZSoltHXrBaj3QnYJ-xe0R25oBUVBnKawWW5Ty3jQCnFfTIEHy9soWVLq3gel_bV1-9aZpe_AGKd9iHVDmRi9x3Q9TEuhVNJNmHQJWnq8T9RT6qC3H7rrd0VgcxL8F7yffvhDJtBEA3eEAGjd1JJ2eCCW-qvo627rWW', 'width': 4032}]",ChIJdXCidU893oYReDoLM5Z_3mU,"{'compound_code': '87C8+R7 Las Cruces, NM, USA', 'global_code': '854M87C8+R7'}",3.8,ChIJdXCidU893oYReDoLM5Z_3mU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",139.0,"3989 Foothills Road #100, Las Cruces",1.0,
OPERATIONAL,"{'location': {'lat': 32.2942359, 'lng': -106.7672589}, 'viewport': {'northeast': {'lat': 32.29550123029149, 'lng': -106.7659676697085}, 'southwest': {'lat': 32.29280326970849, 'lng': -106.7686656302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113531322207129256864"">H R</a>'], 'photo_reference': 'AW30NDypXW4a8CcEeTH7ZCA7lNy0H0e0b6MidytLYf2nTq2HHvx0PwlLTbc3WfSC8KnL9_xmsrdfHMfW8beiUTZwDwYT2TBwqV5vKVjSEfjvfKQEGsx3LpRwAA1wAJBq6xhEzKXv1Gpxa7SXwFGghp1anJgwzjFym-VHqOGpxL1hR4M-9g8-', 'width': 4160}]",ChIJwfT5Z9IX3oYRnEVi5JmNYzY,"{'compound_code': '76VM+M3 Las Cruces, NM, USA', 'global_code': '854M76VM+M3'}",3.9,ChIJwfT5Z9IX3oYRnEVi5JmNYzY,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",855.0,"1609 El Paseo Road, Las Cruces",1.0,
OPERATIONAL,"{'location': {'lat': 32.33362169999999, 'lng': -106.7817528}, 'viewport': {'northeast': {'lat': 32.33504133029149, 'lng': -106.7803327697085}, 'southwest': {'lat': 32.33234336970849, 'lng': -106.7830307302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 677, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103919161517899294739"">Subway</a>'], 'photo_reference': 'AW30NDy2V7c93Pq2KkhsGmt-SqwgDbhlTzyrear-r9amPkUdvMtyfIQLBdIpbm_OLGcf4NWS19-wmDwm7PL9TrTLlnW8aKvmtJBYLbpyExLLUuOAqaP1bHEdnXrSLDu9FURyyIhqsWdey4q2asaTdPggPrk7TfDfZECzPUoKw1ELZskDiw6R', 'width': 678}]",ChIJVevnL7s93oYR8JumrsupSFc,"{'compound_code': '86M9+C7 Las Cruces, NM, USA', 'global_code': '854M86M9+C7'}",3.7,ChIJVevnL7s93oYR8JumrsupSFc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",137.0,"2523 North Main Street Suite #100, Las Cruces",1.0,
OPERATIONAL,"{'location': {'lat': 32.2884222, 'lng': -106.7371568}, 'viewport': {'northeast': {'lat': 32.2898498802915, 'lng': -106.7357143197085}, 'southwest': {'lat': 32.2871519197085, 'lng': -106.7384122802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105550680013351864432"">Angela Beck</a>'], 'photo_reference': 'AW30NDyah_GlNJ5nUHJLyEnFVMUZMkfS-WsXO2PRn925t1JfBbZGtZ_sI1JvzVqN-D4iJwTvkaoF_wmc0EQND5wD7JlZI5idU-vsIrW-LtAKZT-7pG8gQBbU8-iJrBlQOH7c5pdWyRfDgvRTP8-y92qno2RAZMLecLXe5Spm-gioRTmlQgqM', 'width': 4032}]",ChIJke8ou-0X3oYR5iCmqiQZKXU,"{'compound_code': '77Q7+94 Las Cruces, NM, USA', 'global_code': '854M77Q7+94'}",4.0,ChIJke8ou-0X3oYR5iCmqiQZKXU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",107.0,"2580 Don Roser Drive, Las Cruces",1.0,
OPERATIONAL,"{'location': {'lat': 32.3086905, 'lng': -106.7402084}, 'viewport': {'northeast': {'lat': 32.3100481802915, 'lng': -106.7387522197085}, 'southwest': {'lat': 32.3073502197085, 'lng': -106.7414501802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cattle Baron,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109783265662326134515"">Joe Smith</a>'], 'photo_reference': 'AW30NDzw7AcSOoG5iUjvytL-SOWWeiRrQ5TNArvOuxBDUirbVNoSOJu-wFyOfNg4VKmA8tdd4pydtAezfM5ij2K7mPU3T0-mZLKe7IzhrOoGiOUV2FF_Ls4nQvfeNj8mjVNpqF8w9X5Q45yIflrA2IDtikevXsGoNrl75FpEtWMBYYwuiOu8', 'width': 4032}]",ChIJMTxYv1g93oYRKCwBtchbivs,"{'compound_code': '8755+FW Las Cruces, NM, USA', 'global_code': '854M8755+FW'}",4.3,ChIJMTxYv1g93oYRKCwBtchbivs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1227.0,"790 South Telshor Boulevard, Las Cruces",2.0,
