business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.2187612, 'lng': -115.2443976}, 'viewport': {'northeast': {'lat': 36.2200457302915, 'lng': -115.2432319197085}, 'southwest': {'lat': 36.2173477697085, 'lng': -115.2459298802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105171294277288359400"">WithWil</a>'], 'photo_reference': 'AW30NDztrtky_Ym5HSTZBFMDpIX86ouGWaoaEYQah1YifLpPFmnOsXaqERgLRhBQnaFPCQGb2s9N-NrS062DXJiI-iNMKoJF4jpRvU33mTkl_6813DcT_cGjvvwbi4nYWpb-cTRntOViZZyzjBBr26uDBDXNEghuM3HldQ3-fkVdV2eWJJKR', 'width': 4032}]",ChIJDc0uhoXqyIARBWq4FUsKlf8,"{'compound_code': '6Q94+G6 Las Vegas, NV, USA', 'global_code': '85866Q94+G6'}",2.0,4.3,ChIJDc0uhoXqyIARBWq4FUsKlf8,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3050.0,"6850 West Cheyenne Avenue, Las Vegas",
OPERATIONAL,"{'location': {'lat': 36.19722, 'lng': -115.264138}, 'viewport': {'northeast': {'lat': 36.19849773029151, 'lng': -115.2626492197085}, 'southwest': {'lat': 36.19579976970851, 'lng': -115.2653471802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buca di Beppo Italian Restaurant,{'open_now': True},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116509557435140956591"">Anthony Roberts, Jr.</a>'], 'photo_reference': 'AW30NDwa4XWRXvCwQxVJQqOiixt414Ak5nZknNw9Qhgg4OZ30UxN-bemSTH018_JkelYRSzEz9vDifRStYPSRR73EyadJ9Z_UA3yT6EOefTvGZgzavTYAZvnbHlJ631r5qAd8eYs9iZ8cNRi3lohVuAC365wS_i4IRs7gE-Y3qpj0gR4T_FP', 'width': 3072}]",ChIJLXoRDhnAyIARsAEmaREVt5A,"{'compound_code': '5PWP+V8 Las Vegas, NV, USA', 'global_code': '85865PWP+V8'}",2.0,4.4,ChIJLXoRDhnAyIARsAEmaREVt5A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2596.0,"7690 West Lake Mead Boulevard, Las Vegas",
OPERATIONAL,"{'location': {'lat': 36.18755999999999, 'lng': -115.243241}, 'viewport': {'northeast': {'lat': 36.18872683029149, 'lng': -115.2417745197085}, 'southwest': {'lat': 36.18602886970849, 'lng': -115.2444724802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Las Vegas Mini Grand Prix Family Fun Center,{'open_now': True},"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109373271811238118367"">Las Vegas Mini Grand Prix Family Fun Center</a>'], 'photo_reference': 'AW30NDxa3KInRnK7g6X4Tb-cPQI_ZuSfaNKc94qoaY0xKl6bHGYV4UmxHa_g9GEeoBRYbQEszuK6PFVoxte0rOqFiWt2OJjycWmckJL4AwEeB-NnGY9sE1jJ3GrENK9sYGkmsUJK_wP9rq8RQFZhWaYgwlyDG1g9cfRd8Nt_g5fYmI_DLKpu', 'width': 1199}]",ChIJ1SWy9UnAyIARVL0c-Vf9kgA,"{'compound_code': '5QQ4+2P Las Vegas, NV, USA', 'global_code': '85865QQ4+2P'}",2.0,4.4,ChIJ1SWy9UnAyIARVL0c-Vf9kgA,GOOGLE,"['tourist_attraction', 'restaurant', 'food', 'point_of_interest', 'establishment']",3282.0,"1401 North Rainbow Boulevard, Las Vegas",
OPERATIONAL,"{'location': {'lat': 36.20782229999999, 'lng': -115.2683509}, 'viewport': {'northeast': {'lat': 36.20913818029149, 'lng': -115.2670888697085}, 'southwest': {'lat': 36.2064402197085, 'lng': -115.2697868302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Marché Bacchus,{'open_now': False},"[{'height': 344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101862083089416855996"">Marche Bacchus</a>'], 'photo_reference': 'AW30NDx7jyTFsg0ouvB2m80IylCErg8VM_m-taksvlaYOBuor3hYwElaanEMTD3a0EQTnA24ccu_ekzrLm86xH5ioODLjLMTZZ6-AABbJIOTmVhnE89eYwxmqdHp9YfgRQypr71l8MXuhyPPLepo4y7Wo0HxrQ35V2WM9BfIMTF1SYmwvRy0', 'width': 768}]",ChIJ_XM_jKbqyIAR8Xf6da1J1w4,"{'compound_code': '6P5J+4M Las Vegas, NV, USA', 'global_code': '85866P5J+4M'}",3.0,4.4,ChIJ_XM_jKbqyIAR8Xf6da1J1w4,GOOGLE,"['liquor_store', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1139.0,"2620 Regatta Drive, Las Vegas",
OPERATIONAL,"{'location': {'lat': 36.24988, 'lng': -115.2447568}, 'viewport': {'northeast': {'lat': 36.2516025802915, 'lng': -115.2430748697085}, 'southwest': {'lat': 36.2489046197085, 'lng': -115.2457728302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fatburger,{'open_now': True},"[{'height': 270, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113571174515345308436"">Fatburger</a>'], 'photo_reference': 'AW30NDwxMIPY03iQgAHKTGbMQt2wja0vrOofH4Eatu7gj7wVZPjqW23v8WUyayzIdBDmKv8DOTRKzjV6JynHIGvikcsamNRl8g973h-uRlGO5uHgiynWFoJ4be4nN8aa_yZHGfzxwEpDxTMj6eYXzXtjCmxiHmmjp-eS_M_SYYG-ZjF8B1Fd', 'width': 480}]",ChIJE7RC6VfqyIARwBGQws7CldM,"{'compound_code': '6QX4+X3 Las Vegas, NV, USA', 'global_code': '85866QX4+X3'}",2.0,3.6,ChIJE7RC6VfqyIARwBGQws7CldM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",115.0,"4949 North Rancho Drive #4, Las Vegas",
OPERATIONAL,"{'location': {'lat': 36.249775, 'lng': -115.2448512}, 'viewport': {'northeast': {'lat': 36.2516481302915, 'lng': -115.2432577197085}, 'southwest': {'lat': 36.2489501697085, 'lng': -115.2459556802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Capriotti's Sandwich Shop,{'open_now': True},"[{'height': 589, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110569416696500884751"">Capriotti&#39;s Sandwich Shop</a>'], 'photo_reference': 'AW30NDzvBkv6DwQ6nZ9_HF9ijqLGk3iPuFsK2SoSudZA4uAO-1apDvXsp22Ov-pILnG9r7A2xLJwYWNlPTzqeEtNOsP65Q8G3emTVWSKxwZamuo4E--CiAWWGc8haN95r0uEmhmq6foNdiFsZdPLIvNyAwcO0oM-ZeBvfhTvsLNvkQYXdkFa', 'width': 1047}]",ChIJ74Wr-v3qyIARBoh-wKTJKXE,"{'compound_code': '6QX4+W3 Las Vegas, NV, USA', 'global_code': '85866QX4+W3'}",1.0,4.2,ChIJ74Wr-v3qyIARBoh-wKTJKXE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",165.0,"4949 North Rancho Drive, Las Vegas",
OPERATIONAL,"{'location': {'lat': 36.194431, 'lng': -115.242984}, 'viewport': {'northeast': {'lat': 36.19577598029151, 'lng': -115.2415337197085}, 'southwest': {'lat': 36.19307801970851, 'lng': -115.2442316802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Famous Dave's Bar-B-Que,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113496458464007574093"">John Merling (pbelcomp)</a>'], 'photo_reference': 'AW30NDy9bjp2wixgcAw1wZktMbUiy8tfCpfkyvwzwdNCAKTZF1sHKcaY2CxOsezeBDvVlfYURM3IPar2NKUkrI5vcf_2dKvttwOSQfEiV8ZRB-_4MBhnovDsOSuc2DivRvilmKl0wq2zhkIPXVNA8mtvJe79YCSus8tlY5WQnDFzhY4GTj11', 'width': 3840}]",ChIJ7ZJgUDHAyIARGQLlBGprZQg,"{'compound_code': '5QV4+QR Las Vegas, NV, USA', 'global_code': '85865QV4+QR'}",2.0,4.2,ChIJ7ZJgUDHAyIARGQLlBGprZQg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2581.0,"1951 North Rainbow Boulevard, Las Vegas",
OPERATIONAL,"{'location': {'lat': 36.1957236, 'lng': -115.2583111}, 'viewport': {'northeast': {'lat': 36.19713128029151, 'lng': -115.2569686197085}, 'southwest': {'lat': 36.19443331970851, 'lng': -115.2596665802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pinkbox Doughnuts®,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102818316873621490169"">Paul Hebron</a>'], 'photo_reference': 'AW30NDyjpHWUhAFefbbSsCXcuTUsqho9jG5w9mJBLm4NYd21OK3unh0GY5HHQpzpy1gZrGUdXGz62SK1T5c117pow_CgtojdVeBwNE8TqPZDZUYWfMQf6lUY67F_-nmcCzD8JCmixCTnxIpTY49mZ6pb0e-9ltZ1YexDrKWZgMz5CdDbqVgs', 'width': 4032}]",ChIJjTM7Nz3AyIARIQ_galvWFZI,"{'compound_code': '5PWR+7M Las Vegas, NV, USA', 'global_code': '85865PWR+7M'}",1.0,4.5,ChIJjTM7Nz3AyIARIQ_galvWFZI,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1925.0,"7531 West Lake Mead Boulevard #110, Las Vegas",
OPERATIONAL,"{'location': {'lat': 36.198725, 'lng': -115.242646}, 'viewport': {'northeast': {'lat': 36.2000818802915, 'lng': -115.2414014197085}, 'southwest': {'lat': 36.1973839197085, 'lng': -115.2440993802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chili's Grill & Bar,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102230583268099051134"">Jackie May</a>'], 'photo_reference': 'AW30NDy4gjzo85pWZK5jXjLoQfY5g5TtdVgcQczBPBZ0ENLb166iZmFljXYTqf4GVOzavDMiaFGeR2n4rZPYk840eUX6A8wJU9qDpXiom3aaCoEWKyignTNJIjNCnAGnR8rln_8CJfS6jAHdEtMjhOTNnnxEeSLgvJ7WWJNYHLdGzdFajRes', 'width': 3120}]",ChIJfUyf1jPAyIARtWrmqFrulv8,"{'compound_code': '5QX4+FW Las Vegas, NV, USA', 'global_code': '85865QX4+FW'}",2.0,4.1,ChIJfUyf1jPAyIARtWrmqFrulv8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2099.0,"2011 North Rainbow Boulevard, Las Vegas",
OPERATIONAL,"{'location': {'lat': 36.21784, 'lng': -115.240498}, 'viewport': {'northeast': {'lat': 36.2191262302915, 'lng': -115.2392879197085}, 'southwest': {'lat': 36.2164282697085, 'lng': -115.2419858802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 702, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107721404123505875377"">Trap Speed 1320</a>'], 'photo_reference': 'AW30NDypyByAta80_eDzHFDhgicnnardJWkEERoKVmsVrUHXcnZQ1TgUqubTxZwzxtrADuHfgIqC-0JWHi_UbdNLzj-iPWUA5dWHcBgmmLC_A2ip7a8lA3mo8Bgl6T7DAj-rVFjS191dI5JHeW9kHKLAjBuXcHb98zOxfYw_IfwVdowPBYth', 'width': 1080}]",ChIJnWQHqYfqyIARt0Ta_lD7pDw,"{'compound_code': '6Q95+4R Las Vegas, NV, USA', 'global_code': '85866Q95+4R'}",1.0,3.3,ChIJnWQHqYfqyIARt0Ta_lD7pDw,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",536.0,"6623 West Cheyenne Avenue, Las Vegas",
