business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 29.5463465, 'lng': -95.1493868}, 'viewport': {'northeast': {'lat': 29.5476642302915, 'lng': -95.14826496970849}, 'southwest': {'lat': 29.54496626970851, 'lng': -95.1509629302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Perry's Steakhouse & Grille - Baybrook,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116050068566874446472"">Soledad Barker</a>'], 'photo_reference': 'AW30NDwXVT8RiqLEznz-CnY00wK4x8P1RmYAQjHONGmqhx5mCcvQQlTYkJZYVHHjkfapREitRKZWmXTyo9VLBFr5IEs8BdbbfgGE-AGtgxDvgauTPhoNhbW7apch82CELeDqSxH15Cus-kzYIkmpg5J3V2FobrypMO6kHId5oDoSZ1sAmsyw', 'width': 3024}]",ChIJl6jYG4qcQIYRmcnZxwE6JXQ,"{'compound_code': 'GVW2+G6 Friendswood, TX, USA', 'global_code': '76X6GVW2+G6'}",3.0,4.5,ChIJl6jYG4qcQIYRmcnZxwE6JXQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1838.0,"700 Baybrook Mall, Friendswood",
OPERATIONAL,"{'location': {'lat': 29.5074096, 'lng': -95.0421648}, 'viewport': {'northeast': {'lat': 29.5086481802915, 'lng': -95.04083626970848}, 'southwest': {'lat': 29.5059502197085, 'lng': -95.0435342302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100452738396587386152"">Phillip Dennison</a>'], 'photo_reference': 'AW30NDzHqjvYgw6orFH8doRmbdFt8RumLKmayHNQRc4izwqz17QEjuvEgDuddMiC4PODXSrFyvflBc_k7TMNj0YafWn4uyv_1A8lxS9xVth0zG3kLMVRl8vOm4CIJqIX75WVrO3nX_CmkTyw-tnKgOrskFgKlbqZ1v-zT0WH8RV1IDPAGLyx', 'width': 3984}]",ChIJaYDFPkt9P4YR2TQkrb7fp74,"{'compound_code': 'GX45+X4 League City, TX, USA', 'global_code': '76X6GX45+X4'}",1.0,3.6,ChIJaYDFPkt9P4YR2TQkrb7fp74,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",141.0,"2640 East League City Parkway Suite # 126, League City",
OPERATIONAL,"{'location': {'lat': 29.5231588, 'lng': -95.1243088}, 'viewport': {'northeast': {'lat': 29.52440643029149, 'lng': -95.12305746970848}, 'southwest': {'lat': 29.5217084697085, 'lng': -95.1257554302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cheddar's Scratch Kitchen,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116193469607078532957"">Authentic Signs</a>'], 'photo_reference': 'AW30NDw1fQRD1fIc8T6DJV8wLQE54J5Mcq3wBUSTUTLU0s_gk4Xa9kEz0aUAGZsucFIip3JJrmvVn_bRBX1mNC5Iue16R15WGx-OtmWjmDlamwhOSrkLzoL8OIzJjXGmt00PfkOBSAe_tILK1BniZw8Mx8SZ5aPeXBrVzgxJqlrsq5HLKJF8', 'width': 4160}]",ChIJNdAk0b6cQIYR9YIngi0J2f0,"{'compound_code': 'GVFG+77 Webster, TX, USA', 'global_code': '76X6GVFG+77'}",2.0,4.3,ChIJNdAk0b6cQIYR9YIngi0J2f0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3623.0,"21001 Gulf Freeway, Webster",
OPERATIONAL,"{'location': {'lat': 29.5397113, 'lng': -95.14451969999999}, 'viewport': {'northeast': {'lat': 29.5411104302915, 'lng': -95.14304256970848}, 'southwest': {'lat': 29.5384124697085, 'lng': -95.1457405302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100773164560964232519"">Ramon Heredia</a>'], 'photo_reference': 'AW30NDyUpMeTqJw_FxGDnWm_pBQyHye5RnGmLuAEaKhQ-VMe17oGRPpr0NtNkjx161sAWz6SS0AeezTSht_hEsPzXKBIjeSC5sL2EgnoWfjpRtbAtqUJfEz9cgbA4iwgzTTm_WAK_ZHjmLNJlQJjD-2RElwH6kjzV1KeLH1w2kRWEv9wYyev', 'width': 3984}]",ChIJZ2T0SH2bQIYROWvAQtqLnU0,"{'compound_code': 'GVQ4+V5 Friendswood, TX, USA', 'global_code': '76X6GVQ4+V5'}",2.0,4.3,ChIJZ2T0SH2bQIYROWvAQtqLnU0,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2783.0,"1310 Bay Area Boulevard, Friendswood",
OPERATIONAL,"{'location': {'lat': 29.5267127, 'lng': -95.1246749}, 'viewport': {'northeast': {'lat': 29.5279155802915, 'lng': -95.12351746970849}, 'southwest': {'lat': 29.5252176197085, 'lng': -95.1262154302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark 18 and XD,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111867100254516639320"">Chris Wach (Fusion Auto Salon)</a>'], 'photo_reference': 'AW30NDxEjs9azuxhHeQrufI5vGPTSDXu2SFzYjj32kXVlr0R9ZuRot9pfmRsjpAzFp340e_1TtDpnJNwhmWHSJxa2taaFSxz59fnFBlbMRnesCEwaXD4AYqvOClQMzqP3ZqDeran0_XAzRl0iVRCbxwehyJaLVIXdtTmMPmKhlN-ucZAdf0H', 'width': 3264}]",ChIJKdqqjr6cQIYRxi4rPOhvBmQ,"{'compound_code': 'GVGG+M4 Webster, TX, USA', 'global_code': '76X6GVGG+M4'}",,4.5,ChIJKdqqjr6cQIYRxi4rPOhvBmQ,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",4474.0,"20915 Gulf Freeway, Webster",
OPERATIONAL,"{'location': {'lat': 29.5313393, 'lng': -95.1320449}, 'viewport': {'northeast': {'lat': 29.5327153302915, 'lng': -95.13084421970848}, 'southwest': {'lat': 29.5300173697085, 'lng': -95.1335421802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Saltgrass Steak House,{'open_now': True},"[{'height': 2861, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103803878018488807931"">Willi Doyen</a>'], 'photo_reference': 'AW30NDyr-6gVL4ykAZulCPMRTbJHvRDFc6ueDKD2MhY441E_PWJ-FlleKvNdNBJMWm6ofZ7ar7Qr6UYc_SY5z0dwjRHgJFbK_8felcopmGsiKgPjH9Ov2bSCjOgwKAEYBCqjIA57O4D3T7xpL8CQq7jSMhXbKZbIilFG3awbLAXq8-7M6ZF2', 'width': 2265}]",ChIJ45Vo2ZmcQIYRluwDd-IPDXs,"{'compound_code': 'GVJ9+G5 Webster, TX, USA', 'global_code': '76X6GVJ9+G5'}",2.0,4.4,ChIJ45Vo2ZmcQIYRluwDd-IPDXs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2844.0,"20241 Gulf Freeway, Webster",
OPERATIONAL,"{'location': {'lat': 29.5411471, 'lng': -95.12766069999999}, 'viewport': {'northeast': {'lat': 29.5421211802915, 'lng': -95.12694016970849}, 'southwest': {'lat': 29.5394232197085, 'lng': -95.1296381302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113913264245954243294"">Subway</a>'], 'photo_reference': 'AW30NDxme051OIzJeGMfkWhmCWexTWhMjxeMjqLzr1472arRHuvDSqilusxd9bIcu3xu5MGpA26BoINQEdRJAMAj6sDK7cnCUIpTgGFuyZwuzcOaD5gc0VxWTnwP9-0H3r3M2l4EDcJEQdmlLKlWNNEHq4bf-DwZlUwe4xPIULraptMZuEmB', 'width': 1763}]",ChIJ-aAXdY6cQIYR-_Y8qyJ5gBk,"{'compound_code': 'GVRC+FW Webster, TX, USA', 'global_code': '76X6GVRC+FW'}",1.0,3.8,ChIJ-aAXdY6cQIYR-_Y8qyJ5gBk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",33.0,"500 Medical Center Boulevard, Webster",
OPERATIONAL,"{'location': {'lat': 29.5193763, 'lng': -95.07776380000001}, 'viewport': {'northeast': {'lat': 29.5206907802915, 'lng': -95.07680886970849}, 'southwest': {'lat': 29.5179928197085, 'lng': -95.0795068302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red River Bar-B-Que & Grill,{'open_now': True},"[{'height': 3669, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110412421464752919283"">Red River Bar-B-Que &amp; Grill</a>'], 'photo_reference': 'AW30NDwwJjUjzxYOeOc6IXgdHMvnSlWBXrbf2mLtThtBBfyu24E614k1WAwAjsBO5gdwNmCQWnIc1UUDJ01J34z59T461RjHnLUmdz-ywQq2PQrvCJIOa62u7ZWGrJTaioSNJ0FeN9bnuDlTrR1f0oMQOz3-clrPiCQOsU6RVZSFi1zjZD0y', 'width': 5494}]",ChIJfZ7uSEadQIYRo09tXirvKzQ,"{'compound_code': 'GW9C+QV League City, TX, USA', 'global_code': '76X6GW9C+QV'}",2.0,4.4,ChIJfZ7uSEadQIYRo09tXirvKzQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2734.0,"1911 East Main Street B, League City",
OPERATIONAL,"{'location': {'lat': 29.55273699999999, 'lng': -95.15678199999999}, 'viewport': {'northeast': {'lat': 29.55414853029149, 'lng': -95.15542716970849}, 'southwest': {'lat': 29.5514505697085, 'lng': -95.1581251302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 728, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112468130006379374118"">ALEJANDRO L.</a>'], 'photo_reference': 'AW30NDxjSzRaWR0D2eYAOI4IpAicYtf6D5oKUTXGY3iaqnBquL6SEnIUa5-tg32-lcfi2y2TbXVu8lMgwPIR84tKvZUDAxMpBDkY1iuU3jVi-dmrK5IpVYJlvMfDE50KJhlq_TNzII6SFaPO_rECVAdq7O3wDQrmLLUUAC46dlom7-o_e5BL', 'width': 1009}]",ChIJh2mMwpubQIYRlWePV0ZjDaE,"{'compound_code': 'HR3V+37 Friendswood, TX, USA', 'global_code': '76X6HR3V+37'}",2.0,4.4,ChIJh2mMwpubQIYRlWePV0ZjDaE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4127.0,"18194 Gulf Freeway, Friendswood",
OPERATIONAL,"{'location': {'lat': 29.5067883, 'lng': -95.11397319999999}, 'viewport': {'northeast': {'lat': 29.5084985302915, 'lng': -95.1130442197085}, 'southwest': {'lat': 29.50580056970851, 'lng': -95.1157421802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Brisa Mexican Grill,{'open_now': True},"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113540232345657093783"">La Brisa Mexican Grill</a>'], 'photo_reference': 'AW30NDwGHcsLTZnYXm0pws-F45WPzKQ7Hvxj4t2OssXcSHlzxHepBN2u-uQyjBR4NLUA2F3E6wgXxyB_882kSK22fwjr-EafVSkIPCn7f2PqCvdSDSAjOqDQMF-akBwir4m0FiNVWGWp4amHMzGz4mqqNqlWTFCuQyri1TgJyPL3FRqfOR-x', 'width': 2016}]",ChIJrXrs3cycQIYRLxt0j6hWFoo,"{'compound_code': 'GV4P+PC League City, TX, USA', 'global_code': '76X6GV4P+PC'}",2.0,4.3,ChIJrXrs3cycQIYRLxt0j6hWFoo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2477.0,"501 North Wesley Drive, League City",
