business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.90936960000001, 'lng': -94.3633883}, 'viewport': {'northeast': {'lat': 38.91070283029151, 'lng': -94.3619261697085}, 'southwest': {'lat': 38.90800486970851, 'lng': -94.3646241302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114484563291327685762"">Maria Onson</a>'], 'photo_reference': 'AW30NDx78xHvzBy9wZu7t-A9-szYoi_Hh91tbDX71pyN8WDLWOyNbMkPXWdHgXRiUSRoX44PSe2Y1ip-TaHKWOIPZJmxXzgkgWNqB-F8ECVCXRbLGP_tlGo6qLVVJSlZwvhEiQoSalo_gxiUtSWDn7DdhGN2iA4j1RxB-ls5D5aFOnMwJM-y', 'width': 4032}]",ChIJwXlL4YYfwYcR7MKzjIilDzo,"{'compound_code': ""WJ5P+PJ Lee's Summit, MO, USA"", 'global_code': '86C7WJ5P+PJ'}",1.0,3.7,ChIJwXlL4YYfwYcR7MKzjIilDzo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",70.0,"506 Northeast 291 Highway, Lee's Summit",
OPERATIONAL,"{'location': {'lat': 38.93046659999999, 'lng': -94.36357869999999}, 'viewport': {'northeast': {'lat': 38.9318133302915, 'lng': -94.3619077197085}, 'southwest': {'lat': 38.9291153697085, 'lng': -94.3646056802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111757973771341068720"">Harold Hadz</a>'], 'photo_reference': 'AW30NDw0yQsNRQjMzwEhSO5cVwUkCnzEvy1i0dRRWTzKVAtacZdTpDd3x27806pmv_TP0GI4aPRX1zjxI3LDgT_FOHoim2M0KJXtIc3f5ljBW6dEkrLzCLzBnGxuGRcB_J4OeeRF9WHum8BXbSSZDEaNxI78YEzyl-OnC6zaU0pqqMbLjSki', 'width': 4032}]",ChIJcTJ6tqMfwYcRWFoYv5uwI_w,"{'compound_code': ""WJJP+5H Lee's Summit, MO, USA"", 'global_code': '86C7WJJP+5H'}",1.0,3.7,ChIJcTJ6tqMfwYcRWFoYv5uwI_w,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",38.0,"1000 Northeast Sam Walton Lane, Lee's Summit",
OPERATIONAL,"{'location': {'lat': 38.928636, 'lng': -94.409026}, 'viewport': {'northeast': {'lat': 38.9299123802915, 'lng': -94.40766976970848}, 'southwest': {'lat': 38.9272144197085, 'lng': -94.4103677302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 2339, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109811096874875180509"">Will Woodworth</a>'], 'photo_reference': 'AW30NDwA0YUKqWNnkyubLYuzVuu6Y8-xStogd_QKEGAsnASEAtbXmnQaAx4X-YReKCGfYKQURbHVcKurreaVnYF7AqVrJDTEmVvor3BWMMybHjpZHzKkOnqZZdlaROvg4R7hQQGTLGOW-ypmriYnKXdTcCyx7gXrI0Avvyl2CGXxOrIfS8W1', 'width': 3041}]",ChIJk5_eUT3gwIcRZW2ptTVqBcs,"{'compound_code': ""WHHR+F9 Lee's Summit, MO, USA"", 'global_code': '86C7WHHR+F9'}",1.0,3.9,ChIJk5_eUT3gwIcRZW2ptTVqBcs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",702.0,"1716 Northwest Chipman Road, Lee's Summit",
OPERATIONAL,"{'location': {'lat': 38.92302610000001, 'lng': -94.36112969999999}, 'viewport': {'northeast': {'lat': 38.9243529302915, 'lng': -94.35955366970848}, 'southwest': {'lat': 38.9216549697085, 'lng': -94.3622516302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,IHOP,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100516193838838227137"">Roy Henson</a>'], 'photo_reference': 'AW30NDwKtppFwDmWrK6sUEF0_GXQAjiBEQrT4XINp3Eyaz4DjAMZxHRwcE5iUxydh5zt78pbak8u-gZSdxnplrd22gyAqeb_4bU9qVY6EcU-1jrRaScRP-PjyjCxzDbP3NYvuxKglEu8ME2hMFdUA2CPcyiWrasPX8wKICFgrOZiucfr7eQA', 'width': 5312}]",ChIJG3REv54fwYcRjDFUiFcqTd0,"{'compound_code': ""WJFQ+6G Lee's Summit, MO, USA"", 'global_code': '86C7WJFQ+6G'}",1.0,4.2,ChIJG3REv54fwYcRjDFUiFcqTd0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1696.0,"628 Northeast 291 Highway, Lee's Summit",
OPERATIONAL,"{'location': {'lat': 38.9090695, 'lng': -94.3617072}, 'viewport': {'northeast': {'lat': 38.91040848029149, 'lng': -94.36039786970849}, 'southwest': {'lat': 38.90771051970849, 'lng': -94.3630958302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizza Street,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109834918442155675976"">Jonathan Raffaelle</a>'], 'photo_reference': 'AW30NDxxvZ0owAsXGlW_jhhcsskwl5IdAfo7zPQp0b-jM8kn5NdLFylrIQOJeg8OG_rjvyNMQvSTrNMn5l-jXxijZFy6CcZ7TzzgUTJnsnNccqcHpSJSfnRzrpCyd8AqlCy7oM-3QS96uKH_mZC_GqkfRib0qbWxkPKRWat4I3Jm7n25Joxt', 'width': 4080}]",ChIJXetsJYcfwYcRIHXJLlt4rFE,"{'compound_code': ""WJ5Q+J8 Lee's Summit, MO, USA"", 'global_code': '86C7WJ5Q+J8'}",1.0,3.8,ChIJXetsJYcfwYcRIHXJLlt4rFE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1032.0,"527 Southeast Melody Lane, Lee's Summit",
OPERATIONAL,"{'location': {'lat': 38.9397247, 'lng': -94.3764424}, 'viewport': {'northeast': {'lat': 38.9410795302915, 'lng': -94.3750646697085}, 'southwest': {'lat': 38.9383815697085, 'lng': -94.3777626302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Summit Pizza,{'open_now': True},"[{'height': 305, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115309209304822117655"">Summit Pizza</a>'], 'photo_reference': 'AW30NDwql_kYVz5YguX5URLjnEtMGuIzAFIthBLQ9uylf99T9yiivbPCmTxcTa0632d64AJrHUULwUts2FXoYcJMkF3oMVrOiWsN1quCHkqpxdul9WdHOxf17W_YX_XlETNAU_T-cnmIBiYuK9j88WdcJRbcmjuZkXF6QxU5ULG-2RYG2rTK', 'width': 457}]",ChIJubLMyskfwYcRzc7GShcIzzI,"{'compound_code': ""WJQF+VC Lee's Summit, MO, USA"", 'global_code': '86C7WJQF+VC'}",2.0,4.4,ChIJubLMyskfwYcRzc7GShcIzzI,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1447.0,"1543 Northeast Douglas Street, Lee's Summit",
OPERATIONAL,"{'location': {'lat': 38.9422768, 'lng': -94.3775924}, 'viewport': {'northeast': {'lat': 38.9435059802915, 'lng': -94.37619191970849}, 'southwest': {'lat': 38.94080801970851, 'lng': -94.3788898802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Culver's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111815044872307813087"">R. Taylor (Tayloredkc)</a>'], 'photo_reference': 'AW30NDy1-LbGY3dTTzsAoY1goEWaH6u_P6fxfukmJaXCCG1dOzNR4AC4kevlQVPu3QZIrLdJZkl5pqSzcIwNXWJzmKJgKAmGRfbNZz7i6EWzyoO9_S6Dn_SRoCJAn7f2qYJriYbQLm5jggr7hGc9y7VnTFofjzbxuIypAjlrd5SjfPG3Uk-E', 'width': 4032}]",ChIJOdLr-MkfwYcRLbFIG-G3W6M,"{'compound_code': ""WJRC+WX Lee's Summit, MO, USA"", 'global_code': '86C7WJRC+WX'}",1.0,4.5,ChIJOdLr-MkfwYcRLbFIG-G3W6M,GOOGLE,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2249.0,"1701 Northeast Douglas Street, Lee's Summit",
OPERATIONAL,"{'location': {'lat': 38.92676, 'lng': -94.41089009999999}, 'viewport': {'northeast': {'lat': 38.9280244802915, 'lng': -94.40953806970847}, 'southwest': {'lat': 38.9253265197085, 'lng': -94.4122360302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3981, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108929940310255127381"">Erin Jones</a>'], 'photo_reference': 'AW30NDzmQob92NWR2FQoS_bAEOf7l3xR_fXtdUjFL54YxnqnN22AYFjr_szKJazfw-MqvwHwdusrY4lQM2VAdld4UvNo12pFzBOZYl_FTyE8lIWmX0F_8VQpGtCFTDroGWSeQ5CV0cZRSgkGdBGHbQ21POttSzL52pte62bLVWrn0qzyugMT', 'width': 3398}]",ChIJ0-dvnD3gwIcRo5B55lf7kcQ,"{'compound_code': ""WHGQ+PJ Lee's Summit, MO, USA"", 'global_code': '86C7WHGQ+PJ'}",1.0,3.8,ChIJ0-dvnD3gwIcRo5B55lf7kcQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",151.0,"1808 A Northwest Chipman Road, Lee's Summit",
OPERATIONAL,"{'location': {'lat': 38.9114562, 'lng': -94.3768334}, 'viewport': {'northeast': {'lat': 38.9127733802915, 'lng': -94.3755445697085}, 'southwest': {'lat': 38.91007541970851, 'lng': -94.3782425302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Stuey McBrew's,{'open_now': True},"[{'height': 3006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106436296814923554452"">doug smith</a>'], 'photo_reference': 'AW30NDx_XZ335hSTP-dzZTgx3vcoqcmOzcLK_E7KJNaWOKvmIcK7HNBncytzdWkIbJnMsV0aRohphV-O5zN35f7WjxNcnqsA6lUEi96guuXc5t5EiT4ahupomIt_pKgk62a1i0OApVa1UFgXVVc9KH66v_Y5AQ6I_tbCacnQ2-SkfY4JC6ow', 'width': 5344}]",ChIJt-J-q4wfwYcRd1cqlL1TdBw,"{'compound_code': ""WJ6F+H7 Lee's Summit, MO, USA"", 'global_code': '86C7WJ6F+H7'}",2.0,4.5,ChIJt-J-q4wfwYcRd1cqlL1TdBw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",915.0,"321 Southeast Main Street, Lee's Summit",
OPERATIONAL,"{'location': {'lat': 38.94147, 'lng': -94.37684999999999}, 'viewport': {'northeast': {'lat': 38.94281593029149, 'lng': -94.37559871970849}, 'southwest': {'lat': 38.94011796970849, 'lng': -94.3782966802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jose Pepper's Mexican Restaurant,{'open_now': True},"[{'height': 1929, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104868240966297372308"">Jose Pepper&#39;s Mexican Restaurant</a>'], 'photo_reference': 'AW30NDwSX-fwqs4iyECbvM0zWwySh8-jkUWITwMsbG5e1IpHvW1RMOVyZYyhNkhjiL4lu9fpVAaK7B74w5PnqMRP9InZTrpRlDBbl9phf68HnK1WtvtumXuAmjpIW1tqQHImP_geeog4JS1i4XnoAthCSyIWnNT7eu9J4sJmZZzSJCoh-XVY', 'width': 2228}]",ChIJvXs9GcofwYcRELipZ7oqSOk,"{'compound_code': ""WJRF+H7 Lee's Summit, MO, USA"", 'global_code': '86C7WJRF+H7'}",2.0,4.2,ChIJvXs9GcofwYcRELipZ7oqSOk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",939.0,"1667 Northeast Douglas Street, Lee's Summit",
