business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.0273714, 'lng': -96.93911109999999}, 'viewport': {'northeast': {'lat': 33.02915118029151, 'lng': -96.93827326970849}, 'southwest': {'lat': 33.02645321970851, 'lng': -96.9409712302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Coyote Ridge Golf Club,{'open_now': False},"[{'height': 699, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114098319711376413277"">Coyote Ridge Golf Club</a>'], 'photo_reference': 'AW30NDw6b6coTaTEQWoNMjQmCiIfhpykZde0zId1rvontJwcrlHMt5ltP2y_HAnUsrDdajPU2V0EhdU48--a9jV523cb7rFpvt3Ab1Um8MY5up_5jvVPgJ5KsCa1XaAVJVSuMO62i56a0RRNZmmcEMVSkXtp12EvMMgxsVwEfY_nyW5ug-DN', 'width': 1536}]",ChIJWeriT5kvTIYRKqaM0OjjrpA,"{'compound_code': '23G6+W9 Carrollton, TX, USA', 'global_code': '865523G6+W9'}",4.2,ChIJWeriT5kvTIYRKqaM0OjjrpA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",496.0,"1640 West Hebron Parkway, Carrollton",,
OPERATIONAL,"{'location': {'lat': 33.0001063, 'lng': -96.9620762}, 'viewport': {'northeast': {'lat': 33.00157548029149, 'lng': -96.96064006970849}, 'southwest': {'lat': 32.99887751970849, 'lng': -96.96333803029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 1953, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111394965577750546796"">BJ&#39;s Restaurant &amp; Brewhouse</a>'], 'photo_reference': 'AW30NDxsa4f2p4uoJ1TCfc82lZ0-MW98FxbhEi8cTD36BC0K7X9Rjc-hNNDjn3poWeWkYmCkIfYsNWqde_ncI-HZACdGaH8hZcQlrKBl9CrY941kQeV1m9yFkZW56pSrZXJ_BGyA7Mjwsp7jbXQWJw3kkrsfraMG1nABr9rSbkFkrdp7tkcS', 'width': 4032}]",ChIJKVhtTh4vTIYRSBbCaavsp5E,"{'compound_code': '222Q+25 Lewisville, TX, USA', 'global_code': '8655222Q+25'}",4.2,ChIJKVhtTh4vTIYRSBbCaavsp5E,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",2242.0,"2609 South Stemmons Freeway, Lewisville",2.0,
OPERATIONAL,"{'location': {'lat': 33.0015284, 'lng': -96.9648316}, 'viewport': {'northeast': {'lat': 33.00297923029149, 'lng': -96.96339351970849}, 'southwest': {'lat': 33.0002812697085, 'lng': -96.96609148029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Logan's Roadhouse,{'open_now': True},"[{'height': 983, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109617042394317028752"">Logan&#39;s Roadhouse</a>'], 'photo_reference': 'AW30NDzN8eXnh2WG3VKqPRz6DyT61hbMPtJP-Xff71YL4lX3fyHo0LJpjqUpCpKq8wEBh1ohT1hr9awGiShHksnkZRLvZAX9DmtkDuG7Dg4EE03WJ8VzxVFpocHi0INA5waf69vrxSK899OxlJg6YrT4eNuNM1fmr8hpc7sdIuGwCJyOVPnd', 'width': 1475}]",ChIJiap-6eEuTIYRSJqO58mbVA4,"{'compound_code': '222P+J3 Lewisville, TX, USA', 'global_code': '8655222P+J3'}",3.2,ChIJiap-6eEuTIYRSJqO58mbVA4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",45.0,"2513 Stemmons Freeway, Lewisville",1.0,
OPERATIONAL,"{'location': {'lat': 33.01335199999999, 'lng': -96.9760788}, 'viewport': {'northeast': {'lat': 33.0145287302915, 'lng': -96.97524846970849}, 'southwest': {'lat': 33.0118307697085, 'lng': -96.9779464302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Main Event Lewisville,{'open_now': True},"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114980597746128465699"">Main Event Lewisville</a>'], 'photo_reference': 'AW30NDzMxRo0VdOw2Lzs_aVlTpWXN3kr4yKC4_cANzz3T-smTHlH_32-Acmq2dzEBdtaU10lwZvANfzHWmFrRxND4yyTLLrvsrQy5_wSzal9UxU3hQzvuPe5jJQ1OnSsjCYhpbY_-doi3ZG8kv9kRMe3xVzmS8qCQlDcvnjIvp3E7vplYE_T', 'width': 2016}]",ChIJ8QbUIvEuTIYRGT9pzownWq8,"{'compound_code': '227F+8H Lewisville, TX, USA', 'global_code': '8655227F+8H'}",4.2,ChIJ8QbUIvEuTIYRGT9pzownWq8,GOOGLE,"['restaurant', 'bowling_alley', 'food', 'point_of_interest', 'establishment']",2655.0,"2070 South Stemmons Freeway, Lewisville",2.0,
OPERATIONAL,"{'location': {'lat': 33.0010513, 'lng': -96.9634433}, 'viewport': {'northeast': {'lat': 33.0024497802915, 'lng': -96.96195371970849}, 'southwest': {'lat': 32.9997518197085, 'lng': -96.96465168029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Twin Peaks,{'open_now': True},"[{'height': 1633, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104621767115177452025"">Twin Peaks</a>'], 'photo_reference': 'AW30NDzn9A3JIK_Pgy_Fg8tclx2Le3ijBecVSz0IzpVqXPjHNzGfsqrZoEleOmYUGbf4MPANR3SQ5_qIJUwm3G7PfwoCl9sgwUMziCosjFPapDE80RL503rzbJt12ORsL1CODGCYjh0sK_YF5qOPFXewUE2MZwDsZnAahPYQLr9sBwJHsIF5', 'width': 2448}]",ChIJFeuXOx4vTIYRR-Gqi64dd8M,"{'compound_code': '222P+CJ Lewisville, TX, USA', 'global_code': '8655222P+CJ'}",4.4,ChIJFeuXOx4vTIYRR-Gqi64dd8M,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2120.0,"2601 South Stemmons Freeway, Lewisville",2.0,
OPERATIONAL,"{'location': {'lat': 33.0059398, 'lng': -96.96835809999999}, 'viewport': {'northeast': {'lat': 33.0073392802915, 'lng': -96.9671204697085}, 'southwest': {'lat': 33.0046413197085, 'lng': -96.96981843029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113705323907124710635"">David Burelsmith</a>'], 'photo_reference': 'AW30NDyJrOXIEeeBt_C1sS99qFqc1BZ08xzz0H6M-6omxVMX26BXBb6bZvBRFhKC0bAMvhX7TQX6foEWWqLnotDrGUQLQNoOMSGxTnAOtKngAZz9m8eT7R_4mQ87p0U4UATrSeUKkszLtFAywb8k3OW1AqBuKJFDqiqJldii0PgRs26pWsO5', 'width': 4032}]",ChIJ_UypeeMuTIYRGtrKERCRj2U,"{'compound_code': '224J+9M Lewisville, TX, USA', 'global_code': '8655224J+9M'}",4.3,ChIJ_UypeeMuTIYRGtrKERCRj2U,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2461.0,"2418 South Stemmons Freeway, Lewisville",2.0,
OPERATIONAL,"{'location': {'lat': 33.0134457, 'lng': -96.9946472}, 'viewport': {'northeast': {'lat': 33.0148164302915, 'lng': -96.9931759697085}, 'southwest': {'lat': 33.0121184697085, 'lng': -96.99587393029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wingstop,{'open_now': True},"[{'height': 496, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115015248656859662599"">Wingstop</a>'], 'photo_reference': 'AW30NDyvMRWRd0q3gFoiJ2jEB_hAsDB7BBoyYAokbaZe0_ia50GiBEQsQ3dftyjui6KDOUWoGppjLYh4LWmuWke2tgMBmZdEAeOyvNNC1bJrpLyby19snZdV2vyvAB4TpcKPwWFERMx0C-IpK6bN8tRSZA6eG3_YNgVx124WLP3tWFUxnWsl', 'width': 882}]",ChIJz0po0IguTIYR0GpIGxIsfiU,"{'compound_code': '2274+94 Lewisville, TX, USA', 'global_code': '86552274+94'}",4.0,ChIJz0po0IguTIYR0GpIGxIsfiU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",585.0,"2305 Texas 121 Business, Lewisville",2.0,
OPERATIONAL,"{'location': {'lat': 33.01043000000001, 'lng': -96.96673640000002}, 'viewport': {'northeast': {'lat': 33.0117445802915, 'lng': -96.9654769697085}, 'southwest': {'lat': 33.0090466197085, 'lng': -96.96817493029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100822950248001340608"">Scott Xavier</a>'], 'photo_reference': 'AW30NDyuOOQF_7mk9eMRUCz6W2gUrkRgIOY_pcL_LmjAOgvVtxhpLFzVkwdKkhbwNgG8rh-TvqcJ56fVhALsGYXrqeMdvnzP7Pa5IK3SzVrnk2VDLhtREPNYKlXh7qVQLdYdZX3DVGZ3pxCPzNWsHdov9q8Qx9q9Vb9EjgQXVvXtanTJGPyg', 'width': 4032}]",ChIJD2n_Ae8uTIYRqaRy4xc_LGo,"{'compound_code': '226M+58 Lewisville, TX, USA', 'global_code': '8655226M+58'}",4.3,ChIJD2n_Ae8uTIYRqaRy4xc_LGo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1043.0,"742 Hebron Parkway, Lewisville",2.0,
OPERATIONAL,"{'location': {'lat': 33.0168707, 'lng': -96.9808486}, 'viewport': {'northeast': {'lat': 33.0182173302915, 'lng': -96.97947566970849}, 'southwest': {'lat': 33.0155193697085, 'lng': -96.9821736302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,On The Border Mexican Grill & Cantina - Lewisville,{'open_now': True},"[{'height': 1192, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102224012100142708751"">On The Border Mexican Grill &amp; Cantina - Lewisville</a>'], 'photo_reference': 'AW30NDyZ2MfgXsNL9V4njFFrUvoKggF5a_33UdTR8HQnmqpxsnyMR4FRiCzQUTgXHvRVh69Hxc9Edf_Y-Qig2cTwFagepLVirXjZPgglQLQEiV3avEhG1BJuQCQAkBrjgJzJ3w9dWmiFvWJEXcY9oqR_YUQNcGwnHcvkm3qRcUxwIV5_HS3e', 'width': 2119}]",ChIJjam0ufUuTIYRbH52cjCKR58,"{'compound_code': '2289+PM Lewisville, TX, USA', 'global_code': '86552289+PM'}",3.9,ChIJjam0ufUuTIYRbH52cjCKR58,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1380.0,"1890 South Stemmons Freeway, Lewisville",2.0,
OPERATIONAL,"{'location': {'lat': 33.00741299999999, 'lng': -97.01979250000001}, 'viewport': {'northeast': {'lat': 33.00879448029149, 'lng': -97.01840671970851}, 'southwest': {'lat': 33.0060965197085, 'lng': -97.02110468029153}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Bahama Buck's - Lewisville,{'open_now': True},"[{'height': 1704, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100840715850954629801"">Bahama Buck&#39;s - Lewisville</a>'], 'photo_reference': 'AW30NDyCuSvyJvk4C_gJF2Nm7RKkJ8ughzCgC2Kmk7G6IQZzm-3s6jtfUik5XxE-f8l-5Ag1QC2T_gglMt0_WmMuK0ngwFuzFPR_OOvalk2PYBjrQ7Hnyp49s1yBMSAJb8jDe_LerNQRerw-DJp_SV7CvaCi92q_MgqvW4TgeSBBFPuO0cGX', 'width': 2272}]",ChIJ4XGiUDAsTIYRoAmQ3ynciRk,"{'compound_code': '2X4J+X3 Lewisville, TX, USA', 'global_code': '86542X4J+X3'}",4.6,ChIJ4XGiUDAsTIYRoAmQ3ynciRk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",686.0,"2320 South Valley Parkway, Lewisville",1.0,
