business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.0389967, 'lng': -84.4273379}, 'viewport': {'northeast': {'lat': 38.04024723029149, 'lng': -84.42591221970851}, 'southwest': {'lat': 38.03754926970849, 'lng': -84.42861018029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Smashing Tomato Pizzeria at Hamburg,{'open_now': True},"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112422175933870748640"">Smashing Tomato Pizzeria at Hamburg</a>'], 'photo_reference': 'AW30NDwfVzXbTGahzb5pXmldubDOBztTJicgtRQvAAz0FWgiquS8zceMtjgwo5Zoyc3lyAuFHwza3EXCjGmEPtzgdDnvIAtzz3PXSC9R5XGZHwzt3bleaS0KfALNcfgYT54Z7au0T-r2L2s9LqcFxGMNANj0U6pJNrLlyGihSEKFXZMcDYTJ', 'width': 375}]",ChIJHdwFiJJPQogRwLcK6WSZP-8,"{'compound_code': '2HQF+H3 Lexington, KY, USA', 'global_code': '86CQ2HQF+H3'}",1.0,4.6,ChIJHdwFiJJPQogRwLcK6WSZP-8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",484.0,"2200 War Admiral Way, Lexington",
OPERATIONAL,"{'location': {'lat': 38.01139, 'lng': -84.45619599999999}, 'viewport': {'northeast': {'lat': 38.01268038029151, 'lng': -84.4549128197085}, 'southwest': {'lat': 38.00998241970851, 'lng': -84.4576107802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Panera Bread,{'open_now': True},"[{'height': 2385, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117270826700653203784"">Seann Pound</a>'], 'photo_reference': 'AW30NDxqqoHH9nCfcZRxmL12Pe55QCt6UuYMNR2z1oI-d3PIvhRzIsVNk3kO2EeosKDUs2QxzovHBPhTW6edkM0aoJtQeooAiqPR1iPdDOXsfL-Zv-jktU86QitvMZnTkiTojx5cDhtE0HAIjzbhj_8bMN0WQZVP7gXj2DudPGluelC2QH84', 'width': 4032}]",ChIJO0s0mLZaQogRQHCyRsiWSao,"{'compound_code': '2G6V+HG Lexington, KY, USA', 'global_code': '86CQ2G6V+HG'}",2.0,4.1,ChIJO0s0mLZaQogRQHCyRsiWSao,GOOGLE,"['cafe', 'bakery', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",822.0,"2573 Richmond Road, Lexington",
OPERATIONAL,"{'location': {'lat': 38.0117679, 'lng': -84.45478229999999}, 'viewport': {'northeast': {'lat': 38.0132669802915, 'lng': -84.4536630697085}, 'southwest': {'lat': 38.0105690197085, 'lng': -84.4563610302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Angie's,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105646774918008448840"">Shawn Silliman</a>'], 'photo_reference': 'AW30NDzUGsaZhMiIyMLpfOaAtwEMnpzdlq750Bubx3TK7ZJTGw_PrNbpT4DJ1Uhr-57ppoWxj41E-YPJ5Omjsd_K_Bn-SaySrqDovBLddxB4PBLvBmBeq2-4mSpi-XjH8KbZIBbbIDZ8M21LfeiIzGwn4Xnyngn_noRJx0dNaBbuF4hiLUQC', 'width': 3024}]",ChIJB1HJArRaQogRpeiafGQbdwY,"{'compound_code': '2G6W+P3 Lexington, KY, USA', 'global_code': '86CQ2G6W+P3'}",,3.9,ChIJB1HJArRaQogRpeiafGQbdwY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",9.0,"2601 Richmond Road, Lexington",
OPERATIONAL,"{'location': {'lat': 38.0630703, 'lng': -84.4671762}, 'viewport': {'northeast': {'lat': 38.0642223802915, 'lng': -84.46558631970849}, 'southwest': {'lat': 38.0615244197085, 'lng': -84.4682842802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114257332446703539441"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDzIZAGmYvD9oCrWo2mrUZkydfmEKJGZkszRxiCW33UgJU4lc2SIz3RrNAgZe7VZ4Pbjx257uoqNXYVCnm-6LyFWV0qyINKOfdQzxAaI0daLHgxUBMVS-uMvQ00_mHeeWh28pXHkWXZ8XVHsVl4TqbEFA1LCTYcPiKwJ6_FqJehAqDG6', 'width': 960}]",ChIJjeFOVKZFQogRsg780BHr6g0,"{'compound_code': '3G7M+64 Lexington, KY, USA', 'global_code': '86CQ3G7M+64'}",2.0,3.9,ChIJjeFOVKZFQogRsg780BHr6g0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3558.0,"185 East New Circle Road, Lexington",
OPERATIONAL,"{'location': {'lat': 38.00228959999999, 'lng': -84.4477489}, 'viewport': {'northeast': {'lat': 38.00378043029149, 'lng': -84.44592011970849}, 'southwest': {'lat': 38.00108246970849, 'lng': -84.4486180802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 2366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105648369208725428575"">WILLIAM LEMASTER</a>'], 'photo_reference': 'AW30NDxpCv1AOLc_BMzbjFgB1fz-aoHjyErrDz2CNKKbSTHkzhlATkVtTh8x8L3sF1OooC2LBvyLn7i8S_t5A55X8_way1Zut_qrKUDnQkKwKM-XjaXxUP1wcL-mAA63uszhpYKvU6lK_t8BiZkH_y-3xivHDtY8gmhy2417a6MlY7NZg6sy', 'width': 3982}]",ChIJqWvqH6VaQogRxcTCszmhL38,"{'compound_code': '2H22+WW Lexington, KY, USA', 'global_code': '86CQ2H22+WW'}",2.0,4.4,ChIJqWvqH6VaQogRxcTCszmhL38,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3073.0,"3116 Richmond Road, Lexington",
OPERATIONAL,"{'location': {'lat': 38.0240896, 'lng': -84.4238883}, 'viewport': {'northeast': {'lat': 38.0254298802915, 'lng': -84.42242761970849}, 'southwest': {'lat': 38.02273191970851, 'lng': -84.4251255802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bonefish Grill,{'open_now': True},"[{'height': 2497, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116369052305539627170"">Douglas Andersen</a>'], 'photo_reference': 'AW30NDxhJlzlxCQYJ7OyMIQNKt-aj-uS9Aon7QbXlUuPTw81fStGZL0bGxBnEb3T-1vGBl2Z5vHNfMuXVhftboisVhO3lXSwv_XWEJA8Z6UY2BqLMqWfASKo_UjVwlex9XgtKTIq0x2OI-COh22HDyy4ZCF0rTBLx4toxTHjgQyzt4n8Sgrq', 'width': 3462}]",ChIJI0nSLuRPQogRdkOEN2IdLak,"{'compound_code': '2HFG+JC Lexington, KY, USA', 'global_code': '86CQ2HFG+JC'}",2.0,4.5,ChIJI0nSLuRPQogRdkOEN2IdLak,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1148.0,"2341 Sir Barton Way, Lexington",
OPERATIONAL,"{'location': {'lat': 38.02356409999999, 'lng': -84.4238417}, 'viewport': {'northeast': {'lat': 38.0249326802915, 'lng': -84.42235236970849}, 'southwest': {'lat': 38.0222347197085, 'lng': -84.4250503302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,QDOBA Mexican Eats,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102973727291740259645"">Victor Jordan</a>'], 'photo_reference': 'AW30NDzgIWCpYeEQsKveaZOluDyJuX7quPprVCpI-btaSqdi1DVaq-tqw2fmCmKtCU9Co0UbDDWNtl1k2TT5PyytnFuIxS9fY32SE6Z9dPeC5aLhs1WgnLhvcRVpBZj9VoYgIQh3R7X7uo69uNHIJ7dHACsRxrIaP9KdSBVpDxDe9Ri1YOdT', 'width': 4032}]",ChIJI0nSLuRPQogRR_Mkutxea5g,"{'compound_code': '2HFG+CF Lexington, KY, USA', 'global_code': '86CQ2HFG+CF'}",1.0,3.9,ChIJI0nSLuRPQogRR_Mkutxea5g,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",532.0,"2337 Sir Barton Way Suite 105, Lexington",
OPERATIONAL,"{'location': {'lat': 38.03827339999999, 'lng': -84.4227523}, 'viewport': {'northeast': {'lat': 38.0395732802915, 'lng': -84.4214452197085}, 'southwest': {'lat': 38.0368753197085, 'lng': -84.42414318029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114551069050517184742"">Samson King</a>'], 'photo_reference': 'AW30NDwWKaz1aUlDBpZB4LZ_raO4rsop_umbqQHUYjPmB-WGIZ8GNlFPEFL9PT-NGe39RBKL8v_dNDzSwBfeynUqJOdkj2VvlM56hnMx7JmGkJaPo0oe0qaDpKGBiOJnr7xdK7e7_bb6UyINHIed4AAht7M_L8mpy8EPl_0o0m0RkL7z9Coo', 'width': 4032}]",ChIJE_2DWZNPQogRV2BwHUMlYhA,"{'compound_code': '2HQG+8V Lexington, KY, USA', 'global_code': '86CQ2HQG+8V'}",1.0,3.3,ChIJE_2DWZNPQogRV2BwHUMlYhA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",40.0,"2350 Grey Lag Way, Lexington",
OPERATIONAL,"{'location': {'lat': 38.0114136, 'lng': -84.4213899}, 'viewport': {'northeast': {'lat': 38.0127290802915, 'lng': -84.41994611970848}, 'southwest': {'lat': 38.0100311197085, 'lng': -84.4226440802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Five Guys,{'open_now': True},"[{'height': 1958, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105783782591499295029"">Corey Loughren</a>'], 'photo_reference': 'AW30NDyD2I2_fG2iABFqIb5FsbW9uhRAQAtO0ldD6Q1IMoeVTZcgigZBpr_PbbLZnguE4CFoj0C2ZPnnJaXjp7JDlNaNuktiJCCISx0WHE9qaasojO2v1fCWyjsvlB6cLlmR9tFA9Rj16csWTpIbLab_v-Vpe5h-EiI1wa_pgwZ60-ynMI6V', 'width': 2435}]",ChIJ32WmsB5QQogRmgpNoW8oHPM,"{'compound_code': '2H6H+HC Lexington, KY, USA', 'global_code': '86CQ2H6H+HC'}",2.0,4.6,ChIJ32WmsB5QQogRmgpNoW8oHPM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1247.0,"3090 Helmsdale Place Suite 370, Lexington",
OPERATIONAL,"{'location': {'lat': 38.0028866, 'lng': -84.443972}, 'viewport': {'northeast': {'lat': 38.0042423802915, 'lng': -84.44270336970851}, 'southwest': {'lat': 38.0015444197085, 'lng': -84.44540133029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Wok,{'open_now': False},"[{'height': 2346, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105783782591499295029"">Corey Loughren</a>'], 'photo_reference': 'AW30NDx7SbYzS_8PiItixfttPiSnH2CuM28l375b7RfzXJqSXvaOEVphkoYxJJD11JImdcnxTj5cfkcrcm1UdTjnJwu7TyCagnRo7_A_hg0_JqM078zig-f-JVaEf8BwYUi47lA2rmyn-ikMaBtshQpc_mpcljHNzUf8NPHdgkKjF80XL9N1', 'width': 2497}]",ChIJcQ-ISaRaQogRaZZfNvWLVzQ,"{'compound_code': '2H34+5C Lexington, KY, USA', 'global_code': '86CQ2H34+5C'}",1.0,4.0,ChIJcQ-ISaRaQogRaZZfNvWLVzQ,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",247.0,"3101 Richmond Road #302, Lexington",
OPERATIONAL,"{'location': {'lat': 38.0219137, 'lng': -84.4194364}, 'viewport': {'northeast': {'lat': 38.0231647302915, 'lng': -84.41815271970849}, 'southwest': {'lat': 38.0204667697085, 'lng': -84.42085068029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116369052305539627170"">Douglas Andersen</a>'], 'photo_reference': 'AW30NDw745cddRdZKI82WzjAP1TqBFJnNQKrT5Y4lmUhuCVvFinjXy3OJwJDgkyqurzqnlb4DiO8KH9ihxfE6GFvkHKacmRZ3QsNOxe_vt0MiKMCDqkex55-12rf9DbOsYoy-0wPx6DbWlEPqXfO0oqO9ycxKV2_trRzulPGAdm3X9bUTnfx', 'width': 4969}]",ChIJ0fctFOdPQogRrtHRetDTUG8,"{'compound_code': '2HCJ+Q6 Lexington, KY, USA', 'global_code': '86CQ2HCJ+Q6'}",1.0,3.7,ChIJ0fctFOdPQogRrtHRetDTUG8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",108.0,"2160 Sir Barton Way Suite 121, Lexington",
OPERATIONAL,"{'location': {'lat': 38.02188609999999, 'lng': -84.4543904}, 'viewport': {'northeast': {'lat': 38.02325598029149, 'lng': -84.4531125697085}, 'southwest': {'lat': 38.02055801970849, 'lng': -84.4558105302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,IHOP,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102973727291740259645"">Victor Jordan</a>'], 'photo_reference': 'AW30NDzw06qHnbwIH-JKiGWDi8fmsygEpSVO2LJLqR-9DO5zDHggfk8I5X7C4JQL6UhBzjXPNNAzJQtlns5G3EaDKfg7F9gqd6iDAmHeTihUmE7Q24hpk-JtaIdyXg_h2f1w6Mh1Xu5x2E_cxBzVDvGfZoRVRbrztwz11lG-s4hxrGx41qH3', 'width': 4032}]",ChIJ8yQL-ktFQogR0G2f7fx59oY,"{'compound_code': '2GCW+Q6 Lexington, KY, USA', 'global_code': '86CQ2GCW+Q6'}",1.0,3.8,ChIJ8yQL-ktFQogR0G2f7fx59oY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1516.0,"2306 Palumbo Drive, Lexington",
OPERATIONAL,"{'location': {'lat': 38.0085172, 'lng': -84.42434589999999}, 'viewport': {'northeast': {'lat': 38.00980638029149, 'lng': -84.42290716970848}, 'southwest': {'lat': 38.00710841970849, 'lng': -84.42560513029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 3095, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105719626694165540735"">Anthony Neff</a>'], 'photo_reference': 'AW30NDziMTSwwSyGudxr4AF4UYf_ZKs5iJXZoPcADmqBWtCXSD3cbE8Hi65zz0v4P5IKymyzpx6h5CuEV9spfHdkuzdFKdseiPu2DW3ieDW2RO_FKhWo6hy7siknQO3_m6V2Bc5zLSE2t0uKS7ZLzCnMZYZYh0wEZ8l-McqNU9UOt3RCLfFB', 'width': 5831}]",ChIJ6XaZoxtQQogRT0r_kNdCInM,"{'compound_code': '2H5G+C7 Lexington, KY, USA', 'global_code': '86CQ2H5G+C7'}",2.0,3.9,ChIJ6XaZoxtQQogRT0r_kNdCInM,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1271.0,"3090 Old Todds Road, Lexington",
