business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.814945, 'lng': -96.71082500000001}, 'viewport': {'northeast': {'lat': 40.8163194802915, 'lng': -96.7095481197085}, 'southwest': {'lat': 40.81362151970851, 'lng': -96.71224608029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Lazlo's Brewery & Grill - Haymarket,{'open_now': True},"[{'height': 1546, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104503780619798859500"">Lazlo&#39;s Brewery &amp; Grill - Haymarket</a>'], 'photo_reference': 'AW30NDwv34tyiv4uEzt154ca3R6THjMSNiuelUlWFcKUdbcLjwTmLa5KN9vuJVSPIo5uohR9bc0m2LFb44qnPuu-DldzkI8x0twELpHsW3eBdxxUWXFtNFxlfaOCvhINiAPD5DNimMtTasOdRIPkpuQ6qNYX6rDq_B3jfXTa4vL2xpMeTjF8', 'width': 2771}]",ChIJEXcyvxy_locRjFbYvvQn5_g,"{'compound_code': 'R77Q+XM Lincoln, NE, USA', 'global_code': '86G5R77Q+XM'}",2.0,4.5,ChIJEXcyvxy_locRjFbYvvQn5_g,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2559.0,"210 North 7th Street, Lincoln",
OPERATIONAL,"{'location': {'lat': 40.80392579999999, 'lng': -96.68277529999999}, 'viewport': {'northeast': {'lat': 40.80529028029149, 'lng': -96.68125411970848}, 'southwest': {'lat': 40.80259231970849, 'lng': -96.68395208029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2790, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112328775168307832932"">T.J.</a>'], 'photo_reference': 'AW30NDxv20iELRq1pH9gg8til3eGmLFCIbdkg7MVYqUAYrGtpqqgjs7dW3Wj28gus34v37EjvS9HnixNbCiK59I-lOdsD7z_i5HawfgE7DTYqaW50MiB5k6vndBYOvKUjU4PBqZ1Dvx8dFIANvYQ2Af3jgQe3u8Asv-SjM9MoMH9oSDWlE_7', 'width': 1978}]",ChIJL2IVTWC-locR-w25IxQRlz0,"{'compound_code': 'R838+HV Lincoln, NE, USA', 'global_code': '86G5R838+HV'}",1.0,3.8,ChIJL2IVTWC-locR-w25IxQRlz0,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",378.0,"965 South 27th Street, Lincoln",
OPERATIONAL,"{'location': {'lat': 40.8107908, 'lng': -96.7066552}, 'viewport': {'northeast': {'lat': 40.8121365302915, 'lng': -96.7054863197085}, 'southwest': {'lat': 40.80943856970851, 'lng': -96.7081842802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Green Gateau,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116549027145143685545"">The Green Gateau</a>'], 'photo_reference': 'AW30NDzEYyg8NJaTgZhKsPX7-x7YhBIIUl4Im8LMuJbRCTC1URGUYUhuXlS0jgmC2GQXkXtf-tAG1ERxW02Yg76qelIkKkFpMuWoxP8PhZwXXmbbWmWXjILG8_Dk_XZ9u4JoBRV-ALj_w3kMT8-g8_OgwxzKnCg8B8sbAf97Pi2iHPeS470i', 'width': 2048}]",ChIJg11BdQK_locRyrIB8FU3zNQ,"{'compound_code': 'R76V+88 Lincoln, NE, USA', 'global_code': '86G5R76V+88'}",2.0,4.6,ChIJg11BdQK_locRyrIB8FU3zNQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1343.0,"330 South 10th Street, Lincoln",
OPERATIONAL,"{'location': {'lat': 40.8164975, 'lng': -96.71212820000001}, 'viewport': {'northeast': {'lat': 40.81783788029149, 'lng': -96.71064416970852}, 'southwest': {'lat': 40.81513991970849, 'lng': -96.71334213029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hiro 88 Haymarket,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103041318386016813455"">Hiro 88 Haymarket</a>'], 'photo_reference': 'AW30NDxZg7zLJH8bhkmcVUpo_J9uqjzUD-H8ATc98Z6f0bUkVW3Rz2kVS-7CbIwQ5x_AyhFbbImk6DPZuGLdR7ORrQiKZ_H3nD3BRgj_4J0kx2PUiul0e1ok5zZj52sz3Xa8Ss3wNuXdSypxGdaWP6X-0pUEu3gY7Jp25M3pN3ffQAhAgrTy', 'width': 5184}]",ChIJfy_dYxy_locRwWgWnYcOg2A,"{'compound_code': 'R78Q+H4 Lincoln, NE, USA', 'global_code': '86G5R78Q+H4'}",2.0,4.2,ChIJfy_dYxy_locRwWgWnYcOg2A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",614.0,"601 R Street #100, Lincoln",
OPERATIONAL,"{'location': {'lat': 40.8137908, 'lng': -96.70144359999999}, 'viewport': {'northeast': {'lat': 40.8150583802915, 'lng': -96.70006876970848}, 'southwest': {'lat': 40.8123604197085, 'lng': -96.7027667302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,{'open_now': True},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101067067467375763869"">Milton McNeeLee</a>'], 'photo_reference': 'AW30NDyGeGiRnATH7X7es7vRLr1L5xXlmeXeMcZ5kA-_UiH8lIdHbQtXCkxyYq-HDklWnr-RzeyRdG_VTu5VfmdicaA_-0lJZg1J0gzZ-pTVekTqyitdgPHa9qMe-zoUN-ff6nXQcgYXpTFjegPvmGBQs_ouJnZ5rsQBuAnu1RVP_LNTDARP', 'width': 800}]",ChIJyRPIqvy-locRJ356pIpHbQs,"{'compound_code': 'R77X+GC Lincoln, NE, USA', 'global_code': '86G5R77X+GC'}",1.0,3.6,ChIJyRPIqvy-locRJ356pIpHbQs,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",244.0,"101 North 14th Street, Lincoln",
OPERATIONAL,"{'location': {'lat': 40.81507690000001, 'lng': -96.7017857}, 'viewport': {'northeast': {'lat': 40.81626028029149, 'lng': -96.70046451970849}, 'southwest': {'lat': 40.8135623197085, 'lng': -96.70316248029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116027512602050193379"">Kayla Kanta</a>'], 'photo_reference': 'AW30NDzzHqS4nx-WoPdxRXRVwvrVSuT7lBhKsXRg8qARD9BF4Sf-PNIRThPxNCIVFqO57Qp3bev2qBGImytKMSEn5UN-bk4R6vZCEAW6g1Godj8TynX7vXQoYAgJg8rJL6fwM_Gs9XTYhpyy4FLMvbqHs6ST2X1A-Sjj4unZOiG7fV-tiVOD', 'width': 3024}]",ChIJca9RUuO-locRlkWuRdeUF8w,"{'compound_code': 'R78X+27 Lincoln, NE, USA', 'global_code': '86G5R78X+27'}",2.0,3.5,ChIJca9RUuO-locRlkWuRdeUF8w,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",894.0,"1328 P Street, Lincoln",
OPERATIONAL,"{'location': {'lat': 40.8108294, 'lng': -96.70045069999999}, 'viewport': {'northeast': {'lat': 40.8124517302915, 'lng': -96.69946371970849}, 'southwest': {'lat': 40.8097537697085, 'lng': -96.7021616802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Scooter's Coffee,{'open_now': False},"[{'height': 3600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103958033708524153960"">Scooter&#39;s Coffee</a>'], 'photo_reference': 'AW30NDxpTWgTuea7sS2i5LqCjOVllvkJr3L4Yhixe0Lqu3uzPqnVJIqgFFiIBD5yv9-MGoaUTunfiw9dBrfClZ3VfxGOa18tX1OQMyXfFVdZxSVlEI98kiwSTFGqtkFCuysqABIHY5G-MbrfGGrOzlBU1haDSn3GLUvlF4WLs698u6FpD4es', 'width': 2400}]",ChIJZZq2yxy_locRXVamq-PDW3A,"{'compound_code': 'R76X+8R Lincoln, NE, USA', 'global_code': '86G5R76X+8R'}",,4.3,ChIJZZq2yxy_locRXVamq-PDW3A,GOOGLE,"['bakery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",32.0,"301 Centennial Mall South, Lincoln",
OPERATIONAL,"{'location': {'lat': 40.8141444, 'lng': -96.7077056}, 'viewport': {'northeast': {'lat': 40.81545398029149, 'lng': -96.7062923697085}, 'southwest': {'lat': 40.81275601970849, 'lng': -96.70899033029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Blue Orchid Thai Restaurant,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102242363868003328533"">Brandon F</a>'], 'photo_reference': 'AW30NDyQuNgyjf3o6G0tlsNJj8cxDU-j1WJXB6gSHCMbVfxPNOFE3jfRnh0RzWnRTY5fsazAzzGXCO-tMbHjo8b5ZyuAl7MhbUNWUvQjvBQxuDs0P96N7ncER1mlukJorEX2ZZlJdeuozXX1mbgbXxCyjNVskQDKbjQPYNM_ObXurHTlp26i', 'width': 4032}]",ChIJN3kntQK_locRk6oiBFowoJM,"{'compound_code': 'R77R+MW Lincoln, NE, USA', 'global_code': '86G5R77R+MW'}",2.0,4.2,ChIJN3kntQK_locRk6oiBFowoJM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",523.0,"129 North 10th Street #111, Lincoln",
OPERATIONAL,"{'location': {'lat': 40.8432503, 'lng': -96.6842346}, 'viewport': {'northeast': {'lat': 40.8447620802915, 'lng': -96.68229706970848}, 'southwest': {'lat': 40.8420641197085, 'lng': -96.6849950302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brewsky's Food & Spirits North,{'open_now': True},"[{'height': 4896, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105701706115919020883"">Michael Fritz</a>'], 'photo_reference': 'AW30NDyEGAce-C369OX0A9Sa-cHqGqKg4fzfNuYYshPopNPwVJyzHvKjGFmCADlY2Up3Fu-_ElaQdOObaUCbXr_cc1mbeuIQQig4DUF3K-ZerbIBu-7yHExE99_0vW_wm-d6z9JDgeimWVetveepJHy6FZdMukH76KsG0ohz0xxX2DeKrag', 'width': 3672}]",ChIJ8-3PCLW-locR98mt0Ypb8C8,"{'compound_code': 'R8V8+88 Lincoln, NE, USA', 'global_code': '86G5R8V8+88'}",2.0,4.1,ChIJ8-3PCLW-locR98mt0Ypb8C8,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",636.0,"2662 Cornhusker Highway, Lincoln",
OPERATIONAL,"{'location': {'lat': 40.8134305, 'lng': -96.7004798}, 'viewport': {'northeast': {'lat': 40.81487628029149, 'lng': -96.69913621970849}, 'southwest': {'lat': 40.81217831970849, 'lng': -96.7018341802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yia Yia's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106037180178415531188"">Kathy Ells</a>'], 'photo_reference': 'AW30NDwC05kI0hVF8vCcKg3e7W6ewZi_4Pl1MzlBHeC99ZZ5VvL_qRJKxSoBj1bkijvxW7NpvleFdVdv3y59pB3WzUzUd5qTO5tyHIP41BC5C7PJ59U6Uiy6KjmqqeJ5xgmQyltzQwJEzNz0e8d2GlUag14ATYdKEGKIj4fAUDm91031kyT6', 'width': 4032}]",ChIJ3YNHaPu-locRv-v5Brl7HpM,"{'compound_code': 'R77X+9R Lincoln, NE, USA', 'global_code': '86G5R77X+9R'}",2.0,4.6,ChIJ3YNHaPu-locRv-v5Brl7HpM,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",934.0,"1423 O Street, Lincoln",
