business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.7412913, 'lng': -92.35071599999999}, 'viewport': {'northeast': {'lat': 34.7428436302915, 'lng': -92.34935581970848}, 'southwest': {'lat': 34.7401456697085, 'lng': -92.3520537802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111756807306642450872"">John Smith</a>'], 'photo_reference': 'AW30NDwODNoDW16-B1GbKpkQYeNedvuukBkPwYjRiLmsV5GIA2IwU75t_MLEuIXn9dSzqN1oPqpGWRVmhbEmosgZJ1W2Zxem3I-IY--pu0rligPtONsC2GLyFNN5s2V109qbxvCibms0_-v4H6eF3YF8wU2e7aG9YBjWL-k7XXXjarfo2rAO', 'width': 4032}]",ChIJZUhfonqk0ocRRUX8afrqSIc,"{'compound_code': 'PJRX+GP Little Rock, AR, USA', 'global_code': '8669PJRX+GP'}",1.0,3.9,ChIJZUhfonqk0ocRRUX8afrqSIc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",199.0,"6701 West 12th Street Suite 3, Little Rock",
OPERATIONAL,"{'location': {'lat': 34.73379699999999, 'lng': -92.34266889999999}, 'viewport': {'northeast': {'lat': 34.7351471802915, 'lng': -92.3411963697085}, 'southwest': {'lat': 34.7324492197085, 'lng': -92.3438943302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100973482069871324313"">Aurora Perry</a>'], 'photo_reference': 'AW30NDz1IIWBe5vsksq3pw785oka0oANin7qXnxLhejLh0zIc5eKNsrEQk4nsw00kUz30WbJOhktcNpAs1aDdxvxPVNxKgIL8Kss4bNc5hRjZ738DqJ5Oia33x4wN6iJ5w6GeokvBnTZL4_Jp1tk9pDYayBWaPcmEQ6bwhXI6LArCjqC-TdL', 'width': 3120}]",ChIJqZn052Gk0ocRsz2gN1Wh360,"{'compound_code': 'PMM4+GW Little Rock, AR, USA', 'global_code': '8669PMM4+GW'}",1.0,3.5,ChIJqZn052Gk0ocRsz2gN1Wh360,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",201.0,"2000 South University Avenue Ste C, Little Rock",
OPERATIONAL,"{'location': {'lat': 34.751995, 'lng': -92.36724}, 'viewport': {'northeast': {'lat': 34.75337493029149, 'lng': -92.3659261697085}, 'southwest': {'lat': 34.75067696970849, 'lng': -92.36862413029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Lobster,{'open_now': True},"[{'height': 963, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100422275791204074926"">Michael Hayter</a>'], 'photo_reference': 'AW30NDxQ0BoGifNo2KW9NiWRygS_jqX5FptW9laOcS6uMghweReQcdZYCpRiFoQ0Nh2xvTP9vkvI4CMHOKg_4v6r-9-eJFmfSeaCpD3b0vFZeNeUy6UF0K5y5tPmM9CX_TI07mRsom2V-I5BH2N92peUQIziUW5C89XNf8JU48eFAeBKt7yj', 'width': 1284}]",ChIJrzw4EPaj0ocRrZRoogowEOc,"{'compound_code': 'QJ2M+Q4 Little Rock, AR, USA', 'global_code': '8669QJ2M+Q4'}",2.0,4.1,ChIJrzw4EPaj0ocRrZRoogowEOc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1611.0,"8407 West Markham Street, Little Rock",
OPERATIONAL,"{'location': {'lat': 34.7502492, 'lng': -92.3421552}, 'viewport': {'northeast': {'lat': 34.75168478029151, 'lng': -92.34084011970849}, 'southwest': {'lat': 34.74898681970851, 'lng': -92.3435380802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Panera Bread,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110867716534080492858"">Kim Harris</a>'], 'photo_reference': 'AW30NDytObq8XLkH4o6ot6OMoek_KMrzamc2C4ool0r0eXY-HD0bpfW116uewWceVUyppMmo3UwZzmhO63iqueIM59251bHc1WZC_QL2gd2sJzDKsb6ApbxLsQTgfRGp1rzbH74iiZp59syLoGQOG0O32LU41JyGiFSH280fFrCGs72tafIx', 'width': 4032}]",ChIJ2bSnEoCk0ocRN0mbKS2a6IU,"{'compound_code': 'QM25+34 Little Rock, AR, USA', 'global_code': '8669QM25+34'}",2.0,4.1,ChIJ2bSnEoCk0ocRN0mbKS2a6IU,GOOGLE,"['cafe', 'meal_takeaway', 'bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",642.0,"314 South University Avenue Suite 100, Little Rock",
OPERATIONAL,"{'location': {'lat': 34.7248247, 'lng': -92.34254829999999}, 'viewport': {'northeast': {'lat': 34.72611578029149, 'lng': -92.34123426970848}, 'southwest': {'lat': 34.72341781970849, 'lng': -92.34393223029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112644645289824959416"">Chase Carmichael</a>'], 'photo_reference': 'AW30NDyqXu1DbJaz9XQID97-ljuZmsjakb32hrelrvgJcce9ZWtjLTTRezOAiVs1MCzvpKwQ2cHy4U-lnYeeTrxwSZeUaOKpdR4suYQpoFN9Jh00-LWbiA3hN6wSTzpl8d-aser7w2wSV1a2N7jDhfuBRHTwXDauUElgc7g4uP5f3MdEeWRK', 'width': 4032}]",ChIJG9F1Wl-k0ocRHuP3hKofEpQ,"{'compound_code': 'PMF4+WX Little Rock, AR, USA', 'global_code': '8669PMF4+WX'}",1.0,3.1,ChIJG9F1Wl-k0ocRHuP3hKofEpQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",390.0,"2912 South University Avenue, Little Rock",
OPERATIONAL,"{'location': {'lat': 34.7452408, 'lng': -92.3817097}, 'viewport': {'northeast': {'lat': 34.7463812802915, 'lng': -92.3804578197085}, 'southwest': {'lat': 34.7436833197085, 'lng': -92.3831557802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107239877618772998155"">Subway</a>'], 'photo_reference': 'AW30NDy8nG49rAXQVVZoYHTFojUhDD0k_qtNDs2PlLPV_gXHAv27etVU57gbbCSmWIVT3XC-UJxETRlGJbBxNyAJpzi4uM8gNHYOaU4AiAE87N5nQ08jxKy_hxRbGYk8HOPet5T0k6EMsR8abE58uwCpLpjDk9hU9hTG5FFWl2mRZrt5NiTX', 'width': 1763}]",ChIJaYV7A6qm0ocRY2tC8VxkqkI,"{'compound_code': 'PJW9+38 Little Rock, AR, USA', 'global_code': '8669PJW9+38'}",1.0,3.9,ChIJaYV7A6qm0ocRY2tC8VxkqkI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",75.0,"9601 Lile Drive, Little Rock",
OPERATIONAL,"{'location': {'lat': 34.7139099, 'lng': -92.3987659}, 'viewport': {'northeast': {'lat': 34.7151582802915, 'lng': -92.3974211697085}, 'southwest': {'lat': 34.71246031970851, 'lng': -92.4001191302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2029, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112644645289824959416"">Chase Carmichael</a>'], 'photo_reference': 'AW30NDxxWVIwi-a6DzVKgUZIscjfPbWv19LBrzzYe7K4CD-nqE-TTJDREHf4TtVEuReRzKCRGiUnWeMqBF42vqSm7DVVmTtbi5BZWRNmLdo6Xo2rsz-LQD93M2n6YAuEKUtihI-cm6KsK31Mdz3XK4NPljrioLuRUEjdIItiri8iGDc9fc2B', 'width': 2763}]",ChIJB0vC8Iym0ocR-qs3ag0oStI,"{'compound_code': 'PJ72+HF Little Rock, AR, USA', 'global_code': '8669PJ72+HF'}",1.0,3.3,ChIJB0vC8Iym0ocR-qs3ag0oStI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",135.0,"10912 Colonel Glenn Road #5000, Little Rock",
OPERATIONAL,"{'location': {'lat': 34.7527772, 'lng': -92.3406675}, 'viewport': {'northeast': {'lat': 34.7540540802915, 'lng': -92.33923316970849}, 'southwest': {'lat': 34.7513561197085, 'lng': -92.34193113029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110823923090837774218"">Robert Hattan</a>'], 'photo_reference': 'AW30NDz-hS25xlIdskxn_-bTHdKR1-XzDcD2-xz34nSzdiy13OT3cH83W6BVxXd-Nas3pfQgbm0DoqKy6kfbHXJIlKBWMd-dTDd75GWYmjlboEFNRAizDNJydd11YuWC5Wlg6qLRb9ZpUjwn9jBDA5LbRw39v-ay_KLA-NdyY0ZlIjToczFY', 'width': 3024}]",ChIJd33E7H-j0ocRGXBgzpy56Jo,"{'compound_code': 'QM35+4P Little Rock, AR, USA', 'global_code': '8669QM35+4P'}",2.0,4.3,ChIJd33E7H-j0ocRGXBgzpy56Jo,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",459.0,"201 North University Avenue, Little Rock",
OPERATIONAL,"{'location': {'lat': 34.73261899999999, 'lng': -92.395466}, 'viewport': {'northeast': {'lat': 34.73389818029149, 'lng': -92.3941293197085}, 'southwest': {'lat': 34.7312002197085, 'lng': -92.3968272802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3465, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111131212365154471728"">Moon Light</a>'], 'photo_reference': 'AW30NDylQAhrfWt0hQtjhAMFQ4197IQkw57inE3FGVLkZgTPZDoMbXxY7sVbZQkFw4Kl_OjotJ8cwbpVHScgMMxAvCe7QlkiX4Kg8XIgkk-GrG4zwgTBt1r3EYImeWyEdxJbuOlmdAyY1HLb4DuQpV7ihv5FbfxvWPGDACRr5gJBri5LZtHG', 'width': 4616}]",ChIJx3C-lL2m0ocRz7Sf4o9Ke40,"{'compound_code': 'PJM3+2R Little Rock, AR, USA', 'global_code': '8669PJM3+2R'}",2.0,4.3,ChIJx3C-lL2m0ocRz7Sf4o9Ke40,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2751.0,"2620 South Shackleford Road, Little Rock",
OPERATIONAL,"{'location': {'lat': 34.7543795, 'lng': -92.3407132}, 'viewport': {'northeast': {'lat': 34.7557537302915, 'lng': -92.33924096970848}, 'southwest': {'lat': 34.7530557697085, 'lng': -92.34193893029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pei Wei Asian Kitchen,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107137662325353613505"">Neil Greathouse</a>'], 'photo_reference': 'AW30NDxcCbe5MZC-lcMYMcf4om-9BwPXxotl_NlmkeZSvIFBmKlTV24qHMNPUvZFpLWACfQpnjxum39TR8dhwf8JJdk9TvgxGW5yZHN4YTj7fIV1H1rrnWNRgXvV7VsDoXKb8DVgfc2XrcfbPTsd3S1r5th9dfNRS8z2i8waj3FmgF8zRQ_c', 'width': 4032}]",ChIJqQoPnn-j0ocRGT4CTpWvUSI,"{'compound_code': 'QM35+QP Little Rock, AR, USA', 'global_code': '8669QM35+QP'}",2.0,3.9,ChIJqQoPnn-j0ocRGT4CTpWvUSI,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",735.0,"205 North University Avenue, Little Rock",
