business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.0230817, 'lng': -118.3948204}, 'viewport': {'northeast': {'lat': 34.0244860302915, 'lng': -118.3935281197085}, 'southwest': {'lat': 34.0217880697085, 'lng': -118.3962260802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rush Street,{'open_now': False},"[{'height': 458, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111872771508116468674"">Rush Street</a>'], 'photo_reference': 'AW30NDzgSUFYYsYOozhVOBP8HKzMXEjF2cfk6Dwch5jsHus9uA6ie9cd8c9LdO7gHCGtzrpyQbi_Uw9AAsYoaY4Z2e8zBDWKl2dCb0NozBeM7DzEtq5p9Oh9jM60BdS5iJnL10y7TF2mfdZ_0IWojefnKju1CSaTN8ZC8WW2z6q3H8Yqgukj', 'width': 950}]",ChIJkTyssCm6woAR7-ev8EQ_lVY,"{'compound_code': '2JF4+63 Culver City, CA, USA', 'global_code': '85632JF4+63'}",2.0,4.2,ChIJkTyssCm6woAR7-ev8EQ_lVY,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1259,"9546 Washington Boulevard, Culver City",
OPERATIONAL,"{'location': {'lat': 34.0082599, 'lng': -118.4145346}, 'viewport': {'northeast': {'lat': 34.0095219302915, 'lng': -118.4131192197085}, 'southwest': {'lat': 34.0068239697085, 'lng': -118.4158171802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tito’s Tacos,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106439604384937889712"">Hero</a>'], 'photo_reference': 'AW30NDzxAffqCcOesQmRJ3vHqgry6DRBwVEIEP70MPUHmD4gTvrbuyng9q5Y_iJsIZgH7_K5IXxUOZa-OCqRNRx8bbDSsr3nNDvpvqw-jcETIitrG10rU2BF7RlJmZZvCp6_074zHEiB6BU-1QL1tfjLCT01w1xRS1t8u6HKVXwWrkVPCSK6', 'width': 4032}]",ChIJD7h1FD-6woARYzcOU-WVg3Y,"{'compound_code': '2H5P+85 Culver City, CA, USA', 'global_code': '85632H5P+85'}",1.0,4.2,ChIJD7h1FD-6woARYzcOU-WVg3Y,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",8364,"11222 Washington Place, Culver City",
OPERATIONAL,"{'location': {'lat': 34.0048774, 'lng': -118.4334459}, 'viewport': {'northeast': {'lat': 34.0061217802915, 'lng': -118.4321484197085}, 'southwest': {'lat': 34.0034238197085, 'lng': -118.4348463802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Mitsuwa Marketplace,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112293856248240959045"">Spenser Villwock</a>'], 'photo_reference': 'AW30NDxhog_JGE_6Pga_EMhJAontFTAGV1BxudAYqs7jyp1t1nitzooVtpBV-DnlusTCIscIYLiazfzzkab8PGqQpwaTveLEyUgIJ1cc92FAQSb-mDDQPzs_uhfAQTNt-yO-HopaBu-Bk4vPdwCgwPEob1ey7SPorUE85kCG39Sdxc5lJ-Sy', 'width': 3024}]",ChIJYwnvAFy6woARguL8OtvHFpg,"{'compound_code': '2H38+XJ Los Angeles, CA, USA', 'global_code': '85632H38+XJ'}",1.0,4.6,ChIJYwnvAFy6woARguL8OtvHFpg,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2960,"3760 South Centinela Avenue, Los Angeles",
OPERATIONAL,"{'location': {'lat': 34.00508449999999, 'lng': -118.4333054}, 'viewport': {'northeast': {'lat': 34.00632963029149, 'lng': -118.4321554697085}, 'southwest': {'lat': 34.0036316697085, 'lng': -118.4348534302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hokkaido Ramen Santouka,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109769970771684502625"">julie S</a>'], 'photo_reference': 'AW30NDy6D4AD3FyW890_-EI8w40H_Nn61qNnmUhtLhC9zja25bXr9T7unRCm9bpATcTLkH3pvuvpBhNC1WPp3oqjCHzWkOig54_5Fn7QooGMyaQIdvGp8aSeh2zUtpxYyuhzw_oAuwv955_rD5yScW82mHNGB8mZ2zI3EhrLhF1rA7gmhtYp', 'width': 4032}]",ChIJYwnvAFy6woAR1d1jQvbE6SQ,"{'compound_code': '2H48+2M Los Angeles, CA, USA', 'global_code': '85632H48+2M'}",2.0,4.6,ChIJYwnvAFy6woAR1d1jQvbE6SQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",447,"3760 South Centinela Avenue, Los Angeles",
OPERATIONAL,"{'location': {'lat': 34.0229893, 'lng': -118.3955446}, 'viewport': {'northeast': {'lat': 34.02433723029149, 'lng': -118.3943160697085}, 'southwest': {'lat': 34.02163926970849, 'lng': -118.3970140302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,AKASHA,{'open_now': False},"[{'height': 2336, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103807122685279103081"">AKASHA</a>'], 'photo_reference': 'AW30NDyS1q7AdKlYmLnH4thKsJqhNeSMvOOnQVF5VID0EdNBO2HBV8MABujxTv1UqhohPADIHFRT3SqoyJkyETjqS2YayGKkxw4lL8xeY_Nsrfea_8aqPG3H8ruhsWhCnBm3ExlVRuOLYxgtrifiahIojTTThHwpENMnOG_N4JcNMb2_sqGI', 'width': 3504}]",ChIJA-cZpim6woAR4ab7rqK8kso,"{'compound_code': '2JF3+5Q Culver City, CA, USA', 'global_code': '85632JF3+5Q'}",2.0,4.3,ChIJA-cZpim6woAR4ab7rqK8kso,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",876,"9543 Culver Boulevard, Culver City",
OPERATIONAL,"{'location': {'lat': 34.00522999999999, 'lng': -118.43126}, 'viewport': {'northeast': {'lat': 34.00661513029149, 'lng': -118.4297524197085}, 'southwest': {'lat': 34.00391716970849, 'lng': -118.4324503802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bowlero Mar Vista,{'open_now': False},"[{'height': 2066, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116260932571524830363"">Bowlero Mar Vista</a>'], 'photo_reference': 'AW30NDzglsiJ1owbHhAdSTS-9Qb1wUxKb2EFOOeGuVHGse93kI6D6ck7H_4rDDm2fM4kV_PwNTrlWkGAKtIg4jMWCK117WQZdRxkMMajRYTcy9PszpyHynZMC8LdpeLLR-anmJwvMLuv2tDWb8Tufxw5RmURr1If4MhOK5MzcMqgNRp1dy9Y', 'width': 3000}]",ChIJ0dypfVy6woARGht0UkcqMTU,"{'compound_code': '2H49+3F Los Angeles, CA, USA', 'global_code': '85632H49+3F'}",,4.2,ChIJ0dypfVy6woARGht0UkcqMTU,GOOGLE,"['bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1180,"12125 Venice Boulevard, Los Angeles",
OPERATIONAL,"{'location': {'lat': 34.0219077, 'lng': -118.3965615}, 'viewport': {'northeast': {'lat': 34.0232428302915, 'lng': -118.3951608697085}, 'southwest': {'lat': 34.0205448697085, 'lng': -118.3978588302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,City Tavern Culver City,{'open_now': False},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111142837035304039363"">City Tavern Culver City</a>'], 'photo_reference': 'AW30NDzcFXyCnpNldxgYhULTMCtFF-WgRh5ivKFupINr-Nv3MvGuqj1sIBB53MxWEvQ8D8B1ZTxu_O_R5-qPj3UqlYqIRCibMB5cUoyrHewn__k5cjyjhtTyokkA7zd8ELgr4zEQZ51eKtE53KtwXv_yYLLvlc0u6XLf2CUTaSZ1XH4luNHM', 'width': 2048}]",ChIJUXLv-yi6woARK0yUMaYYPFQ,"{'compound_code': '2JC3+Q9 Culver City, CA, USA', 'global_code': '85632JC3+Q9'}",2.0,4.3,ChIJUXLv-yi6woARK0yUMaYYPFQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",598,"9739 Culver Boulevard, Culver City",
OPERATIONAL,"{'location': {'lat': 34.0233621, 'lng': -118.3952742}, 'viewport': {'northeast': {'lat': 34.02465143029149, 'lng': -118.3938438697085}, 'southwest': {'lat': 34.0219534697085, 'lng': -118.3965418302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tender Greens,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110473849994660605128"">Tender Greens</a>'], 'photo_reference': 'AW30NDxQGHrKfoth3UnnENyJmNBYkX2gBl725I_6GdvHqb8pc-Vw5ISTj_mBDNzQ4G3Fw834Z3Dnlm6Gy901Xxrbti7YfcTxCV-Af4kOzPODEWsLU4n5SAZEEGcSxQlBijWyotDQ8wBxAeNxzkfIfhEPBZdq5vemxv3WzWwF6JIZcaX6gTeW', 'width': 2048}]",ChIJMx-hoym6woARXsB6LLf9J4M,"{'compound_code': '2JF3+8V Culver City, CA, USA', 'global_code': '85632JF3+8V'}",2.0,4.3,ChIJMx-hoym6woARXsB6LLf9J4M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",875,"9523 Culver Boulevard, Culver City",
OPERATIONAL,"{'location': {'lat': 34.0071618, 'lng': -118.4126231}, 'viewport': {'northeast': {'lat': 34.0085287802915, 'lng': -118.4111081697085}, 'southwest': {'lat': 34.0058308197085, 'lng': -118.4138061302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102924269499949156248"">Yazmin G</a>'], 'photo_reference': 'AW30NDyoKoT45p3VpacM8bgh_Y_l9LcJjAq28YmiGxwJb96k6hDNX_a5lVuyAWjVatyCk58ODb3BbS4TGEoy2P5i17NdHoB6J5v7gOFNtc9KepLLzyxsZFcTmPX6JD6JIe45oIQy3gD8GuzzP132L-YJC8AC5xzVmkzqPaonHEhQXDG0K4rW', 'width': 3456}]",ChIJ1bteQT66woAR6bFGc7PYqG0,"{'compound_code': '2H4P+VX Culver City, CA, USA', 'global_code': '85632H4P+VX'}",1.0,3.8,ChIJ1bteQT66woAR6bFGc7PYqG0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",400,"4114 Sepulveda Boulevard Suite G, Culver City",
OPERATIONAL,"{'location': {'lat': 34.0162722, 'lng': -118.4001389}, 'viewport': {'northeast': {'lat': 34.01771638029149, 'lng': -118.3988336197085}, 'southwest': {'lat': 34.01501841970849, 'lng': -118.4015315802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Backstage Bar & Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115027286096822577705"">Zed Star</a>'], 'photo_reference': 'AW30NDzw8IB3sQbdJabkwmRZomtAFcPMaTfRQQpkPsv-PV28lwCzQFggW-PnC1gR7BiAUzjEugTEtA_7_FfATVFmYeACxY56KqfCPqMvIp8uIMPWb8abNVci9ZlfIPTUynDcibM204HPOBRvSCYusYS3OGCQGPezaV39egtmEMnTuHPu_qRx', 'width': 3024}]",ChIJUwBPyiW6woARabIvmpP3cfY,"{'compound_code': '2H8X+GW Culver City, CA, USA', 'global_code': '85632H8X+GW'}",1.0,4.4,ChIJUwBPyiW6woARabIvmpP3cfY,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",756,"10400 Culver Boulevard, Culver City",
