business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.1777956, 'lng': -85.6242942}, 'viewport': {'northeast': {'lat': 38.17921388029149, 'lng': -85.6228896697085}, 'southwest': {'lat': 38.17651591970849, 'lng': -85.6255876302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dakshin,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105234782591707761706"">Melanie Rudolph</a>'], 'photo_reference': 'AW30NDyN3OdCH_b45O90T0smuNFLTA8K5iX2g-A5WZjrUALE14-OgdjQtPs9ijBxUN0oWLmnoCA9S5q1cmcb92wnamC2b60nhMjTbLhjkR3H3VrM6HHoiMDJ5RrkrQDRs3W2pm0ZQ4zYpiFY0P7MN0pKfs3PA6GxVkNkmie93FCK5o06Oefg', 'width': 4032}]",ChIJ30ez2GkKaYgRb9s_1fKaBDI,"{'compound_code': '59HG+47 Louisville, KY, USA', 'global_code': '86CP59HG+47'}",2.0,4.0,ChIJ30ez2GkKaYgRb9s_1fKaBDI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",976,"4742 Bardstown Road, Louisville",
OPERATIONAL,"{'location': {'lat': 38.15479809999999, 'lng': -85.6592194}, 'viewport': {'northeast': {'lat': 38.1561521302915, 'lng': -85.65798611970848}, 'southwest': {'lat': 38.1534541697085, 'lng': -85.6606840802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108742508441477417977"">Jes A</a>'], 'photo_reference': 'AW30NDwido2ggIq_yS7mrEmuqVg3w9gfD5tlH0OoAnaFavn8LlOt5BROGNE2nflY4pQvKNsob8finp5LxfyqKCkVlhQwe3tyTnnK5GaTqsfGb5Tvj0b6wrFWJzdI5ztaWa9UMzxc78XE9VZu7lLmhti5eJwMw8LkgoKyArSiX8JHsSRH8Loj', 'width': 3024}]",ChIJJUh4Kd8LaYgRiUia0buVe1M,"{'compound_code': '583R+W8 Louisville, KY, USA', 'global_code': '86CP583R+W8'}",1.0,4.1,ChIJJUh4Kd8LaYgRiUia0buVe1M,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",159,"6501 Shepherdsville Road Suite #105, Louisville",
OPERATIONAL,"{'location': {'lat': 38.13858989999999, 'lng': -85.6194154}, 'viewport': {'northeast': {'lat': 38.1398531302915, 'lng': -85.61813666970849}, 'southwest': {'lat': 38.1371551697085, 'lng': -85.6208346302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113576024532418301468"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDxJJjpaUbG4h55loalEj_-kaFMT5GoQ9nQlM8NCKKKV9nEtELOJz7dycnnWm1Q2_u81C8mH0XIH_dAd98R7iVrVMh31BC-9MbTYXgwDziec4t7MXQc1hFgUPJWWRAvG3AuolsM68JQ-dUftxL_JWNghDhxTKIS6RftAv6rhZTmmFWBZ', 'width': 720}]",ChIJnV2iUZoJaYgR9pm-GRb1-AM,"{'compound_code': '49QJ+C6 Louisville, KY, USA', 'global_code': '86CP49QJ+C6'}",1.0,3.7,ChIJnV2iUZoJaYgR9pm-GRb1-AM,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",593,"7529 Outer Loop, Louisville",
OPERATIONAL,"{'location': {'lat': 38.1852741, 'lng': -85.6397937}, 'viewport': {'northeast': {'lat': 38.1868749802915, 'lng': -85.63842716970849}, 'southwest': {'lat': 38.1841770197085, 'lng': -85.6411251302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wacky Willy's Diner,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116370889873506533394"">Wacky Willy&#39;s Diner</a>'], 'photo_reference': 'AW30NDwiUH4ipRaCr1vjKp8d8JcSLVjCQDI7ztkYHJgFQWCfWl9IMlTWHfYIP0gunkUlBd--7Lmv3l2sCzX-rqXVZMdY5CggXOI3wkI6CW2ijfbmHRwkJQwFBTn3vLghQ8yUiWcBoTuxbji5EZraJh0hosc0eN1IkhAFRgMy5TbQUVhA31Ar', 'width': 3024}]",ChIJWdo3N1IKaYgR-qrmJq_nfLk,"{'compound_code': '59P6+43 Louisville, KY, USA', 'global_code': '86CP59P6+43'}",1.0,4.5,ChIJWdo3N1IKaYgR-qrmJq_nfLk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",62,"4220 Bardstown Road suite w, Louisville",
OPERATIONAL,"{'location': {'lat': 38.1385298, 'lng': -85.6193318}, 'viewport': {'northeast': {'lat': 38.1397965302915, 'lng': -85.61804211970849}, 'southwest': {'lat': 38.1370985697085, 'lng': -85.62074008029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104967038045548581117"">Jonathon Myhre</a>'], 'photo_reference': 'AW30NDzSENycUiZxhIZKrFjfzPXBVVx7-GVC-oGND74yv4MbV3D3tloZ64njS9h0kH3hH-wxlm4BzohfAhuKHVCT_JC7Yq53BpxaSfnp6uTL_VZUMT8it3U3ogdvYtisujODhTvMWqf2_A8NFkB12-FxjiFCLJh9pJY8woBFWP_RPCru9A1T', 'width': 3024}]",ChIJqxB84ewJaYgRFA0m2VYc_Yw,"{'compound_code': '49QJ+C7 Louisville, KY, USA', 'global_code': '86CP49QJ+C7'}",1.0,3.6,ChIJqxB84ewJaYgRFA0m2VYc_Yw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",123,"7531 Outer Loop Unit 5, Louisville",
OPERATIONAL,"{'location': {'lat': 38.1357043, 'lng': -85.61255779999999}, 'viewport': {'northeast': {'lat': 38.1371921302915, 'lng': -85.61111181970848}, 'southwest': {'lat': 38.1344941697085, 'lng': -85.6138097802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China Chef,{'open_now': False},"[{'height': 1754, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103891452946086913687"">China Chef</a>'], 'photo_reference': 'AW30NDzGLD43m2OUHZ6Q2KwbDubGU_xovag6fgN5tN6JX4lyQjR2f9rh-8eIE2ByBE_ZJ_rSevkhkOHzUZdR2VUkDIe1-C2qarNM2xU_E36H8AE13QrQfaB8OABhI6kuG8fQmDbPj3ct-knGGvteBB_C8WtGLuJ_KKuO5RPUTymO5fj9NRaf', 'width': 987}]",ChIJGzto9eUJaYgRll7Wj6Nt_VY,"{'compound_code': '49PP+7X Louisville, KY, USA', 'global_code': '86CP49PP+7X'}",1.0,4.2,ChIJGzto9eUJaYgRll7Wj6Nt_VY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",88,"7813 Beulah Church Road, Louisville",
OPERATIONAL,"{'location': {'lat': 38.16303930000001, 'lng': -85.5954787}, 'viewport': {'northeast': {'lat': 38.1643137802915, 'lng': -85.5940754197085}, 'southwest': {'lat': 38.1616158197085, 'lng': -85.59677338029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 3088, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106446850875291535779"">John Wojciechowski</a>'], 'photo_reference': 'AW30NDyA2M0UHUwsCdEcWGYYCxpmGBWk6iqCTou29VsRf0eu0bq2TxwTNvIDu-MK05feYUfnqLb7oNB_l7Qf2R5jzZq4RxBhdgejHB6pLqv5ua7BQ-h6yJpNoBvkGEIvKPnMEvc5ND08gL8ASbBYTPCwLcXL3qNOp182SGGszWZfHQk13lC3', 'width': 4160}]",ChIJ-fVCtaWgaYgRWI8G3TVgyRc,"{'compound_code': '5C73+6R Louisville, KY, USA', 'global_code': '86CP5C73+6R'}",1.0,4.0,ChIJ-fVCtaWgaYgRWI8G3TVgyRc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",253,"5709 Bardstown Road, Louisville",
OPERATIONAL,"{'location': {'lat': 38.1998191, 'lng': -85.6579568}, 'viewport': {'northeast': {'lat': 38.2013160302915, 'lng': -85.65675446970849}, 'southwest': {'lat': 38.1986180697085, 'lng': -85.65945243029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105968834204995888965"">Esther Teta</a>'], 'photo_reference': 'AW30NDy7uTkpjlwO6qn8ZLFgQGP5L3oPICSs05ECxQKGM39U5rGCu8C88WQomwCLWEfmkLdOpDro2osFUAQeU17gHpUtEki2VHQXpB_XAprZOxUX1FGqebzJWw5QlZ19n1EKCZHFcpK1saWN0RAmW6knN9jbhN94xXk5qW3LbdBx4mpvana4', 'width': 3024}]",ChIJOTh8tA4LaYgRuFDlOgf7g_I,"{'compound_code': '58XR+WR Louisville, KY, USA', 'global_code': '86CP58XR+WR'}",1.0,3.8,ChIJOTh8tA4LaYgRuFDlOgf7g_I,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",69,"2218 Hikes Lane Suite B, Louisville",
OPERATIONAL,"{'location': {'lat': 38.1412978, 'lng': -85.67040229999999}, 'viewport': {'northeast': {'lat': 38.1427993302915, 'lng': -85.6685314697085}, 'southwest': {'lat': 38.1401013697085, 'lng': -85.6712294302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110999320082802082756"">Anubis B</a>'], 'photo_reference': 'AW30NDxK3cjhsUmcNfBcBp-YNkxPFxaxxJmjip93MrGeZCB53x-WMjzl4-fdZHmClUdDrgYBrGX4RRFlBVjKXQQ7f9cwuAB7j4T7ln7psXyc04AmfluI1uzaZjGnHr1lJAXxAKPR42kbAL7EOZ1CmwJBL17DEGPNEtjz-zW6iQErR3fo6eQ3', 'width': 4032}]",ChIJAxM250QJaYgRpDtRoYQCVA0,"{'compound_code': '48RH+GR Louisville, KY, USA', 'global_code': '86CP48RH+GR'}",1.0,3.8,ChIJAxM250QJaYgRpDtRoYQCVA0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",132,"4801 Outer Loop Unit B 406, Louisville",
OPERATIONAL,"{'location': {'lat': 38.1727332, 'lng': -85.68530249999999}, 'viewport': {'northeast': {'lat': 38.1740094302915, 'lng': -85.68410826970849}, 'southwest': {'lat': 38.1713114697085, 'lng': -85.6868062302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108494587209459290816"">Ariel Sickles</a>'], 'photo_reference': 'AW30NDzIErUIYr8m3X4v0CL7IBqtNDpxBfbHdQXpIca9EqLbBPJXosjIksdLGl-VCgx9tFrJd9o7_DOwWLcmyat5x33W65f7qXG4njGNc0U3_O0-ax68lLOKhA1T81f2sO-eMCUH5mba25S2pBqBHu4sMrTHzgjOaVYb8uAxER7SHWbyl8k5', 'width': 3024}]",ChIJl_UCmQoMaYgRNlf6MKON90Y,"{'compound_code': '58F7+3V Louisville, KY, USA', 'global_code': '86CP58F7+3V'}",1.0,3.9,ChIJl_UCmQoMaYgRNlf6MKON90Y,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",101,"4835 Poplar Level Road, Louisville",
