business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.546974, 'lng': -101.853707}, 'viewport': {'northeast': {'lat': 33.5482968302915, 'lng': -101.8525094197085}, 'southwest': {'lat': 33.54559886970851, 'lng': -101.8552073802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Koko Inn,{'open_now': True},"[{'height': 300, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103182551518489378224"">Koko Inn</a>'], 'photo_reference': 'AW30NDytrVbfW1sFSZXs1tdU-CsRWW9dSGYAgH09vvOarVGTUQwSZ4zXE6g7N9Rfmi8yWOJRjgZ40R-FswKzf_EbcOMSNBnJXWidXFc3QdE2gVqW4uTCop7PLKzwzoMrBc3fppLvF-v8hlefPQyDsazzWqTC3QJV1j619bhOJbc4TxAu9tw1', 'width': 400}]",ChIJf9w_pgVt_oYR5RIBup8GL2w,"{'compound_code': 'G4WW+QG Lubbock, TX, USA', 'global_code': '855WG4WW+QG'}",3.0,ChIJf9w_pgVt_oYR5RIBup8GL2w,GOOGLE,"['lodging', 'bar', 'night_club', 'restaurant', 'point_of_interest', 'food', 'establishment']",480.0,"5201 Avenue Q, Lubbock",,
OPERATIONAL,"{'location': {'lat': 33.5393524, 'lng': -101.9253047}, 'viewport': {'northeast': {'lat': 33.54528464999999, 'lng': -101.91971695}, 'southwest': {'lat': 33.53342925, 'lng': -101.93130475}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,South Plains Mall,{'open_now': True},"[{'height': 1192, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104653566490629335220"">South Plains Mall</a>'], 'photo_reference': 'AW30NDwDgVdu3LiRfrmlETgn8ekbPze4jFJH8P1Nf0piZICLCpZzOMbtS7YS6fVZXlpm_7ow7d4P5sbSiTM1MO07cdmgrV7ot2SH1zwRm97myHKXK6vffWEHbrTZfPZIhBg8gv5rKB-7MEEBbxsM-3hPXJjZ5-3WHQT_6MkBjG_D0EqWju8D', 'width': 2119}]",ChIJB6kH2_py_oYR34ENvJ-d7jg,"{'compound_code': 'G3QF+PV Lubbock, TX, USA', 'global_code': '855WG3QF+PV'}",4.2,ChIJB6kH2_py_oYR34ENvJ-d7jg,GOOGLE,"['shopping_mall', 'clothing_store', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",6972.0,"6002 Slide Road, Lubbock",,
OPERATIONAL,"{'location': {'lat': 33.53400999999999, 'lng': -101.915538}, 'viewport': {'northeast': {'lat': 33.5352172302915, 'lng': -101.9143045197085}, 'southwest': {'lat': 33.5325192697085, 'lng': -101.9170024802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 2502, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112552600916520978566"">Wills Osborn</a>'], 'photo_reference': 'AW30NDyopjYBPqGv6YrXj0AiW0uBJ0XfKusXj98h4y4_XsgSktjlniPYoAheDWEZUcn_nQUO9_THUTRGdq4K08sfULIi4oq-sFCyThhU-Vw-c_4x-2iJT7Rew5B68bSHJw_uTZrIozdAmyTr1PVTgVb7bik9D_52k9aEacUkjLAtHnt9v_PQ', 'width': 3754}]",ChIJIdaJrvVy_oYRcVwTCNcGkqE,"{'compound_code': 'G3MM+JQ Lubbock, TX, USA', 'global_code': '855WG3MM+JQ'}",4.4,ChIJIdaJrvVy_oYRcVwTCNcGkqE,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",4175.0,"4810 South Loop 289, Lubbock",2.0,
OPERATIONAL,"{'location': {'lat': 33.5782168, 'lng': -101.8668206}, 'viewport': {'northeast': {'lat': 33.5793664302915, 'lng': -101.8654591197085}, 'southwest': {'lat': 33.5766684697085, 'lng': -101.8681570802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106352462413183261869"">Ziomara A</a>'], 'photo_reference': 'AW30NDyFB2g7aVbXXlO5qH4cewEnmrP2mmtUAaeTo36ybPssR8C5Eq_A005xbtXKyMMlpaqDAyAIAym3lH-Tr4cBurh50O9BZXAP7As3i_dKTm3x45VTFvmgNZZUfHNEH20T4rJgKEKheVPKEtGYhgXvANwb_GzdEqpYixxRX5FZpRcfHLHg', 'width': 3984}]",ChIJsTn0g0pt_oYRwUue6UMIwZk,"{'compound_code': 'H4HM+77 Lubbock, TX, USA', 'global_code': '855WH4HM+77'}",4.0,ChIJsTn0g0pt_oYRwUue6UMIwZk,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",391.0,"2312 19th Street, Lubbock",1.0,
OPERATIONAL,"{'location': {'lat': 33.51763709999999, 'lng': -101.8731703}, 'viewport': {'northeast': {'lat': 33.5191219802915, 'lng': -101.8716627197085}, 'southwest': {'lat': 33.5164240197085, 'lng': -101.8743606802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark Tinseltown Lubbock and XD,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100847862564347724179"">tilmon hurt</a>'], 'photo_reference': 'AW30NDxnu5oQs17R7fpabjQLZdKsnJEmCt-Z3K9Dh_92AU9ycqHIbgANzK0VSEpsqe5ka0yaGs1kb131qI1NmtX69M87J-N2tBn0-U-At7hyJYtQktVHQMGiwJxn37x6lv2XzvyQx2Wvv-uVKNQADgHhiKR1yUXEvhtBp9-zYFxRGkLpdPXt', 'width': 4032}]",ChIJ7a9e8pNt_oYRTZ5PewXv23c,"{'compound_code': 'G49G+3P Lubbock, TX, USA', 'global_code': '855WG49G+3P'}",4.5,ChIJ7a9e8pNt_oYRTZ5PewXv23c,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",2468.0,"2535 82nd Street, Lubbock",,
OPERATIONAL,"{'location': {'lat': 33.5286031, 'lng': -101.898752}, 'viewport': {'northeast': {'lat': 33.5300763302915, 'lng': -101.8974142197085}, 'southwest': {'lat': 33.5273783697085, 'lng': -101.9001121802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101512946537140464586"">CM Garcia</a>'], 'photo_reference': 'AW30NDwRV13Nm17psjJ8IhgLYWTffX-KLR_jYAfN8vZda0nolfZzMvEnsAasm7iKSoDvKfAwpbLM3JUOCYw9xViu_-2FOB0O7TbmHWP80SFmZVZFRiadnIrLEUqqYEjRN3yI8WWj4GNHDpz7wm_wAVnof_L8y6ezEFd5owILms4c9gdOItcP', 'width': 4000}]",ChIJLwlWkXxy_oYR0uXxG5OujrI,"{'compound_code': 'G4H2+CF Lubbock, TX, USA', 'global_code': '855WG4H2+CF'}",4.3,ChIJLwlWkXxy_oYR0uXxG5OujrI,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",623.0,"4001 South Loop 289, Lubbock",2.0,
OPERATIONAL,"{'location': {'lat': 33.5768771, 'lng': -101.8925839}, 'viewport': {'northeast': {'lat': 33.57786143029149, 'lng': -101.88932315}, 'southwest': {'lat': 33.57516346970849, 'lng': -101.89377175}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chick-fil-A,{'open_now': True},"[{'height': 288, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117125272050851786429"">Chick-fil-A</a>'], 'photo_reference': 'AW30NDzvWudirBvTjwZHdmexYbKAmYdC1S3v52fKt5_ZQjRFgqUoPXMr5i6XEIc5dPrJChMEi_ehq3ZAN07ApHBo7OMrDkNGh2ijVJh6rNOex_KVxMMq5npq5SMR9m1XVjXbXSXRELZjjlPyjkGJC6Mfmv4zGNajCEJ3IMPGh62mr0xhASTY', 'width': 512}]",ChIJnVnj56wS_oYRC2_OxjqN_Hg,"{'compound_code': 'H4G4+QX Lubbock, TX, USA', 'global_code': '855WH4G4+QX'}",4.5,ChIJnVnj56wS_oYRC2_OxjqN_Hg,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",192.0,"3615 19th Street, Lubbock",1.0,
OPERATIONAL,"{'location': {'lat': 33.5405195, 'lng': -101.9373414}, 'viewport': {'northeast': {'lat': 33.5418815302915, 'lng': -101.9358225197085}, 'southwest': {'lat': 33.5391835697085, 'lng': -101.9385204802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark Movies 16 and XD,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105025248870677762918"">Narayan Acharya</a>'], 'photo_reference': 'AW30NDz1woJXqlCRfOQ65JjgQ2UROz2bNWQWYA7XPeWY5bzQyfYnM7ro4oxKWoQBynujwATauLgtbYBwjAi8axuKZ1b36dZWe8tactGQTmaiWFCs0EgETIWY3mByXH_GAM-Ut9ysg3CnvhTrNpuuRZ3RYHCg9n7m3Pn-MDEuzMP8Jj8dAk2b', 'width': 3264}]",ChIJrTMizQJz_oYRIACljCUAJA8,"{'compound_code': 'G3R7+63 Lubbock, TX, USA', 'global_code': '855WG3R7+63'}",4.2,ChIJrTMizQJz_oYRIACljCUAJA8,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",977.0,"5721 58th Street, Lubbock",,
OPERATIONAL,"{'location': {'lat': 33.4918836, 'lng': -101.9117642}, 'viewport': {'northeast': {'lat': 33.4932509302915, 'lng': -101.9105660197085}, 'southwest': {'lat': 33.4905529697085, 'lng': -101.9132639802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Las Brisas,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101918344873119400063"">Jenny H</a>'], 'photo_reference': 'AW30NDwCRkDwEIEWj28KGU_mo4OvN3_YugMeNteXIw2C3Z9lrPZyrbWQle5lPfFtvs5KhgQSaE4NWg_JVGjuqn7IXLDv_mHf6Xyw1ZHjckTlkFhhNjsoz4XxW61MOFPmTsPnEQX-t9bOUgwrPzlOL_lI_7NlgXrLI7m9Ei4ei4v1t0fjok4V', 'width': 2560}]",ChIJo9D73yFy_oYRG9FBlA5HrLc,"{'compound_code': 'F3RQ+Q7 Lubbock, TX, USA', 'global_code': '855WF3RQ+Q7'}",4.6,ChIJo9D73yFy_oYRG9FBlA5HrLc,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",894.0,"4701 112th Street, Lubbock",4.0,
OPERATIONAL,"{'location': {'lat': 33.5185806, 'lng': -101.8709279}, 'viewport': {'northeast': {'lat': 33.5199429302915, 'lng': -101.8694609197085}, 'southwest': {'lat': 33.51724496970851, 'lng': -101.8721588802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 660, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110442881828062921736"">Buffalo Wild Wings</a>'], 'photo_reference': 'AW30NDyBsNSbfKrOp6_5ZwT_GHcHazVczOV-07DkgBEmb8qDGi2V6Wdi-EWNJqUEudkMxd-lqC5gOyRAYbq2NlrGBAqvbNenIaNUnEA6JgvbJYGajOmO5w5RqlXz4OqhZzjhvPEk-kFlmRaFyl_1emmlojJigczX-PGouDctN4lPUPOr9HU9', 'width': 1019}]",ChIJs3oOGpRt_oYRchyEJD9FDrE,"{'compound_code': 'G49H+CJ Lubbock, TX, USA', 'global_code': '855WG49H+CJ'}",3.6,ChIJs3oOGpRt_oYRchyEJD9FDrE,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1379.0,"8212 University Avenue, Lubbock",2.0,
