business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.80961360000001, 'lng': -83.71842989999999}, 'viewport': {'northeast': {'lat': 32.8109014802915, 'lng': -83.71717021970848}, 'southwest': {'lat': 32.8082035197085, 'lng': -83.7198681802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115235849084145723448"">Dan McClure</a>'], 'photo_reference': 'AW30NDxl73WOhWnDiaCmb009g_JjSTwtVxmg2Q1VEqiFBaJxqGCy0U0zmUq4CqvdTiFcuhk7iPA5tGrxTfR5UjCerMVUvCi-YCO-wu0Jz7JQYu9jqsVbZxWDZoYrWXwQ0JHo3oLT1m96jC7GdLv2Mh9r88DTFEi8OL2KDpPNwTPHwBsVO55P', 'width': 3024}]",ChIJ70R5X7X784gROedMybufM5U,"{'compound_code': 'R75J+RJ Macon, GA, USA', 'global_code': '864RR75J+RJ'}",1.0,3.9,ChIJ70R5X7X784gROedMybufM5U,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",18.0,"6020 Harrison Road, Macon",
OPERATIONAL,"{'location': {'lat': 32.8316144, 'lng': -83.6633638}, 'viewport': {'northeast': {'lat': 32.8328070302915, 'lng': -83.66176186970849}, 'southwest': {'lat': 32.8301090697085, 'lng': -83.66445983029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109058447284640727423"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDz24KTTTgPQhnMOGDvOwVXBxQUXC6GR2fpcMIh0fpQNQnO8isgXEgbkBcXPSI51tJv_QOgXO1cWSJcCHOZqYx4I2ggqDHi6Ybp1CXhjvqM4W0EkVCtOnt4LVGBduTshLRjOVs7F_w8jcCyYBa9Q4IcnnAjFJT3Nm8F4o-KqPBiyiLZS', 'width': 720}]",ChIJu6e5Iaf-84gRbQWaNO1wIvc,"{'compound_code': 'R8JP+JM Macon, GA, USA', 'global_code': '864RR8JP+JM'}",1.0,3.7,ChIJu6e5Iaf-84gRbQWaNO1wIvc,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",739.0,"1477 Pio Nono Avenue, Macon",
OPERATIONAL,"{'location': {'lat': 32.79037960000001, 'lng': -83.6681452}, 'viewport': {'northeast': {'lat': 32.7918209802915, 'lng': -83.6667770197085}, 'southwest': {'lat': 32.7891230197085, 'lng': -83.66947498029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115162639960840024039"">Subway</a>'], 'photo_reference': 'AW30NDwd9UGCuuTseOGJRskbL3y1oAcEBtfCw3zvjo9JR8yxju9RjyWmFKg9j_zD29pDXEAZmsWGkmOZ05lDqteOGD07iZUE3aWeIf1jats8CKh_RALqKc6dcrARkk2F4iY2NTCZvZ0v4AS7kOSeYvfpWWpYpfCTCh-TzKjiDv04xqC_Mgsa', 'width': 1763}]",ChIJU-QNb3v884gRJ9GBwZgtzTw,"{'compound_code': 'Q8RJ+5P Macon, GA, USA', 'global_code': '864RQ8RJ+5P'}",1.0,4.1,ChIJU-QNb3v884gRJ9GBwZgtzTw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",260.0,"4108 Pio Nono Avenue, Macon",
OPERATIONAL,"{'location': {'lat': 32.8153266, 'lng': -83.70045309999999}, 'viewport': {'northeast': {'lat': 32.81679683029149, 'lng': -83.69913551970849}, 'southwest': {'lat': 32.81409886970849, 'lng': -83.7018334802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,S & S Cafeteria,{'open_now': False},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102279186154855878151"">Matt B</a>'], 'photo_reference': 'AW30NDwuAQvlc3Zuqt85ZNCPcGl8koGJODHLnjaaLUUNl8racyvzuQP_zgqGEKzCa3Tl1tnLhwcA-Z2EGV0sweKKQXjkzcubc5R5lfgGnQAFOdV69VsMAEkgYbdCoXot9Azmkos26RnZrSxEqgihJBXNjpcMAK96vksvgXhMXW5XMl9osOCE', 'width': 5312}]",ChIJz79ursP784gRSz8PsbmG-OA,"{'compound_code': 'R78X+4R Macon, GA, USA', 'global_code': '864RR78X+4R'}",1.0,4.2,ChIJz79ursP784gRSz8PsbmG-OA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1925.0,"3724 Bloomfield Village Drive, Macon",
OPERATIONAL,"{'location': {'lat': 32.8213074, 'lng': -83.7135383}, 'viewport': {'northeast': {'lat': 32.8225440302915, 'lng': -83.7121859697085}, 'southwest': {'lat': 32.8198460697085, 'lng': -83.7148839302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116533257452205099307"">Bob Morgan</a>'], 'photo_reference': 'AW30NDzd79MgrpSFQ1NehQPE7FkOYuBwuPl4Gul8xsIE70yWrWu27KOEWXs29R10OGCP5OEc0v7HXk-Fb8sSLzbl-7GfVKUoyDP5EPZSh9H_pX34mLWwdfiCSgvgyWWJwf2zIcmcurjIwVIpro4XBmJjrt1uGawIJTgH7F8LRpLaAx4h5Vsr', 'width': 1836}]",ChIJv2N769H784gR7-2FpJ0EGsE,"{'compound_code': 'R7CP+GH Macon, GA, USA', 'global_code': '864RR7CP+GH'}",1.0,3.5,ChIJv2N769H784gR7-2FpJ0EGsE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",249.0,"4590 Billy Williamson Drive, Macon",
OPERATIONAL,"{'location': {'lat': 32.814901, 'lng': -83.66327799999999}, 'viewport': {'northeast': {'lat': 32.81620248029151, 'lng': -83.6619364197085}, 'southwest': {'lat': 32.81350451970851, 'lng': -83.6646343802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105339642714436993513"">David Snedeker</a>'], 'photo_reference': 'AW30NDwmgJtrk88hhk1jkuoTaAYzUpWDi6u5sSJ-urHRpcFAClnRnNfakeahaStbm26EbPqr0om56DQ9T6GVaEwi9XTQSOltsIZ2v5K6N-utxviN4b1DzbU-uBo2RusS6wS4Lhg5SNpAbjnPjUilYGhwbAHDqoi7lODIWnbV7MDbvocTjMw', 'width': 4032}]",ChIJsxyo4xD884gRBTwoBXXDt8g,"{'compound_code': 'R87P+XM Macon, GA, USA', 'global_code': '864RR87P+XM'}",1.0,3.3,ChIJsxyo4xD884gRBTwoBXXDt8g,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1672.0,"2497 Pio Nono Avenue, Macon",
CLOSED_TEMPORARILY,"{'location': {'lat': 32.82112530000001, 'lng': -83.69703849999999}, 'viewport': {'northeast': {'lat': 32.8224090802915, 'lng': -83.69573641970848}, 'southwest': {'lat': 32.81971111970851, 'lng': -83.69843438029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117546835068446779929"">Chiquon Griffin</a>'], 'photo_reference': 'AW30NDwOEZj0uygldjasiv3_kOPZhoqwo0QfgP66NR2u0isrTBxm0SSRMCyHXM-0tzQAn1dBXs7an6RjR6BDI4B1mIZzDO7O7vAfRAM-j1jhLCcfMTMMLF6_puek0pn0TDvJlePARwloEcTpowRRzc6hJB3JKLZ6qxojSUe1VGUGVJS_4nb2', 'width': 4160}]",ChIJtdkdsuf784gRgTc2Tt7yIRY,"{'compound_code': 'R8C3+F5 Macon, GA, USA', 'global_code': '864RR8C3+F5'}",1.0,3.5,ChIJtdkdsuf784gRgTc2Tt7yIRY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",10.0,"3624 Mercer University Drive, Macon",True
OPERATIONAL,"{'location': {'lat': 32.8153554, 'lng': -83.6980392}, 'viewport': {'northeast': {'lat': 32.81663863029149, 'lng': -83.6967730197085}, 'southwest': {'lat': 32.8139406697085, 'lng': -83.69947098029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taco Bell,{'open_now': True},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108687825619938525384"">Taco Bell</a>'], 'photo_reference': 'AW30NDwnt7JcaEkPHDtqKvtqMrkKmd4g3Y_JETCaijPH_W17DMVWOf_pYciXyfM_isSLU5bdUFJzYu5COz4UjqimfoAHyfC3LfAE5qHRGSKPexZ3MYml05Jj4lEkWPSeo_b1fKpQEn6OhLqdSQQygJ8eCxiQzX27YNvrktuqXht1S5HfzOSZ', 'width': 600}]",ChIJZ2Kj3On784gR8_dct8Fm-vY,"{'compound_code': 'R882+4Q Macon, GA, USA', 'global_code': '864RR882+4Q'}",1.0,3.5,ChIJZ2Kj3On784gR8_dct8Fm-vY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1382.0,"4040 Bloomfield Road, Macon",
OPERATIONAL,"{'location': {'lat': 32.8210127, 'lng': -83.6898324}, 'viewport': {'northeast': {'lat': 32.8224331302915, 'lng': -83.6882624197085}, 'southwest': {'lat': 32.8197351697085, 'lng': -83.69096038029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Checkers,{'open_now': True},"[{'height': 1966, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106004191046981366527"">Checkers</a>'], 'photo_reference': 'AW30NDyU2ZAcQfa86n6eAA9Sg4vgRJ4D0CjjyWrZCEgWMcWjK5MY-rZlCi6IrSM1fpO675Jc_RgP6Ib-6sO7-geqmIl5sKnbA8cUHRFEZkn-x47gDceCUXZ-OJEa8Xmql-oYFfwBlcca3575l0XHM6P5_DOHXWg5E0eRshICOOGXP_nXaw_e', 'width': 2795}]",ChIJn-mkF-X784gRCp03lzzUvUM,"{'compound_code': 'R8C6+C3 Macon, GA, USA', 'global_code': '864RR8C6+C3'}",1.0,3.6,ChIJn-mkF-X784gRCp03lzzUvUM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",941.0,"3409 Mercer University Drive, Macon",
CLOSED_TEMPORARILY,"{'location': {'lat': 32.8199115, 'lng': -83.6623896}, 'viewport': {'northeast': {'lat': 32.8213447802915, 'lng': -83.6612188197085}, 'southwest': {'lat': 32.8186468197085, 'lng': -83.66391678029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Church's Texas Chicken,,"[{'height': 461, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103044027322866082450"">Church&#39;s Texas Chicken</a>'], 'photo_reference': 'AW30NDyA4D6c8GVtWlvxZBXSWshL0DXX2v_yasEfb78ega6hrLX6CqkkvzzE8YMJIb6xkcUcAy9eoM0oKnc4xd8qMAXqRG3VkvprMiQzXcbceOFENZCks9L-PP0-ku-LpY7ko_BDQsQsh87D8I90KhpGHvsWHp19m_gYGxYTL1nY_4yVudKU', 'width': 820}]",ChIJ6e9xxxv884gRH5kZd3n3CAY,"{'compound_code': 'R89Q+X2 Macon, GA, USA', 'global_code': '864RR89Q+X2'}",1.0,3.2,ChIJ6e9xxxv884gRH5kZd3n3CAY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",839.0,"2138 Pio Nono Avenue, Macon",True
