business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 43.074447, 'lng': -89.380175}, 'viewport': {'northeast': {'lat': 43.0758421802915, 'lng': -89.3789066697085}, 'southwest': {'lat': 43.0731442197085, 'lng': -89.3816046302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Great Dane Pub & Brewing Company,{'open_now': True},"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115191348207105247851"">The Great Dane Pub &amp; Brewing Company</a>'], 'photo_reference': 'AW30NDxuCsH7s41r4bM-dJ6Z8SE-YX0ilt7QAvANZNdZZPsfqQ8tH2_dADcGpOp1YqvtD3UgeFfVZ2L4hhJ0gMuMw18frRLC9w2wn_9w7nc3txPT_7HuSIWNfpfrZL6Des5pYYEUo8oSJfwJuEyr59NC7LVni9v-aufhBMbP0GO44dDAaVc2', 'width': 5472}]",ChIJr-uC2z9TBogRCgiw8nS1-Zo,"{'compound_code': '3JF9+QW Madison, WI, USA', 'global_code': '86MG3JF9+QW'}",2.0,4.3,ChIJr-uC2z9TBogRCgiw8nS1-Zo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1131,"123 East Doty Street, Madison",
OPERATIONAL,"{'location': {'lat': 43.0751379, 'lng': -89.3822319}, 'viewport': {'northeast': {'lat': 43.07643638029149, 'lng': -89.38101041970849}, 'southwest': {'lat': 43.07373841970849, 'lng': -89.3837083802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Graze Restaurant,{'open_now': False},"[{'height': 2047, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113115820330090474714"">Graze Restaurant</a>'], 'photo_reference': 'AW30NDy2k7Cv4Byf5-UVzrnHo9VsPXCv4XhvBaCyEqLbE3zGCM0IfVtWzY6IARPymUgOUStBIuJcx2lmKlV2t8bLsocJPLhFcghPbJ-ELytJcDMzVdEUIkxu0S-AUVy8aGhui2F3ARcY_ex7oYUBVlqfp0p_uMYsVVMWIn5OV9sIj05IXLfG', 'width': 2048}]",ChIJy_R_dz9TBogRz4rN3JmZd4o,"{'compound_code': '3JG9+34 Madison, WI, USA', 'global_code': '86MG3JG9+34'}",2.0,4.4,ChIJy_R_dz9TBogRz4rN3JmZd4o,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1732,"1 South Pinckney Street, Madison",
OPERATIONAL,"{'location': {'lat': 43.07625349999999, 'lng': -89.38370069999999}, 'viewport': {'northeast': {'lat': 43.0775468802915, 'lng': -89.3824787697085}, 'southwest': {'lat': 43.0748489197085, 'lng': -89.3851767302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Old Fashioned,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115639647955614195214"">Chuck Allen</a>'], 'photo_reference': 'AW30NDyVxlqG8JUBkD8qdtZC53bN8ax_hf1vx2Sukvd-DkM328qphWmzLiXKqZRQfy-mysLZCpZQ17vS0KEcwvrdXbVZkcjm6vd-70RKZGIvpC8v9pFsJDBTYTROY7Qs2-u63T0lhcvkHT4n3PadselgpeF-OucuVqpmVWIIHVwlXvMM8h1o', 'width': 4032}]",ChIJHxgqqEBTBogRJLOAk9gWpBg,"{'compound_code': '3JG8+GG Madison, WI, USA', 'global_code': '86MG3JG8+GG'}",2.0,4.5,ChIJHxgqqEBTBogRJLOAk9gWpBg,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",3418,"23 North Pinckney Street #1, Madison",
OPERATIONAL,"{'location': {'lat': 43.073325, 'lng': -89.453172}, 'viewport': {'northeast': {'lat': 43.0746127302915, 'lng': -89.45149786970848}, 'southwest': {'lat': 43.0719147697085, 'lng': -89.4541958302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Hilldale Shopping Center,{'open_now': True},"[{'height': 5504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113888260422484990055"">Hilldale Shopping Center</a>'], 'photo_reference': 'AW30NDzFdqHmhtLFfrl9qABQhRiMfU0lOytgcWHKLPI-Nf03T0jL6UDntXz6KEQwiGScQtpCAoU7elgJe8vLpdLoLqVAm-XoebGJo4akv_0y8GRsL3zNaQFuJpQDj056b09yDw6Fj6Kf9mXEw3TTb-x3HFkrivze8JCz3c9bfc8FaNRZeW1_', 'width': 8256}]",ChIJG-nB4kCsB4gRPEsWPdbnrVk,"{'compound_code': '3GFW+8P Madison, WI, USA', 'global_code': '86MG3GFW+8P'}",,4.3,ChIJG-nB4kCsB4gRPEsWPdbnrVk,GOOGLE,"['shopping_mall', 'gym', 'clothing_store', 'restaurant', 'food', 'health', 'point_of_interest', 'store', 'establishment']",3255,"726 North Midvale Boulevard, Madison",
OPERATIONAL,"{'location': {'lat': 43.0751065, 'lng': -89.3861702}, 'viewport': {'northeast': {'lat': 43.0763876802915, 'lng': -89.38472906970848}, 'southwest': {'lat': 43.0736897197085, 'lng': -89.38742703029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Coopers Tavern,{'open_now': True},"[{'height': 1463, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110402824257426133880"">The Coopers Tavern</a>'], 'photo_reference': 'AW30NDwMhhiof20rcILZ3toccOz_tH9QD94liSopFDbGdpbRVuktQgKoPVpPjRyt0_7f8e-S_qsnPdPmjOW8BU2i5CF00WrUgnGn6eAxOinutEJ-tPlur4-l51jRBljcpLNLzGyPbCSFDBP8cDTst8r4-qFAaYoxQpJUmYN4V9aN7RanU54R', 'width': 2048}]",ChIJJxyDjjhTBogRoaXIlEj_rL0,"{'compound_code': '3JG7+2G Madison, WI, USA', 'global_code': '86MG3JG7+2G'}",2.0,4.4,ChIJJxyDjjhTBogRoaXIlEj_rL0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1594,"20 West Mifflin Street, Madison",
CLOSED_TEMPORARILY,"{'location': {'lat': 43.071836, 'lng': -89.3956336}, 'viewport': {'northeast': {'lat': 43.0731705802915, 'lng': -89.3944065197085}, 'southwest': {'lat': 43.0704726197085, 'lng': -89.3971044802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nitty Gritty-Madison,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101766178092038136825"">Iris Vane</a>'], 'photo_reference': 'AW30NDzZckgHcNWO-jDhxf0BfIIbpcgo005iqvRsXrfyR8k7i_uQIXk6X8GriqYwthNRUfRd66hKUqIkLZpQY1nP1p5yBiuX0JJxIxiMQQzHh01e17xMreMpEecMnXdFH1Szs5c8JqJJuVsK3CNRaD57vaAwKqXgzJBreZH7T7oyYtskC7or', 'width': 4032}]",ChIJS-sgezRTBogRMMQhlZ9JNes,"{'compound_code': '3JC3+PP Madison, WI, USA', 'global_code': '86MG3JC3+PP'}",2.0,4.2,ChIJS-sgezRTBogRMMQhlZ9JNes,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1945,"223 North Frances Street, Madison",True
OPERATIONAL,"{'location': {'lat': 43.0724836, 'lng': -89.3845969}, 'viewport': {'northeast': {'lat': 43.0740131302915, 'lng': -89.38321461970848}, 'southwest': {'lat': 43.0713151697085, 'lng': -89.38591258029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tornado Steak House,{'open_now': True},"[{'height': 4654, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103121796572873576699"">Gregory Mason</a>'], 'photo_reference': 'AW30NDzdRjg7nJ8DHuyVswQfCtiiKlBfiT7tiELUV4aHzX7ptM5A2_I61pAav5MlLcQ4_Hn-R7b2KmLBBGpRFuBvUfVWONiyRvrCiVnXvAeWXLQDVODddSWzOpI_PDTLDrCvKLiFCoA6MudQT9l-qdXhlGkOdRpJRdZfqOTQR-O4uuk-Gm8q', 'width': 3494}]",ChIJheOiSjlTBogRXMC7hQYFqAo,"{'compound_code': '3JC8+X5 Madison, WI, USA', 'global_code': '86MG3JC8+X5'}",3.0,4.6,ChIJheOiSjlTBogRXMC7hQYFqAo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1680,"116 South Hamilton Street, Madison",
OPERATIONAL,"{'location': {'lat': 43.07283279999999, 'lng': -89.3956602}, 'viewport': {'northeast': {'lat': 43.0741948302915, 'lng': -89.39440121970848}, 'southwest': {'lat': 43.0714968697085, 'lng': -89.3970991802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dotty Dumpling's Dowry,{'open_now': False},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108931286618025586734"">Beverly Dressler</a>'], 'photo_reference': 'AW30NDxW38oTYSq-KzUhQsGYS3lGX9FTV-_vueS4BADpzdZmfiEr1VyihhZCbY9DE2rgBt3-qxXCwngDDDq94HJIhjcBithj4koCNgv9OBa-ONBCEBBrZZtg545l9g_2dOpcaB3e4KSvmPV1H7PZ1RbO8g9cxg9_6GgrNWsDlsEeDZEqP7TH', 'width': 4128}]",ChIJHaWbXDRTBogRomwymGRKiBQ,"{'compound_code': '3JF3+4P Madison, WI, USA', 'global_code': '86MG3JF3+4P'}",2.0,4.6,ChIJHaWbXDRTBogRomwymGRKiBQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1938,"317 North Frances Street, Madison",
OPERATIONAL,"{'location': {'lat': 43.076216, 'lng': -89.3765367}, 'viewport': {'northeast': {'lat': 43.0776368802915, 'lng': -89.3752962697085}, 'southwest': {'lat': 43.0749389197085, 'lng': -89.37799423029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Essen Haus Restaurant and Bar,{'open_now': False},"[{'height': 3237, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103491013947807261917"">Essen Haus Restaurant and Bar</a>'], 'photo_reference': 'AW30NDxckB2aIypNDFd8KjGCVPk7g8SHuZK3N6GtE_QdOpdMByd-kLQUiufGQ7O5o40W8LZk10KomeYLoFT9yYlC4S8fUHy4bIaj9uRmaVX7FOR230zes3BznudjKml88Hqq0JxpgeCmwHhYuUYoJTTKBCjO7iUY42bTigqf-KEVVAu3ESrn', 'width': 4857}]",ChIJDWlcMmtTBogRYnPoIJBC5EU,"{'compound_code': '3JGF+F9 Madison, WI, USA', 'global_code': '86MG3JGF+F9'}",2.0,4.3,ChIJDWlcMmtTBogRYnPoIJBC5EU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1159,"514 East Wilson Street, Madison",
OPERATIONAL,"{'location': {'lat': 43.07478700000001, 'lng': -89.39701}, 'viewport': {'northeast': {'lat': 43.07619053029151, 'lng': -89.39583301970849}, 'southwest': {'lat': 43.07349256970851, 'lng': -89.39853098029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107379592718253800810"">Scott Bright</a>'], 'photo_reference': 'AW30NDy8xuHI7NW8Ns4-vb0GOvqrFQHNShmL_CQutPP6e_-2CdAwwYE9kaT2H4WToOrVQOnwbUMVczvmuI_2Ij-wR3T_XGFlt93O1aUEXQ7YsBCK0qe9fcjS6q3K-oKFAkqm7mVaxj4mta7udk7wXo7FkaFSGUDgIdsMYh0PU7KBS99xkVYs', 'width': 2688}]",ChIJl4BCEzVTBogRkf9DfSCvfnI,"{'compound_code': '3JF3+W5 Madison, WI, USA', 'global_code': '86MG3JF3+W5'}",2.0,4.1,ChIJl4BCEzVTBogRkf9DfSCvfnI,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",380,"661 State Street, Madison",
