business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 43.0104295, 'lng': -71.45435359999999}, 'viewport': {'northeast': {'lat': 43.0118886802915, 'lng': -71.4528538197085}, 'southwest': {'lat': 43.0091907197085, 'lng': -71.45555178029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Puritan Backroom Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110138466085086947383"">Paul Meijer</a>'], 'photo_reference': 'AW30NDxDGnaxk6SGIcAMoNvzxxGFNxFuLOimNFc8fxeMDgUHyPJ57C7k36YjtlmT834k8x1oG74cS8cHjhTsSkU3m0-Fy_vXmbGkUgoVLG4w13k2y0c5_xzTUa2dzbZ-UnL-i93-g8dSIIWE814bU63MyZqohC0ijirQ5kNo2XD_I2mNrPgP', 'width': 3024}]",ChIJbawdDkJP4okRH0V3pQHnvUw,"{'compound_code': '2G6W+57 Manchester, NH, USA', 'global_code': '87MC2G6W+57'}",2.0,4.4,ChIJbawdDkJP4okRH0V3pQHnvUw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3824.0,"245 Hooksett Road, Manchester",
OPERATIONAL,"{'location': {'lat': 42.9278145, 'lng': -71.4375506}, 'viewport': {'northeast': {'lat': 42.92929223029149, 'lng': -71.4365300697085}, 'southwest': {'lat': 42.9265942697085, 'lng': -71.43922803029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Host International,{'open_now': False},,ChIJs34AXkBM4okRhFxilw3wVPk,"{'compound_code': 'WHH6+4X Manchester, NH, USA', 'global_code': '87JCWHH6+4X'}",,1.0,ChIJs34AXkBM4okRhFxilw3wVPk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"1 Airport Road #201, Manchester",
OPERATIONAL,"{'location': {'lat': 42.94911099999999, 'lng': -71.4333924}, 'viewport': {'northeast': {'lat': 42.9505380802915, 'lng': -71.43222301970849}, 'southwest': {'lat': 42.9478401197085, 'lng': -71.43492098029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113260116580318573490"">Jason Raff</a>'], 'photo_reference': 'AW30NDxGwgCiMrd5XjaqwFoEY44LAomNCGABa8niTFEvj7zheCqbk7PEeKlsPMMQoR4y6CeYwhxLaCRPLplqjtnKRkYpqPDf4I6qdef61FI3rodGvKrQoeMOuW_bNFHUf6lSHOZMbj81gkzFNYVP0c6IN8170SNqROkpf9Tcb_Jv7jJJr7xI', 'width': 4032}]",ChIJUcgaGoFO4okRGBNTyh3wxbk,"{'compound_code': 'WHX8+JJ Manchester, NH, USA', 'global_code': '87JCWHX8+JJ'}",2.0,4.2,ChIJUcgaGoFO4okRGBNTyh3wxbk,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2505.0,"1888 South Willow Street, Manchester",
OPERATIONAL,"{'location': {'lat': 42.9905953, 'lng': -71.46523189999999}, 'viewport': {'northeast': {'lat': 42.9919531302915, 'lng': -71.46380361970849}, 'southwest': {'lat': 42.9892551697085, 'lng': -71.4665015802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Strange Brew Tavern,{'open_now': True},"[{'height': 2432, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110324870178743229925"">Jennifer Vannest</a>'], 'photo_reference': 'AW30NDx1G0UEcAH56A9ErohpHN9EIVxlcwYMMlsfhpN2bsUL42dZsXub6nrplvGKKX3TH4eYTd-tK4ZYp00m-bAFpnJnB81Coy84UitMj96QxiCLl2pHVZg3ym3lIgwKa5axIBQcOqdCBnI7LHnRzeMPnbQNQv4XwBW1nM0u8KxKWDrX_I-W', 'width': 4320}]",ChIJBcMBNCZP4okRgWpxdsxaQl4,"{'compound_code': 'XGRM+6W Manchester, NH, USA', 'global_code': '87JCXGRM+6W'}",2.0,4.4,ChIJBcMBNCZP4okRgWpxdsxaQl4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1161.0,"88 Market Street, Manchester",
OPERATIONAL,"{'location': {'lat': 42.9935047, 'lng': -71.4614115}, 'viewport': {'northeast': {'lat': 42.99489388029149, 'lng': -71.4601295197085}, 'southwest': {'lat': 42.9921959197085, 'lng': -71.46282748029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Red Arrow Diner,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110687953819411411336"">Red Arrow Diner</a>'], 'photo_reference': 'AW30NDyJokwwazSOe7wBbTIlGlu4UQ35d-AbEiriDaqnwgxiBBtSSzwZsnjWhfKdmnYs3W9Gq8PpISsZa8mqSTZPhS1Deyx6HvMoKtxdiwzpfTB1Rmj-fOluVAAnW-tSgPzOnF0ZIIzVukKj2Z5zRoLyF7973JMGI-_RXWNMt8RX1KBZG9D-', 'width': 2048}]",ChIJLRQ1PyRP4okRLfSIZZWnhtE,"{'compound_code': 'XGVQ+CC Manchester, NH, USA', 'global_code': '87JCXGVQ+CC'}",1.0,4.5,ChIJLRQ1PyRP4okRLfSIZZWnhtE,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",3117.0,"61 Lowell Street, Manchester",
OPERATIONAL,"{'location': {'lat': 42.96327309999999, 'lng': -71.4797943}, 'viewport': {'northeast': {'lat': 42.9647165802915, 'lng': -71.4784385697085}, 'southwest': {'lat': 42.9620186197085, 'lng': -71.48113653029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,T-BONES Great American Eatery,{'open_now': True},"[{'height': 6656, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118232352739604149485"">T-BONES Great American Eatery</a>'], 'photo_reference': 'AW30NDyagE4cyOd0SrwBrk9T5Y5htHcGwWq_hQlaXQqjLQccwMHR74Riip93aBqkzsNB7RV_n153XQ-NsXyWdWDnanFlOuWHnUd5rinjxEl_ajhLy1oEK1D5eUMzppBt-x56woOH4mJUYMzfshxPR_2faY0oSeZqIZu7Q82nmdQcx7aYZchr', 'width': 13312}]",ChIJbWt4bk1J4okRgBeTY7SvWEw,"{'compound_code': 'XG7C+83 Bedford, NH, USA', 'global_code': '87JCXG7C+83'}",2.0,4.4,ChIJbWt4bk1J4okRgBeTY7SvWEw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1549.0,"25 South River Road, Bedford",
OPERATIONAL,"{'location': {'lat': 42.998485, 'lng': -71.4676846}, 'viewport': {'northeast': {'lat': 42.9998134802915, 'lng': -71.4661358197085}, 'southwest': {'lat': 42.9971155197085, 'lng': -71.4688337802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fratello's Italian Grille - Manchester,{'open_now': False},"[{'height': 2080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110698439553765942142"">Susan Yates</a>'], 'photo_reference': 'AW30NDwPUrUuii-52ngMs79dlcnJv2xc9SUZ79VjSgi8vYWEbFE6otUrem55MGvcCt-QiQlSl96BZcDwJvLfSmmVW1uMpulcMMlim1UuoBM4PYrHQ2Xr7hj41BgKhi3GQviVggyYn1cTBtBVdwrwmos-Lit4HU7qQ1lInjGSDh73G9oWWXKL', 'width': 4160}]",ChIJ5YhdxC9P4okRaNI4Rv8kyXg,"{'compound_code': 'XGXJ+9W Manchester, NH, USA', 'global_code': '87JCXGXJ+9W'}",2.0,4.4,ChIJ5YhdxC9P4okRaNI4Rv8kyXg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1586.0,"155 Dow Street, Manchester",
OPERATIONAL,"{'location': {'lat': 42.992823, 'lng': -71.462345}, 'viewport': {'northeast': {'lat': 42.9941560302915, 'lng': -71.4610232197085}, 'southwest': {'lat': 42.9914580697085, 'lng': -71.4637211802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Firefly American Bistro & Bar,{'open_now': False},"[{'height': 2269, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116909085031849693380"">Firefly American Bistro &amp; Bar</a>'], 'photo_reference': 'AW30NDzEv4Sg2Y_bf23Z52RflgUbVPXsxNztYqkRZD56qmjBESvxC1e_bu7K575FpgQgdvXn1J-RZMlgI5_53g7FgwZ14MeIaKftFEhftYa6Di6VIcBBam4BUQvpQlyuq2GkLA6wgcqHMwCfMH9hdfo2aA8n_diHxVGWbKUMEcZHKZ4rRQl-', 'width': 4032}]",ChIJa8ZNKSRP4okRNe58NzIrWMY,"{'compound_code': 'XGVQ+43 Manchester, NH, USA', 'global_code': '87JCXGVQ+43'}",2.0,4.5,ChIJa8ZNKSRP4okRNe58NzIrWMY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1192.0,"22 Concord Street, Manchester",
OPERATIONAL,"{'location': {'lat': 42.9925739, 'lng': -71.46369}, 'viewport': {'northeast': {'lat': 42.9937455302915, 'lng': -71.4623587697085}, 'southwest': {'lat': 42.9910475697085, 'lng': -71.46505673029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Thousand Crane,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101031165884320848336"">B Fu (符中光)</a>'], 'photo_reference': 'AW30NDyGr6xL23D88s4Y98FEFvgZp_Ngq6GITxEh9mXSsX-9QfotDHXY28_JfrEGLZeHyApnamVrcFbxsyRWtxcmSNrXXi19aL-jyLze5U6duUNWGf6pMz-JvJbK_goVrvEf_nJc4xyZiw2dKehhZSW6O1u-qPn6C-dHIYxdVMWaiKZsk1zP', 'width': 3264}]",ChIJqfsseiZP4okRw7a_kRB8yAY,"{'compound_code': 'XGVP+2G Manchester, NH, USA', 'global_code': '87JCXGVP+2G'}",2.0,3.6,ChIJqfsseiZP4okRw7a_kRB8yAY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",211.0,"1000 Elm Street, Manchester",
OPERATIONAL,"{'location': {'lat': 42.994673, 'lng': -71.4678754}, 'viewport': {'northeast': {'lat': 42.9959457802915, 'lng': -71.46626171970848}, 'southwest': {'lat': 42.9932478197085, 'lng': -71.4689596802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Stark Brewing Company,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102796416731743221298"">Jaye Aster Broder</a>'], 'photo_reference': 'AW30NDy1GS07mpVf-dmo2p8UTDAMDHjoI8fHRP-1FG4mljNL4kb-b_sHjAVOx_yD4czTFsXo3nZUQ4ol_hVe_9WAknmo_f44Wzyhd8yX-vvDPBYiamrCrraeF13s58_YeJJN5QVBMWf2I4T-8VmVSHcxsTku34IiT6oClYo2UBz7QL_7Aup2', 'width': 4032}]",ChIJhWn-PS9P4okRcBKfxyoSK2I,"{'compound_code': 'XGVJ+VR Manchester, NH, USA', 'global_code': '87JCXGVJ+VR'}",1.0,4.2,ChIJhWn-PS9P4okRcBKfxyoSK2I,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",922.0,"500 North Commercial Street, Manchester",
