business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 26.23940199999999, 'lng': -98.2140355}, 'viewport': {'northeast': {'lat': 26.2407033302915, 'lng': -98.2128023697085}, 'southwest': {'lat': 26.23800536970849, 'lng': -98.2155003302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112038242824302177210"">Miguel Munoz</a>'], 'photo_reference': 'AW30NDxKljkkPhDXuLj0LZiwjyryV0C31VFjZ4WY-TfCRIBvcvy7gSE7Kufo-Y6spDHFX0UzdYx_JmY6Duv6oGh-3n1L0WV9y-k07i29EWKycfnEV52-55XoqvCVoeEv4J29uijce5rkDLdNIYW7GjCbwDIW_yZX2AxN59YaE8EVI_9__Ngv', 'width': 3984}]",ChIJOyMakS6hZYYRXJDt0fHi2Jg,"{'compound_code': '6QQP+Q9 McAllen, TX, USA', 'global_code': '76R36QQP+Q9'}",2.0,4.5,ChIJOyMakS6hZYYRXJDt0fHi2Jg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1119.0,"4100 North 2nd Street Ste 100, McAllen",
OPERATIONAL,"{'location': {'lat': 26.2375523, 'lng': -98.23951489999999}, 'viewport': {'northeast': {'lat': 26.2388382802915, 'lng': -98.23817816970849}, 'southwest': {'lat': 26.2361403197085, 'lng': -98.2408761302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101668969836199550306"">Subway</a>'], 'photo_reference': 'AW30NDwh1lPbGRnjxHM-5XmqMxDMGE8f6UtjJRx45VK_kJ0BFUCKk-1pn_0YLhLUyTCHWYC-_4Yp_-5KosvT9qWBJlCsiDWRoSlo5bCMeAlsEYNg_tgkk89QZ6BkAA2-VNlvUFkHAyqOrKMu-QYJBGDnwhut-RCtKttwfc51TmxbgePQAvHB', 'width': 1763}]",ChIJVXWWONymZYYRuIyqkDvpz9Q,"{'compound_code': '6QQ6+25 McAllen, TX, USA', 'global_code': '76R36QQ6+25'}",1.0,4.0,ChIJVXWWONymZYYRuIyqkDvpz9Q,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",315.0,"3512 North 23rd Street, McAllen",
OPERATIONAL,"{'location': {'lat': 26.2374726, 'lng': -98.21283319999999}, 'viewport': {'northeast': {'lat': 26.2389126802915, 'lng': -98.21146506970848}, 'southwest': {'lat': 26.2362147197085, 'lng': -98.2141630302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 940, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100639474402771667127"">Subway</a>'], 'photo_reference': 'AW30NDweDxx7WYt3yxjCii_lZqe35M4lxCKY8mLEiz5Wb95JGZ9qe2GYevGMN-mPgzPgpXUmtvnUumi18IEKNkoPe-d3bouOlYrReQJO7UrocOGivYIj13zhKnW2gDGv8FMSI88vMjoj-j6AuTVk43W7JQzPYsgzNy1XDzxn0CActi-SytJL', 'width': 940}]",ChIJS1CsLC-hZYYRPmHBV9oT6Qg,"{'compound_code': '6QPP+XV McAllen, TX, USA', 'global_code': '76R36QPP+XV'}",1.0,4.2,ChIJS1CsLC-hZYYRPmHBV9oT6Qg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",159.0,"105 West Nolana Avenue, McAllen",
OPERATIONAL,"{'location': {'lat': 26.2502047, 'lng': -98.2213273}, 'viewport': {'northeast': {'lat': 26.25159208029151, 'lng': -98.2201072697085}, 'southwest': {'lat': 26.2488941197085, 'lng': -98.22280523029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1661, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105621626059339012098"">anita</a>'], 'photo_reference': 'AW30NDwTTRy7mC6i9KPtMTfvLF_Pl4FLe54h6y2heTMRYWEyHJHtFpodX_8bk5kpffdeepBCg1tsaAXONHPUYGUkqWx5wyv90EyMUDm6JM3TUJ19ALlNRUSU6VNF3nTBjbW42r7FLZZ81S-rJaSOK658uMzsJuYDpncNX4ByxOwTCcExDRIY', 'width': 2235}]",ChIJqUjpR8umZYYR4UN4oLj80o8,"{'compound_code': '7Q2H+3F McAllen, TX, USA', 'global_code': '76R37Q2H+3F'}",1.0,3.9,ChIJqUjpR8umZYYR4UN4oLj80o8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",156.0,"5200 North 10th Street A, McAllen",
OPERATIONAL,"{'location': {'lat': 26.236335, 'lng': -98.22498859999999}, 'viewport': {'northeast': {'lat': 26.2377388802915, 'lng': -98.22364726970848}, 'southwest': {'lat': 26.2350409197085, 'lng': -98.2263452302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110626164432103760249"">Patrick De La Garza Und Senkel</a>'], 'photo_reference': 'AW30NDwdAWjjwtabhDxDywdgEfRAywsM-gmXiDyo2QMUNTvxP_NI-M8ICG2AGVqy3UAm5rJNKpfmqCqcbUOaO_moIGqjGeot35QXFkRaBN_wGhealm4u9_kM7u7qNohkH6FMv47hpdFkfGRpKVoeDYLES2GgTD4mmSURKH3egCBobNKDUf1m', 'width': 5312}]",ChIJQ_6KetSmZYYRVg1zJvkws_E,"{'compound_code': '6QPG+G2 McAllen, TX, USA', 'global_code': '76R36QPG+G2'}",1.0,4.2,ChIJQ_6KetSmZYYRVg1zJvkws_E,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",473.0,"3609 North 10th Street, McAllen",
OPERATIONAL,"{'location': {'lat': 26.2398556, 'lng': -98.2184353}, 'viewport': {'northeast': {'lat': 26.2411355302915, 'lng': -98.2169808197085}, 'southwest': {'lat': 26.2384375697085, 'lng': -98.2196787802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kumori Sushi & Teppanyaki Nolana Ave,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113985446545235269022"">Erlinda Ibay</a>'], 'photo_reference': 'AW30NDw0nrkM2ZtmolB1csSmGSKJ1_u91N9wT9br_RYsEvg-JaPu0FFDzWz-tt_uy74EtOZIAi0vY0uiLcaKfcISXq5uWMAzzpTOgbAzJtKSHDNBledQ6y-uwVSIo28U4jojHPKCJq-flHw8GWZ2wa6dcVvSyyCs6v5WArFaIVEJ8IPxinY1', 'width': 5312}]",ChIJE6xxayyhZYYR7rgebO9wQaI,"{'compound_code': '6QQJ+WJ McAllen, TX, USA', 'global_code': '76R36QQJ+WJ'}",2.0,3.8,ChIJE6xxayyhZYYR7rgebO9wQaI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",636.0,"400 West Nolana Avenue Ste E, McAllen",
OPERATIONAL,"{'location': {'lat': 26.2295318, 'lng': -98.2265125}, 'viewport': {'northeast': {'lat': 26.23070713029151, 'lng': -98.22506176970849}, 'southwest': {'lat': 26.2280091697085, 'lng': -98.2277597302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wingstop,{'open_now': True},"[{'height': 496, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112287200042281849989"">Wingstop</a>'], 'photo_reference': 'AW30NDwAdG-YAZYfttuT8W3qXVT08ommOYBVlrQ9oBt10j1XJosjBoKK5g0ALKiReDTp_KF5a2Qn-bP_1xcUrDB2N_VIkZ0MYRRPpzk8IjQyuBmQ9NjfFvvUxqEYirShmck30rg7iaOYdxtUrVCN2DufN3rJt-avLq3_GE50rOVnPdYj4hYH', 'width': 882}]",ChIJrx8AFSqnZYYRbiNTluL9SME,"{'compound_code': '6QHF+R9 McAllen, TX, USA', 'global_code': '76R36QHF+R9'}",2.0,4.0,ChIJrx8AFSqnZYYRbiNTluL9SME,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",719.0,"2901 North 10th Street d, McAllen",
OPERATIONAL,"{'location': {'lat': 26.2356594, 'lng': -98.2252469}, 'viewport': {'northeast': {'lat': 26.2368724802915, 'lng': -98.2237282697085}, 'southwest': {'lat': 26.2341745197085, 'lng': -98.22642623029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111532307414223172989"">Abel Riojas</a>'], 'photo_reference': 'AW30NDwIl0iPO3EnQEVA7ErDz106i4EeJu6ThCKYTH3VjV-n84q2Q1DhUt3jteu0DfuGXa4yrdMoU7Oty8rCkY1lrb40A3ifGqNdpqYttg73yOvaWHJK-y20HeHsD-jp7daxri2GNp4NfYcxCbARBTJBIiWFNw5ikAqrhADrXNYbDUqhNwLU', 'width': 3024}]",ChIJp4zqZ9SmZYYRoUNpjIeGu1Q,"{'compound_code': '6QPF+7W McAllen, TX, USA', 'global_code': '76R36QPF+7W'}",1.0,4.2,ChIJp4zqZ9SmZYYRoUNpjIeGu1Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",140.0,"3519 North 10th Street, McAllen",
OPERATIONAL,"{'location': {'lat': 26.2121162, 'lng': -98.233358}, 'viewport': {'northeast': {'lat': 26.2134137802915, 'lng': -98.23185441970848}, 'southwest': {'lat': 26.2107158197085, 'lng': -98.2345523802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Roosevelt's at 7,{'open_now': True},"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100237513876591335414"">Roosevelt&#39;s at 7</a>'], 'photo_reference': 'AW30NDwocJbNGYBpKzMIMkxGElrpWOVTtoiRI74gOggIm9098JPxRoC-PRDGsr-MNwMC98onwXDQFYiV7Odabn3MOepT5mkr-WraHls_h333Az_NzE0VsrbWBxLtOff1m04ku2f9deeM8rVsCFPaXvK4-OvOzf9ge9OkH9SM23HAZDXajju3', 'width': 640}]",ChIJbZDr7TmnZYYRN3P193HBUM8,"{'compound_code': '6Q68+RM McAllen, TX, USA', 'global_code': '76R36Q68+RM'}",2.0,4.5,ChIJbZDr7TmnZYYRN3P193HBUM8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",929.0,"821 North Main Street, McAllen",
OPERATIONAL,"{'location': {'lat': 26.2206743, 'lng': -98.2422344}, 'viewport': {'northeast': {'lat': 26.2219759802915, 'lng': -98.2408942197085}, 'southwest': {'lat': 26.2192780197085, 'lng': -98.2435921802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108864023714559122430"">Angel Rodriguez</a>'], 'photo_reference': 'AW30NDxUMHuZC8hglubb3YPH0vmczF_MIizkZW8J9Vu_Cc_4ojLj6dZIdoHFKMcrSDslfK79FK5HFuvQTV_08XaqgYf_G_NnfUk2bxe9ZesTWYoZRqmBqPkgXsd4qrCrEFwlRWBdbNM3bp1tseR026pibl-LoIFvtPAH49qHX8Ks4VVG74bi', 'width': 3024}]",ChIJq3NRjiKnZYYRqBjZcNhI60s,"{'compound_code': '6QC5+74 McAllen, TX, USA', 'global_code': '76R36QC5+74'}",1.0,3.8,ChIJq3NRjiKnZYYRqBjZcNhI60s,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",629.0,"1618 North 23rd Street, McAllen",
