business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity
OPERATIONAL,"{'location': {'lat': 33.686134, 'lng': -117.174108}, 'viewport': {'northeast': {'lat': 33.6874833802915, 'lng': -117.1726866697085}, 'southwest': {'lat': 33.6847854197085, 'lng': -117.1753846302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118141241917617177401"">Betty H</a>'], 'photo_reference': 'AW30NDyJmPOCljnSAXlpblWzz7o7DkfJMV43cOWZN0NA4C3yzgxfQODoT-mKcLfgooNoVZfzCi4XX8pTjdZSMFTiWcldF-CleelJvGxcAgaUe3rXbzQ1cCFNTRNlj884LnB_8E2CxhuklJFRtfjg4_h4yTkWd1Sj9BkpZhogP34QR3XtxCGB', 'width': 4080}]",ChIJJeDmZYqd3IARw7C_lwpG82I,"{'compound_code': 'MRPG+F9 Menifee, CA, USA', 'global_code': '8554MRPG+F9'}",2.0,4.6,ChIJJeDmZYqd3IARw7C_lwpG82I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",5855,"29860 Haun Road, Menifee"
OPERATIONAL,"{'location': {'lat': 33.6844917, 'lng': -117.1685418}, 'viewport': {'northeast': {'lat': 33.6857492802915, 'lng': -117.1670801197085}, 'southwest': {'lat': 33.6830513197085, 'lng': -117.1697780802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115717816577874390844"">Eleanor Martinez</a>'], 'photo_reference': 'AW30NDzOkq-HBZCuQGLh3xis3p25QqlwFcPVH-nIyS-QJ57XzAqsC8vugIt9U7ZAqamjRlETBLhJ5R1E0_9LECRZAN73Qbv53SpU0d45e5tGAnObz5R95-ss2s4bHJemrOmnul1ME92eVDhT8l7STxBrjWJM7rQQkMQ0lo9dtrs8HIkhdwYs', 'width': 4032}]",ChIJs4sQKndi24AR1KqhdMs6KLc,"{'compound_code': 'MRMJ+QH Menifee, CA, USA', 'global_code': '8554MRMJ+QH'}",1.0,4.2,ChIJs4sQKndi24AR1KqhdMs6KLc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",204,"30123 Antelope Road Suite A, Menifee"
OPERATIONAL,"{'location': {'lat': 33.711577, 'lng': -117.1905965}, 'viewport': {'northeast': {'lat': 33.7129577302915, 'lng': -117.1891163697085}, 'southwest': {'lat': 33.7102597697085, 'lng': -117.1918143302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104973146930636916669"">Eric Velasquez</a>'], 'photo_reference': 'AW30NDy6FIUmyDJcPE3UwvtBC_lxkq1DehRgAhc_D8I-eURGc-YPKJX8TkcKTc4AZEkQFkeRRV2fDRbnV1iwRw6nkSXa5bfMTsuxmw6mb-fQMNeWSNZE24u5UZzTcNVDF11iB7ZHYPuFu0uwkBs2h_j7N3f1em3yRwEZrFQm6wFPZz-YsuMs', 'width': 4160}]",ChIJ55SWRQme3IARSE7ZK_1h3A0,"{'compound_code': 'PR65+JQ Sun City, Menifee, CA, USA', 'global_code': '8554PR65+JQ'}",1.0,3.7,ChIJ55SWRQme3IARSE7ZK_1h3A0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",90,"26926 Cherry Hills Boulevard Suite D, Sun City"
OPERATIONAL,"{'location': {'lat': 33.6818521, 'lng': -117.1751001}, 'viewport': {'northeast': {'lat': 33.6832824802915, 'lng': -117.1737068197085}, 'southwest': {'lat': 33.6805845197085, 'lng': -117.1764047802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107645175275777530479"">BJ&#39;s Restaurant &amp; Brewhouse</a>'], 'photo_reference': 'AW30NDz5zBaCH5qUfSMfnOcZmR3_w20xN6GFj6D9aYgmkLg6BWqCaqF9xhC22qWlDHQKGnMYAo9qCO0XxzpkUTsHjLoVHebdcUpzNmgDGyr0yaP4M55uFfraeOx9pmosgRB6-IMnDy0VAD3Kkh1cHochxP03s5IsIdta0bqJKJYc-qB45qu6', 'width': 4032}]",ChIJbb99sImd3IAR8lip2qX7VdA,"{'compound_code': 'MRJF+PX Menifee, CA, USA', 'global_code': '8554MRJF+PX'}",2.0,3.9,ChIJbb99sImd3IAR8lip2qX7VdA,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1467,"30208 Haun Road, Menifee"
OPERATIONAL,"{'location': {'lat': 33.7139281, 'lng': -117.1928469}, 'viewport': {'northeast': {'lat': 33.7152648802915, 'lng': -117.1916030197085}, 'southwest': {'lat': 33.7125669197085, 'lng': -117.1943009802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,China Garden,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107054010250387774504"">Kaysi Corona</a>'], 'photo_reference': 'AW30NDxz6vKJnAJZfs3zO8vSM_G6-_Wlt4pZ1JXiHqZIJSsKpKqrqCRX2F0ztpXSuvpjgRQSImhbRZTbdgszZCRNBGRD0X1TrbrFKfuryceGvwyPFZ_qCeOGdm6-UD46RDIbVa6vT-x3njTdwV6vtldO0v7WVm0DD_GK67wLRqheIPQxDKlf', 'width': 4032}]",ChIJuU8TtA2e3IARwaCn_FPFFwE,"{'compound_code': 'PR74+HV Sun City, Menifee, CA, USA', 'global_code': '8554PR74+HV'}",,4.1,ChIJuU8TtA2e3IARwaCn_FPFFwE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",233,"27388 Sun City Boulevard # A, Sun City"
OPERATIONAL,"{'location': {'lat': 33.68389299999999, 'lng': -117.1750981}, 'viewport': {'northeast': {'lat': 33.6851191302915, 'lng': -117.1736215197085}, 'southwest': {'lat': 33.6824211697085, 'lng': -117.1763194802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,New York's Upper Crust Pizza,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106450498036577875508"">Juan Garcia</a>'], 'photo_reference': 'AW30NDwqVvyZxiVG_ILQsqJfmydw9HTlJdlcZxzarHCYJo3YpZTIo1flLyTq9luusjfo8mCFrTVsa1Fu3pTRmhByjHERorvUBWazpk5MGm1DEVS9y3BC6JxyU2Iw3WaEMWz3tHkAbL8BRSgaOhLpuiaCOvfA_g4R_GXDbBDVDixna0pgEvuQ', 'width': 1920}]",ChIJt92iJoqd3IARQQCdWc9xr-4,"{'compound_code': 'MRMF+HX Menifee, CA, USA', 'global_code': '8554MRMF+HX'}",2.0,3.9,ChIJt92iJoqd3IARQQCdWc9xr-4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",258,"30076 Haun Road STE 220, Menifee"
OPERATIONAL,"{'location': {'lat': 33.68537060000001, 'lng': -117.1904152}, 'viewport': {'northeast': {'lat': 33.6867743302915, 'lng': -117.1889747197085}, 'southwest': {'lat': 33.6840763697085, 'lng': -117.1916726802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Pitstop Pub Sports Bar & Grill,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103135669837364653376"">Pitstop Pub Sports Bar &amp; Grill</a>'], 'photo_reference': 'AW30NDz_S1Yy1veHX3faNQg9o1u8yKd7M5phUdfF7D_UTTbudd3Ndfuij_MFgkqaaF9MC7wtgPNVrAYH79RraFXoYR49OVoZjML2DOSc654WrbM2l3XZZKpIWFk76z75bR68LlI_4o4Kwn6_ki0zLLMu4c0udewDr-bLakNKH_WjIExxqfKx', 'width': 3264}]",ChIJiWjISpOd3IAR6GMz67ykMGo,"{'compound_code': 'MRP5+4R Menifee, CA, USA', 'global_code': '8554MRP5+4R'}",2.0,4.2,ChIJiWjISpOd3IAR6GMz67ykMGo,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",598,"26900 Newport Road, Menifee"
OPERATIONAL,"{'location': {'lat': 33.7116183, 'lng': -117.1913996}, 'viewport': {'northeast': {'lat': 33.7129739302915, 'lng': -117.1901080197085}, 'southwest': {'lat': 33.7102759697085, 'lng': -117.1928059802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Provecho Grill,{'open_now': False},"[{'height': 1664, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114460621243156593583"">gabe perez</a>'], 'photo_reference': 'AW30NDw0zoqureNtUTVB_ReFv9sabwipex9CMMck6evTupdEKMP4YStj2W_IKLmfnhFPYbD76GL15WV6jDN1N9uBPJHNo2HHlsX4tkLF3TPKTHpmxcuRxheW1lu40mUOl7DrVFMzxAgu7y4jGglRLRLMXe1WfS4iWlrpCqDJDj6tZJdRijXJ', 'width': 1336}]",ChIJZaH1Wgme3IARqN9F6Uom5fw,"{'compound_code': 'PR65+JC Menifee, CA, USA', 'global_code': '8554PR65+JC'}",2.0,4.4,ChIJZaH1Wgme3IARqN9F6Uom5fw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1346,"26862 Cherry Hills Boulevard, Menifee"
OPERATIONAL,"{'location': {'lat': 33.6826234, 'lng': -117.1698768}, 'viewport': {'northeast': {'lat': 33.6840278302915, 'lng': -117.1684772197085}, 'southwest': {'lat': 33.6813298697085, 'lng': -117.1711751802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 450, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106940522865898955253"">Lachelle Firemoon</a>'], 'photo_reference': 'AW30NDwdpn15q7ChewgFDnkv7iekILhqPuwX5NxUPKFLer4pCVYtVl99rzo99IvViLXpKO5MHS0kmMeJaBq6P3Y9wnDy5vyUCDrWzaLfxasEn6KX2DQdfCkj-cT3dM9M7xd5LPbSIjmpH5yCXGFAtjEDtEt5qfDCdqyTPwOEM-Yp_QKbPfBB', 'width': 448}]",ChIJX7AnKnFi24ARPsXr2iwBsUc,"{'compound_code': 'MRMJ+22 Menifee, CA, USA', 'global_code': '8554MRMJ+22'}",1.0,3.8,ChIJX7AnKnFi24ARPsXr2iwBsUc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",119,"30145 Antelope Road B102, Menifee"
OPERATIONAL,"{'location': {'lat': 33.6811778, 'lng': -117.1750479}, 'viewport': {'northeast': {'lat': 33.68239748029151, 'lng': -117.1737270197085}, 'southwest': {'lat': 33.67969951970851, 'lng': -117.1764249802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107454036757754258321"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDzTELb0vb76LG48pBWOa-1IL7S6CR2X3cK4Pj6klcYxcgEOkLozvhsCE95gT1VJMMxJ1zMxO7ru2VRYt0QbYpQ4qjmGNw34GKA3LFNBdPzkuMq0vK5JW9oMK6lPSbqPtm36L2P0WLWHItPHVmf5xBvfOOHHt9kqIx3_CLf9OWlTYVWZ', 'width': 1337}]",ChIJUekUP4id3IAR85CLpk9RreA,"{'compound_code': 'MRJF+FX Menifee, CA, USA', 'global_code': '8554MRJF+FX'}",1.0,4.7,ChIJUekUP4id3IAR85CLpk9RreA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2654,"30296 Haun Road, Menifee"
