business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 43.619106, 'lng': -116.347468}, 'viewport': {'northeast': {'lat': 43.6204496802915, 'lng': -116.3461973697085}, 'southwest': {'lat': 43.6177517197085, 'lng': -116.3488953302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110579674607987580161"">Chatchawan Sukkha</a>'], 'photo_reference': 'AW30NDwC1YwyHa1_98WDu2yPvzZWTb7YBQZt8owO9YqVcLik0AMB5aduLj67uBsyGgWyy0DIIkc7uLFtfyAfNOi1_o3WrmG4JrJHiME3ks3XdDKmUwa-Q-DJnXjRT_yP0ER4pLDUMLHZychIXcN13E2Ts9nPD6k4Q_jiw8zNxzlF2TOKzNLA', 'width': 5312}]",ChIJpSjjkDxUrlQRNv6u_P6iMAA,"{'compound_code': 'JM93+J2 Meridian, ID, USA', 'global_code': '85M5JM93+J2'}",2.0,4.5,ChIJpSjjkDxUrlQRNv6u_P6iMAA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4575.0,"3801 East Fairview Avenue, Meridian",
OPERATIONAL,"{'location': {'lat': 43.6223478, 'lng': -116.3507511}, 'viewport': {'northeast': {'lat': 43.62370028029149, 'lng': -116.3496046697085}, 'southwest': {'lat': 43.6210023197085, 'lng': -116.3523026302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Big Al's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101201765425421493395"">Cleveland Native in Boise</a>'], 'photo_reference': 'AW30NDxUoKpvo6yEnPPbiQQQ9DAWANpjLRDGt00L6giNKwibK3i80dEc11Tu-xNnJTrPhqx0GBSemaZg4aV4TyN5wI59qp3Pe-g3kQNWsym0ej4NDWo0vHCnWGBD8Xl48HBt9U84WFwRvbbrO-f1PLOGw7wwZb3tWo3h40F5oUQc86wKev3m', 'width': 4032}]",ChIJGSXOQj5UrlQRowceGsOvbx8,"{'compound_code': 'JJCX+WM Meridian, ID, USA', 'global_code': '85M5JJCX+WM'}",2.0,4.0,ChIJGSXOQj5UrlQRowceGsOvbx8,GOOGLE,"['bowling_alley', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2598.0,"1900 North Eagle Road, Meridian",
OPERATIONAL,"{'location': {'lat': 43.6175978, 'lng': -116.3912744}, 'viewport': {'northeast': {'lat': 43.6189746302915, 'lng': -116.3900686697085}, 'southwest': {'lat': 43.6162766697085, 'lng': -116.3927666302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107645865472960609030"">Travis W</a>'], 'photo_reference': 'AW30NDyZjw72CUa-TecjBLLVeDuJMUOedvUuSUIw8kmIdoGIPrGZA9W3N0WIKZFZJqCWQzBlpq5bWgK_XZGg66sj8Dn54kEZ-mnb6ONtXUEmOpNO5Hre9V_1fKwrLKfHf-JUvLaOV7wK0RtZU7rbRRLXs1FgzbgaNfAywnMDBrWjcVXE6vdn', 'width': 5312}]",ChIJn2WN4oxTrlQR5gCAu2q3Ikg,"{'compound_code': 'JJ95+2F Meridian, ID, USA', 'global_code': '85M5JJ95+2F'}",1.0,3.5,ChIJn2WN4oxTrlQR5gCAu2q3Ikg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",121.0,"1518 North Main Street, Meridian",
OPERATIONAL,"{'location': {'lat': 43.6199912, 'lng': -116.3709609}, 'viewport': {'northeast': {'lat': 43.6212419302915, 'lng': -116.3696139697085}, 'southwest': {'lat': 43.6185439697085, 'lng': -116.3723119302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117901600420876074749"">Serge Villarreal</a>'], 'photo_reference': 'AW30NDwVA6smMhiqoTMqwNPopdDFf5JhYuj6XsU0a-k6dL2Ff-fnJQ9VAf5UPAZVAMUPBQpMzMpc0jtg7vritJUt_OkxVOq0xbEh2f08LgynHUpLLhqi0AHThFKSEY7fDURad7sogi-9TiMDhXfNqY3iPBhX2QafxZN3aA6vV0oMVGulU2cE', 'width': 1908}]",ChIJ7xnN3QxUrlQRH-LD8yKR7H8,"{'compound_code': 'JJ9H+XJ Meridian, ID, USA', 'global_code': '85M5JJ9H+XJ'}",1.0,3.5,ChIJ7xnN3QxUrlQRH-LD8yKR7H8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",173.0,"1890 East Fairview Avenue, Meridian",
OPERATIONAL,"{'location': {'lat': 43.6044491, 'lng': -116.4159744}, 'viewport': {'northeast': {'lat': 43.60577738029151, 'lng': -116.4144824697085}, 'southwest': {'lat': 43.60307941970851, 'lng': -116.4171804302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115402496255136725174"">James Dickson</a>'], 'photo_reference': 'AW30NDyK9yj82oCQ3WvIPFAxGUSYWMFtEukeFE_MdqeYElvV5_K2VGwb2MTn3uzuyt3VDtWr03o_UdvouOU-pPiQ5YjQb09WLF_suQSNceq_q80zBaER2NQ4iQsMv9SV9Ukt8Cb2K1zLbCA7mqflnzWbSys-f6VyaLMNu-E58KeeOJ0GSvc1', 'width': 4032}]",ChIJ6eTMLs9TrlQRwJimIjTyScQ,"{'compound_code': 'JH3M+QJ Meridian, ID, USA', 'global_code': '85M5JH3M+QJ'}",1.0,3.6,ChIJ6eTMLs9TrlQRwJimIjTyScQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",197.0,"1789 West Franklin Road, Meridian",
OPERATIONAL,"{'location': {'lat': 43.5986063, 'lng': -116.3931135}, 'viewport': {'northeast': {'lat': 43.6000186802915, 'lng': -116.3917004197085}, 'southwest': {'lat': 43.5973207197085, 'lng': -116.3943983802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109422099553154330272"">Ben Buchmiller</a>'], 'photo_reference': 'AW30NDxNW8segI8hK0L7SmumYbHUb5YqwEELHDP6MH7wnCFFqxLMtTfip-rL4egLQDS7VA2TNTai5AJ2Zm7bmCMUM-GkZ2j7aNao0SNk3zmnID6ajRVE8NgyK6ldRqAABI5e1rhYXaWtaVUmjzrWJ65cidT40BhoVYuHvjNha1H40EUOIrKF', 'width': 4032}]",ChIJK6JHzd9TrlQRItSEHF5Gkag,"{'compound_code': 'HJX4+CQ Meridian, ID, USA', 'global_code': '85M5HJX4+CQ'}",1.0,3.7,ChIJK6JHzd9TrlQRItSEHF5Gkag,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",127.0,"663 South Main Street Suite 101, Meridian",
OPERATIONAL,"{'location': {'lat': 43.6027865, 'lng': -116.3540946}, 'viewport': {'northeast': {'lat': 43.6041018802915, 'lng': -116.3526986197085}, 'southwest': {'lat': 43.6014039197085, 'lng': -116.3553965802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109882549767408026189"">Sara Ashley Hann</a>'], 'photo_reference': 'AW30NDzeIO21AmE_eGdfeF0sPlxqJ8D4dn8f7Z9H9Y08Sr8IkV-w1HJUHfmITNCBfRDrJbK4mvEoSGf9W-EEoqOIyLwqiJ5a9AUni_0bTVuo7AXw512N6x2tWf9-nmWLURugAKVYO3IQ9exnNacI3OALHVhK2vSVwfBYaEVs1KpGnNtf6Ddr', 'width': 4032}]",ChIJIQ6hB6lWrlQRaNzu0n8hlVw,"{'compound_code': 'JJ3W+49 Meridian, ID, USA', 'global_code': '85M5JJ3W+49'}",2.0,3.7,ChIJIQ6hB6lWrlQRaNzu0n8hlVw,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2190.0,"3223 East Louise Drive, Meridian",
OPERATIONAL,"{'location': {'lat': 43.5883739, 'lng': -116.3930459}, 'viewport': {'northeast': {'lat': 43.5897287302915, 'lng': -116.3918261197085}, 'southwest': {'lat': 43.58703076970851, 'lng': -116.3945240802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 2880, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110581617857278050484"">Brittany Kent</a>'], 'photo_reference': 'AW30NDzbAQxZXBDJFMGOeRNJgEPEBfnCBqZl7IiJ5SRaHg-AeLPocMCbH7mIMKmjRtTGMesQSLjGPgF6gxGo8DtJ2ekvAXILDQJhAGt5TaChlLJT-ORIA_709SA8ovDBoyaWbGlH1josY74gL94ocA24yHFHJnUT5q7eqVyLQjbzOztIYiJF', 'width': 2499}]",ChIJUx-bBmVRrlQRU8lGELTsdYs,"{'compound_code': 'HJQ4+8Q Meridian, ID, USA', 'global_code': '85M5HJQ4+8Q'}",1.0,3.5,ChIJUx-bBmVRrlQRU8lGELTsdYs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",169.0,"1800 South Meridian Road Ste. 103, Meridian",
OPERATIONAL,"{'location': {'lat': 43.61885909999999, 'lng': -116.3865747}, 'viewport': {'northeast': {'lat': 43.6203106302915, 'lng': -116.3851749197085}, 'southwest': {'lat': 43.61761266970851, 'lng': -116.3878728802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mongolian Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113109310394658780734"">Josh Kiepert</a>'], 'photo_reference': 'AW30NDznCR4WNAPqXXavIx-nfWafxo41RhHqps54UngdbnDZZP8knIrnhY4ncdCgD0g7Dq36sCnJBvGs5XZAEYXk0_26Tq2EByJyNKQotNmNPpJMrrPw38vTWMv3vnauVezOTzpjLO1cPTcGVQrXPJFNjgRsvS5sMB9fgH9_-NPMCLeryuTB', 'width': 3024}]",ChIJleFgDYtTrlQR9yqJxWLL_kU,"{'compound_code': 'JJ97+G9 Meridian, ID, USA', 'global_code': '85M5JJ97+G9'}",2.0,4.1,ChIJleFgDYtTrlQR9yqJxWLL_kU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",522.0,"519 East Fairview Avenue #400, Meridian",
OPERATIONAL,"{'location': {'lat': 43.6478048, 'lng': -116.3524213}, 'viewport': {'northeast': {'lat': 43.64915068029149, 'lng': -116.3511996197085}, 'southwest': {'lat': 43.64645271970849, 'lng': -116.3538975802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110362798705117865309"">Sterling Wood</a>'], 'photo_reference': 'AW30NDymjv_jSk06cxb4gAPY6upPm72bVyPszVUtRMpPbuDq3AOP7AXWx4uXQu5rd8w2HLsBSJ1qo3qyzOTYDmimmlOMgO0N1U0NsfOibGHMFViYY6MsT8wuZdSp68g1eRFodG0x6X0mntxrIDi63UugSE4nKww7CQeqQvYPkeYrs_ri8g_8', 'width': 4032}]",ChIJFTrA9_5UrlQRp7Qog95J3l0,"{'compound_code': 'JJXX+42 Boise, ID, USA', 'global_code': '85M5JJXX+42'}",1.0,4.1,ChIJFTrA9_5UrlQRp7Qog95J3l0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",154.0,"13601 West McMillan Road Space 109, Boise",
